H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.44544e+13	6.27600e+17	7.72008e+08	1.27491e+11	5.35794e+11	1.96943e+10	5.45651e+11	3.72912e+03	5.06039e+10	7.05435e+12	1.29700e+13	4.39048e+05	2.35534e+07	1.24179e+08	1.55289e+10
1.44544e+13	5.93981e+17	8.39438e+08	1.34997e+11	5.45753e+11	2.10329e+10	5.40941e+11	4.17536e+03	5.42944e+10	6.74861e+12	1.17993e+13	5.24145e+05	2.74771e+07	1.40087e+08	1.65870e+10
1.44544e+13	5.62270e+17	9.11754e+08	1.42766e+11	5.55229e+11	2.24400e+10	5.35467e+11	4.67491e+03	5.81856e+10	6.44237e+12	1.07142e+13	6.24477e+05	3.20010e+07	1.57778e+08	1.76909e+10
1.44544e+13	5.32350e+17	9.89211e+08	1.50793e+11	5.64198e+11	2.39163e+10	5.29240e+11	5.23369e+03	6.22782e+10	6.13685e+12	9.71081e+12	7.42517e+05	3.72077e+07	1.77418e+08	1.88404e+10
1.44544e+13	5.04105e+17	1.07212e+09	1.59080e+11	5.72644e+11	2.54626e+10	5.22274e+11	5.85868e+03	6.65747e+10	5.83317e+12	8.78465e+12	8.81143e+05	4.31914e+07	1.99188e+08	2.00350e+10
1.44544e+13	4.77433e+17	1.16074e+09	1.67620e+11	5.80545e+11	2.70788e+10	5.14587e+11	6.55712e+03	7.10738e+10	5.53251e+12	7.93160e+12	1.04361e+06	5.00564e+07	2.23280e+08	2.12741e+10
1.44544e+13	4.52244e+17	1.25542e+09	1.76411e+11	5.87883e+11	2.87649e+10	5.06200e+11	7.33775e+03	7.57758e+10	5.23594e+12	7.14773e+12	1.23362e+06	5.79193e+07	2.49895e+08	2.25566e+10
1.44544e+13	4.28454e+17	1.35650e+09	1.85448e+11	5.94641e+11	3.05210e+10	4.97138e+11	8.21064e+03	8.06813e+10	4.94450e+12	6.42905e+12	1.45545e+06	6.69103e+07	2.79241e+08	2.38809e+10
1.44544e+13	4.05964e+17	1.46417e+09	1.94722e+11	6.00803e+11	3.23438e+10	4.87425e+11	9.18431e+03	8.57812e+10	4.65910e+12	5.77137e+12	1.71385e+06	7.71748e+07	3.11561e+08	2.52461e+10
1.44544e+13	3.84698e+17	1.57874e+09	2.04221e+11	6.06353e+11	3.42313e+10	4.77091e+11	1.02699e+04	9.10706e+10	4.38061e+12	5.17085e+12	2.01425e+06	8.88737e+07	3.47099e+08	2.66501e+10
1.44544e+13	3.64586e+17	1.70048e+09	2.13937e+11	6.11276e+11	3.61807e+10	4.66170e+11	1.14797e+04	9.65436e+10	4.10982e+12	4.62378e+12	2.36278e+06	1.02185e+08	3.86112e+08	2.80909e+10
1.44544e+13	3.45556e+17	1.82966e+09	2.23856e+11	6.15559e+11	3.81885e+10	4.54697e+11	1.28269e+04	1.02192e+11	3.84741e+12	4.12650e+12	2.76632e+06	1.17308e+08	4.28877e+08	2.95661e+10
1.44544e+13	3.27550e+17	1.96659e+09	2.33966e+11	6.19187e+11	4.02510e+10	4.42713e+11	1.43272e+04	1.08010e+11	3.59398e+12	3.67555e+12	3.23260e+06	1.34457e+08	4.75672e+08	3.10727e+10
1.44544e+13	3.10505e+17	2.11147e+09	2.44248e+11	6.22147e+11	4.23630e+10	4.30260e+11	1.59966e+04	1.13985e+11	3.35005e+12	3.26752e+12	3.77023e+06	1.53874e+08	5.26800e+08	3.26078e+10
1.44544e+13	2.94371e+17	2.26458e+09	2.54687e+11	6.24428e+11	4.45195e+10	4.17384e+11	1.78541e+04	1.20109e+11	3.11603e+12	2.89919e+12	4.38886e+06	1.75819e+08	5.82568e+08	3.41678e+10
1.44544e+13	2.79090e+17	2.42607e+09	2.65259e+11	6.26018e+11	4.67137e+10	4.04133e+11	1.99193e+04	1.26369e+11	2.89223e+12	2.56743e+12	5.09915e+06	2.00580e+08	6.43310e+08	3.57489e+10
1.44544e+13	2.64621e+17	2.59627e+09	2.75948e+11	6.26909e+11	4.89405e+10	3.90559e+11	2.22172e+04	1.32756e+11	2.67889e+12	2.26932e+12	5.91308e+06	2.28471e+08	7.09342e+08	3.73469e+10
1.44544e+13	2.50912e+17	2.77516e+09	2.86722e+11	6.27090e+11	5.11907e+10	3.76711e+11	2.47709e+04	1.39253e+11	2.47615e+12	2.00202e+12	6.84360e+06	2.59831e+08	7.81029e+08	3.89572e+10
1.44544e+13	2.37925e+17	2.96299e+09	2.97559e+11	6.26553e+11	5.34580e+10	3.62646e+11	2.76107e+04	1.45850e+11	2.28405e+12	1.76290e+12	7.90527e+06	2.95033e+08	8.58717e+08	4.05751e+10
1.44544e+13	2.25620e+17	3.15986e+09	3.08430e+11	6.25294e+11	5.57341e+10	3.48420e+11	3.07686e+04	1.52532e+11	2.10261e+12	1.54948e+12	9.11382e+06	3.34472e+08	9.42759e+08	4.21952e+10
1.44544e+13	2.13959e+17	3.36589e+09	3.19306e+11	6.23307e+11	5.80111e+10	3.34086e+11	3.42821e+04	1.59289e+11	1.93170e+12	1.35941e+12	1.04868e+07	3.78585e+08	1.03352e+09	4.38119e+10
1.44544e+13	2.02907e+17	3.58120e+09	3.30159e+11	6.20588e+11	6.02811e+10	3.19699e+11	3.81933e+04	1.66107e+11	1.77115e+12	1.19048e+12	1.20436e+07	4.27846e+08	1.13139e+09	4.54198e+10
1.44544e+13	1.92437e+17	3.80559e+09	3.40944e+11	6.17137e+11	6.25334e+10	3.05322e+11	4.25450e+04	1.72967e+11	1.62086e+12	1.04075e+12	1.38036e+07	4.82721e+08	1.23667e+09	4.70116e+10
1.44544e+13	1.82512e+17	4.03927e+09	3.51636e+11	6.12952e+11	6.47614e+10	2.91000e+11	4.73938e+04	1.79860e+11	1.48045e+12	9.08246e+11	1.57904e+07	5.43773e+08	1.34977e+09	4.85818e+10
1.44544e+13	1.73104e+17	4.28207e+09	3.62194e+11	6.08038e+11	6.69554e+10	2.76789e+11	5.27976e+04	1.86771e+11	1.34966e+12	7.91250e+11	1.80277e+07	6.11555e+08	1.47103e+09	5.01233e+10
1.44544e+13	1.64187e+17	4.53396e+09	3.72581e+11	6.02397e+11	6.91073e+10	2.62739e+11	5.88245e+04	1.93686e+11	1.22813e+12	6.88163e+11	2.05418e+07	6.86671e+08	1.60077e+09	5.16294e+10
1.44544e+13	1.55734e+17	4.79470e+09	3.82755e+11	5.96037e+11	7.12080e+10	2.48897e+11	6.55496e+04	2.00591e+11	1.11551e+12	5.97515e+11	2.33603e+07	7.69751e+08	1.73934e+09	5.30928e+10
1.44544e+13	1.47722e+17	5.06418e+09	3.92678e+11	5.88967e+11	7.32499e+10	2.35308e+11	7.30604e+04	2.07472e+11	1.01140e+12	5.17964e+11	2.65134e+07	8.61463e+08	1.88701e+09	5.45063e+10
1.44544e+13	1.40127e+17	5.34212e+09	4.02306e+11	5.81200e+11	7.52248e+10	2.22013e+11	8.14541e+04	2.14317e+11	9.15381e+11	4.48289e+11	3.00328e+07	9.62502e+08	2.04406e+09	5.58626e+10
