# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
1.04721e+18 1.42042e+22 425810000000000.0 9.09637e+16 1.24766e+17 30320500000000.0 1.45789e+16 7339340000000000.0 40010600000.0 4.06181e+17 3.46247e+16 3.96151e+16 547225000000.0 47131300000000.0 2095000000000000.0 5175730000000000.0 1.67319e+16 36624200000.0 8315560000000.0 -5.0 [-5.0]
1.04714e+18 1.34875e+22 435478000000000.0 8.90418e+16 1.17453e+17 31391700000000.0 1.44603e+16 7020300000000000.0 42537400000.0 3.89046e+17 3.21219e+16 3.52661e+16 569198000000.0 49157400000000.0 2134650000000000.0 5066360000000000.0 1.57639e+16 38982500000.0 8680590000000.0 -4.98 [-4.98]
1.04729e+18 1.28079e+22 445183000000000.0 8.71481e+16 1.10563e+17 32491000000000.0 1.43381e+16 6708280000000000.0 45257200000.0 3.72626e+17 2.97539e+16 3.13486e+16 591558000000.0 51180900000000.0 2171950000000000.0 4953500000000000.0 1.4847e+16 41477000000.0 9054190000000.0 -4.96 [-4.96]
1.04725e+18 1.21632e+22 454969000000000.0 8.52948e+16 1.04079e+17 33608500000000.0 1.42131e+16 6402860000000000.0 48165900000.0 3.56926e+17 2.75168e+16 2.78209e+16 614486000000.0 53206500000000.0 2207350000000000.0 4837790000000000.0 1.39801e+16 44125000000.0 9439580000000.0 -4.94 [-4.94]
1.04716e+18 1.15489e+22 464561000000000.0 8.34338e+16 9.79591e+16 34738000000000.0 1.40825e+16 6104270000000000.0 51290700000.0 3.41802e+17 2.54062e+16 2.46509e+16 637431000000.0 55167900000000.0 2238670000000000.0 4719360000000000.0 1.3156e+16 46935500000.0 9831440000000.0 -4.92 [-4.92]
1.04715e+18 1.09656e+22 474128000000000.0 8.15942e+16 9.21815e+16 35882800000000.0 1.39452e+16 5813510000000000.0 54645700000.0 3.2726e+17 2.3423e+16 2.18095e+16 660797000000.0 57114400000000.0 2267280000000000.0 4596950000000000.0 1.23767e+16 49896000000.0 10231600000000.0 -4.9 [-4.9]
1.04728e+18 1.04131e+22 483799000000000.0 7.98027e+16 8.67638e+16 37053800000000.0 1.38089e+16 5529830000000000.0 58283300000.0 3.13426e+17 2.1559e+16 1.92642e+16 684759000000.0 59033900000000.0 2293560000000000.0 4474880000000000.0 1.16434e+16 53071500000.0 10646400000000.0 -4.88 [-4.88]
1.04727e+18 9.88733e+21 493216000000000.0 7.80113e+16 8.16431e+16 38235300000000.0 1.36642e+16 5254220000000000.0 62170900000.0 3.0008e+17 1.98143e+16 1.69919e+16 708672000000.0 60877200000000.0 2315630000000000.0 4349240000000000.0 1.09498e+16 56397200000.0 11062400000000.0 -4.86 [-4.86]
1.04726e+18 9.3887e+21 502726000000000.0 7.62507e+16 7.68171e+16 39448900000000.0 1.35159e+16 4986680000000000.0 66374600000.0 2.87293e+17 1.81832e+16 1.49663e+16 733150000000.0 62691800000000.0 2335110000000000.0 4221920000000000.0 1.02966e+16 59932600000.0 11490600000000.0 -4.84 [-4.84]
1.04717e+18 8.91491e+21 512073000000000.0 7.45076e+16 7.22729e+16 40673600000000.0 1.33635e+16 4726940000000000.0 70898500000.0 2.75039e+17 1.66604e+16 1.3162e+16 757716000000.0 64418000000000.0 2350620000000000.0 4094000000000000.0 9681320000000000.0 63679900000.0 11924700000000.0 -4.82 [-4.82]
