H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
2.39883e+15	7.64159e+19	1.99285e+11	2.79153e+13	9.65259e+13	1.44596e+10	4.45052e+12	8.31666e+13	1.11508e+06	1.22565e+13	8.91885e+14	1.24014e+15	1.09936e+07	1.80847e+08	8.54803e+09	3.82164e+10	3.53502e+12	4.02549e+04	5.67953e+06
2.39883e+15	7.23855e+19	2.15505e+11	2.93733e+13	9.77290e+13	1.57674e+10	4.72825e+12	8.17786e+13	1.24843e+06	1.30597e+13	8.42935e+14	1.11795e+15	1.28921e+07	2.13605e+08	9.88651e+09	4.27601e+10	3.74691e+12	4.88629e+04	6.77568e+06
2.39883e+15	6.85775e+19	2.32807e+11	3.08711e+13	9.88334e+13	1.71775e+10	5.01729e+12	8.02803e+13	1.39757e+06	1.38969e+13	7.94975e+14	1.00592e+15	1.50936e+07	2.51812e+08	1.14163e+10	4.77697e+10	3.96561e+12	5.92595e+04	8.06395e+06
2.39883e+15	6.49773e+19	2.51229e+11	3.24068e+13	9.98366e+13	1.86935e+10	5.31717e+12	7.86761e+13	1.56408e+06	1.47670e+13	7.48152e+14	9.03385e+14	1.76403e+07	2.96282e+08	1.31620e+10	5.32858e+10	4.19091e+12	7.18012e+04	9.57503e+06
2.39883e+15	6.15727e+19	2.70816e+11	3.39786e+13	1.00736e+14	2.03204e+10	5.62752e+12	7.69711e+13	1.74991e+06	1.56691e+13	7.02589e+14	8.09748e+14	2.05811e+07	3.47935e+08	1.51507e+10	5.93496e+10	4.42248e+12	8.69143e+04	1.13438e+07
2.39883e+15	5.83520e+19	2.91616e+11	3.55848e+13	1.01528e+14	2.20630e+10	5.94787e+12	7.51710e+13	1.95718e+06	1.66023e+13	6.58401e+14	7.24418e+14	2.39704e+07	4.07811e+08	1.74126e+10	6.60054e+10	4.65998e+12	1.05106e+05	1.34101e+07
2.39883e+15	5.53047e+19	3.13672e+11	3.72230e+13	1.02211e+14	2.39255e+10	6.27760e+12	7.32820e+13	2.18828e+06	1.75652e+13	6.15689e+14	6.46827e+14	2.78690e+07	4.77073e+08	1.99807e+10	7.32992e+10	4.90297e+12	1.26978e+05	1.58191e+07
2.39883e+15	5.24207e+19	3.37028e+11	3.88908e+13	1.02784e+14	2.59122e+10	6.61606e+12	7.13110e+13	2.44587e+06	1.85567e+13	5.74538e+14	5.76419e+14	3.23450e+07	5.57031e+08	2.28919e+10	8.12795e+10	5.15098e+12	1.53244e+05	1.86224e+07
2.39883e+15	4.96907e+19	3.61730e+11	4.05856e+13	1.03242e+14	2.80274e+10	6.96251e+12	6.92650e+13	2.73299e+06	1.95754e+13	5.35015e+14	5.12666e+14	3.74748e+07	6.49153e+08	2.61864e+10	8.99970e+10	5.40350e+12	1.84755e+05	2.18787e+07
2.39883e+15	4.71061e+19	3.87805e+11	4.23037e+13	1.03586e+14	3.02736e+10	7.31591e+12	6.71519e+13	3.05278e+06	2.06191e+13	4.97176e+14	4.55084e+14	4.33405e+07	7.55046e+08	2.99080e+10	9.95039e+10	5.65991e+12	2.22504e+05	2.56537e+07
2.39883e+15	4.46584e+19	4.15287e+11	4.40418e+13	1.03812e+14	3.26537e+10	7.67529e+12	6.49797e+13	3.40889e+06	2.16858e+13	4.61056e+14	4.03186e+14	5.00345e+07	8.76518e+08	3.41049e+10	1.09856e+11	5.91956e+12	2.67676e+05	3.00223e+07
2.39883e+15	4.23401e+19	4.44209e+11	4.57961e+13	1.03919e+14	3.51701e+10	8.03957e+12	6.27568e+13	3.80549e+06	2.27739e+13	4.26684e+14	3.56506e+14	5.76590e+07	1.01557e+09	3.88298e+10	1.21109e+11	6.18176e+12	3.21665e+05	3.50691e+07
2.39883e+15	4.01441e+19	4.74600e+11	4.75625e+13	1.03906e+14	3.78254e+10	8.40763e+12	6.04922e+13	4.24722e+06	2.38812e+13	3.94073e+14	3.14624e+14	6.63267e+07	1.17441e+09	4.41398e+10	1.33321e+11	6.44573e+12	3.86110e+05	4.08888e+07
2.39883e+15	3.80638e+19	5.06489e+11	4.93368e+13	1.03772e+14	4.06215e+10	8.77827e+12	5.81947e+13	4.73936e+06	2.50056e+13	3.63220e+14	2.77128e+14	7.61617e+07	1.35548e+09	5.00971e+10	1.46552e+11	6.71065e+12	4.62944e+05	4.75881e+07
