# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
2398830000000000.0 7.64159e+19 199285000000.0 27915300000000.0 96525900000000.0 14459600000.0 4450520000000.0 83166600000000.0 1115080.0 12256500000000.0 891885000000000.0 1240140000000000.0 10993600.0 180847000.0 8548030000.0 38216400000.0 3535020000000.0 40254.9 5679530.0 -5.0 [-5.0]
2398830000000000.0 7.23855e+19 215505000000.0 29373300000000.0 97729000000000.0 15767400000.0 4728250000000.0 81778600000000.0 1248430.0 13059700000000.0 842935000000000.0 1117950000000000.0 12892100.0 213605000.0 9886510000.0 42760100000.0 3746910000000.0 48862.9 6775680.0 -4.98 [-4.98]
2398830000000000.0 6.85775e+19 232807000000.0 30871100000000.0 98833400000000.0 17177500000.0 5017290000000.0 80280300000000.0 1397570.0 13896900000000.0 794975000000000.0 1005920000000000.0 15093600.0 251812000.0 11416300000.0 47769700000.0 3965610000000.0 59259.5 8063950.0 -4.96 [-4.96]
2398830000000000.0 6.49773e+19 251229000000.0 32406800000000.0 99836600000000.0 18693500000.0 5317170000000.0 78676100000000.0 1564080.0 14767000000000.0 748152000000000.0 903385000000000.0 17640300.0 296282000.0 13162000000.0 53285800000.0 4190910000000.0 71801.2 9575030.0 -4.94 [-4.94]
2398830000000000.0 6.15727e+19 270816000000.0 33978600000000.0 100736000000000.0 20320400000.0 5627520000000.0 76971100000000.0 1749910.0 15669100000000.0 702589000000000.0 809748000000000.0 20581100.0 347935000.0 15150700000.0 59349600000.0 4422480000000.0 86914.3 11343800.0 -4.92 [-4.92]
2398830000000000.0 5.8352e+19 291616000000.0 35584800000000.0 101528000000000.0 22063000000.0 5947870000000.0 75171000000000.0 1957180.0 16602300000000.0 658401000000000.0 724418000000000.0 23970400.0 407811000.0 17412600000.0 66005400000.0 4659980000000.0 105106.0 13410100.0 -4.9 [-4.9]
2398830000000000.0 5.53047e+19 313672000000.0 37223000000000.0 102211000000000.0 23925500000.0 6277600000000.0 73282000000000.0 2188280.0 17565200000000.0 615689000000000.0 646827000000000.0 27869000.0 477073000.0 19980700000.0 73299200000.0 4902970000000.0 126978.0 15819100.0 -4.88 [-4.88]
2398830000000000.0 5.24207e+19 337028000000.0 38890800000000.0 102784000000000.0 25912200000.0 6616060000000.0 71311000000000.0 2445870.0 18556700000000.0 574538000000000.0 576419000000000.0 32345000.0 557031000.0 22891900000.0 81279500000.0 5150980000000.0 153244.0 18622400.0 -4.86 [-4.86]
2398830000000000.0 4.96907e+19 361730000000.0 40585600000000.0 103242000000000.0 28027400000.0 6962510000000.0 69265000000000.0 2732990.0 19575400000000.0 535015000000000.0 512666000000000.0 37474800.0 649153000.0 26186400000.0 89997000000.0 5403500000000.0 184755.0 21878700.0 -4.84 [-4.84]
2398830000000000.0 4.71061e+19 387805000000.0 42303700000000.0 103586000000000.0 30273600000.0 7315910000000.0 67151900000000.0 3052780.0 20619100000000.0 497176000000000.0 455084000000000.0 43340500.0 755046000.0 29908000000.0 99503900000.0 5659910000000.0 222504.0 25653700.0 -4.82 [-4.82]
