H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
3.98107e+14	1.25117e+19	3.41297e+10	4.61972e+12	1.55918e+13	2.54714e+09	7.45585e+11	1.35602e+13	1.99526e+05	1.97320e+12	1.44448e+14	2.06014e+14	1.93941e+06	3.04779e+07	1.42437e+09	6.21265e+09	5.77266e+11	6.95098e+03	9.27429e+05
3.98107e+14	1.18509e+19	3.69018e+10	4.86117e+12	1.57875e+13	2.77579e+09	7.91842e+11	1.33350e+13	2.23248e+05	2.10325e+12	1.36647e+14	1.85596e+14	2.27351e+06	3.60043e+07	1.64771e+09	6.95286e+09	6.11948e+11	8.43236e+03	1.10689e+06
3.98107e+14	1.12267e+19	3.98576e+10	5.10917e+12	1.59673e+13	3.02208e+09	8.39956e+11	1.30918e+13	2.49745e+05	2.23877e+12	1.28985e+14	1.66877e+14	2.66065e+06	4.24505e+07	1.90304e+09	7.76923e+09	6.47756e+11	1.02206e+04	1.31789e+06
3.98107e+14	1.06366e+19	4.30038e+10	5.36343e+12	1.61306e+13	3.28674e+09	8.89861e+11	1.28312e+13	2.79302e+05	2.37959e+12	1.21485e+14	1.49752e+14	3.10832e+06	4.99538e+07	2.19443e+09	8.66830e+09	6.84650e+11	1.23767e+04	1.56546e+06
3.98107e+14	1.00787e+19	4.63488e+10	5.62371e+12	1.62772e+13	3.57064e+09	9.41498e+11	1.25541e+13	3.12264e+05	2.52559e+12	1.14172e+14	1.34121e+14	3.62504e+06	5.86702e+07	2.52646e+09	9.65684e+09	7.22577e+11	1.49738e+04	1.85534e+06
3.98107e+14	9.55109e+18	4.99007e+10	5.88968e+12	1.64065e+13	3.87461e+09	9.94788e+11	1.22615e+13	3.49005e+05	2.67659e+12	1.07065e+14	1.19886e+14	4.22037e+06	6.87751e+07	2.90415e+09	1.07420e+10	7.61480e+11	1.80985e+04	2.19406e+06
3.98107e+14	9.05195e+18	5.36669e+10	6.16098e+12	1.65183e+13	4.19939e+09	1.04963e+12	1.19543e+13	3.89938e+05	2.83238e+12	1.00181e+14	1.06952e+14	4.90491e+06	8.04655e+07	3.33306e+09	1.19314e+10	8.01288e+11	2.18538e+04	2.58907e+06
3.98107e+14	8.57960e+18	5.76555e+10	6.43723e+12	1.66120e+13	4.54577e+09	1.10592e+12	1.16336e+13	4.35536e+05	2.99275e+12	9.35367e+13	9.52252e+13	5.69068e+06	9.39647e+07	3.81940e+09	1.32330e+10	8.41932e+11	2.63626e+04	3.04892e+06
3.98107e+14	8.13258e+18	6.18719e+10	6.71789e+12	1.66875e+13	4.91424e+09	1.16350e+12	1.13007e+13	4.86290e+05	3.15738e+12	8.71456e+13	8.46202e+13	6.59058e+06	1.09515e+08	4.36978e+09	1.46549e+10	8.83312e+11	3.17681e+04	3.58310e+06
3.98107e+14	7.70943e+18	6.63233e+10	7.00248e+12	1.67442e+13	5.30545e+09	1.22224e+12	1.09567e+13	5.42785e+05	3.32602e+12	8.10179e+13	7.50507e+13	7.61935e+06	1.27394e+08	4.99165e+09	1.62059e+10	9.25339e+11	3.82419e+04	4.20255e+06
