# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
398107000000000.0 1.25117e+19 34129700000.0 4619720000000.0 15591800000000.0 2547140000.0 745585000000.0 13560200000000.0 199526.0 1973200000000.0 144448000000000.0 206014000000000.0 1939410.0 30477900.0 1424370000.0 6212650000.0 577266000000.0 6950.98 927429.0 -5.0 [-5.0]
398107000000000.0 1.18509e+19 36901800000.0 4861170000000.0 15787500000000.0 2775790000.0 791842000000.0 13335000000000.0 223248.0 2103250000000.0 136647000000000.0 185596000000000.0 2273510.0 36004300.0 1647710000.0 6952860000.0 611948000000.0 8432.36 1106890.0 -4.98 [-4.98]
398107000000000.0 1.12267e+19 39857600000.0 5109170000000.0 15967300000000.0 3022080000.0 839956000000.0 13091800000000.0 249745.0 2238770000000.0 128985000000000.0 166877000000000.0 2660650.0 42450500.0 1903040000.0 7769230000.0 647756000000.0 10220.6 1317890.0 -4.96 [-4.96]
398107000000000.0 1.06366e+19 43003800000.0 5363430000000.0 16130600000000.0 3286740000.0 889861000000.0 12831200000000.0 279302.0 2379590000000.0 121485000000000.0 149752000000000.0 3108320.0 49953800.0 2194430000.0 8668300000.0 684650000000.0 12376.7 1565460.0 -4.94 [-4.94]
398107000000000.0 1.00787e+19 46348800000.0 5623710000000.0 16277200000000.0 3570640000.0 941498000000.0 12554100000000.0 312264.0 2525590000000.0 114172000000000.0 134121000000000.0 3625040.0 58670200.0 2526460000.0 9656840000.0 722577000000.0 14973.8 1855340.0 -4.92 [-4.92]
398107000000000.0 9.55109e+18 49900700000.0 5889680000000.0 16406500000000.0 3874610000.0 994788000000.0 12261500000000.0 349005.0 2676590000000.0 107065000000000.0 119886000000000.0 4220370.0 68775100.0 2904150000.0 10742000000.0 761480000000.0 18098.5 2194060.0 -4.9 [-4.9]
398107000000000.0 9.05195e+18 53666900000.0 6160980000000.0 16518300000000.0 4199390000.0 1049630000000.0 11954300000000.0 389938.0 2832380000000.0 100181000000000.0 106952000000000.0 4904910.0 80465500.0 3333060000.0 11931400000.0 801288000000.0 21853.8 2589070.0 -4.88 [-4.88]
398107000000000.0 8.5796e+18 57655500000.0 6437230000000.0 16612000000000.0 4545770000.0 1105920000000.0 11633600000000.0 435536.0 2992750000000.0 93536700000000.0 95225200000000.0 5690680.0 93964700.0 3819400000.0 13233000000.0 841932000000.0 26362.6 3048920.0 -4.86 [-4.86]
398107000000000.0 8.13258e+18 61871900000.0 6717890000000.0 16687500000000.0 4914240000.0 1163500000000.0 11300700000000.0 486290.0 3157380000000.0 87145600000000.0 84620200000000.0 6590580.0 109515000.0 4369780000.0 14654900000.0 883312000000.0 31768.1 3583100.0 -4.84 [-4.84]
398107000000000.0 7.70943e+18 66323300000.0 7002480000000.0 16744200000000.0 5305450000.0 1222240000000.0 10956700000000.0 542785.0 3326020000000.0 81017900000000.0 75050700000000.0 7619350.0 127394000.0 4991650000.0 16205900000.0 925339000000.0 38241.9 4202550.0 -4.82 [-4.82]
398107000000000.0 7.30876e+18 71015400000.0 7290400000000.0 16782100000000.0 5719880000.0 1281960000000.0 10603000000000.0 605656.0 3498350000000.0 75161400000000.0 66435000000000.0 8793110.0 147906000.0 5693090000.0 17894800000.0 967905000000.0 45985.6 4919570.0 -4.8 [-4.8]
398107000000000.0 6.92926e+18 75951400000.0 7580990000000.0 16800700000000.0 6157720000.0 1342460000000.0 10241000000000.0 675588.0 3673990000000.0 69581700000000.0 58695200000000.0 10129300.0 171389000.0 6482910000.0 19731200000.0 1010900000000.0 55237.2 5748100.0 -4.78 [-4.78]
398107000000000.0 6.56982e+18 81137500000.0 7873600000000.0 16799800000000.0 6619470000.0 1403560000000.0 9872000000000.0 753407.0 3852650000000.0 64282300000000.0 51758800000000.0 11647700.0 198215000.0 7370690000.0 21724400000.0 1054190000000.0 66276.7 6703750.0 -4.76 [-4.76]
398107000000000.0 6.22932e+18 86577600000.0 8167500000000.0 16779400000000.0 7105380000.0 1465060000000.0 9497560000000.0 840018.0 4033980000000.0 59264500000000.0 45556500000000.0 13369800.0 228798000.0 8366860000.0 23884200000.0 1097650000000.0 79433.5 7804090.0 -4.74 [-4.74]
398107000000000.0 5.90675e+18 92274600000.0 8461900000000.0 16739200000000.0 7615610000.0 1526740000000.0 9119170000000.0 936432.0 4217610000000.0 54527500000000.0 40023200000000.0 15318900.0 263586000.0 9482630000.0 26220300000.0 1141120000000.0 95093.7 9068810.0 -4.72 [-4.72]
398107000000000.0 5.60112e+18 98230500000.0 8755950000000.0 16679000000000.0 8150210000.0 1588380000000.0 8738300000000.0 1043790.0 4403170000000.0 50068600000000.0 35097700000000.0 17520700.0 303074000.0 10730100000.0 28742900000.0 1184470000000.0 113710.0 10520000.0 -4.7 [-4.7]
398107000000000.0 5.31152e+18 104446000000.0 9048760000000.0 16598900000000.0 8709170000.0 1649730000000.0 8356460000000.0 1163400.0 4590270000000.0 45883400000000.0 30722800000000.0 20002800.0 347799000.0 12122300000.0 31461900000.0 1227510000000.0 135806.0 12181600.0 -4.68 [-4.68]
398107000000000.0 5.03715e+18 110920000000.0 9339290000000.0 16498900000000.0 9292180000.0 1710550000000.0 7975210000000.0 1296640.0 4778470000000.0 41967200000000.0 26846300000000.0 22794000.0 398329000.0 13672900000.0 34386800000.0 1270090000000.0 161975.0 14078900.0 -4.66 [-4.66]
398107000000000.0 4.77703e+18 117657000000.0 9626840000000.0 16378800000000.0 9899790000.0 1770660000000.0 7595700000000.0 1445340.0 4967560000000.0 38309800000000.0 23416600000000.0 25930200.0 455346000.0 15397700000.0 37528900000.0 1312040000000.0 192971.0 16245000.0 -4.64 [-4.64]
398107000000000.0 4.53054e+18 124648000000.0 9910060000000.0 16238900000000.0 10531000000.0 1829760000000.0 7219570000000.0 1611200.0 5156960000000.0 34905700000000.0 20390300000000.0 29443700.0 519483000.0 17311600000.0 40896100000.0 1353160000000.0 229603.0 18712000.0 -4.62 [-4.62]
398107000000000.0 4.29694e+18 131892000000.0 10188000000000.0 16079300000000.0 11185800000.0 1887630000000.0 6848100000000.0 1796380.0 5346380000000.0 31745000000000.0 17725200000000.0 33373100.0 591493000.0 19431600000.0 44498300000.0 1393260000000.0 272848.0 21517500.0 -4.6 [-4.6]
398107000000000.0 4.07554e+18 139384000000.0 10459700000000.0 15900300000000.0 11863900000.0 1944060000000.0 6482510000000.0 2003280.0 5535420000000.0 28817600000000.0 15382800000000.0 37758900.0 672164000.0 21775400000.0 48344100000.0 1432160000000.0 323830.0 24702100.0 -4.58 [-4.58]
398107000000000.0 3.8657e+18 147118000000.0 10723800000000.0 15702100000000.0 12564900000.0 1998820000000.0 6123970000000.0 2234610.0 5723700000000.0 26113100000000.0 13328200000000.0 42644400.0 762334000.0 24361500000.0 52441300000.0 1469650000000.0 383845.0 28310900.0 -4.56 [-4.56]
398107000000000.0 3.6668e+18 155085000000.0 10979400000000.0 15485100000000.0 13288400000.0 2051690000000.0 5773550000000.0 2493420.0 5910820000000.0 23620500000000.0 11529600000000.0 48075400.0 862900000.0 27209400000.0 56797300000.0 1505550000000.0 454394.0 32393100.0 -4.54 [-4.54]
398107000000000.0 3.47828e+18 163277000000.0 11225100000000.0 15249700000000.0 14033800000.0 2102470000000.0 5432210000000.0 2783200.0 6096420000000.0 21328600000000.0 9957960000000.0 54100300.0 974804000.0 30339000000.0 61418400000.0 1539630000000.0 537203.0 37002600.0 -4.52 [-4.52]
398107000000000.0 3.29958e+18 171683000000.0 11460000000000.0 14996600000000.0 14800900000.0 2150970000000.0 5100820000000.0 3107860.0 6280120000000.0 19226200000000.0 8587340000000.0 60770500.0 1099040000.0 33771300000.0 66309400000.0 1571720000000.0 634262.0 42198000.0 -4.5 [-4.5]
398107000000000.0 3.13022e+18 180291000000.0 11682900000000.0 14726200000000.0 15589300000.0 2197020000000.0 4780120000000.0 3471880.0 6461570000000.0 17301800000000.0 7394190000000.0 68140100.0 1236670000.0 37527600000.0 71473800000.0 1601610000000.0 747851.0 48043300.0 -4.48 [-4.48]
398107000000000.0 2.96968e+18 189089000000.0 11892800000000.0 14439400000000.0 16398500000.0 2240460000000.0 4470740000000.0 3880290.0 6640400000000.0 15544400000000.0 6357400000000.0 76264600.0 1388780000.0 41629600000.0 76914000000.0 1629100000000.0 880586.0 54607700.0 -4.46 [-4.46]
