H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.46737e+13	1.65644e+18	1.59369e+09	2.79416e+11	1.25923e+12	1.13720e+08	4.25848e+10	1.33956e+12	7.29175e+03	1.08938e+11	1.82718e+13	3.62136e+13	5.25514e+04	7.93551e+05	4.44586e+07	2.48512e+08	3.38969e+10
3.46737e+13	1.56727e+18	1.73589e+09	2.96434e+11	1.28495e+12	1.24604e+08	4.55464e+10	1.33094e+12	8.16548e+03	1.17088e+11	1.75357e+13	3.30356e+13	6.23363e+04	9.50335e+05	5.19966e+07	2.81026e+08	3.62874e+10
3.46737e+13	1.48321e+18	1.88865e+09	3.14084e+11	1.30958e+12	1.36441e+08	4.86681e+10	1.32043e+12	9.14450e+03	1.25710e+11	1.67938e+13	3.00818e+13	7.38119e+04	1.13577e+06	6.07094e+07	3.17273e+08	3.87885e+10
3.46737e+13	1.40393e+18	2.05259e+09	3.32363e+11	1.33307e+12	1.49301e+08	5.19530e+10	1.30806e+12	1.02410e+04	1.34811e+11	1.60493e+13	2.73417e+13	8.72464e+04	1.35464e+06	7.07632e+07	3.57611e+08	4.14005e+10
3.46737e+13	1.32914e+18	2.22833e+09	3.51271e+11	1.35537e+12	1.63253e+08	5.54038e+10	1.29386e+12	1.14683e+04	1.44397e+11	1.53051e+13	2.48050e+13	1.02947e+05	1.61246e+06	8.23453e+07	4.02431e+08	4.41230e+10
3.46737e+13	1.25855e+18	2.41654e+09	3.70802e+11	1.37642e+12	1.78371e+08	5.90221e+10	1.27785e+12	1.28414e+04	1.54472e+11	1.45640e+13	2.24613e+13	1.21264e+05	1.91556e+06	9.56661e+07	4.52148e+08	4.69552e+10
3.46737e+13	1.19191e+18	2.61788e+09	3.90947e+11	1.39620e+12	1.94726e+08	6.28082e+10	1.26007e+12	1.43766e+04	1.65036e+11	1.38288e+13	2.03004e+13	1.42595e+05	2.27116e+06	1.10961e+08	5.07209e+08	4.98957e+10
3.46737e+13	1.12896e+18	2.83306e+09	4.11701e+11	1.41463e+12	2.12397e+08	6.67624e+10	1.24058e+12	1.60923e+04	1.76087e+11	1.31023e+13	1.83123e+13	1.67393e+05	2.68755e+06	1.28495e+08	5.68089e+08	5.29426e+10
3.46737e+13	1.06952e+18	3.06292e+09	4.33054e+11	1.43170e+12	2.31475e+08	7.08853e+10	1.21942e+12	1.80110e+04	1.87629e+11	1.23871e+13	1.64875e+13	1.96185e+05	3.17416e+06	1.48560e+08	6.35273e+08	5.60925e+10
3.46737e+13	1.01335e+18	3.30811e+09	4.54989e+11	1.44734e+12	2.52029e+08	7.51730e+10	1.19666e+12	2.01540e+04	1.99651e+11	1.16854e+13	1.48160e+13	2.29545e+05	3.74169e+06	1.71487e+08	7.09305e+08	5.93425e+10
3.46737e+13	9.60238e+17	3.56917e+09	4.77481e+11	1.46154e+12	2.74115e+08	7.96189e+10	1.17235e+12	2.25439e+04	2.12135e+11	1.09995e+13	1.32880e+13	2.68113e+05	4.40222e+06	1.97639e+08	7.90773e+08	6.26890e+10
3.46737e+13	9.10010e+17	3.84684e+09	5.00509e+11	1.47424e+12	2.97807e+08	8.42180e+10	1.14658e+12	2.52082e+04	2.25070e+11	1.03314e+13	1.18944e+13	3.12626e+05	5.16947e+06	2.27422e+08	8.80276e+08	6.61271e+10
3.46737e+13	8.62498e+17	4.14177e+09	5.24047e+11	1.48542e+12	3.23173e+08	8.89627e+10	1.11944e+12	2.81768e+04	2.38440e+11	9.68279e+12	1.06262e+13	3.63899e+05	6.05882e+06	2.61283e+08	9.78448e+08	6.96513e+10
3.46737e+13	8.17541e+17	4.45463e+09	5.48063e+11	1.49504e+12	3.50276e+08	9.38443e+10	1.09100e+12	3.14829e+04	2.52225e+11	9.05532e+12	9.47474e+12	4.22850e+05	7.08766e+06	2.99718e+08	1.08596e+09	7.32555e+10
3.46737e+13	7.74990e+17	4.78599e+09	5.72519e+11	1.50307e+12	3.79168e+08	9.88517e+10	1.06137e+12	3.51624e+04	2.66403e+11	8.45032e+12	8.43165e+12	4.90489e+05	8.27531e+06	3.43270e+08	1.20352e+09	7.69323e+10
3.46737e+13	7.34710e+17	5.13648e+09	5.97378e+11	1.50948e+12	4.09908e+08	1.03973e+11	1.03066e+12	3.92567e+04	2.80951e+11	7.86893e+12	7.48890e+12	5.67952e+05	9.64351e+06	3.92537e+08	1.33185e+09	8.06739e+10
3.46737e+13	6.96573e+17	5.50671e+09	6.22596e+11	1.51424e+12	4.42547e+08	1.09196e+11	9.98977e+11	4.38121e+04	2.95847e+11	7.31202e+12	6.63879e+12	6.56497e+05	1.12164e+07	4.48175e+08	1.47170e+09	8.44713e+10
3.46737e+13	6.60453e+17	5.89705e+09	6.48120e+11	1.51733e+12	4.77111e+08	1.14504e+11	9.66445e+11	4.88771e+04	3.11057e+11	6.78025e+12	5.87392e+12	7.57492e+05	1.30208e+07	5.10901e+08	1.62390e+09	8.83153e+10
3.46737e+13	6.26239e+17	6.30797e+09	6.73894e+11	1.51873e+12	5.13634e+08	1.19881e+11	9.33186e+11	5.45083e+04	3.26553e+11	6.27406e+12	5.18731e+12	8.72457e+05	1.50864e+07	5.81493e+08	1.78923e+09	9.21950e+10
3.46737e+13	5.93827e+17	6.73994e+09	6.99862e+11	1.51841e+12	5.52147e+08	1.25309e+11	8.99330e+11	6.07704e+04	3.42308e+11	5.79373e+12	4.57237e+12	1.00308e+06	1.74459e+07	6.60801e+08	1.96854e+09	9.60991e+10
3.46737e+13	5.63114e+17	7.19313e+09	7.25955e+11	1.51635e+12	5.92656e+08	1.30770e+11	8.65008e+11	6.77320e+04	3.58286e+11	5.33927e+12	4.02283e+12	1.15116e+06	2.01353e+07	7.49745e+08	2.16270e+09	1.00016e+11
3.46737e+13	5.34012e+17	7.66793e+09	7.52107e+11	1.51255e+12	6.35181e+08	1.36244e+11	8.30355e+11	7.54749e+04	3.74458e+11	4.91058e+12	3.53286e+12	1.31872e+06	2.31943e+07	8.49318e+08	2.37255e+09	1.03931e+11
3.46737e+13	5.06434e+17	8.16453e+09	7.78245e+11	1.50699e+12	6.79727e+08	1.41712e+11	7.95507e+11	8.40890e+04	3.90792e+11	4.50736e+12	3.09695e+12	1.50796e+06	2.66661e+07	9.60589e+08	2.59898e+09	1.07832e+11
3.46737e+13	4.80293e+17	8.68328e+09	8.04302e+11	1.49967e+12	7.26312e+08	1.47155e+11	7.60588e+11	9.36800e+04	4.07260e+11	4.12906e+12	2.70989e+12	1.72132e+06	3.05990e+07	1.08474e+09	2.84290e+09	1.11705e+11
3.46737e+13	4.55523e+17	9.22336e+09	8.30159e+11	1.49058e+12	7.74851e+08	1.52546e+11	7.25756e+11	1.04349e+05	4.23809e+11	3.77539e+12	2.36717e+12	1.96107e+06	3.50407e+07	1.22291e+09	3.10508e+09	1.15532e+11
3.46737e+13	4.32043e+17	9.78572e+09	8.55773e+11	1.47973e+12	8.25421e+08	1.57871e+11	6.91115e+11	1.16241e+05	4.40428e+11	3.44538e+12	2.06417e+12	2.23031e+06	4.00505e+07	1.37650e+09	3.38645e+09	1.19299e+11
3.46737e+13	4.09783e+17	1.03693e+10	8.81020e+11	1.46712e+12	8.77922e+08	1.63104e+11	6.56797e+11	1.29490e+05	4.57068e+11	3.13835e+12	1.79688e+12	2.53182e+06	4.56859e+07	1.54686e+09	3.68787e+09	1.22990e+11
3.46737e+13	3.88691e+17	1.09752e+10	9.05846e+11	1.45278e+12	9.32448e+08	1.68232e+11	6.22925e+11	1.44283e+05	4.73717e+11	2.85342e+12	1.56163e+12	2.86918e+06	5.20140e+07	1.73550e+09	4.00996e+09	1.26587e+11
3.46737e+13	3.68695e+17	1.16019e+10	9.30125e+11	1.43670e+12	9.88870e+08	1.73229e+11	5.89609e+11	1.60788e+05	4.90322e+11	2.58968e+12	1.35495e+12	3.24553e+06	5.91012e+07	1.94394e+09	4.35360e+09	1.30072e+11
3.46737e+13	3.49739e+17	1.22490e+10	9.53763e+11	1.41893e+12	1.04717e+09	1.78076e+11	5.56948e+11	1.79223e+05	5.06855e+11	2.34612e+12	1.17373e+12	3.66462e+06	6.70219e+07	2.17382e+09	4.71948e+09	1.33429e+11
3.46737e+13	3.31765e+17	1.29162e+10	9.76663e+11	1.39948e+12	1.10733e+09	1.82755e+11	5.25036e+11	1.99831e+05	5.23287e+11	2.12171e+12	1.01511e+12	4.13043e+06	7.58562e+07	2.42689e+09	5.10827e+09	1.36641e+11
3.46737e+13	3.14734e+17	1.36020e+10	9.98707e+11	1.37842e+12	1.16926e+09	1.87246e+11	4.93981e+11	2.22866e+05	5.39571e+11	1.91557e+12	8.76621e+11	4.64665e+06	8.56787e+07	2.70473e+09	5.52030e+09	1.39687e+11
3.46737e+13	2.98581e+17	1.43068e+10	1.01983e+12	1.35576e+12	1.23302e+09	1.91538e+11	4.63822e+11	2.48671e+05	5.55701e+11	1.72642e+12	7.55818e+11	5.21850e+06	9.65908e+07	3.00948e+09	5.95626e+09	1.42553e+11
3.46737e+13	2.83277e+17	1.50280e+10	1.03988e+12	1.33158e+12	1.29845e+09	1.95609e+11	4.34667e+11	2.77552e+05	5.71617e+11	1.55347e+12	6.50751e+11	5.84946e+06	1.08666e+08	3.34264e+09	6.41613e+09	1.45218e+11
3.46737e+13	2.68763e+17	1.57658e+10	1.05881e+12	1.30592e+12	1.36560e+09	1.99450e+11	4.06539e+11	3.09935e+05	5.87309e+11	1.39551e+12	5.59442e+11	6.54507e+06	1.22014e+08	3.70640e+09	6.90038e+09	1.47667e+11
3.46737e+13	2.55007e+17	1.65188e+10	1.07650e+12	1.27886e+12	1.43445e+09	2.03048e+11	3.79497e+11	3.46261e+05	6.02744e+11	1.25161e+12	4.80264e+11	7.31019e+06	1.36730e+08	4.10261e+09	7.40881e+09	1.49883e+11
3.46737e+13	2.41965e+17	1.72852e+10	1.09287e+12	1.25047e+12	1.50491e+09	2.06390e+11	3.53575e+11	3.87027e+05	6.17887e+11	1.12078e+12	4.11711e+11	8.14961e+06	1.52916e+08	4.53318e+09	7.94136e+09	1.51849e+11
3.46737e+13	2.29602e+17	1.80637e+10	1.10781e+12	1.22084e+12	1.57697e+09	2.09466e+11	3.28799e+11	4.32801e+05	6.32710e+11	1.00207e+12	3.52457e+11	9.06850e+06	1.70674e+08	5.00002e+09	8.49764e+09	1.53551e+11
