# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
9549900000000000.0 4.71797e+20 432613000000.0 83578800000000.0 394540000000000.0 28103100000.0 12167600000000.0 396498000000000.0 1757910.0 36003100000000.0 5461480000000000.0 9768050000000000.0 12878600.0 225438000.0 12982700000.0 77157100000.0 10146700000000.0 -5.0 4.558 [-5.0]
9549910000000000.0 4.46493e+20 471188000000.0 88630900000000.0 402418000000000.0 30824100000.0 13017300000000.0 393495000000000.0 1972210.0 38662100000000.0 5225540000000000.0 8899690000000000.0 15274600.0 269570000.0 15164200000.0 87147700000.0 10852600000000.0 -4.98 4.553 [-4.98]
9549900000000000.0 4.22625e+20 512614000000.0 93865600000000.0 409938000000000.0 33784200000.0 13912300000000.0 389926000000000.0 2212600.0 41469000000000.0 4989410000000000.0 8094400000000000.0 18085200.0 321698000.0 17682500000.0 98271300000.0 11590400000000.0 -4.96 4.548 [-4.96]
9549900000000000.0 4.00102e+20 557064000000.0 99281600000000.0 417078000000000.0 37001000000.0 14853500000000.0 385796000000000.0 2482240.0 44426100000000.0 4753930000000000.0 7349160000000000.0 21377600.0 383146000.0 20584400000.0 110633000000.0 12359700000000.0 -4.94 4.543 [-4.94]
9549920000000000.0 3.78853e+20 604726000000.0 104881000000000.0 423832000000000.0 40494000000.0 15842100000000.0 381128000000000.0 2784580.0 47536300000000.0 4520170000000000.0 6660970000000000.0 25226700.0 455443000.0 23923400000.0 124350000000.0 13160700000000.0 -4.92 4.539 [-4.92]
9549900000000000.0 3.5879e+20 655771000000.0 110658000000000.0 430178000000000.0 44281200000.0 16878100000000.0 375927000000000.0 3123520.0 50799400000000.0 4288850000000000.0 6026520000000000.0 29720200.0 540346000.0 27759300000.0 139548000000.0 13993100000000.0 -4.9 4.534 [-4.9]
9549910000000000.0 3.39841e+20 710368000000.0 116611000000000.0 436103000000000.0 48380200000.0 17961400000000.0 370210000000000.0 3503050.0 54214600000000.0 4060820000000000.0 5442800000000000.0 34956000.0 639844000.0 32158300000.0 156358000000.0 14856300000000.0 -4.88 4.53 [-4.88]
9549900000000000.0 3.2194e+20 768710000000.0 122738000000000.0 441593000000000.0 52811000000.0 19092200000000.0 363995000000000.0 3927930.0 57781600000000.0 3836800000000000.0 4906870000000000.0 41046500.0 756213000.0 37194600000.0 174919000000.0 15749400000000.0 -4.86 4.526 [-4.86]
9549910000000000.0 3.05018e+20 830953000000.0 129031000000000.0 446631000000000.0 57590300000.0 20269400000000.0 357299000000000.0 4403140.0 61497500000000.0 3617480000000000.0 4415700000000000.0 48117600.0 892049000.0 42951600000.0 195386000000.0 16671900000000.0 -4.84 4.521 [-4.84]
9549900000000000.0 2.89019e+20 897268000000.0 135483000000000.0 451202000000000.0 62735100000.0 21491900000000.0 350140000000000.0 4934080.0 65358700000000.0 3403470000000000.0 3966590000000000.0 56310500.0 1050260000.0 49520500000.0 217912000000.0 17622400000000.0 -4.82 4.517 [-4.82]
