H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.23027e+13	5.86853e+17	5.67772e+08	9.93917e+10	4.46676e+11	4.05444e+07	1.51552e+10	4.74980e+11	2.60035e+03	3.87060e+10	6.47418e+12	1.28215e+13	1.87475e+04	2.82739e+05	1.58270e+07	8.83510e+07	1.20374e+10
1.23027e+13	5.55263e+17	6.18415e+08	1.05442e+11	4.55787e+11	4.44235e+07	1.62087e+10	4.71908e+11	2.91185e+03	4.16004e+10	6.21312e+12	1.16959e+13	2.22374e+04	3.38589e+05	1.85100e+07	9.99076e+07	1.28859e+10
1.23027e+13	5.25483e+17	6.72816e+08	1.11717e+11	4.64512e+11	4.86425e+07	1.73191e+10	4.68169e+11	3.26089e+03	4.46622e+10	5.95005e+12	1.06497e+13	2.63302e+04	4.04641e+05	2.16110e+07	1.12790e+08	1.37737e+10
1.23027e+13	4.97399e+17	7.31194e+08	1.18215e+11	4.72833e+11	5.32254e+07	1.84875e+10	4.63770e+11	3.65177e+03	4.78939e+10	5.68603e+12	9.67931e+12	3.11214e+04	4.82602e+05	2.51891e+07	1.27126e+08	1.47008e+10
1.23027e+13	4.70902e+17	7.93776e+08	1.24937e+11	4.80731e+11	5.81975e+07	1.97148e+10	4.58720e+11	4.08929e+03	5.12976e+10	5.42212e+12	8.78096e+12	3.67206e+04	5.74433e+05	2.93111e+07	1.43055e+08	1.56671e+10
1.23027e+13	4.45896e+17	8.60787e+08	1.31878e+11	4.88187e+11	6.35837e+07	2.10014e+10	4.53031e+11	4.57867e+03	5.48741e+10	5.15939e+12	7.95103e+12	4.32517e+04	6.82374e+05	3.40512e+07	1.60722e+08	1.66722e+10
1.23027e+13	4.22285e+17	9.32477e+08	1.39039e+11	4.95188e+11	6.94115e+07	2.23478e+10	4.46716e+11	5.12587e+03	5.86243e+10	4.89875e+12	7.18582e+12	5.08580e+04	8.09023e+05	3.94942e+07	1.80289e+08	1.77158e+10
1.23027e+13	3.99984e+17	1.00908e+09	1.46415e+11	5.01716e+11	7.57063e+07	2.37536e+10	4.39791e+11	5.73726e+03	6.25470e+10	4.64121e+12	6.48180e+12	5.96995e+04	9.57310e+05	4.57335e+07	2.01923e+08	1.87971e+10
1.23027e+13	3.78923e+17	1.09092e+09	1.54004e+11	5.07755e+11	8.25033e+07	2.52195e+10	4.32276e+11	6.42106e+03	6.66442e+10	4.38767e+12	5.83565e+12	6.99648e+04	1.13060e+06	5.28738e+07	2.25797e+08	1.99149e+10
1.23027e+13	3.59021e+17	1.17820e+09	1.61800e+11	5.13292e+11	8.98244e+07	2.67438e+10	4.24192e+11	7.18466e+03	7.09110e+10	4.13895e+12	5.24379e+12	8.18577e+04	1.33270e+06	6.10318e+07	2.52105e+08	2.10683e+10
1.23027e+13	3.40205e+17	1.27114e+09	1.69793e+11	5.18313e+11	9.76917e+07	2.83244e+10	4.15562e+11	8.03629e+03	7.53419e+10	3.89584e+12	4.70280e+12	9.56075e+04	1.56792e+06	7.03374e+07	2.81053e+08	2.22558e+10
1.23027e+13	3.22410e+17	1.37000e+09	1.77977e+11	5.22806e+11	1.06132e+08	2.99593e+10	4.06413e+11	8.98580e+03	7.99330e+10	3.65903e+12	4.20939e+12	1.11477e+05	1.84112e+06	8.09349e+07	3.12855e+08	2.34758e+10
