# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
12302700000000.0 5.86853e+17 567772000.0 99391700000.0 446676000000.0 40544400.0 15155200000.0 474980000000.0 2600.35 38706000000.0 6474180000000.0 12821500000000.0 18747.5 282739.0 15827000.0 88351000.0 12037400000.0 -5.0 4.577 [-5.0]
12302700000000.0 5.55263e+17 618415000.0 105442000000.0 455787000000.0 44423500.0 16208700000.0 471908000000.0 2911.85 41600400000.0 6213120000000.0 11695900000000.0 22237.4 338589.0 18510000.0 99907600.0 12885900000.0 -4.98 4.571 [-4.98]
12302700000000.0 5.25483e+17 672816000.0 111717000000.0 464512000000.0 48642500.0 17319100000.0 468169000000.0 3260.89 44662200000.0 5950050000000.0 10649700000000.0 26330.2 404641.0 21611000.0 112790000.0 13773700000.0 -4.96 4.567 [-4.96]
12302700000000.0 4.97399e+17 731194000.0 118215000000.0 472833000000.0 53225400.0 18487500000.0 463770000000.0 3651.77 47893900000.0 5686030000000.0 9679310000000.0 31121.4 482602.0 25189100.0 127126000.0 14700800000.0 -4.94 4.562 [-4.94]
12302700000000.0 4.70902e+17 793776000.0 124937000000.0 480731000000.0 58197500.0 19714800000.0 458720000000.0 4089.29 51297600000.0 5422120000000.0 8780960000000.0 36720.6 574433.0 29311100.0 143055000.0 15667100000.0 -4.92 4.557 [-4.92]
12302700000000.0 4.45896e+17 860787000.0 131878000000.0 488187000000.0 63583700.0 21001400000.0 453031000000.0 4578.67 54874100000.0 5159390000000.0 7951030000000.0 43251.7 682374.0 34051200.0 160722000.0 16672200000.0 -4.9 4.552 [-4.9]
12302700000000.0 4.22285e+17 932477000.0 139039000000.0 495188000000.0 69411500.0 22347800000.0 446716000000.0 5125.87 58624300000.0 4898750000000.0 7185820000000.0 50858.0 809023.0 39494200.0 180289000.0 17715800000.0 -4.88 4.548 [-4.88]
12302700000000.0 3.99984e+17 1009080000.0 146415000000.0 501716000000.0 75706300.0 23753600000.0 439791000000.0 5737.26 62547000000.0 4641210000000.0 6481800000000.0 59699.5 957310.0 45733500.0 201923000.0 18797100000.0 -4.86 4.543 [-4.86]
12302700000000.0 3.78923e+17 1090920000.0 154004000000.0 507755000000.0 82503300.0 25219500000.0 432276000000.0 6421.06 66644200000.0 4387670000000.0 5835650000000.0 69964.8 1130600.0 52873800.0 225797000.0 19914900000.0 -4.84 4.539 [-4.84]
12302700000000.0 3.59021e+17 1178200000.0 161800000000.0 513292000000.0 89824400.0 26743800000.0 424192000000.0 7184.66 70911000000.0 4138950000000.0 5243790000000.0 81857.7 1332700.0 61031800.0 252105000.0 21068300000.0 -4.82 4.534 [-4.82]
