# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
3.38856e+17 1.422e+22 150114000000000.0 5.14787e+16 1.05567e+17 11115600000000.0 7671580000000000.0 8114620000000000.0 8423840000.0 3.14485e+17 5.20448e+16 8.04367e+16 109771000000.0 8000130000000.0 584409000000000.0 2247680000000000.0 1.36429e+16 -5.0 4.318 [-5.0]
3.38845e+17 1.34913e+22 155259000000000.0 5.07758e+16 9.99383e+16 11601000000000.0 7669560000000000.0 7821410000000000.0 8773570000.0 3.02047e+17 4.88214e+16 7.23469e+16 114727000000.0 8471950000000.0 600435000000000.0 2214210000000000.0 1.29501e+16 -4.98 4.318 [-4.98]
3.38876e+17 1.28013e+22 160517000000000.0 5.00902e+16 9.46392e+16 12093600000000.0 7666260000000000.0 7532090000000000.0 9124020000.0 2.90109e+17 4.57279e+16 6.49647e+16 119834000000.0 8959620000000.0 616331000000000.0 2179870000000000.0 1.22918e+16 -4.96 4.317 [-4.96]
3.38869e+17 1.21462e+22 165882000000000.0 4.94087e+16 8.96186e+16 12594600000000.0 7659360000000000.0 7245760000000000.0 9483460000.0 2.78581e+17 4.27627e+16 5.82436e+16 125083000000.0 9461420000000.0 631886000000000.0 2143650000000000.0 1.16628e+16 -4.94 4.316 [-4.94]
3.38852e+17 1.15234e+22 171281000000000.0 4.87188e+16 8.48629e+16 13101900000000.0 7648540000000000.0 6962880000000000.0 9853290000.0 2.67433e+17 3.99256e+16 5.21334e+16 130384000000.0 9968000000000.0 646734000000000.0 2105950000000000.0 1.10613e+16 -4.92 4.316 [-4.92]
3.38878e+17 1.09338e+22 176829000000000.0 4.80478e+16 8.03839e+16 13621700000000.0 7636320000000000.0 6684030000000000.0 10232800000.0 2.56755e+17 3.72168e+16 4.65899e+16 135882000000.0 10490300000000.0 661430000000000.0 2067640000000000.0 1.04916e+16 -4.9 4.315 [-4.9]
3.38868e+17 1.03741e+22 182436000000000.0 4.7377e+16 7.61367e+16 14145500000000.0 7619940000000000.0 6409550000000000.0 10624000000.0 2.4644e+17 3.46379e+16 4.1572e+16 141502000000.0 11021400000000.0 675534000000000.0 2027590000000000.0 9948340000000000.0 -4.88 4.314 [-4.88]
3.38853e+17 9.84165e+21 188043000000000.0 4.66979e+16 7.21126e+16 14671200000000.0 7599200000000000.0 6139450000000000.0 11025000000.0 2.36472e+17 3.21859e+16 3.70298e+16 147176000000.0 11552800000000.0 688783000000000.0 1986310000000000.0 9430230000000000.0 -4.86 4.314 [-4.86]
3.38844e+17 9.33699e+21 193715000000000.0 4.60279e+16 6.83083e+16 15199400000000.0 7575430000000000.0 5874210000000000.0 11435800000.0 2.26893e+17 2.98599e+16 3.29329e+16 153028000000.0 12094200000000.0 701587000000000.0 1944100000000000.0 8939090000000000.0 -4.84 4.313 [-4.84]
3.38871e+17 8.85975e+21 199502000000000.0 4.5371e+16 6.47209e+16 15741500000000.0 7549780000000000.0 5614640000000000.0 11868500000.0 2.17714e+17 2.76594e+16 2.92464e+16 159068000000.0 12644000000000.0 713952000000000.0 1901480000000000.0 8475160000000000.0 -4.82 4.312 [-4.82]
3.38856e+17 8.40561e+21 205266000000000.0 4.4703e+16 6.13129e+16 16285100000000.0 7519130000000000.0 5360050000000000.0 12317700000.0 2.08838e+17 2.55796e+16 2.59299e+16 165165000000.0 13188800000000.0 725282000000000.0 1857590000000000.0 8033180000000000.0 -4.8 4.311 [-4.8]
3.3885e+17 7.97509e+21 211055000000000.0 4.40389e+16 5.80875e+16 16831400000000.0 7485040000000000.0 5111270000000000.0 12785300000.0 2.00303e+17 2.36195e+16 2.2955e+16 171428000000.0 13736500000000.0 735959000000000.0 1813050000000000.0 7614890000000000.0 -4.78 4.31 [-4.78]
3.38874e+17 7.56694e+21 216879000000000.0 4.3381e+16 5.50329e+16 17380100000000.0 7447760000000000.0 4867940000000000.0 13276000000.0 1.92112e+17 2.17738e+16 2.02874e+16 177889000000.0 14288100000000.0 746020000000000.0 1767910000000000.0 7219620000000000.0 -4.76 4.309 [-4.76]
3.38865e+17 7.18003e+21 222686000000000.0 4.27195e+16 5.21419e+16 17935200000000.0 7406780000000000.0 4631860000000000.0 13792200000.0 1.84229e+17 2.00449e+16 1.79072e+16 184469000000.0 14833400000000.0 755190000000000.0 1722430000000000.0 6845830000000000.0 -4.74 4.309 [-4.74]
