#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000000	F	F	                  ok	8	8	-5.000000	-5.000000
000000001	F	F	                  ok	1	13	-4.980000	-4.980000
000000002	F	F	                  ok	6	14	-4.960000	-4.960000
000000003	F	F	                  ok	2	10	-4.940000	-4.940000
000000004	F	F	                  ok	6	24	-4.920000	-4.920000
000000005	F	F	                  ok	7	5	-4.900000	-4.900000
000000006	F	F	                  ok	8	11	-4.880000	-4.880000
000000007	F	F	                  ok	0	18	-4.860000	-4.860000
000000008	F	F	                  ok	3	0	-4.840000	-4.840000
000000009	F	F	                  ok	11	19	-4.820000	-4.820000
000000010	F	F	                  ok	8	20	-4.800000	-4.800000
000000011	F	F	                  ok	8	17	-4.780000	-4.780000
000000012	F	F	                  ok	9	5	-4.760000	-4.760000
000000013	F	F	                  ok	9	3	-4.740000	-4.740000
000000014	F	F	                  ok	0	16	-4.720000	-4.720000
000000015	F	F	                  ok	5	23	-4.700000	-4.700000
000000016	F	F	                  ok	3	18	-4.680000	-4.680000
000000017	F	F	                  ok	6	4	-4.660000	-4.660000
000000018	F	F	                  ok	10	21	-4.640000	-4.640000
000000019	F	F	                  ok	4	22	-4.620000	-4.620000
000000020	F	F	                  ok	0	0	-4.600000	-4.600000
000000021	F	F	                  ok	4	19	-4.580000	-4.580000
000000022	F	F	                  ok	8	1	-4.560000	-4.560000
000000023	F	F	                  ok	4	11	-4.540000	-4.540000
000000024	F	F	                  ok	6	23	-4.520000	-4.520000
000000025	F	F	                  ok	1	2	-4.500000	-4.500000
000000026	F	F	                  ok	6	16	-4.480000	-4.480000
000000027	F	F	                  ok	3	6	-4.460000	-4.460000
000000028	F	F	                  ok	7	15	-4.440000	-4.440000
000000029	F	F	                  ok	3	1	-4.420000	-4.420000
000000030	F	F	                  ok	7	10	-4.400000	-4.400000
000000031	F	F	                  ok	11	16	-4.380000	-4.380000
000000032	F	F	                  ok	3	12	-4.360000	-4.360000
000000033	F	F	                  ok	4	24	-4.340000	-4.340000
000000034	F	F	                  ok	6	18	-4.320000	-4.320000
000000035	F	F	                  ok	7	11	-4.300000	-4.300000
000000036	F	F	                  ok	0	7	-4.280000	-4.280000
000000037	F	F	                  ok	9	10	-4.260000	-4.260000
000000038	F	F	                  ok	4	5	-4.240000	-4.240000
000000039	F	F	                  ok	9	6	-4.220000	-4.220000
000000040	F	F	                  ok	0	2	-4.200000	-4.200000
000000041	F	F	                  ok	0	12	-4.180000	-4.180000
000000042	F	F	                  ok	2	0	-4.160000	-4.160000
000000043	F	F	                  ok	5	22	-4.140000	-4.140000
000000044	F	F	                  ok	9	12	-4.120000	-4.120000
000000045	F	F	                  ok	8	24	-4.100000	-4.100000
000000046	F	F	                  ok	7	21	-4.080000	-4.080000
000000047	F	F	                  ok	5	10	-4.060000	-4.060000
000000048	F	F	                  ok	10	20	-4.040000	-4.040000
000000049	F	F	                  ok	2	24	-4.020000	-4.020000
000000050	F	F	                  ok	8	0	-4.000000	-4.000000
000000051	F	F	                  ok	0	23	-3.980000	-3.980000
000000052	F	F	                  ok	5	8	-3.960000	-3.960000
000000053	F	F	                  ok	5	1	-3.940000	-3.940000
000000054	F	F	                  ok	2	22	-3.920000	-3.920000
000000055	F	F	                  ok	6	12	-3.900000	-3.900000
000000056	F	F	                  ok	6	11	-3.880000	-3.880000
000000057	F	F	                  ok	4	8	-3.860000	-3.860000
000000058	F	F	                  ok	7	17	-3.840000	-3.840000
000000059	F	F	                  ok	0	15	-3.820000	-3.820000
000000060	F	F	                  ok	8	19	-3.800000	-3.800000
000000061	F	F	                  ok	5	6	-3.780000	-3.780000
000000062	F	F	                  ok	0	21	-3.760000	-3.760000
000000063	F	F	                  ok	7	22	-3.740000	-3.740000
000000064	F	F	                  ok	6	21	-3.720000	-3.720000
000000065	F	F	                  ok	11	6	-3.700000	-3.700000
000000066	F	F	                  ok	9	19	-3.680000	-3.680000
000000067	F	F	                  ok	8	6	-3.660000	-3.660000
000000068	F	F	                  ok	7	20	-3.640000	-3.640000
000000069	F	F	                  ok	11	22	-3.620000	-3.620000
000000070	F	F	                  ok	6	15	-3.600000	-3.600000
000000071	F	F	                  ok	4	16	-3.580000	-3.580000
000000072	F	F	                  ok	10	18	-3.560000	-3.560000
000000073	F	F	                  ok	10	19	-3.540000	-3.540000
000000074	F	F	                  ok	1	10	-3.520000	-3.520000
000000075	F	F	                  ok	6	0	-3.500000	-3.500000
000000076	F	F	                  ok	5	4	-3.480000	-3.480000
000000077	F	F	                  ok	5	9	-3.460000	-3.460000
000000078	F	F	                  ok	10	8	-3.440000	-3.440000
000000079	F	F	                  ok	2	15	-3.420000	-3.420000
000000080	F	F	                  ok	6	6	-3.400000	-3.400000
000000081	F	F	                  ok	2	8	-3.380000	-3.380000
000000082	F	F	                  ok	0	17	-3.360000	-3.360000
000000083	F	F	                  ok	1	0	-3.340000	-3.340000
000000084	F	F	                  ok	0	25	-3.320000	-3.320000
000000085	F	F	                  ok	3	3	-3.300000	-3.300000
000000086	F	F	                  ok	11	11	-3.280000	-3.280000
000000087	F	F	                  ok	4	13	-3.260000	-3.260000
000000088	F	F	                  ok	9	1	-3.240000	-3.240000
000000089	F	F	                  ok	5	17	-3.220000	-3.220000
000000090	F	F	                  ok	11	18	-3.200000	-3.200000
000000091	F	F	                  ok	8	12	-3.180000	-3.180000
000000092	F	F	                  ok	7	18	-3.160000	-3.160000
000000093	F	F	                  ok	8	22	-3.140000	-3.140000
000000094	F	F	                  ok	3	13	-3.120000	-3.120000
000000095	F	F	                  ok	4	17	-3.100000	-3.100000
000000096	F	F	                  ok	9	14	-3.080000	-3.080000
000000097	F	F	                  ok	2	7	-3.060000	-3.060000
000000098	F	F	                  ok	7	13	-3.040000	-3.040000
000000099	F	F	                  ok	4	21	-3.020000	-3.020000
000000100	F	F	                  ok	0	3	-3.000000	-3.000000
000000101	F	F	                  ok	5	12	-2.980000	-2.980000
000000102	F	F	                  ok	6	1	-2.960000	-2.960000
000000103	F	F	                  ok	8	16	-2.940000	-2.940000
000000104	F	F	                  ok	6	3	-2.920000	-2.920000
000000105	F	F	                  ok	5	14	-2.900000	-2.900000
000000106	F	F	                  ok	9	13	-2.880000	-2.880000
000000107	F	F	                  ok	10	12	-2.860000	-2.860000
000000108	F	F	                  ok	9	9	-2.840000	-2.840000
000000109	F	F	                  ok	0	10	-2.820000	-2.820000
000000110	F	F	                  ok	6	20	-2.800000	-2.800000
000000111	F	F	                  ok	10	10	-2.780000	-2.780000
000000112	F	F	                  ok	1	23	-2.760000	-2.760000
000000113	F	F	                  ok	7	4	-2.740000	-2.740000
000000114	F	F	                  ok	2	20	-2.720000	-2.720000
000000115	F	F	                  ok	7	14	-2.700000	-2.700000
000000116	F	F	                  ok	5	13	-2.680000	-2.680000
000000117	F	F	                  ok	3	10	-2.660000	-2.660000
000000118	F	F	                  ok	1	14	-2.640000	-2.640000
000000119	F	F	                  ok	3	5	-2.620000	-2.620000
000000120	F	F	                  ok	10	2	-2.600000	-2.600000
000000121	F	F	                  ok	10	9	-2.580000	-2.580000
000000122	F	F	                  ok	3	2	-2.560000	-2.560000
000000123	F	F	                  ok	4	12	-2.540000	-2.540000
000000124	F	F	                  ok	0	4	-2.520000	-2.520000
000000125	F	F	                  ok	10	6	-2.500000	-2.500000
000000126	F	F	                  ok	2	18	-2.480000	-2.480000
000000127	F	F	                  ok	1	11	-2.460000	-2.460000
000000128	F	F	                  ok	8	13	-2.440000	-2.440000
000000129	F	F	                  ok	0	11	-2.420000	-2.420000
000000130	F	F	                  ok	3	21	-2.400000	-2.400000
000000131	F	F	                  ok	9	17	-2.380000	-2.380000
000000132	F	F	                  ok	9	22	-2.360000	-2.360000
000000133	F	F	                  ok	0	20	-2.340000	-2.340000
000000134	F	F	                  ok	11	24	-2.320000	-2.320000
000000135	F	F	                  ok	9	8	-2.300000	-2.300000
000000136	F	F	                  ok	6	2	-2.280000	-2.280000
000000137	F	F	                  ok	6	13	-2.260000	-2.260000
000000138	F	F	                  ok	8	18	-2.240000	-2.240000
000000139	F	F	                  ok	0	22	-2.220000	-2.220000
000000140	F	F	                  ok	6	5	-2.200000	-2.200000
000000141	F	F	                  ok	7	1	-2.180000	-2.180000
000000142	F	F	                  ok	7	3	-2.160000	-2.160000
000000143	F	F	                  ok	4	0	-2.140000	-2.140000
000000144	F	F	                  ok	4	9	-2.120000	-2.120000
000000145	F	F	                  ok	2	17	-2.100000	-2.100000
