H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.02329e+15	4.78680e+19	4.78037e+10	8.42233e+12	3.80089e+13	1.27516e+12	3.97110e+13	2.15721e+05	3.36040e+12	5.35811e+14	1.02323e+15	2.52208e+07	1.40513e+09	7.84491e+09	1.03993e+12
1.02329e+15	4.52989e+19	5.20475e+10	8.93013e+12	3.87626e+13	1.36368e+12	3.94285e+13	2.41686e+05	3.60976e+12	5.13440e+14	9.32944e+14	3.01694e+07	1.64186e+09	8.86365e+09	1.11244e+12
1.02329e+15	4.28760e+19	5.66046e+10	9.45648e+12	3.94832e+13	1.45694e+12	3.90903e+13	2.70787e+05	3.87335e+12	4.90987e+14	8.49085e+14	3.60160e+07	1.91524e+09	9.99840e+09	1.18824e+12
1.02329e+15	4.05904e+19	6.14934e+10	1.00013e+13	4.01690e+13	1.55502e+12	3.86971e+13	3.03386e+05	4.15133e+12	4.68530e+14	7.71358e+14	4.29098e+07	2.23043e+09	1.12602e+10	1.26733e+12
1.02329e+15	3.84332e+19	6.67324e+10	1.05645e+13	4.08185e+13	1.65799e+12	3.82497e+13	3.39884e+05	4.44384e+12	4.46157e+14	6.99453e+14	5.10219e+07	2.59323e+09	1.26611e+10	1.34969e+12
1.02329e+15	3.63966e+19	7.23408e+10	1.11460e+13	4.14304e+13	1.76589e+12	3.77492e+13	3.80725e+05	4.75100e+12	4.23952e+14	6.33067e+14	6.05490e+07	3.01014e+09	1.42139e+10	1.43529e+12
1.02329e+15	3.44732e+19	7.83376e+10	1.17454e+13	4.20031e+13	1.87871e+12	3.71968e+13	4.26400e+05	5.07278e+12	4.01995e+14	5.71897e+14	7.17149e+07	3.48842e+09	1.59322e+10	1.52407e+12
1.02329e+15	3.26567e+19	8.47483e+10	1.23627e+13	4.25355e+13	1.99652e+12	3.65941e+13	4.77522e+05	5.40941e+12	3.80367e+14	5.15659e+14	8.47772e+07	4.03624e+09	1.78302e+10	1.61596e+12
1.02329e+15	3.09404e+19	9.15914e+10	1.29973e+13	4.30262e+13	2.11923e+12	3.59428e+13	5.34676e+05	5.76059e+12	3.59132e+14	4.64065e+14	1.00027e+08	4.66267e+09	1.99234e+10	1.71088e+12
1.02329e+15	2.93177e+19	9.88829e+10	1.36487e+13	4.34742e+13	2.24667e+12	3.52444e+13	5.98475e+05	6.12589e+12	3.38357e+14	4.16822e+14	1.17793e+08	5.37781e+09	2.22287e+10	1.80872e+12
1.02329e+15	2.77832e+19	1.06643e+11	1.43162e+13	4.38781e+13	2.37870e+12	3.45014e+13	6.69665e+05	6.50504e+12	3.18104e+14	3.73653e+14	1.38450e+08	6.19287e+09	2.47635e+10	1.90935e+12
1.02329e+15	2.63316e+19	1.14893e+11	1.49990e+13	4.42369e+13	2.51515e+12	3.37159e+13	7.49062e+05	6.89759e+12	2.98422e+14	3.34300e+14	1.62418e+08	7.12031e+09	2.75462e+10	2.01263e+12
1.02329e+15	2.49583e+19	1.23650e+11	1.56964e+13	4.45496e+13	2.65577e+12	3.28906e+13	8.37563e+05	7.30304e+12	2.79362e+14	2.98504e+14	1.90173e+08	8.17382e+09	3.05962e+10	2.11837e+12
1.02329e+15	2.36585e+19	1.32933e+11	1.64073e+13	4.48152e+13	2.80030e+12	3.20283e+13	9.36165e+05	7.72079e+12	2.60963e+14	2.66019e+14	2.22246e+08	9.36861e+09	3.39339e+10	2.22638e+12
1.02329e+15	2.24282e+19	1.42760e+11	1.71307e+13	4.50329e+13	2.94840e+12	3.11322e+13	1.04598e+06	8.15018e+12	2.43259e+14	2.36607e+14	2.59232e+08	1.07213e+10	3.75804e+10	2.33643e+12
