#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	1	448	-5.000000	-3.000000	-5.000000, -3.000000
000000001	F	F	                  ok	5	1905	-5.000000	-2.950000	-5.000000, -2.950000
000000002	F	F	                  ok	3	2099	-5.000000	-2.900000	-5.000000, -2.900000
000000003	F	F	                  ok	3	1061	-5.000000	-2.850000	-5.000000, -2.850000
000000004	F	F	                  ok	11	1118	-5.000000	-2.800000	-5.000000, -2.800000
000000005	F	F	                  ok	11	1183	-5.000000	-2.750000	-5.000000, -2.750000
000000006	F	F	                  ok	7	1015	-5.000000	-2.700000	-5.000000, -2.700000
000000007	F	F	                  ok	5	2035	-5.000000	-2.650000	-5.000000, -2.650000
000000008	F	F	                  ok	1	1534	-5.000000	-2.600000	-5.000000, -2.600000
000000009	F	F	                  ok	2	220	-5.000000	-2.550000	-5.000000, -2.550000
000000010	F	F	                  ok	11	1460	-5.000000	-2.500000	-5.000000, -2.500000
000000011	F	F	                  ok	5	382	-5.000000	-2.450000	-5.000000, -2.450000
000000012	F	F	                  ok	11	921	-5.000000	-2.400000	-5.000000, -2.400000
000000013	F	F	                  ok	11	174	-5.000000	-2.350000	-5.000000, -2.350000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000015	F	F	                  ok	8	935	-5.000000	-2.250000	-5.000000, -2.250000
000000016	F	F	                  ok	5	267	-5.000000	-2.200000	-5.000000, -2.200000
000000017	F	F	                  ok	11	646	-5.000000	-2.150000	-5.000000, -2.150000
000000018	F	F	                  ok	7	323	-5.000000	-2.100000	-5.000000, -2.100000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000020	F	F	                  ok	8	946	-5.000000	-2.000000	-5.000000, -2.000000
000000021	F	F	                  ok	4	562	-5.000000	-1.950000	-5.000000, -1.950000
000000022	F	F	                  ok	10	434	-5.000000	-1.900000	-5.000000, -1.900000
000000023	F	F	                  ok	4	964	-5.000000	-1.850000	-5.000000, -1.850000
000000024	F	F	                  ok	5	1204	-5.000000	-1.800000	-5.000000, -1.800000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000026	F	F	                  ok	2	1466	-5.000000	-1.700000	-5.000000, -1.700000
000000027	F	F	                  ok	3	666	-5.000000	-1.650000	-5.000000, -1.650000
000000028	F	F	                  ok	7	363	-5.000000	-1.600000	-5.000000, -1.600000
000000029	F	F	                  ok	8	275	-5.000000	-1.550000	-5.000000, -1.550000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000033	F	F	                  ok	9	55	-5.000000	-1.350000	-5.000000, -1.350000
000000034	F	F	                  ok	10	1039	-5.000000	-1.300000	-5.000000, -1.300000
000000035	F	F	                  ok	11	1643	-5.000000	-1.250000	-5.000000, -1.250000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000037	F	F	                  ok	11	1185	-5.000000	-1.150000	-5.000000, -1.150000
000000038	F	F	                  ok	8	1622	-5.000000	-1.100000	-5.000000, -1.100000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000041	F	F	                  ok	1	909	-5.000000	-0.950000	-5.000000, -0.950000
000000042	F	F	                  ok	2	348	-5.000000	-0.900000	-5.000000, -0.900000
000000043	F	F	                  ok	10	1510	-5.000000	-0.850000	-5.000000, -0.850000
000000044	F	F	                  ok	5	453	-5.000000	-0.800000	-5.000000, -0.800000
000000045	F	F	                  ok	11	201	-5.000000	-0.750000	-5.000000, -0.750000
000000046	F	F	                  ok	9	173	-5.000000	-0.700000	-5.000000, -0.700000
000000047	F	F	                  ok	6	187	-5.000000	-0.650000	-5.000000, -0.650000
000000048	F	F	                  ok	4	938	-5.000000	-0.600000	-5.000000, -0.600000
000000049	F	F	                  ok	0	925	-5.000000	-0.550000	-5.000000, -0.550000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000051	F	F	                  ok	11	816	-5.000000	-0.450000	-5.000000, -0.450000
000000052	F	F	                  ok	4	233	-5.000000	-0.400000	-5.000000, -0.400000
000000053	F	F	                  ok	3	127	-5.000000	-0.350000	-5.000000, -0.350000
000000054	F	F	                  ok	11	1715	-5.000000	-0.300000	-5.000000, -0.300000
000000055	F	F	                  ok	4	238	-5.000000	-0.250000	-5.000000, -0.250000
000000056	F	F	                  ok	8	1344	-5.000000	-0.200000	-5.000000, -0.200000
000000057	F	F	                  ok	10	2077	-5.000000	-0.150000	-5.000000, -0.150000
000000058	F	F	                  ok	3	553	-5.000000	-0.100000	-5.000000, -0.100000
000000059	F	F	                  ok	10	128	-5.000000	-0.050000	-5.000000, -0.050000
000000060	F	F	                  ok	0	259	-5.000000	0.000000	-5.000000, 0.000000
000000061	F	F	                  ok	1	1115	-5.000000	0.050000	-5.000000, 0.050000
