H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
3.98107e+13	2.37487e+18	2.95162e+07	3.55807e+09	1.41789e+10	7.86258e+08	1.58619e+10	4.82071e+02	2.55043e+09	2.18924e+11	5.30229e+11	8.47376e+03	4.77781e+05	2.16724e+06	3.61728e+08
3.98107e+13	2.37334e+18	3.30921e+07	3.99180e+09	1.59094e+10	8.81265e+08	1.77950e+10	5.38753e+02	2.85653e+09	2.45586e+11	5.94489e+11	9.51500e+03	5.36286e+05	2.43335e+06	4.05928e+08
3.98107e+13	2.37162e+18	3.70978e+07	4.47835e+09	1.78511e+10	9.87627e+08	1.99634e+10	6.01815e+02	3.19870e+09	2.75488e+11	6.66480e+11	1.06851e+04	6.01982e+05	2.73235e+06	4.55538e+08
3.98107e+13	2.36971e+18	4.15841e+07	5.02414e+09	2.00300e+10	1.10667e+09	2.23956e+10	6.71905e+02	3.58102e+09	3.09022e+11	7.47116e+11	1.20004e+04	6.75761e+05	3.06837e+06	5.11221e+08
3.98107e+13	2.36757e+18	4.66073e+07	5.63635e+09	2.24748e+10	1.23987e+09	2.51236e+10	7.49716e+02	4.00797e+09	3.46628e+11	8.37418e+11	1.34790e+04	7.58624e+05	3.44607e+06	5.73724e+08
3.98107e+13	2.36519e+18	5.22306e+07	6.32305e+09	2.52183e+10	1.38886e+09	2.81834e+10	8.35992e+02	4.48453e+09	3.88797e+11	9.38521e+11	1.51415e+04	8.51701e+05	3.87070e+06	6.43887e+08
3.98107e+13	2.36254e+18	5.85238e+07	7.09326e+09	2.82967e+10	1.55545e+09	3.16150e+10	9.31520e+02	5.01613e+09	4.36080e+11	1.05169e+12	1.70115e+04	9.56265e+05	4.34820e+06	7.22651e+08
3.98107e+13	2.35958e+18	6.55645e+07	7.95710e+09	3.17512e+10	1.74164e+09	3.54636e+10	1.03712e+03	5.60871e+09	4.89093e+11	1.17833e+12	1.91151e+04	1.07375e+06	4.88529e+06	8.11077e+08
3.98107e+13	2.35628e+18	7.34388e+07	8.92594e+09	3.56276e+10	1.94966e+09	3.97796e+10	1.15365e+03	6.26880e+09	5.48528e+11	1.32001e+12	2.14823e+04	1.20577e+06	5.48960e+06	9.10358e+08
3.98107e+13	2.35262e+18	8.22420e+07	1.00124e+10	3.99776e+10	2.18194e+09	4.46194e+10	1.28199e+03	7.00348e+09	6.15153e+11	1.47846e+12	2.41470e+04	1.35415e+06	6.16973e+06	1.02183e+09
3.98107e+13	2.34855e+18	9.20795e+07	1.12308e+10	4.48591e+10	2.44117e+09	5.00464e+10	1.42303e+03	7.82043e+09	6.89835e+11	1.65559e+12	2.71473e+04	1.52094e+06	6.93547e+06	1.14702e+09
3.98107e+13	2.34404e+18	1.03067e+08	1.25970e+10	5.03373e+10	2.73031e+09	5.61314e+10	1.57765e+03	8.72797e+09	7.73537e+11	1.85354e+12	3.05269e+04	1.70847e+06	7.79793e+06	1.28760e+09
3.98107e+13	2.33904e+18	1.15334e+08	1.41288e+10	5.64851e+10	3.05260e+09	6.29537e+10	1.74670e+03	9.73502e+09	8.67340e+11	2.07465e+12	3.43350e+04	1.91937e+06	8.76973e+06	1.44550e+09
3.98107e+13	2.33350e+18	1.29020e+08	1.58461e+10	6.33847e+10	3.41157e+09	7.06022e+10	1.93097e+03	1.08512e+10	9.72450e+11	2.32152e+12	3.86275e+04	2.15659e+06	9.86525e+06	1.62288e+09


3.98107e+13	2.32063e+18	1.61279e+08	1.99290e+10	7.98190e+10	4.25532e+09	8.87866e+10	2.34786e+03	1.34522e+10	1.22214e+12	2.90427e+12	4.89291e+04	2.72388e+06	1.24952e+07	2.04607e+09
3.98107e+13	2.31319e+18	1.80204e+08	2.23473e+10	8.95736e+10	4.74885e+09	9.95583e+10	2.58147e+03	1.49592e+10	1.36991e+12	3.24676e+12	5.50925e+04	3.06203e+06	1.40697e+07	2.29772e+09
3.98107e+13	2.30502e+18	2.01254e+08	2.50572e+10	1.00523e+11	5.29656e+09	1.11630e+11	2.83216e+03	1.66196e+10	1.53540e+12	3.62827e+12	6.20516e+04	3.44281e+06	1.58488e+07	2.58058e+09
3.98107e+13	2.29606e+18	2.24643e+08	2.80934e+10	1.12813e+11	5.90373e+09	1.25159e+11	3.09986e+03	1.84456e+10	1.72072e+12	4.05297e+12	6.99127e+04	3.87174e+06	1.78604e+07	2.89861e+09


3.98107e+13	2.27557e+18	2.79381e+08	3.53036e+10	1.42100e+11	7.31946e+09	1.57301e+11	3.68426e+03	2.26458e+10	2.16045e+12	5.05055e+12	8.88391e+04	4.89985e+06	2.27147e+07	3.65854e+09
3.98107e+13	2.26393e+18	3.11242e+08	3.95686e+10	1.59491e+11	8.14046e+09	1.76329e+11	3.99896e+03	2.50459e+10	2.42041e+12	5.63380e+12	1.00197e+05	5.51414e+06	2.56367e+07	4.11119e+09
3.98107e+13	2.25130e+18	3.46466e+08	4.43431e+10	1.79018e+11	9.04585e+09	1.97644e+11	4.32657e+03	2.76636e+10	2.71132e+12	6.28108e+12	1.13045e+05	6.20705e+06	2.89520e+07	4.62066e+09
3.98107e+13	2.23764e+18	3.85344e+08	4.96861e+10	2.00947e+11	1.00428e+10	2.21520e+11	4.66491e+03	3.05120e+10	3.03684e+12	6.99881e+12	1.27582e+05	6.98890e+06	3.27169e+07	5.19429e+09
3.98107e+13	2.22291e+18	4.28184e+08	5.56637e+10	2.25574e+11	1.11387e+10	2.48262e+11	5.01131e+03	3.36040e+10	3.40101e+12	7.79394e+12	1.44034e+05	7.87143e+06	3.69970e+07	5.84038e+09


3.98107e+13	2.19017e+18	5.27022e+08	6.98227e+10	2.84312e+11	1.36600e+10	3.11758e+11	5.71521e+03	4.05697e+10	4.26405e+12	9.64747e+12	1.83720e+05	9.99344e+06	4.74172e+07	7.38903e+09
3.98107e+13	2.17213e+18	5.83673e+08	7.81745e+10	3.19226e+11	1.51021e+10	3.49324e+11	6.06516e+03	4.44684e+10	4.77368e+12	1.07231e+13	2.07555e+05	1.12650e+07	5.37466e+07	8.31453e+09
3.98107e+13	2.15298e+18	6.45574e+08	8.75021e+10	3.58458e+11	1.66770e+10	3.91392e+11	6.40812e+03	4.86601e+10	5.34359e+12	1.19106e+13	2.34505e+05	1.27019e+07	6.09736e+07	9.35871e+09
3.98107e+13	2.13271e+18	7.13067e+08	9.79163e+10	4.02551e+11	1.83945e+10	4.38501e+11	6.73996e+03	5.31588e+10	5.98089e+12	1.32205e+13	2.64969e+05	1.43262e+07	6.92370e+07	1.05375e+10






3.98107e+13	2.04152e+18	1.04498e+09	1.53015e+11	6.40976e+11	2.68973e+10	6.90638e+11	7.87426e+03	7.45076e+10	9.37828e+12	1.99332e+13	4.31069e+05	2.32381e+07	1.16244e+08	1.69993e+10
3.98107e+13	2.01651e+18	1.14484e+09	1.70913e+11	7.20255e+11	2.94908e+10	7.73663e+11	8.09398e+03	8.07763e+10	1.04928e+13	2.20523e+13	4.86299e+05	2.62372e+07	1.32660e+08	1.91778e+10
3.98107e+13	1.99077e+18	1.25193e+09	1.90818e+11	8.09457e+11	3.22988e+10	8.66675e+11	8.28399e+03	8.74656e+10	1.17394e+13	2.43818e+13	5.48207e+05	2.96267e+07	1.51554e+08	2.16452e+10


3.98107e+13	1.93752e+18	1.48852e+09	2.37500e+11	1.02282e+12	3.86268e+10	1.08765e+12	8.57565e+03	1.02251e+11	1.46934e+13	2.97550e+13	6.94701e+05	3.77815e+07	1.98418e+08	2.76112e+10
3.98107e+13	1.91023e+18	1.61841e+09	2.64756e+11	1.15001e+12	4.21875e+10	1.21851e+12	8.68078e+03	1.10443e+11	1.64382e+13	3.28457e+13	7.80696e+05	4.26645e+07	2.27377e+08	3.12071e+10




3.98107e+13	1.82704e+18	2.05647e+09	3.65536e+11	1.63603e+12	5.47666e+10	1.71387e+12	8.87126e+03	1.38998e+11	2.30181e+13	4.40715e+13	1.09858e+06	6.13911e+07	3.44111e+08	4.51830e+10
3.98107e+13	1.79924e+18	2.21932e+09	4.06559e+11	1.84052e+12	5.97030e+10	1.92049e+12	8.90865e+03	1.50141e+11	2.57526e+13	4.85774e+13	1.22712e+06	6.92781e+07	3.95752e+08	5.11614e+10
3.98107e+13	1.77159e+18	2.39104e+09	4.51922e+11	2.07083e+12	6.50799e+10	2.15216e+12	8.94215e+03	1.62289e+11	2.88122e+13	5.35309e+13	1.36829e+06	7.81543e+07	4.55481e+08	5.79552e+10
3.98107e+13	1.74417e+18	2.57206e+09	5.02060e+11	2.33023e+12	7.09486e+10	2.41193e+12	8.97773e+03	1.75583e+11	3.22358e+13	5.89784e+13	1.52296e+06	8.81364e+07	5.24575e+08	6.56775e+10
3.98107e+13	1.71714e+18	2.76315e+09	5.57464e+11	2.62238e+12	7.73730e+10	2.70323e+12	9.02370e+03	1.90204e+11	3.60666e+13	6.49737e+13	1.69208e+06	9.93528e+07	6.04467e+08	7.44547e+10
3.98107e+13	1.69049e+18	2.96465e+09	6.18648e+11	2.95143e+12	8.44147e+10	3.02989e+12	9.08319e+03	2.06322e+11	4.03527e+13	7.15711e+13	1.87657e+06	1.11948e+08	6.96886e+08	8.44342e+10
3.98107e+13	1.66432e+18	3.17744e+09	6.86202e+11	3.32203e+12	9.21517e+10	3.39622e+12	9.16276e+03	2.24159e+11	4.51477e+13	7.88343e+13	2.07747e+06	1.26081e+08	8.03768e+08	9.57809e+10
3.98107e+13	1.63866e+18	3.40241e+09	7.60773e+11	3.73942e+12	1.00670e+11	3.80703e+12	9.26787e+03	2.43954e+11	5.05115e+13	8.68330e+13	2.29589e+06	1.41929e+08	9.27360e+08	1.08683e+11
3.98107e+13	1.61359e+18	3.64090e+09	8.43089e+11	4.20944e+12	1.10074e+11	4.26773e+12	9.40535e+03	2.65995e+11	5.65112e+13	9.56468e+13	2.53310e+06	1.59688e+08	1.07020e+09	1.23351e+11


3.98107e+13	1.56546e+18	4.16515e+09	1.03433e+12	5.33451e+12	1.32011e+11	5.36374e+12	9.80417e+03	3.18136e+11	7.07256e+13	1.16085e+14	3.06987e+06	2.01835e+08	1.42559e+09	1.58970e+11
3.98107e+13	1.54248e+18	4.45505e+09	1.14521e+12	6.00526e+12	1.44825e+11	6.01340e+12	1.00789e+04	3.49008e+11	7.91173e+13	1.27918e+14	3.37298e+06	2.26738e+08	1.64521e+09	1.80496e+11
3.98107e+13	1.52027e+18	4.76685e+09	1.26777e+12	6.76027e+12	1.59086e+11	6.74190e+12	1.04134e+04	3.83675e+11	8.85007e+13	1.40987e+14	3.70208e+06	2.54590e+08	1.89830e+09	2.04944e+11
3.98107e+13	1.49886e+18	5.10353e+09	1.40332e+12	7.60998e+12	1.74984e+11	7.55879e+12	1.08152e+04	4.22656e+11	9.89923e+13	1.55430e+14	4.05973e+06	2.85733e+08	2.18972e+09	2.32702e+11
3.98107e+13	1.47825e+18	5.46854e+09	1.55334e+12	8.56616e+12	1.92731e+11	8.47479e+12	1.12926e+04	4.66533e+11	1.10722e+14	1.71401e+14	4.44888e+06	3.20550e+08	2.52497e+09	2.64206e+11
3.98107e+13	1.45846e+18	5.86591e+09	1.71951e+12	9.64201e+12	2.12571e+11	9.50190e+12	1.18549e+04	5.15963e+11	1.23837e+14	1.89073e+14	4.87301e+06	3.59476e+08	2.91025e+09	2.99948e+11
3.98107e+13	1.43950e+18	6.30018e+09	1.90373e+12	1.08523e+13	2.34775e+11	1.06536e+13	1.25127e+04	5.71688e+11	1.38500e+14	2.08637e+14	5.33611e+06	4.02998e+08	3.35259e+09	3.40479e+11
3.98107e+13	1.42138e+18	6.77660e+09	2.10816e+12	1.22138e+13	2.59651e+11	1.19449e+13	1.32778e+04	6.34546e+11	1.54894e+14	2.30311e+14	5.84289e+06	4.51671e+08	3.85989e+09	3.86422e+11
3.98107e+13	1.40404e+18	7.30048e+09	2.33517e+12	1.37450e+13	2.87539e+11	1.33928e+13	1.41628e+04	7.05496e+11	1.73232e+14	2.54311e+14	6.39842e+06	5.06119e+08	4.44129e+09	4.38483e+11
3.98107e+13	1.38747e+18	7.87842e+09	2.58747e+12	1.54667e+13	3.18826e+11	1.50159e+13	1.51833e+04	7.85607e+11	1.93744e+14	2.80896e+14	7.00882e+06	5.67043e+08	5.10679e+09	4.97440e+11
3.98107e+13	1.37167e+18	8.51763e+09	2.86815e+12	1.74027e+13	3.53952e+11	1.68357e+13	1.63561e+04	8.76092e+11	2.16690e+14	3.10355e+14	7.68110e+06	6.35257e+08	5.86802e+09	5.64192e+11
3.98107e+13	1.35660e+18	9.22627e+09	3.18072e+12	1.95793e+13	3.93413e+11	1.88761e+13	1.77005e+04	9.78321e+11	2.42365e+14	3.43012e+14	8.42322e+06	7.11674e+08	6.73804e+09	6.39745e+11


3.98107e+13	1.32858e+18	1.08900e+10	3.91778e+12	2.47776e+13	4.87652e+11	2.37288e+13	2.09971e+04	1.22445e+12	3.03242e+14	4.19379e+14	1.01551e+07	8.93448e+08	8.86564e+09	8.21939e+11
3.98107e+13	1.31552e+18	1.18661e+10	4.35169e+12	2.78709e+13	5.43771e+11	2.66048e+13	2.30022e+04	1.37212e+12	3.39220e+14	4.63898e+14	1.11666e+07	1.00134e+09	1.01597e+10	9.31337e+11
3.98107e+13	1.30303e+18	1.29549e+10	4.83648e+12	3.13488e+13	6.06936e+11	2.98295e+13	2.52891e+04	1.53918e+12	3.79493e+14	5.13239e+14	1.22924e+07	1.12258e+09	1.16359e+10	1.05507e+12
3.98107e+13	1.29116e+18	1.41739e+10	5.37896e+12	3.52587e+13	6.78098e+11	3.34455e+13	2.79007e+04	1.72830e+12	4.24587e+14	5.67956e+14	1.35500e+07	1.25897e+09	1.33175e+10	1.19496e+12
3.98107e+13	1.27979e+18	1.55379e+10	5.98611e+12	3.96545e+13	7.58278e+11	3.75000e+13	3.08796e+04	1.94244e+12	4.75075e+14	6.28585e+14	1.49564e+07	1.41252e+09	1.52342e+10	1.35313e+12


3.98107e+13	1.25843e+18	1.87826e+10	7.42914e+12	5.01553e+13	9.50709e+11	4.71442e+13	3.81620e+04	2.46019e+12	5.94879e+14	7.70180e+14	1.83036e+07	1.78096e+09	1.99067e+10	1.73427e+12
3.98107e+13	1.24828e+18	2.07064e+10	8.28442e+12	5.64058e+13	1.06583e+12	5.28604e+13	4.25935e+04	2.77222e+12	6.65711e+14	8.52500e+14	2.02937e+07	2.00164e+09	2.27451e+10	1.96315e+12
3.98107e+13	1.23843e+18	2.28678e+10	9.24459e+12	6.34367e+13	1.19586e+12	5.92703e+13	4.76582e+04	3.12637e+12	7.44973e+14	9.43569e+14	2.25363e+07	2.25127e+09	2.59829e+10	2.22219e+12
3.98107e+13	1.22880e+18	2.52979e+10	1.03232e+13	7.13467e+13	1.34284e+12	6.64578e+13	5.34538e+04	3.52873e+12	8.33652e+14	1.04421e+15	2.50674e+07	2.53404e+09	2.96790e+10	2.51547e+12
3.98107e+13	1.21937e+18	2.80347e+10	1.15360e+13	8.02479e+13	1.50913e+12	7.45172e+13	6.00976e+04	3.98637e+12	9.32860e+14	1.15533e+15	2.79316e+07	2.85487e+09	3.39003e+10	2.84767e+12
3.98107e+13	1.21003e+18	3.11182e+10	1.29005e+13	9.02665e+13	1.69742e+12	8.35541e+13	6.77214e+04	4.50725e+12	1.04377e+15	1.27792e+15	3.11776e+07	3.21943e+09	3.87276e+10	3.22422e+12
3.98107e+13	1.20077e+18	3.45985e+10	1.44371e+13	1.01545e+14	1.91085e+12	9.36870e+13	7.64867e+04	5.10061e+12	1.16767e+15	1.41312e+15	3.48671e+07	3.63447e+09	4.42521e+10	3.65127e+12
3.98107e+13	1.19144e+18	3.85247e+10	1.61678e+13	1.14246e+14	2.15300e+12	1.05047e+14	8.65797e+04	5.77743e+12	1.30598e+15	1.56189e+15	3.90638e+07	4.10771e+09	5.05891e+10	4.13621e+12


3.98107e+13	1.17233e+18	4.79809e+10	2.03207e+13	1.44673e+14	2.74100e+12	1.32057e+14	1.11715e+05	7.43460e+12	1.63221e+15	1.90481e+15	4.93222e+07	5.26752e+09	6.62414e+10	5.31415e+12
3.98107e+13	1.16241e+18	5.36676e+10	2.28071e+13	1.62846e+14	3.09749e+12	1.48055e+14	1.27371e+05	8.44785e+12	1.82370e+15	2.10117e+15	5.55959e+07	5.97819e+09	7.58999e+10	6.02828e+12
3.98107e+13	1.15212e+18	6.01246e+10	2.56208e+13	1.83368e+14	3.50444e+12	1.65991e+14	1.45601e+05	9.61086e+12	2.03666e+15	2.31565e+15	6.28027e+07	6.79576e+09	8.70672e+10	6.84291e+12
3.98107e+13	1.14134e+18	6.74726e+10	2.88106e+13	2.06577e+14	3.97014e+12	1.86111e+14	1.66905e+05	1.09483e+13	2.27312e+15	2.54930e+15	7.11027e+07	7.73881e+09	1.00017e+11	7.77371e+12
3.98107e+13	1.13004e+18	7.58546e+10	3.24319e+13	2.32841e+14	4.50424e+12	2.08681e+14	1.91900e+05	1.24896e+13	2.53532e+15	2.80322e+15	8.06978e+07	8.82996e+09	1.15073e+11	8.83884e+12
3.98107e+13	1.11804e+18	8.54197e+10	3.65455e+13	2.62591e+14	5.11799e+12	2.33990e+14	2.21344e+05	1.42703e+13	2.82552e+15	3.07786e+15	9.18048e+07	1.00958e+10	1.32653e+11	1.00606e+13
3.98107e+13	1.10537e+18	9.63946e+10	4.12343e+13	2.96342e+14	5.82522e+12	2.62368e+14	2.56209e+05	1.63322e+13	3.14620e+15	3.37434e+15	1.04738e+08	1.15699e+10	1.53223e+11	1.14636e+13
3.98107e+13	1.09185e+18	1.08999e+11	4.65823e+13	3.34658e+14	6.64192e+12	2.94168e+14	2.97703e+05	1.87269e+13	3.49977e+15	3.69249e+15	1.19833e+08	1.32921e+10	1.77395e+11	1.30787e+13
3.98107e+13	1.07732e+18	1.23485e+11	5.26858e+13	3.78208e+14	7.58798e+12	3.29802e+14	3.47354e+05	2.15170e+13	3.88853e+15	4.03172e+15	1.37480e+08	1.53105e+10	2.05958e+11	1.49435e+13
3.98107e+13	1.06174e+18	1.40196e+11	5.96654e+13	4.27745e+14	8.68743e+12	3.69721e+14	4.07161e+05	2.47780e+13	4.31489e+15	4.39149e+15	1.58216e+08	1.76856e+10	2.39835e+11	1.71009e+13


3.98107e+13	1.02721e+18	1.82020e+11	7.68396e+13	5.48352e+14	1.14686e+13	4.64399e+14	5.68253e+05	3.31012e+13	5.28917e+15	5.16748e+15	2.11747e+08	2.38242e+10	3.28460e+11	2.25104e+13
3.98107e+13	1.00808e+18	2.08203e+11	8.73841e+13	6.21524e+14	1.32287e+13	5.20250e+14	6.77244e+05	3.84162e+13	5.84060e+15	5.57863e+15	2.46354e+08	2.77957e+10	3.86540e+11	2.59002e+13
