# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
39810700000000.0 1.85487e+18 1902190000.0 328462000000.0 1454450000000.0 50226600000.0 1529570000000.0 8824.21 128734000000.0 20574300000000.0 39971900000000.0 981869.0 54388300.0 299452000.0 39921000000.0 -5.0 4.574 [-5.0]
39810700000000.0 1.75516e+18 2070980000.0 348291000000.0 1483440000000.0 53699500000.0 1518850000000.0 9881.45 138304000000.0 19729000000000.0 36437900000000.0 1174880.0 63566900.0 338414000.0 42711200000.0 -4.98 4.569 [-4.98]
39810700000000.0 1.66114e+18 2252210000.0 368844000000.0 1511170000000.0 57357600000.0 1505980000000.0 11065.7 148418000000.0 18878400000000.0 33155700000000.0 1402970.0 74169100.0 381821000.0 45628300000.0 -4.96 4.564 [-4.96]
39810700000000.0 1.57246e+18 2446620000.0 390119000000.0 1537560000000.0 61204500000.0 1490980000000.0 12391.9 159086000000.0 18026200000000.0 30113400000000.0 1671970.0 86394900.0 430095000.0 48672300000.0 -4.94 4.56 [-4.94]
39810700000000.0 1.48879e+18 2654940000.0 412113000000.0 1562570000000.0 65242300000.0 1473900000000.0 13876.0 170313000000.0 17175500000000.0 27299000000000.0 1988580.0 100470000.0 483700000.0 51842800000.0 -4.92 4.555 [-4.92]
39810700000000.0 1.4098e+18 2878010000.0 434823000000.0 1586120000000.0 69474000000.0 1454760000000.0 15536.9 182104000000.0 16329700000000.0 24700900000000.0 2360530.0 116649000.0 543124000.0 55138600000.0 -4.9 4.55 [-4.9]
39810700000000.0 1.33522e+18 3116370000.0 458225000000.0 1608190000000.0 73895600000.0 1433620000000.0 17391.2 194448000000.0 15492000000000.0 22307500000000.0 2796450.0 135211000.0 608895000.0 58557500000.0 -4.88 4.546 [-4.88]
39810700000000.0 1.26477e+18 3371070000.0 482322000000.0 1628700000000.0 78510500000.0 1410540000000.0 19464.2 207353000000.0 14665400000000.0 20107400000000.0 3306510.0 156476000.0 681568000.0 62097100000.0 -4.86 4.541 [-4.86]
39810700000000.0 1.19825e+18 3643210000.0 507109000000.0 1647610000000.0 83320900000.0 1385570000000.0 21784.6 220828000000.0 13852700000000.0 18090000000000.0 3902160.0 180797000.0 761698000.0 65753000000.0 -4.84 4.537 [-4.84]
39810700000000.0 1.13537e+18 3933130000.0 532547000000.0 1664890000000.0 88315400000.0 1358790000000.0 24372.4 234839000000.0 13056600000000.0 16243400000000.0 4596230.0 208567000.0 849965000.0 69522400000.0 -4.82 4.532 [-4.82]
39810700000000.0 1.0759e+18 4241690000.0 558615000000.0 1680480000000.0 93489200000.0 1330280000000.0 27257.9 249376000000.0 12279500000000.0 14556800000000.0 5403370.0 240224000.0 947034000.0 73400200000.0 -4.8 4.528 [-4.8]
39810700000000.0 1.01966e+18 4569680000.0 585285000000.0 1694340000000.0 98835400000.0 1300130000000.0 30474.1 264422000000.0 11523500000000.0 13019900000000.0 6340110.0 276252000.0 1053610000.0 77380700000.0 -4.78 4.524 [-4.78]
39810700000000.0 9.6645e+17 4917800000.0 612522000000.0 1706440000000.0 104344000000.0 1268440000000.0 34055.8 279956000000.0 10790700000000.0 11622600000000.0 7425000.0 317186000.0 1170450000.0 81457200000.0 -4.76 4.52 [-4.76]
39810700000000.0 9.16099e+17 5286910000.0 640294000000.0 1716740000000.0 110005000000.0 1235320000000.0 38044.8 295960000000.0 10082700000000.0 10355000000000.0 8678980.0 363619000.0 1298320000.0 85622000000.0 -4.74 4.516 [-4.74]
39810700000000.0 8.68441e+17 5677630000.0 668552000000.0 1725190000000.0 115806000000.0 1200880000000.0 42484.1 312404000000.0 9400930000000.0 9207860000000.0 10125300.0 416197000.0 1438040000.0 89866500000.0 -4.72 4.511 [-4.72]
39810700000000.0 8.23322e+17 6090640000.0 697251000000.0 1731780000000.0 121731000000.0 1165250000000.0 47423.3 329262000000.0 8746620000000.0 8171970000000.0 11790100.0 475635000.0 1590470000.0 94181300000.0 -4.7 4.507 [-4.7]
39810700000000.0 7.80599e+17 6526560000.0 726336000000.0 1736460000000.0 127765000000.0 1128570000000.0 52917.0 346503000000.0 8120680000000.0 7238710000000.0 13702200.0 542714000.0 1756500000.0 98555900000.0 -4.68 4.503 [-4.68]
39810700000000.0 7.40136e+17 6985930000.0 755748000000.0 1739220000000.0 133890000000.0 1090970000000.0 59026.4 364094000000.0 7523740000000.0 6399820000000.0 15893900.0 618285000.0 1937040000.0 102979000000.0 -4.66 4.499 [-4.66]
39810700000000.0 7.01799e+17 7469010000.0 785413000000.0 1740010000000.0 140083000000.0 1052590000000.0 65816.6 381996000000.0 6956210000000.0 5647400000000.0 18400500.0 703275000.0 2133070000.0 107438000000.0 -4.64 4.495 [-4.64]
39810700000000.0 6.65482e+17 7976500000.0 815270000000.0 1738830000000.0 146328000000.0 1013590000000.0 73368.2 400181000000.0 6418330000000.0 4974130000000.0 21261300.0 798690000.0 2345520000.0 111919000000.0 -4.62 4.491 [-4.62]
39810700000000.0 6.31075e+17 8508820000.0 845246000000.0 1735660000000.0 152603000000.0 974123000000.0 81768.4 418613000000.0 5910050000000.0 4373070000000.0 24519400.0 905624000.0 2575380000.0 116409000000.0 -4.6 4.487 [-4.6]
39810700000000.0 5.98467e+17 9065950000.0 875249000000.0 1730470000000.0 158882000000.0 934336000000.0 91110.0 437249000000.0 5431130000000.0 3837600000000.0 28221700.0 1025250000.0 2823680000.0 120891000000.0 -4.58 4.483 [-4.58]
39810700000000.0 5.67565e+17 9648220000.0 905197000000.0 1723270000000.0 165145000000.0 894388000000.0 101505.0 456055000000.0 4981180000000.0 3361650000000.0 32419900.0 1158830000.0 3091400000.0 125350000000.0 -4.56 4.48 [-4.56]
39810700000000.0 5.38273e+17 10255900000.0 935009000000.0 1714040000000.0 171369000000.0 854420000000.0 113080.0 474999000000.0 4559520000000.0 2939400000000.0 37171500.0 1307770000.0 3379600000.0 129769000000.0 -4.54 4.476 [-4.54]
39810700000000.0 5.1052e+17 10888400000.0 964560000000.0 1702790000000.0 177525000000.0 814614000000.0 125962.0 494023000000.0 4165750000000.0 2565870000000.0 42532900.0 1473400000.0 3689110000.0 134128000000.0 -4.52 4.472 [-4.52]
39810700000000.0 4.8421e+17 11546200000.0 993776000000.0 1689520000000.0 183593000000.0 775086000000.0 140322.0 513108000000.0 3798720000000.0 2235890000000.0 48574100.0 1657370000.0 4021050000.0 138412000000.0 -4.5 4.468 [-4.5]
39810700000000.0 4.59269e+17 12228700000.0 1022540000000.0 1674230000000.0 189549000000.0 735983000000.0 156332.0 532207000000.0 3457580000000.0 1945040000000.0 55364700.0 1861290000.0 4376350000.0 142600000000.0 -4.48 4.464 [-4.48]
