# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
999997000000000.0 2.87314e+19 1310370000000.0 588096000000000.0 4476040000000000.0 78113600000.0 79876500000000.0 3976520000000000.0 3124970.0 223117000000000.0 4.63638e+16 4.83694e+16 33088600.0 1366720000.0 156721000000.0 2142970000000.0 162692000000000.0 -5.0 [-5.0]
999997000000000.0 2.69788e+19 1391650000000.0 609753000000000.0 4540020000000000.0 86406900000.0 86298700000000.0 3911630000000000.0 3770380.0 245703000000000.0 4.38164e+16 4.31248e+16 38168000.0 1553880000.0 178060000000.0 2444850000000.0 173699000000000.0 -4.98 [-4.98]
999998000000000.0 2.53269e+19 1479840000000.0 631589000000000.0 4598740000000000.0 95770400000.0 93197700000000.0 3839820000000000.0 4565910.0 270212000000000.0 4.12897e+16 3.83377e+16 44055000.0 1763330000.0 201831000000.0 2785440000000.0 185126000000000.0 -4.96 [-4.96]
999996000000000.0 2.37687e+19 1575920000000.0 653653000000000.0 4652090000000000.0 106366000000.0 100608000000000.0 3761250000000000.0 5548650.0 296768000000000.0 3.87926e+16 3.39746e+16 50887000.0 1997580000.0 228256000000.0 3169400000000.0 196964000000000.0 -4.94 [-4.94]
999999000000000.0 2.22993e+19 1681190000000.0 676050000000000.0 4699870000000000.0 118387000000.0 108556000000000.0 3676090000000000.0 6764550.0 325441000000000.0 3.63346e+16 3.00123e+16 58837400.0 2259890000.0 257586000000.0 3601610000000.0 209188000000000.0 -4.92 [-4.92]
999999000000000.0 2.09082e+19 1796360000000.0 698687000000000.0 4741790000000000.0 132029000000.0 117064000000000.0 3584060000000000.0 8271460.0 356271000000000.0 3.39197e+16 2.64173e+16 68074900.0 2552100000.0 290002000000.0 4089200000000.0 221812000000000.0 -4.9 [-4.9]
1000000000000000.0 1.95949e+19 1923840000000.0 721865000000000.0 4777490000000000.0 147580000000.0 126161000000000.0 3485570000000000.0 10140200.0 389310000000000.0 3.15608e+16 2.31722e+16 78873000.0 2880000000.0 325862000000.0 4637100000000.0 234771000000000.0 -4.88 [-4.88]
999998000000000.0 1.83494e+19 2065090000000.0 745599000000000.0 4806810000000000.0 165338000000.0 135884000000000.0 3380470000000000.0 12465500.0 424650000000000.0 2.92593e+16 2.02416e+16 91492100.0 3247100000.0 365438000000.0 5254650000000.0 248074000000000.0 -4.86 [-4.86]
999998000000000.0 1.71695e+19 2222970000000.0 770199000000000.0 4829380000000000.0 185677000000.0 146265000000000.0 3269090000000000.0 15360300.0 462304000000000.0 2.70241e+16 1.76069e+16 106313000.0 3660940000.0 409164000000.0 5949250000000.0 261664000000000.0 -4.84 [-4.84]
999998000000000.0 1.60501e+19 2400510000000.0 795905000000000.0 4844580000000000.0 209032000000.0 157322000000000.0 3151380000000000.0 18970200.0 502231000000000.0 2.48615e+16 1.52449e+16 123773000.0 4129760000.0 457532000000.0 6731010000000.0 275510000000000.0 -4.82 [-4.82]
999998000000000.0 1.49835e+19 2601500000000.0 822997000000000.0 4851840000000000.0 235968000000.0 169097000000000.0 3027220000000000.0 23489600.0 544446000000000.0 2.27715e+16 1.31289e+16 144424000.0 4663690000.0 511138000000.0 7613520000000.0 289594000000000.0 -4.8 [-4.8]
999995000000000.0 1.39646e+19 2831420000000.0 852005000000000.0 4850450000000000.0 267166000000.0 181627000000000.0 2896470000000000.0 29164900.0 588894000000000.0 2.07572e+16 1.12383e+16 168990000.0 5278730000.0 570916000000.0 8611950000000.0 303879000000000.0 -4.78 [-4.78]
999994000000000.0 1.29896e+19 3097740000000.0 883674000000000.0 4839460000000000.0 303465000000.0 194936000000000.0 2759120000000000.0 36311900.0 635389000000000.0 1.88242e+16 9555620000000000.0 198446000.0 5997530000.0 638105000000.0 9743560000000.0 318305000000000.0 -4.76 [-4.76]
999994000000000.0 1.20551e+19 3410380000000.0 919012000000000.0 4817660000000000.0 345860000000.0 209028000000000.0 2615160000000000.0 45334900.0 683666000000000.0 1.69762e+16 8064330000000000.0 234092000.0 6855260000.0 714693000000.0 11028100000000.0 332791000000000.0 -4.74 [-4.74]
1000000000000000.0 1.11542e+19 3783070000000.0 959223000000000.0 4783140000000000.0 395637000000.0 223895000000000.0 2464140000000000.0 56791700.0 733315000000000.0 1.52127e+16 6745600000000000.0 277708000.0 7903330000.0 803622000000.0 12494600000000.0 347281000000000.0 -4.72 [-4.72]
1000000000000000.0 1.02784e+19 4237730000000.0 1006470000000000.0 4733880000000000.0 454724000000.0 239640000000000.0 2305180000000000.0 71490000.0 784117000000000.0 1.35269e+16 5578900000000000.0 331967000.0 9226460000.0 909808000000.0 14187000000000.0 361712000000000.0 -4.7 [-4.7]
999997000000000.0 9.41897e+18 4805730000000.0 1063340000000000.0 4665120000000000.0 525260000000.0 256094000000000.0 2137220000000000.0 90508900.0 834726000000000.0 1.19168e+16 4548840000000000.0 400892000.0 10962600000.0 1040830000000.0 16157200000000.0 375987000000000.0 -4.68 [-4.68]
999994000000000.0 8.5596e+18 5543900000000.0 1134590000000000.0 4570460000000000.0 610996000000.0 273247000000000.0 1957680000000000.0 115655000.0 883854000000000.0 1.0367e+16 3634920000000000.0 491448000.0 13371600000.0 1210860000000.0 18506200000000.0 390020000000000.0 -4.66 [-4.66]
999993000000000.0 7.67731e+18 6556400000000.0 1228100000000000.0 4438020000000000.0 717499000000.0 290829000000000.0 1762240000000000.0 149981000.0 928687000000000.0 8854800000000000.0 2817880000000000.0 616832000.0 16981300000.0 1446660000000.0 21405600000000.0 403614000000000.0 -4.64 [-4.64]
1000000000000000.0 6.7259e+18 8070960000000.0 1358290000000000.0 4241190000000000.0 854338000000.0 307841000000000.0 1542310000000000.0 199704000.0 962617000000000.0 7328080000000000.0 2071550000000000.0 807417000.0 23081600000.0 1806130000000.0 25228000000000.0 416314000000000.0 -4.62 [-4.62]
1000000000000000.0 5.81228e+18 10143400000000.0 1512840000000000.0 3984200000000000.0 1011400000000.0 320878000000000.0 1324660000000000.0 267721000.0 980411000000000.0 5913090000000000.0 1468410000000000.0 1090500000.0 33091000000.0 2312440000000.0 29811600000000.0 425183000000000.0 -4.6 [-4.6]
1000000000000000.0 5.11128e+18 12356100000000.0 1647300000000000.0 3735540000000000.0 1160300000000.0 329070000000000.0 1152750000000000.0 347094000.0 992439000000000.0 4807850000000000.0 1067750000000000.0 1441020000.0 46210000000.0 2865290000000.0 34173500000000.0 428341000000000.0 -4.58 [-4.58]
1000000000000000.0 4.44923e+18 15150100000000.0 1780140000000000.0 3443220000000000.0 1317760000000.0 331707000000000.0 992098000000000.0 454190000.0 993660000000000.0 3786040000000000.0 748387000000000.0 1943650000.0 66316500000.0 3546160000000.0 39116000000000.0 426369000000000.0 -4.56 [-4.56]
1000000000000000.0 3.82636e+18 18678400000000.0 1899960000000000.0 3108400000000000.0 1479440000000.0 327411000000000.0 845082000000000.0 604066000.0 986603000000000.0 2849880000000000.0 499118000000000.0 2693340000.0 97750100000.0 4356490000000.0 44649000000000.0 417827000000000.0 -4.54 [-4.54]
1000000000000000.0 3.25618e+18 22966800000000.0 1989000000000000.0 2744070000000000.0 1639720000000.0 315671000000000.0 714390000000000.0 820853000.0 978262000000000.0 2033190000000000.0 315073000000000.0 3838870000.0 146369000000.0 5266340000000.0 50573100000000.0 401586000000000.0 -4.52 [-4.52]
1000000000000000.0 2.77364e+18 27571800000000.0 2030780000000000.0 2390150000000000.0 1795440000000.0 299384000000000.0 603779000000000.0 1127470000.0 978959000000000.0 1402050000000000.0 193537000000000.0 5486670000.0 215459000000.0 6196230000000.0 56242200000000.0 378944000000000.0 -4.5 [-4.5]
1000000000000000.0 2.39907e+18 31772100000000.0 2027680000000000.0 2086720000000000.0 1950260000000.0 283660000000000.0 513866000000000.0 1527690000.0 991979000000000.0 975323000000000.0 121621000000000.0 7560150000.0 302382000000.0 7075600000000.0 60977800000000.0 353891000000000.0 -4.48 [-4.48]
1000000000000000.0 2.11397e+18 35254000000000.0 1995390000000000.0 1839440000000000.0 2109280000000.0 270819000000000.0 440896000000000.0 2015570000.0 1011890000000000.0 699974000000000.0 79919200000000.0 9915590000.0 403884000000.0 7894090000000.0 64660700000000.0 329408000000000.0 -4.46 [-4.46]
1000000000000000.0 1.88904e+18 38098000000000.0 1946980000000000.0 1635270000000000.0 2275180000000.0 260500000000000.0 380247000000000.0 2595670000.0 1033390000000000.0 516675000000000.0 54473500000000.0 12492800000.0 520222000000.0 8669890000000.0 67500500000000.0 306236000000000.0 -4.44 [-4.44]
1000000000000000.0 1.70529e+18 40421700000000.0 1889430000000000.0 1463100000000000.0 2448530000000.0 251994000000000.0 329053000000000.0 3276820000.0 1053650000000000.0 389905000000000.0 38188800000000.0 15266500000.0 652529000000.0 9414030000000.0 69677300000000.0 284476000000000.0 -4.42 [-4.42]
1000000000000000.0 1.55019e+18 42335000000000.0 1826480000000000.0 1314770000000000.0 2629820000000.0 244642000000000.0 285230000000000.0 4075040000.0 1071480000000000.0 298862000000000.0 27291000000000.0 18239300000.0 803014000000.0 10133400000000.0 71324400000000.0 263949000000000.0 -4.4 [-4.4]
999992000000000.0 1.41684e+18 43899600000000.0 1760430000000000.0 1185470000000000.0 2818300000000.0 238075000000000.0 247544000000000.0 5004250000.0 1086260000000000.0 231950000000000.0 19804700000000.0 21396600000.0 973002000000.0 10827100000000.0 72516200000000.0 244610000000000.0 -4.38 [-4.38]
