H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.98107e+13	1.16241e+18	5.36676e+10	2.28071e+13	1.62846e+14	3.23736e+09	3.09749e+12	1.48055e+14	1.27371e+05	8.44785e+12	1.82370e+15	2.10117e+15	1.38762e+06	5.55959e+07	5.97819e+09	7.58999e+10	6.02828e+12
3.98107e+13	1.09226e+18	5.68002e+10	2.36401e+13	1.65197e+14	3.56186e+09	3.33934e+12	1.45943e+14	1.52375e+05	9.29194e+12	1.72940e+15	1.88190e+15	1.59817e+06	6.34057e+07	6.81312e+09	8.66615e+10	6.44524e+12
3.98107e+13	1.02595e+18	6.01423e+10	2.44713e+13	1.67378e+14	3.92494e+09	3.59898e+12	1.43591e+14	1.83001e+05	1.02096e+13	1.63529e+15	1.68043e+15	1.84024e+06	7.21171e+07	7.74518e+09	9.88538e+10	6.88044e+12
3.98107e+13	9.63423e+17	6.37548e+10	2.53068e+13	1.69375e+14	4.33358e+09	3.87769e+12	1.41003e+14	2.20629e+05	1.12046e+13	1.54187e+15	1.49617e+15	2.12000e+06	8.18588e+07	8.78392e+09	1.12612e+11	7.33228e+12
3.98107e+13	9.04438e+17	6.76744e+10	2.61479e+13	1.71185e+14	4.79450e+09	4.17662e+12	1.38182e+14	2.66960e+05	1.22809e+13	1.44947e+15	1.32803e+15	2.44368e+06	9.27397e+07	9.93875e+09	1.28127e+11	7.80036e+12
3.98107e+13	8.48786e+17	7.19513e+10	2.69976e+13	1.72798e+14	5.31563e+09	4.49688e+12	1.35130e+14	3.24057e+05	1.34392e+13	1.35823e+15	1.17545e+15	2.81902e+06	1.04899e+08	1.12201e+10	1.45596e+11	8.28367e+12
3.98107e+13	7.96148e+17	7.66217e+10	2.78547e+13	1.74209e+14	5.90573e+09	4.83959e+12	1.31846e+14	3.94679e+05	1.46869e+13	1.26876e+15	1.03637e+15	3.25416e+06	1.18450e+08	1.26377e+10	1.65284e+11	8.78210e+12
3.98107e+13	7.46372e+17	8.17595e+10	2.87255e+13	1.75406e+14	6.57599e+09	5.20587e+12	1.28333e+14	4.82100e+05	1.60239e+13	1.18116e+15	9.10415e+14	3.76020e+06	1.33585e+08	1.42036e+10	1.87437e+11	9.29412e+12
3.98107e+13	6.99233e+17	8.74382e+10	2.96142e+13	1.76381e+14	7.33926e+09	5.59695e+12	1.24590e+14	5.90528e+05	1.74523e+13	1.09568e+15	7.96589e+14	4.34986e+06	1.50505e+08	1.59310e+10	2.12368e+11	9.81880e+12
3.98107e+13	6.54540e+17	9.37527e+10	3.05279e+13	1.77120e+14	8.21091e+09	6.01397e+12	1.20619e+14	7.25236e+05	1.89728e+13	1.01253e+15	6.93991e+14	5.03894e+06	1.69478e+08	1.78350e+10	2.40423e+11	1.03547e+13
3.98107e+13	6.12118e+17	1.00827e+11	3.14766e+13	1.77611e+14	9.20967e+09	6.45813e+12	1.16420e+14	8.92931e+05	2.05854e+13	9.31955e+14	6.01780e+14	5.84727e+06	1.90859e+08	1.99352e+10	2.71997e+11	1.09003e+13
3.98107e+13	5.71794e+17	1.08811e+11	3.24730e+13	1.77831e+14	1.03572e+10	6.93029e+12	1.11994e+14	1.10200e+06	2.22879e+13	8.54128e+14	5.19156e+14	6.79933e+06	2.15115e+08	2.22559e+10	3.07539e+11	1.14535e+13
3.98107e+13	5.33232e+17	1.17893e+11	3.35298e+13	1.77760e+14	1.16828e+10	7.43240e+12	1.07323e+14	1.36402e+06	2.40808e+13	7.79004e+14	4.45061e+14	7.92493e+06	2.42774e+08	2.48259e+10	3.47767e+11	1.20145e+13
3.98107e+13	4.96316e+17	1.28366e+11	3.46753e+13	1.77364e+14	1.32213e+10	7.96540e+12	1.02406e+14	1.69332e+06	2.59572e+13	7.06761e+14	3.78928e+14	9.26654e+06	2.74812e+08	2.76953e+10	3.93335e+11	1.25804e+13
3.98107e+13	4.60891e+17	1.40612e+11	3.59462e+13	1.76602e+14	1.50156e+10	8.52998e+12	9.72361e+13	2.10854e+06	2.79077e+13	6.37525e+14	3.20126e+14	1.08801e+07	3.12633e+08	3.09374e+10	4.45067e+11	1.31481e+13
3.98107e+13	4.26739e+17	1.55171e+11	3.73910e+13	1.75415e+14	1.71207e+10	9.12665e+12	9.17986e+13	2.63492e+06	2.99187e+13	5.71321e+14	2.67956e+14	1.28429e+07	3.58366e+08	3.46648e+10	5.04070e+11	1.37147e+13
3.98107e+13	3.93581e+17	1.72845e+11	3.90809e+13	1.73717e+14	1.96102e+10	9.75573e+12	8.60645e+13	3.30744e+06	3.19695e+13	5.08058e+14	2.21772e+14	1.52668e+07	4.15410e+08	3.90591e+10	5.71888e+11	1.42772e+13
3.98107e+13	3.61055e+17	1.94879e+11	4.11213e+13	1.71375e+14	2.25837e+10	1.04160e+13	7.99850e+13	4.17635e+06	3.40263e+13	4.47553e+14	1.80892e+14	1.83236e+07	4.89504e+08	4.44237e+10	6.50753e+11	1.48318e+13
3.98107e+13	3.28633e+17	2.23370e+11	4.36806e+13	1.68168e+14	2.61861e+10	1.11040e+13	7.34751e+13	5.31910e+06	3.60316e+13	3.89413e+14	1.44646e+14	2.23000e+07	5.91112e+08	5.12985e+10	7.44229e+11	1.53735e+13
3.98107e+13	2.95556e+17	2.62084e+11	4.70351e+13	1.63708e+14	3.06329e+10	1.18087e+13	6.63975e+13	6.86335e+06	3.78766e+13	3.32980e+14	1.12365e+14	2.77248e+07	7.41045e+08	6.06957e+10	8.58342e+11	1.58931e+13
3.98106e+13	2.60115e+17	3.19376e+11	5.17223e+13	1.57136e+14	3.63176e+10	1.24986e+13	5.84264e+13	9.07041e+06	3.93261e+13	2.76426e+14	8.30148e+13	3.57998e+07	9.89411e+08	7.48243e+10	1.00660e+12	1.63735e+13
3.98107e+13	2.22441e+17	4.07442e+11	5.81145e+13	1.47447e+14	4.34122e+10	1.30500e+13	4.96940e+13	1.23256e+07	3.99734e+13	2.19849e+14	5.71962e+13	4.87997e+07	1.44081e+09	9.69378e+10	1.20263e+12	1.67291e+13
