# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
39810700000000.0 1.16241e+18 53667600000.0 22807100000000.0 162846000000000.0 3237360000.0 3097490000000.0 148055000000000.0 127371.0 8447850000000.0 1823700000000000.0 2101170000000000.0 1387620.0 55595900.0 5978190000.0 75899900000.0 6028280000000.0 -5.0 [-5.0]
39810700000000.0 1.09226e+18 56800200000.0 23640100000000.0 165197000000000.0 3561860000.0 3339340000000.0 145943000000000.0 152375.0 9291940000000.0 1729400000000000.0 1881900000000000.0 1598170.0 63405700.0 6813120000.0 86661500000.0 6445240000000.0 -4.98 [-4.98]
39810700000000.0 1.02595e+18 60142300000.0 24471300000000.0 167378000000000.0 3924940000.0 3598980000000.0 143591000000000.0 183001.0 10209600000000.0 1635290000000000.0 1680430000000000.0 1840240.0 72117100.0 7745180000.0 98853800000.0 6880440000000.0 -4.96 [-4.96]
39810700000000.0 9.63423e+17 63754800000.0 25306800000000.0 169375000000000.0 4333580000.0 3877690000000.0 141003000000000.0 220629.0 11204600000000.0 1541870000000000.0 1496170000000000.0 2120000.0 81858800.0 8783920000.0 112612000000.0 7332280000000.0 -4.94 [-4.94]
39810700000000.0 9.04438e+17 67674400000.0 26147900000000.0 171185000000000.0 4794500000.0 4176620000000.0 138182000000000.0 266960.0 12280900000000.0 1449470000000000.0 1328030000000000.0 2443680.0 92739700.0 9938750000.0 128127000000.0 7800360000000.0 -4.92 [-4.92]
39810700000000.0 8.48786e+17 71951300000.0 26997600000000.0 172798000000000.0 5315630000.0 4496880000000.0 135130000000000.0 324057.0 13439200000000.0 1358230000000000.0 1175450000000000.0 2819020.0 104899000.0 11220100000.0 145596000000.0 8283670000000.0 -4.9 [-4.9]
39810700000000.0 7.96148e+17 76621700000.0 27854700000000.0 174209000000000.0 5905730000.0 4839590000000.0 131846000000000.0 394679.0 14686900000000.0 1268760000000000.0 1036370000000000.0 3254160.0 118450000.0 12637700000.0 165284000000.0 8782100000000.0 -4.88 [-4.88]
39810700000000.0 7.46372e+17 81759500000.0 28725500000000.0 175406000000000.0 6575990000.0 5205870000000.0 128333000000000.0 482100.0 16023900000000.0 1181160000000000.0 910415000000000.0 3760200.0 133585000.0 14203600000.0 187437000000.0 9294120000000.0 -4.86 [-4.86]
39810700000000.0 6.99233e+17 87438200000.0 29614200000000.0 176381000000000.0 7339260000.0 5596950000000.0 124590000000000.0 590528.0 17452300000000.0 1095680000000000.0 796589000000000.0 4349860.0 150505000.0 15931000000.0 212368000000.0 9818800000000.0 -4.84 [-4.84]
39810700000000.0 6.5454e+17 93752700000.0 30527900000000.0 177120000000000.0 8210910000.0 6013970000000.0 120619000000000.0 725236.0 18972800000000.0 1012530000000000.0 693991000000000.0 5038940.0 169478000.0 17835000000.0 240423000000.0 10354700000000.0 -4.82 [-4.82]
39810700000000.0 6.12118e+17 100827000000.0 31476600000000.0 177611000000000.0 9209670000.0 6458130000000.0 116420000000000.0 892931.0 20585400000000.0 931955000000000.0 601780000000000.0 5847270.0 190859000.0 19935200000.0 271997000000.0 10900300000000.0 -4.8 [-4.8]
39810700000000.0 5.71794e+17 108811000000.0 32473000000000.0 177831000000000.0 10357200000.0 6930290000000.0 111994000000000.0 1102000.0 22287900000000.0 854128000000000.0 519156000000000.0 6799330.0 215115000.0 22255900000.0 307539000000.0 11453500000000.0 -4.78 [-4.78]
39810700000000.0 5.33232e+17 117893000000.0 33529800000000.0 177760000000000.0 11682800000.0 7432400000000.0 107323000000000.0 1364020.0 24080800000000.0 779004000000000.0 445061000000000.0 7924930.0 242774000.0 24825900000.0 347767000000.0 12014500000000.0 -4.76 [-4.76]
39810700000000.0 4.96316e+17 128366000000.0 34675300000000.0 177364000000000.0 13221300000.0 7965400000000.0 102406000000000.0 1693320.0 25957200000000.0 706761000000000.0 378928000000000.0 9266540.0 274812000.0 27695300000.0 393335000000.0 12580400000000.0 -4.74 [-4.74]
39810700000000.0 4.60891e+17 140612000000.0 35946200000000.0 176602000000000.0 15015600000.0 8529980000000.0 97236100000000.0 2108540.0 27907700000000.0 637525000000000.0 320126000000000.0 10880100.0 312633000.0 30937400000.0 445067000000.0 13148100000000.0 -4.72 [-4.72]
39810700000000.0 4.26739e+17 155171000000.0 37391000000000.0 175415000000000.0 17120700000.0 9126650000000.0 91798600000000.0 2634920.0 29918700000000.0 571321000000000.0 267956000000000.0 12842900.0 358366000.0 34664800000.0 504070000000.0 13714700000000.0 -4.7 [-4.7]
39810700000000.0 3.93581e+17 172845000000.0 39080900000000.0 173717000000000.0 19610200000.0 9755730000000.0 86064500000000.0 3307440.0 31969500000000.0 508058000000000.0 221772000000000.0 15266800.0 415410000.0 39059100000.0 571888000000.0 14277200000000.0 -4.68 [-4.68]
39810700000000.0 3.61055e+17 194879000000.0 41121300000000.0 171375000000000.0 22583700000.0 10416000000000.0 79985000000000.0 4176350.0 34026300000000.0 447553000000000.0 180892000000000.0 18323600.0 489504000.0 44423700000.0 650753000000.0 14831800000000.0 -4.66 [-4.66]
39810700000000.0 3.28633e+17 223370000000.0 43680600000000.0 168168000000000.0 26186100000.0 11104000000000.0 73475100000000.0 5319100.0 36031600000000.0 389413000000000.0 144646000000000.0 22300000.0 591112000.0 51298500000.0 744229000000.0 15373500000000.0 -4.64 [-4.64]
39810700000000.0 2.95556e+17 262084000000.0 47035100000000.0 163708000000000.0 30632900000.0 11808700000000.0 66397500000000.0 6863350.0 37876600000000.0 332980000000000.0 112365000000000.0 27724800.0 741045000.0 60695700000.0 858342000000.0 15893100000000.0 -4.62 [-4.62]
39810600000000.0 2.60115e+17 319376000000.0 51722300000000.0 157136000000000.0 36317600000.0 12498600000000.0 58426400000000.0 9070410.0 39326100000000.0 276426000000000.0 83014800000000.0 35799800.0 989411000.0 74824300000.0 1006600000000.0 16373500000000.0 -4.6 [-4.6]
39810700000000.0 2.22441e+17 407442000000.0 58114500000000.0 147447000000000.0 43412200000.0 13050000000000.0 49694000000000.0 12325600.0 39973400000000.0 219849000000000.0 57196200000000.0 48799700.0 1440810000.0 96937800000.0 1202630000000.0 16729100000000.0 -4.58 [-4.58]
39810700000000.0 1.95692e+17 495833000000.0 63307800000000.0 138550000000000.0 49758400000.0 13379100000000.0 43237400000000.0 15927700.0 40416800000000.0 178682000000000.0 41389800000000.0 64189500.0 2005260000.0 119954000000.0 1376460000000.0 16829600000000.0 -4.56 [-4.56]
39810600000000.0 1.70281e+17 608473000000.0 68546500000000.0 128011000000000.0 56487100000.0 13483200000000.0 37160700000000.0 20773000.0 40376900000000.0 140643000000000.0 28786700000000.0 86225600.0 2872180000.0 148437000000.0 1573440000000.0 16723100000000.0 -4.54 [-4.54]
39810600000000.0 1.4623e+17 752302000000.0 73365900000000.0 115766000000000.0 63386700000.0 13296300000000.0 31566600000000.0 27545200.0 39942800000000.0 105647000000000.0 18964200000000.0 119142000.0 4236260000.0 182490000000.0 1794170000000.0 16349000000000.0 -4.52 [-4.52]
39810600000000.0 1.23894e+17 931290000000.0 77048500000000.0 102103000000000.0 70207300000.0 12778300000000.0 26546500000000.0 37448700.0 39387100000000.0 74654300000000.0 11686500000000.0 170274000.0 6389230000.0 221035000000.0 2032800000000.0 15650300000000.0 -4.5 [-4.5]
39810700000000.0 1.04964e+17 1125490000000.0 78767500000000.0 88660100000000.0 76755600000.0 12054700000000.0 22307400000000.0 51613100.0 39214700000000.0 50698800000000.0 6960270000000.0 244887000.0 9488150000.0 260172000000.0 2260130000000.0 14684200000000.0 -4.48 [-4.48]
39810700000000.0 9.04998e+16 1299980000000.0 78591200000000.0 77230900000000.0 83196100000.0 11368800000000.0 18905900000000.0 70052800.0 39606800000000.0 34850000000000.0 4268590000000.0 338239000.0 13361100000.0 296445000000.0 2445060000000.0 13639800000000.0 -4.46 [-4.46]
39810700000000.0 7.95907e+16 1442750000000.0 77247100000000.0 67975200000000.0 89799700000.0 10814300000000.0 16161100000000.0 92488800.0 40309600000000.0 24783100000000.0 2753670000000.0 443431000.0 17859600000.0 329800000000.0 2585500000000.0 12636300000000.0 -4.44 [-4.44]
39810700000000.0 7.10506e+16 1557600000000.0 75273000000000.0 60376500000000.0 96680000000.0 10372600000000.0 13893600000000.0 119050000.0 41086400000000.0 18175300000000.0 1853890000000.0 557306000.0 22982300000.0 361114000000.0 2691010000000.0 11700800000000.0 -4.42 [-4.42]
39810700000000.0 6.40959e+16 1650340000000.0 72952600000000.0 53983900000000.0 103861000000.0 10008800000000.0 11986300000000.0 150166000.0 41817000000000.0 13644000000000.0 1288020000000.0 678865000.0 28786100000.0 390945000000.0 2769770000000.0 10830700000000.0 -4.4 [-4.4]
39810700000000.0 5.82478e+16 1725510000000.0 70431300000000.0 48489500000000.0 111345000000.0 9695640000000.0 10361400000000.0 186484000.0 42449700000000.0 10416700000000.0 915252000000.0 807907000.0 35351400000.0 419558000000.0 2827270000000.0 10017700000000.0 -4.38 [-4.38]
39810700000000.0 5.32303e+16 1786200000000.0 67803500000000.0 43706300000000.0 119113000000.0 9417010000000.0 8969790000000.0 228643000.0 42962300000000.0 8058570000000.0 661803000000.0 943859000.0 42735100000.0 446974000000.0 2866830000000.0 9257270000000.0 -4.36 [-4.36]
39810700000000.0 4.8857e+16 1834780000000.0 65128500000000.0 39500500000000.0 127150000000.0 9161790000000.0 7772970000000.0 277400000.0 43348600000000.0 6299310000000.0 485099000000.0 1086200000.0 50996800000.0 473162000000.0 2890920000000.0 8545190000000.0 -4.34 [-4.34]
