# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
2570390000000000.0 3.41323e+20 19954100000.0 6667770000000.0 65243900000000.0 912448000000.0 107150000000000.0 56258.2 2355560000000.0 2447250000000000.0 1.03196e+16 2290830.0 215591000.0 2334680000.0 791919000000.0 -5.0 4.656 [-5.0]
2570390000000000.0 3.21714e+20 22236100000.0 7242530000000.0 68000600000000.0 990096000000.0 108708000000000.0 62987.1 2563520000000.0 2415250000000000.0 9639130000000000.0 2845360.0 259792000.0 2713960000.0 868655000000.0 -4.98 4.649 [-4.98]
2570390000000000.0 3.03336e+20 24730400000.0 7851760000000.0 70758500000000.0 1073190000000.0 110132000000000.0 70524.6 2788090000000.0 2379480000000000.0 8991340000000000.0 3524170.0 312333000.0 3148400000.0 951166000000.0 -4.96 4.642 [-4.96]
2570390000000000.0 2.86102e+20 27453200000.0 8496650000000.0 73511200000000.0 1162080000000.0 111418000000000.0 78970.8 3030460000000.0 2340110000000000.0 8375570000000000.0 4353000.0 374662000.0 3645090000.0 1039740000000.0 -4.94 4.636 [-4.94]
2570390000000000.0 2.69938e+20 30422200000.0 9178160000000.0 76251500000000.0 1257160000000.0 112564000000000.0 88450.5 3291930000000.0 2297280000000000.0 7791310000000000.0 5362510.0 448447000.0 4211790000.0 1134630000000.0 -4.92 4.629 [-4.92]
2570390000000000.0 2.54769e+20 33656600000.0 9897580000000.0 78973100000000.0 1358840000000.0 113567000000000.0 99095.8 3573780000000.0 2251180000000000.0 7237690000000000.0 6589270.0 535630000.0 4857190000.0 1236140000000.0 -4.9 4.623 [-4.9]
2570390000000000.0 2.40528e+20 37173700000.0 10655200000000.0 81669600000000.0 1467440000000.0 114424000000000.0 111057.0 3877360000000.0 2202000000000000.0 6713900000000000.0 8076450.0 638435000.0 5590780000.0 1344530000000.0 -4.88 4.617 [-4.88]
2570390000000000.0 2.27151e+20 40995400000.0 11452200000000.0 84334500000000.0 1583400000000.0 115133000000000.0 124505.0 4204060000000.0 2149970000000000.0 6219090000000000.0 9875280.0 759433000.0 6423050000.0 1460060000000.0 -4.86 4.611 [-4.86]
2570390000000000.0 2.14582e+20 45143700000.0 12289400000000.0 86961800000000.0 1707150000000.0 115693000000000.0 139632.0 4555270000000.0 2095300000000000.0 5752320000000000.0 12046300.0 901583000.0 7365590000.0 1582990000000.0 -4.84 4.605 [-4.84]
2570390000000000.0 2.02766e+20 49642100000.0 13167800000000.0 89545300000000.0 1839110000000.0 116103000000000.0 156653.0 4932380000000.0 2038200000000000.0 5312750000000000.0 14660900.0 1068270000.0 8431010000.0 1713560000000.0 -4.82 4.6 [-4.82]
2570390000000000.0 1.91653e+20 54515300000.0 14088000000000.0 92079400000000.0 1979730000000.0 116360000000000.0 175809.0 5336770000000.0 1978920000000000.0 4899390000000000.0 17803000.0 1263390000.0 9633240000.0 1852010000000.0 -4.8 4.594 [-4.8]
2570390000000000.0 1.81197e+20 59794300000.0 15051900000000.0 94558500000000.0 2129580000000.0 116463000000000.0 197379.0 5769860000000.0 1917720000000000.0 4511230000000000.0 21571800.0 1491410000.0 10987600000.0 1998570000000.0 -4.78 4.589 [-4.78]
2570390000000000.0 1.71355e+20 65498400000.0 16058300000000.0 96977300000000.0 2288830000000.0 116413000000000.0 221653.0 6232960000000.0 1854840000000000.0 4147380000000000.0 26081800.0 1757370000.0 12510300000.0 2153420000000.0 -4.76 4.584 [-4.76]
2570390000000000.0 1.62087e+20 71661400000.0 17108700000000.0 99330800000000.0 2458040000000.0 116209000000000.0 248978.0 6727420000000.0 1790540000000000.0 3806830000000000.0 31468700.0 2067070000.0 14219500000.0 2316750000000.0 -4.74 4.579 [-4.74]
2570390000000000.0 1.53355e+20 78314100000.0 18203700000000.0 101614000000000.0 2637640000000.0 115850000000000.0 279728.0 7254380000000.0 1725060000000000.0 3488650000000000.0 37889700.0 2427080000.0 16134700000.0 2488710000000.0 -4.72 4.574 [-4.72]
2570390000000000.0 1.45127e+20 85489500000.0 19343900000000.0 103822000000000.0 2828040000000.0 115336000000000.0 314329.0 7815080000000.0 1658700000000000.0 3191850000000000.0 45528600.0 2844870000.0 18277100000.0 2669440000000.0 -4.7 4.569 [-4.7]
2570390000000000.0 1.37368e+20 93224000000.0 20529700000000.0 105950000000000.0 3029600000000.0 114669000000000.0 353246.0 8410470000000.0 1591700000000000.0 2915450000000000.0 54598300.0 3328920000.0 20669600000.0 2859030000000.0 -4.68 4.564 [-4.68]
2570390000000000.0 1.30051e+20 101551000000.0 21761400000000.0 107994000000000.0 3242690000000.0 113848000000000.0 397000.0 9041520000000.0 1524320000000000.0 2658520000000000.0 65345900.0 3888810000.0 23337100000.0 3057570000000.0 -4.66 4.559 [-4.66]
2570390000000000.0 1.23146e+20 110507000000.0 23039300000000.0 109950000000000.0 3467610000000.0 112875000000000.0 446163.0 9709010000000.0 1456850000000000.0 2420090000000000.0 78056800.0 4535360000.0 26306100000.0 3265080000000.0 -4.64 4.555 [-4.64]
2570390000000000.0 1.16628e+20 120132000000.0 24363600000000.0 111815000000000.0 3704630000000.0 111753000000000.0 501373.0 10413600000000.0 1389520000000000.0 2199250000000000.0 93060300.0 5280750000.0 29605500000.0 3481580000000.0 -4.62 4.55 [-4.62]
2570390000000000.0 1.1047e+20 130453000000.0 25733700000000.0 113585000000000.0 3953730000000.0 110481000000000.0 563197.0 11154800000000.0 1322570000000000.0 1994990000000000.0 110734000.0 6138740000.0 33267600000.0 3707070000000.0 -4.6 4.546 [-4.6]
2570390000000000.0 1.04656e+20 141533000000.0 27150500000000.0 115255000000000.0 4215540000000.0 109065000000000.0 632677.0 11934700000000.0 1256270000000000.0 1806570000000000.0 131516000.0 7124650000.0 37322500000.0 3941370000000.0 -4.58 4.541 [-4.58]
2570390000000000.0 9.9164e+19 153408000000.0 28613300000000.0 116824000000000.0 4489990000000.0 107507000000000.0 710596.0 12752800000000.0 1190830000000000.0 1633020000000000.0 155904000.0 8255750000.0 41806300000.0 4184380000000.0 -4.56 4.537 [-4.56]
2570390000000000.0 9.39734e+19 166125000000.0 30122100000000.0 118287000000000.0 4777160000000.0 105810000000000.0 797930.0 13609200000000.0 1126470000000000.0 1473500000000000.0 184470000.0 9551400000.0 46756700000.0 4435940000000.0 -4.54 4.533 [-4.54]
2570390000000000.0 8.90642e+19 179714000000.0 31675500000000.0 119642000000000.0 5076740000000.0 103979000000000.0 895599.0 14502700000000.0 1063370000000000.0 1327130000000000.0 217860000.0 11033100000.0 52214900000.0 4695860000000.0 -4.52 4.529 [-4.52]
2570390000000000.0 8.44223e+19 194236000000.0 33273100000000.0 120886000000000.0 5388820000000.0 102018000000000.0 1004950.0 15433800000000.0 1001730000000000.0 1193130000000000.0 256813000.0 12724600000.0 58220800000.0 4963760000000.0 -4.5 4.525 [-4.5]
2570390000000000.0 8.00305e+19 209727000000.0 34913600000000.0 122015000000000.0 5712970000000.0 99933300000000.0 1127180.0 16401200000000.0 941712000000000.0 1070670000000000.0 302165000.0 14652700000.0 64820700000.0 5239350000000.0 -4.48 4.521 [-4.48]
2570390000000000.0 7.5874e+19 226231000000.0 36595400000000.0 123028000000000.0 6048820000000.0 97729900000000.0 1263720.0 17404300000000.0 883470000000000.0 958954000000000.0 354862000.0 16846700000.0 72062100000.0 5522230000000.0 -4.46 4.517 [-4.46]
2570390000000000.0 7.19395e+19 243793000000.0 38317000000000.0 123921000000000.0 6395900000000.0 95415000000000.0 1416120.0 18441600000000.0 827121000000000.0 857292000000000.0 415969000.0 19339400000.0 79994700000.0 5811940000000.0 -4.44 4.513 [-4.44]
2570390000000000.0 6.82141e+19 262456000000.0 40076500000000.0 124693000000000.0 6753620000000.0 92995800000000.0 1586120.0 19511900000000.0 772774000000000.0 764969000000000.0 486683000.0 22166600000.0 88670800000.0 6107960000000.0 -4.42 4.509 [-4.42]
2570390000000000.0 6.46862e+19 282264000000.0 41871800000000.0 125340000000000.0 7121300000000.0 90480500000000.0 1775660.0 20613700000000.0 720521000000000.0 681305000000000.0 568349000.0 25368000000.0 98145100000.0 6409690000000.0 -4.4 4.505 [-4.4]
2570390000000000.0 6.13445e+19 303269000000.0 43701400000000.0 125862000000000.0 7498320000000.0 87877700000000.0 1986900.0 21745100000000.0 670436000000000.0 605654000000000.0 662474000.0 28987000000.0 108475000000.0 6716460000000.0 -4.38 4.501 [-4.38]
2570390000000000.0 5.81785e+19 325498000000.0 45560600000000.0 126255000000000.0 7883420000000.0 85196200000000.0 2222250.0 22904600000000.0 622568000000000.0 537388000000000.0 770732000.0 33071200000.0 119719000000.0 7027580000000.0 -4.36 4.497 [-4.36]
2570390000000000.0 5.51783e+19 348981000000.0 47446400000000.0 126517000000000.0 8275570000000.0 82445900000000.0 2484200.0 24089600000000.0 576963000000000.0 475909000000000.0 894963000.0 37672100000.0 131938000000.0 7342230000000.0 -4.34 4.494 [-4.34]
2570390000000000.0 5.2335e+19 373761000000.0 49355600000000.0 126648000000000.0 8673720000000.0 79636700000000.0 2775760.0 25298200000000.0 533636000000000.0 420670000000000.0 1037230000.0 42846300000.0 145197000000.0 7659540000000.0 -4.32 4.49 [-4.32]
2570390000000000.0 4.96401e+19 399874000000.0 51284600000000.0 126646000000000.0 9076710000000.0 76779100000000.0 3100290.0 26528100000000.0 492588000000000.0 371152000000000.0 1199830000.0 48655500000.0 159558000000.0 7978610000000.0 -4.3 4.486 [-4.3]
2570390000000000.0 4.70856e+19 427351000000.0 53229200000000.0 126508000000000.0 9483240000000.0 73884000000000.0 3461490.0 27777000000000.0 453811000000000.0 326855000000000.0 1385250000.0 55166000000.0 175089000000.0 8298420000000.0 -4.28 4.482 [-4.28]
2570390000000000.0 4.4664e+19 456216000000.0 55184700000000.0 126235000000000.0 9891920000000.0 70962000000000.0 3863520.0 29042500000000.0 417280000000000.0 287308000000000.0 1596250000.0 62449600000.0 191853000000.0 8617910000000.0 -4.26 4.478 [-4.26]
2570390000000000.0 4.23681e+19 486497000000.0 57146300000000.0 125824000000000.0 10301400000000.0 68024100000000.0 4311070.0 30322000000000.0 382955000000000.0 252087000000000.0 1835850000.0 70583800000.0 209921000000.0 8935990000000.0 -4.24 4.475 [-4.24]
2570390000000000.0 4.01915e+19 518209000000.0 59108800000000.0 125276000000000.0 10710100000000.0 65081300000000.0 4809400.0 31613000000000.0 350792000000000.0 220779000000000.0 2107320000.0 79651200000.0 229356000000.0 9251460000000.0 -4.22 4.471 [-4.22]
2570390000000000.0 3.81276e+19 551368000000.0 61066600000000.0 124590000000000.0 11116600000000.0 62144300000000.0 5364440.0 32912700000000.0 320732000000000.0 193013000000000.0 2414240000.0 89740700000.0 250225000000.0 9563090000000.0 -4.2 4.467 [-4.2]
2570390000000000.0 3.61707e+19 585985000000.0 63013900000000.0 123765000000000.0 11519500000000.0 59223700000000.0 5982860.0 34218600000000.0 292708000000000.0 168439000000000.0 2760490000.0 100947000000.0 272593000000.0 9869630000000.0 -4.18 4.464 [-4.18]
2570390000000000.0 3.43151e+19 622063000000.0 64944400000000.0 122803000000000.0 11917100000000.0 56329600000000.0 6672230.0 35527900000000.0 266647000000000.0 146739000000000.0 3150260000.0 113370000000.0 296523000000.0 10169800000000.0 -4.16 4.46 [-4.16]
2570390000000000.0 3.25556e+19 659602000000.0 66851700000000.0 121703000000000.0 12308100000000.0 53471800000000.0 7441080.0 36838000000000.0 242471000000000.0 127618000000000.0 3588060000.0 127118000000.0 322076000000.0 10462100000000.0 -4.14 4.456 [-4.14]
2570390000000000.0 3.08871e+19 698593000000.0 68729000000000.0 120467000000000.0 12690800000000.0 50659400000000.0 8299050.0 38146100000000.0 220098000000000.0 110802000000000.0 4078730000.0 142301000000.0 349305000000.0 10745400000000.0 -4.12 4.453 [-4.12]
2570390000000000.0 2.93049e+19 739022000000.0 70569500000000.0 119096000000000.0 13064000000000.0 47901100000000.0 9257040.0 39449700000000.0 199441000000000.0 96043600000000.0 4627420000.0 159038000000.0 378264000000.0 11018100000000.0 -4.1 4.449 [-4.1]
2570390000000000.0 2.78046e+19 780868000000.0 72365800000000.0 117593000000000.0 13426100000000.0 45204600000000.0 10327400.0 40746200000000.0 180414000000000.0 83115600000000.0 5239630000.0 177451000000.0 408996000000.0 11278900000000.0 -4.08 4.445 [-4.08]
2570390000000000.0 2.63819e+19 824100000000.0 74110600000000.0 115959000000000.0 13776000000000.0 42577200000000.0 11524000.0 42032900000000.0 162928000000000.0 71813000000000.0 5921190000.0 197667000000.0 441543000000.0 11526300000000.0 -4.06 4.442 [-4.06]
2570390000000000.0 2.50329e+19 868685000000.0 75796800000000.0 114197000000000.0 14112300000000.0 40025100000000.0 12862600.0 43307400000000.0 146892000000000.0 61949700000000.0 6678290000.0 219820000000.0 475936000000.0 11759000000000.0 -4.04 4.438 [-4.04]
2570390000000000.0 2.37537e+19 914585000000.0 77417000000000.0 112311000000000.0 14433900000000.0 37554100000000.0 14361300.0 44567000000000.0 132218000000000.0 53360900000000.0 7517430000.0 244047000000.0 512196000000.0 11975600000000.0 -4.02 4.434 [-4.02]
2570390000000000.0 2.25407e+19 961723000000.0 78962200000000.0 110306000000000.0 14739400000000.0 35168800000000.0 16039800.0 45809200000000.0 118819000000000.0 45897300000000.0 8445360000.0 270484000000.0 550335000000.0 12174800000000.0 -4.0 4.431 [-4.0]
2570390000000000.0 2.13906e+19 1010080000000.0 80428300000000.0 108184000000000.0 15028500000000.0 32873000000000.0 17921400.0 47031500000000.0 106609000000000.0 39422400000000.0 9469240000.0 299276000000.0 590357000000.0 12355300000000.0 -3.98 4.427 [-3.98]
2570390000000000.0 2.03e+19 1059570000000.0 81806400000000.0 105953000000000.0 15299900000000.0 30669900000000.0 20031600.0 48231700000000.0 95505500000000.0 33814400000000.0 10596300000.0 330563000000.0 632245000000.0 12515800000000.0 -3.96 4.424 [-3.96]
2570390000000000.0 1.92658e+19 1110120000000.0 83089500000000.0 103617000000000.0 15552800000000.0 28561700000000.0 22399400.0 49407500000000.0 85427900000000.0 28965300000000.0 11834200000.0 364486000000.0 675975000000.0 12655200000000.0 -3.94 4.42 [-3.94]
