H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
4.07380e+14	5.39130e+19	3.21736e+09	1.03856e+12	9.96105e+12	1.45917e+11	1.66092e+13	9.61172e+03	3.55021e+11	3.68200e+14	1.64989e+15	3.56802e+05	3.33519e+07	3.53100e+08	1.21595e+11
4.07380e+14	5.08072e+19	3.58778e+09	1.12867e+12	1.03856e+13	1.58333e+11	1.68550e+13	1.07619e+04	3.86506e+11	3.63821e+14	1.54222e+15	4.43689e+05	4.02173e+07	4.10634e+08	1.33418e+11
4.07380e+14	4.78961e+19	3.99281e+09	1.22426e+12	1.08107e+13	1.71612e+11	1.70800e+13	1.20480e+04	4.20500e+11	3.58875e+14	1.43960e+15	5.50164e+05	4.83844e+07	4.76584e+08	1.46139e+11
4.07380e+14	4.51668e+19	4.43504e+09	1.32547e+12	1.12351e+13	1.85808e+11	1.72838e+13	1.34878e+04	4.57193e+11	3.53385e+14	1.34196e+15	6.80296e+05	5.80792e+07	5.52025e+08	1.59799e+11
4.07380e+14	4.26066e+19	4.91723e+09	1.43248e+12	1.16580e+13	2.00978e+11	1.74659e+13	1.51006e+04	4.96776e+11	3.47372e+14	1.24919e+15	8.38949e+05	6.95640e+07	6.38162e+08	1.74445e+11
4.07380e+14	4.02042e+19	5.44228e+09	1.54541e+12	1.20782e+13	2.17181e+11	1.76258e+13	1.69087e+04	5.39450e+11	3.40859e+14	1.16119e+15	1.03190e+06	8.31422e+07	7.36322e+08	1.90118e+11
4.07380e+14	3.79490e+19	6.01333e+09	1.66442e+12	1.24948e+13	2.34476e+11	1.77631e+13	1.89371e+04	5.85419e+11	3.33872e+14	1.07784e+15	1.26600e+06	9.91638e+07	8.47971e+08	2.06861e+11
4.07380e+14	3.58302e+19	6.63344e+09	1.78963e+12	1.29068e+13	2.52920e+11	1.78775e+13	2.12111e+04	6.34862e+11	3.26440e+14	9.98983e+14	1.54939e+06	1.18034e+08	9.74759e+08	2.24720e+11
4.07380e+14	3.38403e+19	7.30660e+09	1.92120e+12	1.33131e+13	2.72596e+11	1.79687e+13	2.37685e+04	6.88075e+11	3.18595e+14	9.24536e+14	1.89165e+06	1.40213e+08	1.11840e+09	2.43730e+11
4.07380e+14	3.19702e+19	8.03641e+09	2.05925e+12	1.37129e+13	2.93564e+11	1.80366e+13	2.66428e+04	7.45242e+11	3.10366e+14	8.54345e+14	2.30408e+06	1.66236e+08	1.28088e+09	2.63930e+11
