# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
407380000000000.0 5.3913e+19 3217360000.0 1038560000000.0 9961050000000.0 145917000000.0 16609200000000.0 9611.72 355021000000.0 368200000000000.0 1649890000000000.0 356802.0 33351900.0 353100000.0 121595000000.0 -5.0 4.666 [-5.0]
407380000000000.0 5.08072e+19 3587780000.0 1128670000000.0 10385600000000.0 158333000000.0 16855000000000.0 10761.9 386506000000.0 363821000000000.0 1542220000000000.0 443689.0 40217300.0 410634000.0 133418000000.0 -4.98 4.659 [-4.98]
407380000000000.0 4.78961e+19 3992810000.0 1224260000000.0 10810700000000.0 171612000000.0 17080000000000.0 12048.0 420500000000.0 358875000000000.0 1439600000000000.0 550164.0 48384400.0 476584000.0 146139000000.0 -4.96 4.653 [-4.96]
407380000000000.0 4.51668e+19 4435040000.0 1325470000000.0 11235100000000.0 185808000000.0 17283800000000.0 13487.8 457193000000.0 353385000000000.0 1341960000000000.0 680296.0 58079200.0 552025000.0 159799000000.0 -4.94 4.646 [-4.94]
407380000000000.0 4.26066e+19 4917230000.0 1432480000000.0 11658000000000.0 200978000000.0 17465900000000.0 15100.6 496776000000.0 347372000000000.0 1249190000000000.0 838949.0 69564000.0 638162000.0 174445000000.0 -4.92 4.639 [-4.92]
407380000000000.0 4.02042e+19 5442280000.0 1545410000000.0 12078200000000.0 217181000000.0 17625800000000.0 16908.7 539450000000.0 340859000000000.0 1161190000000000.0 1031900.0 83142200.0 736322000.0 190118000000.0 -4.9 4.633 [-4.9]
407380000000000.0 3.7949e+19 6013330000.0 1664420000000.0 12494800000000.0 234476000000.0 17763100000000.0 18937.1 585419000000.0 333872000000000.0 1077840000000000.0 1266000.0 99163800.0 847971000.0 206861000000.0 -4.88 4.627 [-4.88]
407380000000000.0 3.58302e+19 6633440000.0 1789630000000.0 12906800000000.0 252920000000.0 17877500000000.0 21211.1 634862000000.0 326440000000000.0 998983000000000.0 1549390.0 118034000.0 974759000.0 224720000000.0 -4.86 4.621 [-4.86]
407380000000000.0 3.38403e+19 7306600000.0 1921200000000.0 13313100000000.0 272596000000.0 17968700000000.0 23768.5 688075000000.0 318595000000000.0 924536000000000.0 1891650.0 140213000.0 1118400000.0 243730000000.0 -4.84 4.615 [-4.84]
407380000000000.0 3.19702e+19 8036410000.0 2059250000000.0 13712900000000.0 293564000000.0 18036600000000.0 26642.8 745242000000.0 310366000000000.0 854345000000000.0 2304080.0 166236000.0 1280880000.0 263930000000.0 -4.82 4.609 [-4.82]
407380000000000.0 3.02116e+19 8826760000.0 2203890000000.0 14105300000000.0 315889000000.0 18080800000000.0 29873.1 806573000000.0 301785000000000.0 788264000000000.0 2800020.0 196713000.0 1464340000.0 285360000000.0 -4.8 4.604 [-4.8]
407380000000000.0 2.85573e+19 9681810000.0 2355250000000.0 14489400000000.0 339639000000.0 18101200000000.0 33503.6 872276000000.0 292886000000000.0 726145000000000.0 3395120.0 232344000.0 1671120000.0 308055000000.0 -4.78 4.598 [-4.78]
407380000000000.0 2.70006e+19 10606400000.0 2513450000000.0 14864300000000.0 364893000000.0 18097600000000.0 37589.1 942612000000.0 283708000000000.0 667854000000000.0 4107680.0 273923000.0 1903740000.0 332042000000.0 -4.76 4.593 [-4.76]
407380000000000.0 2.55352e+19 11604900000.0 2678590000000.0 15229300000000.0 391710000000.0 18070100000000.0 42182.1 1017750000000.0 274285000000000.0 613237000000000.0 4959180.0 322365000.0 2165020000.0 357356000000.0 -4.74 4.587 [-4.74]
407380000000000.0 2.41549e+19 12682700000.0 2850800000000.0 15583500000000.0 420166000000.0 18018500000000.0 47345.6 1097880000000.0 264653000000000.0 562153000000000.0 5974620.0 378703000.0 2457960000.0 384020000000.0 -4.72 4.582 [-4.72]
407380000000000.0 2.28545e+19 13844700000.0 3030130000000.0 15926400000000.0 450319000000.0 17943000000000.0 53150.3 1183210000000.0 254855000000000.0 514450000000000.0 7183140.0 444114000.0 2785840000.0 412056000000.0 -4.7 4.577 [-4.7]
407380000000000.0 2.16287e+19 15096900000.0 3216630000000.0 16257000000000.0 482230000000.0 17843500000000.0 59674.3 1273890000000.0 244925000000000.0 469986000000000.0 8618580.0 519928000.0 3152200000.0 441478000000.0 -4.68 4.572 [-4.68]
407380000000000.0 2.04729e+19 16444600000.0 3410370000000.0 16574800000000.0 515951000000.0 17720200000000.0 67002.6 1370070000000.0 234906000000000.0 428612000000000.0 10320200.0 607657000.0 3560870000.0 472302000000.0 -4.66 4.568 [-4.66]
407380000000000.0 1.93828e+19 17893900000.0 3611400000000.0 16879300000000.0 551543000000.0 17573200000000.0 75233.5 1471900000000.0 224836000000000.0 390188000000000.0 12333300.0 709004000.0 4015960000.0 504532000000.0 -4.64 4.563 [-4.64]
407380000000000.0 1.83541e+19 19451100000.0 3819730000000.0 17169600000000.0 589043000000.0 17402900000000.0 84472.6 1579490000000.0 214753000000000.0 354568000000000.0 14710300.0 825888000.0 4521890000.0 538170000000.0 -4.62 4.558 [-4.62]
407380000000000.0 1.73824e+19 21120500000.0 4035280000000.0 17445500000000.0 628445000000.0 17209300000000.0 94812.2 1692760000000.0 204695000000000.0 321598000000000.0 17511300.0 960484000.0 5083740000.0 573221000000.0 -4.6 4.554 [-4.6]
407380000000000.0 1.64658e+19 22914000000.0 4258290000000.0 17706000000000.0 669884000000.0 16993200000000.0 106442.0 1812120000000.0 194701000000000.0 291172000000000.0 20806100.0 1115200000.0 5705910000.0 609646000000.0 -4.58 4.549 [-4.58]
407380000000000.0 1.55995e+19 24833800000.0 4488480000000.0 17951000000000.0 713278000000.0 16754900000000.0 119450.0 1937260000000.0 184805000000000.0 263124000000000.0 24673300.0 1292770000.0 6394490000.0 647452000000.0 -4.56 4.545 [-4.56]
407380000000000.0 1.4781e+19 26888500000.0 4725880000000.0 18179900000000.0 758666000000.0 16494900000000.0 134013.0 2068300000000.0 175042000000000.0 237328000000000.0 29204100.0 1496230000.0 7155090000.0 686604000000.0 -4.54 4.54 [-4.54]
407380000000000.0 1.40076e+19 29087100000.0 4970420000000.0 18392100000000.0 806066000000.0 16213900000000.0 150331.0 2205310000000.0 165444000000000.0 213661000000000.0 34502100.0 1728980000.0 7993570000.0 727059000000.0 -4.52 4.536 [-4.52]
407380000000000.0 1.32763e+19 31435500000.0 5221990000000.0 18587200000000.0 855433000000.0 15912600000000.0 168574.0 2348070000000.0 156040000000000.0 191985000000000.0 40684700.0 1994810000.0 8916780000.0 768780000000.0 -4.5 4.532 [-4.5]
407380000000000.0 1.25846e+19 33939900000.0 5480280000000.0 18764900000000.0 906697000000.0 15591800000000.0 188948.0 2496460000000.0 146858000000000.0 172174000000000.0 47884800.0 2297910000.0 9931700000.0 811717000000.0 -4.48 4.528 [-4.48]
407380000000000.0 1.19302e+19 36608200000.0 5745160000000.0 18924600000000.0 959821000000.0 15252400000000.0 211691.0 2650350000000.0 137924000000000.0 154108000000000.0 56253300.0 2642950000.0 11045600000.0 855809000000.0 -4.46 4.524 [-4.46]
