H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.77828e+14	6.01757e+18	1.37699e+10	1.94308e+12	6.87639e+12	1.02212e+09	3.10696e+11	6.21361e+12	7.72366e+04	8.14374e+11	6.93742e+13	1.05071e+14	7.10941e+05	1.10318e+07	5.31142e+08	2.41422e+09	2.40580e+11	2.40930e+03	3.29732e+05
1.77828e+14	5.69869e+18	1.49071e+10	2.04759e+12	6.97237e+12	1.11500e+09	3.30414e+11	6.12255e+12	8.64186e+04	8.69397e+11	6.58038e+13	9.48763e+13	8.35111e+05	1.30642e+07	6.15640e+08	2.70697e+09	2.55494e+11	2.92563e+03	3.94776e+05
1.77828e+14	5.39759e+18	1.61215e+10	2.15514e+12	7.06150e+12	1.21528e+09	3.50986e+11	6.02306e+12	9.66828e+04	9.26914e+11	6.22810e+13	8.55070e+13	9.79331e+05	1.54409e+07	7.12433e+08	3.03045e+09	2.70932e+11	3.54970e+03	4.71463e+05
1.77828e+14	5.11323e+18	1.74176e+10	2.26568e+12	7.14355e+12	1.32342e+09	3.72405e+11	5.91543e+12	1.08158e+05	9.86913e+11	5.88182e+13	7.69155e+13	1.14658e+06	1.82148e+07	8.23122e+08	3.38724e+09	2.86876e+11	4.30326e+03	5.61664e+05
1.77828e+14	4.84444e+18	1.87976e+10	2.37906e+12	7.21833e+12	1.43966e+09	3.94633e+11	5.79994e+12	1.20958e+05	1.04929e+12	5.54263e+13	6.90518e+13	1.34006e+06	2.14454e+07	9.49500e+08	3.78029e+09	3.03312e+11	5.21208e+03	6.67559e+05
1.77828e+14	4.59031e+18	2.02655e+10	2.49518e+12	7.28565e+12	1.56442e+09	4.17646e+11	5.67697e+12	1.35232e+05	1.11399e+12	5.21158e+13	6.18706e+13	1.56348e+06	2.52004e+07	1.09355e+09	4.21261e+09	3.20218e+11	6.30701e+03	7.91618e+05
1.77828e+14	4.34998e+18	2.18247e+10	2.61390e+12	7.34533e+12	1.69804e+09	4.41409e+11	5.54692e+12	1.51139e+05	1.18094e+12	4.88960e+13	5.53277e+13	1.82100e+06	2.95558e+07	1.25748e+09	4.68733e+09	3.37568e+11	7.62470e+03	9.36658e+05
1.77828e+14	4.12261e+18	2.34790e+10	2.73507e+12	7.39716e+12	1.84092e+09	4.65884e+11	5.41022e+12	1.68865e+05	1.25005e+12	4.57749e+13	4.93792e+13	2.11730e+06	3.45984e+07	1.44374e+09	5.20784e+09	3.55334e+11	9.20897e+03	1.10591e+06
1.77828e+14	3.90749e+18	2.52310e+10	2.85848e+12	7.44101e+12	1.99330e+09	4.91012e+11	5.26736e+12	1.88599e+05	1.32121e+12	4.27606e+13	4.39845e+13	2.45746e+06	4.04226e+07	1.65496e+09	5.77755e+09	3.73478e+11	1.11110e+04	1.30301e+06
1.77828e+14	3.70390e+18	2.70841e+10	2.98395e+12	7.47669e+12	2.15550e+09	5.16739e+11	5.11887e+12	2.10566e+05	1.39431e+12	3.98587e+13	3.91030e+13	2.84726e+06	4.71365e+07	1.89412e+09	6.40016e+09	3.91966e+11	1.33922e+04	1.53210e+06
1.77828e+14	3.51118e+18	2.90413e+10	3.11125e+12	7.50407e+12	2.32780e+09	5.42998e+11	4.96530e+12	2.35012e+05	1.46922e+12	3.70744e+13	3.46957e+13	3.29308e+06	5.48600e+07	2.16445e+09	7.07949e+09	4.10754e+11	1.61250e+04	1.79789e+06
1.77828e+14	3.32871e+18	3.11055e+10	3.24013e+12	7.52302e+12	2.51041e+09	5.69718e+11	4.80723e+12	2.62214e+05	1.54581e+12	3.44114e+13	3.07259e+13	3.80199e+06	6.37264e+07	2.46950e+09	7.81949e+09	4.29796e+11	1.93949e+04	2.10571e+06
1.77828e+14	3.15589e+18	3.32781e+10	3.37029e+12	7.53341e+12	2.70347e+09	5.96809e+11	4.64525e+12	2.92467e+05	1.62392e+12	3.18725e+13	2.71580e+13	4.38163e+06	7.38826e+07	2.81311e+09	8.62433e+09	4.49042e+11	2.33024e+04	2.46157e+06
1.77828e+14	2.99219e+18	3.55615e+10	3.50144e+12	7.53513e+12	2.90712e+09	6.24188e+11	4.48000e+12	3.26116e+05	1.70339e+12	2.94594e+13	2.39587e+13	5.04055e+06	8.54918e+07	3.19951e+09	9.49827e+09	4.68437e+11	2.79664e+04	2.87224e+06
1.77828e+14	2.83712e+18	3.79578e+10	3.63326e+12	7.52809e+12	3.12152e+09	6.51766e+11	4.31217e+12	3.63554e+05	1.78409e+12	2.71730e+13	2.10967e+13	5.78816e+06	9.87335e+07	3.63325e+09	1.04455e+10	4.87921e+11	3.35263e+04	3.34532e+06
1.77828e+14	2.69022e+18	4.04683e+10	3.76541e+12	7.51223e+12	3.34674e+09	6.79444e+11	4.14238e+12	4.05215e+05	1.86585e+12	2.50130e+13	1.85420e+13	6.63473e+06	1.13805e+08	4.11927e+09	1.14705e+10	5.07430e+11	4.01461e+04	3.88934e+06
1.77828e+14	2.55103e+18	4.30941e+10	3.89751e+12	7.48748e+12	3.58282e+09	7.07125e+11	3.97133e+12	4.51588e+05	1.94851e+12	2.29786e+13	1.62669e+13	7.59145e+06	1.30922e+08	4.66290e+09	1.25777e+10	5.26897e+11	4.80175e+04	4.51387e+06
1.77828e+14	2.41913e+18	4.58356e+10	4.02915e+12	7.45380e+12	3.82974e+09	7.34702e+11	3.79969e+12	5.03227e+05	2.03189e+12	2.10677e+13	1.42451e+13	8.67052e+06	1.50321e+08	5.26985e+09	1.37716e+10	5.46249e+11	5.73654e+04	5.22958e+06
1.77828e+14	2.29415e+18	4.86932e+10	4.15994e+12	7.41120e+12	4.08749e+09	7.62071e+11	3.62811e+12	5.60755e+05	2.11582e+12	1.92781e+13	1.24524e+13	9.88487e+06	1.72257e+08	5.94629e+09	1.50566e+10	5.65414e+11	6.84431e+04	6.04742e+06
1.77828e+14	2.17573e+18	5.16652e+10	4.28939e+12	7.35968e+12	4.35588e+09	7.89116e+11	3.45729e+12	6.24853e+05	2.20011e+12	1.76070e+13	1.08666e+13	1.12484e+07	1.97000e+08	6.69856e+09	1.64369e+10	5.84307e+11	8.15549e+04	6.98073e+06
1.77828e+14	2.06347e+18	5.47529e+10	4.41712e+12	7.29926e+12	4.63500e+09	8.15750e+11	3.28777e+12	6.96364e+05	2.28464e+12	1.60499e+13	9.46609e+12	1.27776e+07	2.24865e+08	7.53401e+09	1.79172e+10	6.02856e+11	9.70637e+04	8.04470e+06
1.77828e+14	1.95708e+18	5.79537e+10	4.54261e+12	7.23000e+12	4.92464e+09	8.41856e+11	3.12020e+12	7.76168e+05	2.36920e+12	1.46032e+13	8.23211e+12	1.44884e+07	2.56169e+08	8.45985e+09	1.95015e+10	6.20971e+11	1.15378e+05	9.25523e+06
1.77828e+14	1.85624e+18	6.12656e+10	4.66539e+12	7.15201e+12	5.22466e+09	8.67332e+11	2.95514e+12	8.65290e+05	2.45364e+12	1.32626e+13	7.14707e+12	1.63987e+07	2.91256e+08	9.48389e+09	2.11936e+10	6.38568e+11	1.36975e+05	1.06301e+07
1.77828e+14	1.76066e+18	6.46859e+10	4.78495e+12	7.06540e+12	5.53487e+09	8.92079e+11	2.79312e+12	9.64886e+05	2.53777e+12	1.20233e+13	6.19489e+12	1.85276e+07	3.30499e+08	1.06143e+10	2.29972e+10	6.55558e+11	1.62408e+05	1.21889e+07
1.77828e+14	1.67005e+18	6.82132e+10	4.90084e+12	6.97031e+12	5.85526e+09	9.16010e+11	2.63459e+12	1.07632e+06	2.62147e+12	1.08801e+13	5.36073e+12	2.08961e+07	3.74308e+08	1.18602e+10	2.49161e+10	6.71856e+11	1.92325e+05	1.39537e+07
1.77828e+14	1.58418e+18	7.18397e+10	5.01243e+12	6.86697e+12	6.18532e+09	9.39012e+11	2.48010e+12	1.20097e+06	2.70450e+12	9.82869e+12	4.63177e+12	2.35238e+07	4.23067e+08	1.32296e+10	2.69524e+10	6.87364e+11	2.27443e+05	1.59469e+07
1.77828e+14	1.50278e+18	7.55626e+10	5.11927e+12	6.75559e+12	6.52497e+09	9.61008e+11	2.32998e+12	1.34057e+06	2.78671e+12	8.86369e+12	3.99574e+12	2.64340e+07	4.77233e+08	1.47321e+10	2.91088e+10	7.01997e+11	2.68618e+05	1.81947e+07
