H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
9.12010e+14	3.09352e+19	6.96505e+10	9.96485e+12	3.56822e+13	5.10373e+09	1.58411e+12	3.20763e+13	3.83219e+05	4.22694e+12	3.58048e+14	5.37004e+14	3.57123e+06	5.66483e+07	2.73788e+09	1.25638e+10	1.24606e+12	1.22425e+04	1.71904e+06
9.12010e+14	2.92957e+19	7.53922e+10	1.04997e+13	3.61774e+13	5.56763e+09	1.68471e+12	3.16028e+13	4.28769e+05	4.51161e+12	3.39473e+14	4.84984e+14	4.19433e+06	6.70689e+07	3.17289e+09	1.40860e+10	1.32317e+12	1.48680e+04	2.05758e+06
9.12010e+14	2.77493e+19	8.15380e+10	1.10507e+13	3.66370e+13	6.07001e+09	1.78987e+12	3.10862e+13	4.79903e+05	4.80989e+12	3.21177e+14	4.37193e+14	4.91899e+06	7.92554e+07	3.67110e+09	1.57666e+10	1.40294e+12	1.80428e+04	2.45642e+06
9.12011e+14	2.62883e+19	8.80929e+10	1.16169e+13	3.70599e+13	6.61141e+09	1.89931e+12	3.05276e+13	5.37037e+05	5.12090e+12	3.03212e+14	3.93351e+14	5.75911e+06	9.34750e+07	4.24075e+09	1.76204e+10	1.48533e+12	2.18765e+04	2.92549e+06
9.12011e+14	2.49070e+19	9.50722e+10	1.21975e+13	3.74451e+13	7.19345e+09	2.01289e+12	2.99286e+13	6.00795e+05	5.44431e+12	2.85634e+14	3.53208e+14	6.73097e+06	1.10033e+08	4.89102e+09	1.96623e+10	1.57024e+12	2.65006e+04	3.47602e+06
9.12011e+14	2.36011e+19	1.02496e+11	1.27921e+13	3.77916e+13	7.81817e+09	2.13048e+12	2.92910e+13	6.71923e+05	5.77981e+12	2.68494e+14	3.16541e+14	7.85332e+06	1.29275e+08	5.63212e+09	2.19079e+10	1.65756e+12	3.20722e+04	4.12082e+06
9.12010e+14	2.23659e+19	1.10380e+11	1.33999e+13	3.80983e+13	8.48738e+09	2.25191e+12	2.86170e+13	7.51232e+05	6.12703e+12	2.51838e+14	2.83123e+14	9.14694e+06	1.51590e+08	6.47531e+09	2.43735e+10	1.74716e+12	3.87779e+04	4.87448e+06
9.12010e+14	2.11974e+19	1.18744e+11	1.40202e+13	3.83644e+13	9.20280e+09	2.37696e+12	2.79089e+13	8.39621e+05	6.48549e+12	2.35707e+14	2.52734e+14	1.06351e+07	1.77416e+08	7.43307e+09	2.70763e+10	1.83888e+12	4.68396e+04	5.75366e+06
9.12010e+14	2.00916e+19	1.27602e+11	1.46520e+13	3.85890e+13	9.96603e+09	2.50537e+12	2.71691e+13	9.38089e+05	6.85469e+12	2.20137e+14	2.25162e+14	1.23439e+07	2.07244e+08	8.51915e+09	3.00345e+10	1.93254e+12	5.65205e+04	6.77731e+06
9.12010e+14	1.90450e+19	1.36976e+11	1.52944e+13	3.87713e+13	1.07789e+10	2.63689e+12	2.64003e+13	1.04780e+06	7.23414e+12	2.05155e+14	2.00200e+14	1.43026e+07	2.41630e+08	9.74886e+09	3.32672e+10	2.02797e+12	6.81345e+04	7.96706e+06
