# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
912010000000000.0 3.09352e+19 69650500000.0 9964850000000.0 35682200000000.0 5103730000.0 1584110000000.0 32076300000000.0 383219.0 4226940000000.0 358048000000000.0 537004000000000.0 3571230.0 56648300.0 2737880000.0 12563800000.0 1246060000000.0 12242.5 1719040.0 -5.0 [-5.0]
912010000000000.0 2.92957e+19 75392200000.0 10499700000000.0 36177400000000.0 5567630000.0 1684710000000.0 31602800000000.0 428769.0 4511610000000.0 339473000000000.0 484984000000000.0 4194330.0 67068900.0 3172890000.0 14086000000.0 1323170000000.0 14868.0 2057580.0 -4.98 [-4.98]
912010000000000.0 2.77493e+19 81538000000.0 11050700000000.0 36637000000000.0 6070010000.0 1789870000000.0 31086200000000.0 479903.0 4809890000000.0 321177000000000.0 437193000000000.0 4918990.0 79255400.0 3671100000.0 15766600000.0 1402940000000.0 18042.8 2456420.0 -4.96 [-4.96]
912011000000000.0 2.62883e+19 88092900000.0 11616900000000.0 37059900000000.0 6611410000.0 1899310000000.0 30527600000000.0 537037.0 5120900000000.0 303212000000000.0 393351000000000.0 5759110.0 93475000.0 4240750000.0 17620400000.0 1485330000000.0 21876.5 2925490.0 -4.94 [-4.94]
912011000000000.0 2.4907e+19 95072200000.0 12197500000000.0 37445100000000.0 7193450000.0 2012890000000.0 29928600000000.0 600795.0 5444310000000.0 285634000000000.0 353208000000000.0 6730970.0 110033000.0 4891020000.0 19662300000.0 1570240000000.0 26500.6 3476020.0 -4.92 [-4.92]
912011000000000.0 2.36011e+19 102496000000.0 12792100000000.0 37791600000000.0 7818170000.0 2130480000000.0 29291000000000.0 671923.0 5779810000000.0 268494000000000.0 316541000000000.0 7853320.0 129275000.0 5632120000.0 21907900000.0 1657560000000.0 32072.2 4120820.0 -4.9 [-4.9]
912010000000000.0 2.23659e+19 110380000000.0 13399900000000.0 38098300000000.0 8487380000.0 2251910000000.0 28617000000000.0 751232.0 6127030000000.0 251838000000000.0 283123000000000.0 9146940.0 151590000.0 6475310000.0 24373500000.0 1747160000000.0 38777.9 4874480.0 -4.88 [-4.88]
912010000000000.0 2.11974e+19 118744000000.0 14020200000000.0 38364400000000.0 9202800000.0 2376960000000.0 27908900000000.0 839621.0 6485490000000.0 235707000000000.0 252734000000000.0 10635100.0 177416000.0 7433070000.0 27076300000.0 1838880000000.0 46839.6 5753660.0 -4.86 [-4.86]
912010000000000.0 2.00916e+19 127602000000.0 14652000000000.0 38589000000000.0 9966030000.0 2505370000000.0 27169100000000.0 938089.0 6854690000000.0 220137000000000.0 225162000000000.0 12343900.0 207244000.0 8519150000.0 30034500000.0 1932540000000.0 56520.5 6777310.0 -4.84 [-4.84]
912010000000000.0 1.9045e+19 136976000000.0 15294400000000.0 38771300000000.0 10778900000.0 2636890000000.0 26400300000000.0 1047800.0 7234140000000.0 205155000000000.0 200200000000000.0 14302600.0 241630000.0 9748860000.0 33267200000.0 2027970000000.0 68134.5 7967060.0 -4.82 [-4.82]
912010000000000.0 1.80543e+19 146873000000.0 15946000000000.0 38910500000000.0 11642200000.0 2771110000000.0 25605600000000.0 1169910.0 7622990000000.0 190789000000000.0 177658000000000.0 16542400.0 281173000.0 11138400000.0 36793700000.0 2124920000000.0 82046.4 9346940.0 -4.8 [-4.8]
912010000000000.0 1.71162e+19 157310000000.0 16605600000000.0 39006100000000.0 12557200000.0 2907680000000.0 24787800000000.0 1305840.0 8020650000000.0 177056000000000.0 157345000000000.0 19099200.0 326559000.0 12706100000.0 40634700000.0 2223160000000.0 98693.6 10944700.0 -4.78 [-4.78]
912010000000000.0 1.62276e+19 168294000000.0 17271700000000.0 39057200000000.0 13524700000.0 3046160000000.0 23950100000000.0 1457090.0 8426250000000.0 163969000000000.0 139082000000000.0 22011300.0 378537000.0 14471800000.0 44811800000.0 2322420000000.0 118588.0 12791300.0 -4.76 [-4.76]
912010000000000.0 1.5386e+19 179841000000.0 17942900000000.0 39063400000000.0 14545600000.0 3186140000000.0 23095800000000.0 1625440.0 8839100000000.0 151535000000000.0 122699000000000.0 25322200.0 437943000.0 16456900000.0 49346600000.0 2422430000000.0 142337.0 14922000.0 -4.74 [-4.74]
912010000000000.0 1.45887e+19 191959000000.0 18617500000000.0 39024300000000.0 15620600000.0 3327160000000.0 22228300000000.0 1812840.0 9258390000000.0 139758000000000.0 108038000000000.0 29079000.0 505691000.0 18684800000.0 54261300000.0 2522870000000.0 170649.0 17375900.0 -4.72 [-4.72]
912010000000000.0 1.38335e+19 204657000000.0 19293800000000.0 38939500000000.0 16750200000.0 3468730000000.0 21351000000000.0 2021490.0 9683230000000.0 128635000000000.0 94951500000000.0 33333700.0 582789000.0 21180900000.0 59578400000.0 2623420000000.0 204361.0 20197200.0 -4.7 [-4.7]
