H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
6.45654e+14	2.17984e+19	4.97768e+10	7.07180e+12	2.51723e+13	3.66533e+09	1.12691e+12	2.26274e+13	2.76386e+05	2.98941e+12	2.51894e+14	3.78342e+14	2.57265e+06	4.05211e+07	1.95277e+09	8.91160e+09	8.82212e+11	8.81123e+03	1.22428e+06
6.45654e+14	2.06440e+19	5.38835e+10	7.45129e+12	2.55206e+13	3.99872e+09	1.19844e+12	2.22922e+13	3.09313e+05	3.19105e+12	2.38843e+14	3.41637e+14	3.02164e+06	4.79737e+07	2.26294e+09	9.99032e+09	9.36745e+11	1.07003e+04	1.46523e+06
6.45654e+14	1.95540e+19	5.82715e+10	7.84190e+12	2.58438e+13	4.35890e+09	1.27310e+12	2.19264e+13	3.46159e+05	3.40193e+12	2.25978e+14	3.07907e+14	3.54324e+06	5.66872e+07	2.61818e+09	1.11819e+10	9.93175e+11	1.29837e+04	1.74919e+06
6.45654e+14	1.85243e+19	6.29515e+10	8.24320e+12	2.61410e+13	4.74702e+09	1.35078e+12	2.15310e+13	3.87329e+05	3.62179e+12	2.13344e+14	2.76969e+14	4.14788e+06	6.68539e+07	3.02433e+09	1.24962e+10	1.05145e+12	1.57408e+04	2.08314e+06
6.45654e+14	1.75509e+19	6.79341e+10	8.65476e+12	2.64117e+13	5.16422e+09	1.43139e+12	2.11070e+13	4.33264e+05	3.85037e+12	2.00978e+14	2.48649e+14	4.84727e+06	7.86914e+07	3.48795e+09	1.39439e+10	1.11151e+12	1.90659e+04	2.47506e+06
6.45654e+14	1.66306e+19	7.32332e+10	9.07618e+12	2.66549e+13	5.61194e+09	1.51484e+12	2.06559e+13	4.84502e+05	4.08747e+12	1.88919e+14	2.22786e+14	5.65482e+06	9.24469e+07	4.01630e+09	1.55358e+10	1.17327e+12	2.30719e+04	2.93408e+06
6.45654e+14	1.57601e+19	7.88612e+10	9.50694e+12	2.68702e+13	6.09146e+09	1.60099e+12	2.01792e+13	5.41627e+05	4.33282e+12	1.77199e+14	1.99218e+14	6.58548e+06	1.08398e+08	4.61742e+09	1.72836e+10	1.23663e+12	2.78930e+04	3.47057e+06
6.45654e+14	1.49367e+19	8.48305e+10	9.94648e+12	2.70567e+13	6.60403e+09	1.68970e+12	1.96784e+13	6.05284e+05	4.58609e+12	1.65848e+14	1.77790e+14	7.65599e+06	1.26858e+08	5.30017e+09	1.91995e+10	1.30149e+12	3.36883e+04	4.09639e+06
6.45654e+14	1.41574e+19	9.11543e+10	1.03942e+13	2.72140e+13	7.15090e+09	1.78080e+12	1.91553e+13	6.76212e+05	4.84695e+12	1.54888e+14	1.58350e+14	8.88524e+06	1.48181e+08	6.07448e+09	2.12966e+10	1.36773e+12	4.06482e+04	4.82510e+06
6.45654e+14	1.34199e+19	9.78410e+10	1.08493e+13	2.73414e+13	7.73287e+09	1.87403e+12	1.86119e+13	7.55174e+05	5.11489e+12	1.44345e+14	1.40758e+14	1.02935e+07	1.72750e+08	6.95089e+09	2.35877e+10	1.43519e+12	4.89942e+04	5.67180e+06
