# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
645654000000000.0 2.17984e+19 49776800000.0 7071800000000.0 25172300000000.0 3665330000.0 1126910000000.0 22627400000000.0 276386.0 2989410000000.0 251894000000000.0 378342000000000.0 2572650.0 40521100.0 1952770000.0 8911600000.0 882212000000.0 8811.23 1224280.0 -5.0 [-5.0]
645654000000000.0 2.0644e+19 53883500000.0 7451290000000.0 25520600000000.0 3998720000.0 1198440000000.0 22292200000000.0 309313.0 3191050000000.0 238843000000000.0 341637000000000.0 3021640.0 47973700.0 2262940000.0 9990320000.0 936745000000.0 10700.3 1465230.0 -4.98 [-4.98]
645654000000000.0 1.9554e+19 58271500000.0 7841900000000.0 25843800000000.0 4358900000.0 1273100000000.0 21926400000000.0 346159.0 3401930000000.0 225978000000000.0 307907000000000.0 3543240.0 56687200.0 2618180000.0 11181900000.0 993175000000.0 12983.7 1749190.0 -4.96 [-4.96]
645654000000000.0 1.85243e+19 62951500000.0 8243200000000.0 26141000000000.0 4747020000.0 1350780000000.0 21531000000000.0 387329.0 3621790000000.0 213344000000000.0 276969000000000.0 4147880.0 66853900.0 3024330000.0 12496200000.0 1051450000000.0 15740.8 2083140.0 -4.94 [-4.94]
645654000000000.0 1.75509e+19 67934100000.0 8654760000000.0 26411700000000.0 5164220000.0 1431390000000.0 21107000000000.0 433264.0 3850370000000.0 200978000000000.0 248649000000000.0 4847270.0 78691400.0 3487950000.0 13943900000.0 1111510000000.0 19065.9 2475060.0 -4.92 [-4.92]
645654000000000.0 1.66306e+19 73233200000.0 9076180000000.0 26654900000000.0 5611940000.0 1514840000000.0 20655900000000.0 484502.0 4087470000000.0 188919000000000.0 222786000000000.0 5654820.0 92446900.0 4016300000.0 15535800000.0 1173270000000.0 23071.9 2934080.0 -4.9 [-4.9]
645654000000000.0 1.57601e+19 78861200000.0 9506940000000.0 26870200000000.0 6091460000.0 1600990000000.0 20179200000000.0 541627.0 4332820000000.0 177199000000000.0 199218000000000.0 6585480.0 108398000.0 4617420000.0 17283600000.0 1236630000000.0 27893.0 3470570.0 -4.88 [-4.88]
645654000000000.0 1.49367e+19 84830500000.0 9946480000000.0 27056700000000.0 6604030000.0 1689700000000.0 19678400000000.0 605284.0 4586090000000.0 165848000000000.0 177790000000000.0 7655990.0 126858000.0 5300170000.0 19199500000.0 1301490000000.0 33688.3 4096390.0 -4.86 [-4.86]
645654000000000.0 1.41574e+19 91154300000.0 10394200000000.0 27214000000000.0 7150900000.0 1780800000000.0 19155300000000.0 676212.0 4846950000000.0 154888000000000.0 158350000000000.0 8885240.0 148181000.0 6074480000.0 21296600000.0 1367730000000.0 40648.2 4825100.0 -4.84 [-4.84]
645654000000000.0 1.34199e+19 97841000000.0 10849300000000.0 27341400000000.0 7732870000.0 1874030000000.0 18611900000000.0 755174.0 5114890000000.0 144345000000000.0 140758000000000.0 10293500.0 172750000.0 6950890000.0 23587700000.0 1435190000000.0 48994.2 5671800.0 -4.82 [-4.82]
645654000000000.0 1.27217e+19 104903000000.0 11310900000000.0 27438400000000.0 8351040000.0 1969180000000.0 18050200000000.0 843083.0 5389490000000.0 134233000000000.0 124874000000000.0 11904000.0 201008000.0 7941310000.0 26087000000.0 1503720000000.0 58992.0 6653900.0 -4.8 [-4.8]
645654000000000.0 1.20607e+19 112350000000.0 11778100000000.0 27504600000000.0 9006230000.0 2065990000000.0 17472300000000.0 940929.0 5670220000000.0 124565000000000.0 110570000000000.0 13742100.0 233439000.0 9058680000.0 28809200000.0 1573170000000.0 70954.6 7790970.0 -4.78 [-4.78]
645654000000000.0 1.14346e+19 120187000000.0 12249900000000.0 27539400000000.0 9698790000.0 2164130000000.0 16880400000000.0 1049770.0 5956450000000.0 115351000000000.0 97715800000000.0 15835500.0 270577000.0 10317000000.0 31769300000.0 1643330000000.0 85249.5 9105170.0 -4.76 [-4.76]
645654000000000.0 1.08415e+19 128424000000.0 12725300000000.0 27542600000000.0 10429500000.0 2263310000000.0 16276900000000.0 1170900.0 6247710000000.0 106596000000000.0 86192100000000.0 18215300.0 313019000.0 11731800000.0 34982700000.0 1714000000000.0 102312.0 10621400.0 -4.74 [-4.74]
645654000000000.0 1.02798e+19 137068000000.0 13203000000000.0 27513700000000.0 11198800000.0 2363200000000.0 15664200000000.0 1305710.0 6543390000000.0 98303100000000.0 75884800000000.0 20915100.0 361417000.0 13319500000.0 38465100000.0 1784980000000.0 122651.0 12367600.0 -4.72 [-4.72]
645654000000000.0 9.74756e+18 146124000000.0 13681800000000.0 27452600000000.0 12007100000.0 2463450000000.0 15044700000000.0 1455780.0 6842950000000.0 90471300000000.0 66686400000000.0 23972300.0 416490000.0 15098100000.0 42232500000.0 1856020000000.0 146866.0 14375100.0 -4.7 [-4.7]
645654000000000.0 9.2433e+18 155596000000.0 14160300000000.0 27359000000000.0 12854300000.0 2563710000000.0 14420800000000.0 1622900.0 7145750000000.0 83096500000000.0 58495700000000.0 27427100.0 479023000.0 17087200000.0 46301000000.0 1926870000000.0 175659.0 16679100.0 -4.68 [-4.68]
645654000000000.0 8.7655e+18 165487000000.0 14637200000000.0 27232900000000.0 13740700000.0 2663590000000.0 13795000000000.0 1809060.0 7451170000000.0 76172000000000.0 51218400000000.0 31323400.0 549874000.0 19307400000.0 50687100000.0 1997280000000.0 209845.0 19318000.0 -4.66 [-4.66]
645654000000000.0 8.31271e+18 175796000000.0 15110900000000.0 27074100000000.0 14666000000.0 2762710000000.0 13169700000000.0 2016530.0 7758560000000.0 69688200000000.0 44766700000000.0 35708200.0 629974000.0 21781300000.0 55406800000.0 2066970000000.0 250356.0 22332900.0 -4.64 [-4.64]
645654000000000.0 7.88361e+18 186522000000.0 15579800000000.0 26882700000000.0 15629900000.0 2860690000000.0 12547200000000.0 2247860.0 8067320000000.0 63634000000000.0 39059200000000.0 40633600.0 720333000.0 24532600000.0 60476100000.0 2135650000000.0 298322.0 25774100.0 -4.62 [-4.62]
645654000000000.0 7.47694e+18 197663000000.0 16042200000000.0 26658900000000.0 16632300000.0 2957140000000.0 11929900000000.0 2505960.0 8376810000000.0 57995700000000.0 34020600000000.0 46155500.0 822042000.0 27586600000.0 65910700000.0 2203030000000.0 355042.0 29695200.0 -4.6 [-4.6]
