H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.77828e+14	3.61953e+18	3.52702e+11	1.23538e+14	7.69382e+14	2.59255e+10	2.04347e+13	5.84485e+14	1.68012e+06	6.14192e+13	5.82194e+15	4.81627e+15	1.35767e+07	4.94138e+08	5.12612e+10	6.52983e+11	3.62803e+13	3.00260e+05	5.04665e+07
1.77828e+14	3.39459e+18	3.75861e+11	1.27486e+14	7.75640e+14	2.88076e+10	2.19819e+13	5.69653e+14	2.04732e+06	6.70657e+13	5.43084e+15	4.23915e+15	1.56778e+07	5.57915e+08	5.77216e+10	7.41273e+11	3.84529e+13	3.73171e+05	5.82205e+07
1.77828e+14	3.18179e+18	4.01335e+11	1.31491e+14	7.80881e+14	3.20813e+10	2.36338e+13	5.53818e+14	2.50201e+06	7.31082e+13	5.04839e+15	3.71743e+15	1.81227e+07	6.29162e+08	6.48562e+10	8.40653e+11	4.06841e+13	4.63606e+05	6.68897e+07
1.77828e+14	2.97983e+18	4.29416e+11	1.35557e+14	7.85066e+14	3.58082e+10	2.53959e+13	5.36962e+14	3.06657e+06	7.95579e+13	4.67533e+15	3.24605e+15	2.09682e+07	7.08626e+08	7.27161e+10	9.52765e+11	4.29735e+13	5.75871e+05	7.65084e+07
1.77828e+14	2.78895e+18	4.60785e+11	1.39762e+14	7.88106e+14	4.00673e+10	2.72717e+13	5.19162e+14	3.76718e+06	8.64038e+13	4.31383e+15	2.82332e+15	2.43054e+07	7.98249e+08	8.13959e+10	1.07855e+12	4.53036e+13	7.15005e+05	8.71327e+07
1.77828e+14	2.60778e+18	4.95923e+11	1.44124e+14	7.89940e+14	4.49442e+10	2.92655e+13	5.00387e+14	4.63874e+06	9.36457e+13	3.96419e+15	2.44436e+15	2.82238e+07	8.99443e+08	9.09740e+10	1.22005e+12	4.76726e+13	8.87621e+05	9.87572e+07
1.77828e+14	2.43551e+18	5.35577e+11	1.48703e+14	7.90486e+14	5.05466e+10	3.13825e+13	4.80648e+14	5.72489e+06	1.01277e+14	3.62712e+15	2.10552e+15	3.28427e+07	1.01446e+09	1.01565e+11	1.37939e+12	5.00738e+13	1.10194e+06	1.11358e+08
1.77828e+14	2.27090e+18	5.80714e+11	1.53562e+14	7.89615e+14	5.70161e+10	3.36295e+13	4.59897e+14	7.08485e+06	1.09289e+14	3.30257e+15	1.80273e+15	3.83120e+07	1.14618e+09	1.13315e+11	1.55950e+12	5.25030e+13	1.36882e+06	1.24841e+08
1.77828e+14	2.11322e+18	6.32743e+11	1.58823e+14	7.87181e+14	6.45215e+10	3.60104e+13	4.38107e+14	8.79315e+06	1.17652e+14	2.99109e+15	1.53299e+15	4.48379e+07	1.29918e+09	1.26451e+11	1.76354e+12	5.49505e+13	1.70192e+06	1.39073e+08
1.77828e+14	1.96217e+18	6.93558e+11	1.64662e+14	7.82994e+14	7.32593e+10	3.85253e+13	4.15305e+14	1.09423e+07	1.26315e+14	2.69362e+15	1.29407e+15	5.26963e+07	1.48067e+09	1.41332e+11	1.99472e+12	5.73982e+13	2.11834e+06	1.53923e+08
1.77828e+14	1.81662e+18	7.65769e+11	1.71286e+14	7.76767e+14	8.34976e+10	4.11764e+13	3.91423e+14	1.36625e+07	1.35211e+14	2.40995e+15	1.08277e+15	6.22645e+07	1.70101e+09	1.58481e+11	2.25803e+12	5.98342e+13	2.64170e+06	1.69174e+08
1.77828e+14	1.67540e+18	8.53240e+11	1.79009e+14	7.68113e+14	9.55816e+10	4.39635e+13	3.66344e+14	1.71311e+07	1.44251e+14	2.13968e+15	8.96224e+14	7.40862e+07	1.97677e+09	1.78741e+11	2.56019e+12	6.22437e+13	3.30436e+06	1.84636e+08
1.77828e+14	1.53692e+18	9.61948e+11	1.88283e+14	7.56395e+14	1.09980e+11	4.68770e+13	3.39877e+14	2.16033e+07	1.53267e+14	1.88197e+15	7.31506e+14	8.89944e+07	2.33577e+09	2.03504e+11	2.91090e+12	6.46098e+13	4.15254e+06	2.00281e+08
1.77828e+14	1.39898e+18	1.10192e+12	1.99837e+14	7.40600e+14	1.27371e+11	4.98975e+13	3.11667e+14	2.74714e+07	1.62003e+14	1.63510e+15	5.85662e+14	1.08379e+08	2.82858e+09	2.35231e+11	3.32558e+12	6.69073e+13	5.25820e+06	2.16770e+08
1.77828e+14	1.25886e+18	1.29019e+12	2.14777e+14	7.19035e+14	1.48678e+11	5.29624e+13	2.81258e+14	3.53521e+07	1.69964e+14	1.39697e+15	4.56316e+14	1.34714e+08	3.55278e+09	2.78360e+11	3.82842e+12	6.90851e+13	6.73869e+06	2.36960e+08
1.77827e+14	1.10960e+18	1.56446e+12	2.35228e+14	6.87897e+14	1.75666e+11	5.59274e+13	2.47373e+14	4.65244e+07	1.76135e+14	1.16006e+15	3.39228e+14	1.73574e+08	4.73998e+09	3.42431e+11	4.47530e+12	7.10622e+13	8.84198e+06	2.70313e+08
1.77828e+14	9.52076e+17	1.97776e+12	2.62526e+14	6.43378e+14	2.09017e+11	5.82761e+13	2.10687e+14	6.28183e+07	1.78865e+14	9.24868e+14	2.36335e+14	2.35162e+08	6.85703e+09	4.40895e+11	5.31896e+12	7.24775e+13	1.19772e+07	3.43751e+08
1.77828e+14	8.40119e+17	2.38763e+12	2.84403e+14	6.03195e+14	2.38871e+11	5.97018e+13	1.83597e+14	8.07604e+07	1.80819e+14	7.53986e+14	1.72990e+14	3.07414e+08	9.47289e+09	5.42690e+11	6.06358e+12	7.28433e+13	1.56464e+07	4.49366e+08
1.77827e+14	7.33887e+17	2.90269e+12	3.06179e+14	5.56395e+14	2.70495e+11	6.01847e+13	1.58144e+14	1.04668e+08	1.80712e+14	5.96861e+14	1.22116e+14	4.09472e+08	1.34315e+10	6.67770e+11	6.90091e+12	7.23506e+13	2.06704e+07	6.13544e+08
1.77827e+14	6.33141e+17	3.55340e+12	3.26060e+14	5.02777e+14	3.03030e+11	5.94543e+13	1.34672e+14	1.37710e+08	1.78833e+14	4.52535e+14	8.19279e+13	5.59624e+08	1.95751e+10	8.16946e+11	7.83510e+12	7.07603e+13	2.77215e+07	8.65421e+08
1.77827e+14	5.38659e+17	4.36382e+12	3.41317e+14	4.43248e+14	3.35417e+11	5.73004e+13	1.13464e+14	1.85579e+08	1.76147e+14	3.23556e+14	5.14522e+13	7.90503e+08	2.92206e+10	9.86803e+11	8.84984e+12	6.78212e+13	3.78751e+07	1.24570e+09
1.77827e+14	4.56570e+17	5.26496e+12	3.48490e+14	3.83796e+14	3.66698e+11	5.41130e+13	9.52853e+13	2.54583e+08	1.74745e+14	2.20916e+14	3.08647e+13	1.13200e+09	4.33315e+10	1.16232e+12	9.83962e+12	6.36721e+13	5.21163e+07	1.76916e+09
1.77828e+14	3.92750e+17	6.09418e+12	3.47382e+14	3.32691e+14	3.97327e+11	5.09486e+13	8.05880e+13	3.45712e+08	1.75834e+14	1.51456e+14	1.88519e+13	1.56819e+09	6.12781e+10	1.32635e+12	1.06602e+13	5.90893e+13	7.03872e+07	2.38050e+09
1.77827e+14	3.44585e+17	6.77722e+12	3.41042e+14	2.91481e+14	4.28563e+11	4.83442e+13	6.87486e+13	4.57382e+08	1.78510e+14	1.07221e+14	1.20887e+13	2.06412e+09	8.22374e+10	1.47664e+12	1.12841e+13	5.46597e+13	9.24348e+07	3.02472e+09
1.77827e+14	3.07060e+17	7.32415e+12	3.31856e+14	2.57906e+14	4.61029e+11	4.62623e+13	5.90009e+13	5.89897e+08	1.81664e+14	7.83387e+13	8.09907e+12	2.60169e+09	1.06103e+11	1.61698e+12	1.17498e+13	5.05364e+13	1.18526e+08	3.68415e+09
1.77827e+14	2.76752e+17	7.76177e+12	3.21206e+14	2.29951e+14	4.94816e+11	4.45624e+13	5.08488e+13	7.44668e+08	1.84685e+14	5.87064e+13	5.61407e+12	3.17284e+09	1.33004e+11	1.74984e+12	1.20935e+13	4.67277e+13	1.49161e+08	4.35556e+09
1.77828e+14	2.51273e+17	8.11488e+12	3.09673e+14	2.05992e+14	5.30030e+11	4.30922e+13	4.39009e+13	9.25779e+08	1.87320e+14	4.47333e+13	3.97895e+12	3.77947e+09	1.63472e+11	1.87700e+12	1.23424e+13	4.31668e+13	1.85282e+08	5.04566e+09
1.77827e+14	2.29500e+17	8.39798e+12	2.97750e+14	1.85264e+14	5.66519e+11	4.17918e+13	3.79673e+13	1.13570e+09	1.89443e+14	3.45685e+13	2.87264e+12	4.41641e+09	1.97639e+11	1.99836e+12	1.25110e+13	3.98491e+13	2.27592e+08	5.75340e+09
1.77827e+14	2.10535e+17	8.62310e+12	2.85653e+14	1.67092e+14	6.04266e+11	4.06007e+13	3.28662e+13	1.37869e+09	1.91022e+14	2.69917e+13	2.10227e+12	5.08245e+09	2.35862e+11	2.11396e+12	1.26110e+13	3.67444e+13	2.77108e+08	6.48178e+09
1.77827e+14	1.93881e+17	8.79988e+12	2.73629e+14	1.51090e+14	6.43108e+11	3.94950e+13	2.84829e+13	1.65788e+09	1.92050e+14	2.12726e+13	1.55716e+12	5.77215e+09	2.78208e+11	2.22337e+12	1.26506e+13	3.38493e+13	3.34700e+08	7.23034e+09
1.77828e+14	1.79094e+17	8.93594e+12	2.61776e+14	1.36892e+14	6.82982e+11	3.84464e+13	2.47037e+13	1.97789e+09	1.92547e+14	1.68895e+13	1.16446e+12	6.48231e+09	3.24905e+11	2.32627e+12	1.26366e+13	3.11457e+13	4.01511e+08	8.00089e+09
1.77828e+14	1.65842e+17	9.03702e+12	2.50153e+14	1.24215e+14	7.23839e+11	3.74340e+13	2.14351e+13	2.34412e+09	1.92540e+14	1.34876e+13	8.77337e+11	7.20930e+09	3.76185e+11	2.42226e+12	1.25742e+13	2.86177e+13	4.78848e+08	8.79504e+09
1.77828e+14	1.53903e+17	9.10848e+12	2.38834e+14	1.12860e+14	7.65582e+11	3.64480e+13	1.86064e+13	2.76176e+09	1.92060e+14	1.08254e+13	6.65317e+11	7.94798e+09	4.32144e+11	2.51094e+12	1.24679e+13	2.62574e+13	5.68037e+08	9.61355e+09
1.77828e+14	1.43098e+17	9.15493e+12	2.27868e+14	1.02660e+14	8.08093e+11	3.54812e+13	1.61571e+13	3.23634e+09	1.91136e+14	8.72734e+12	5.07417e+11	8.69295e+09	4.92830e+11	2.59192e+12	1.23221e+13	2.40575e+13	6.70503e+08	1.04572e+10
1.77828e+14	1.33271e+17	9.17990e+12	2.17274e+14	9.34668e+13	8.51304e+11	3.45265e+13	1.40331e+13	3.77452e+09	1.89799e+14	7.06187e+12	3.88818e+11	9.43927e+09	5.58321e+11	2.66485e+12	1.21403e+13	2.20078e+13	7.87911e+08	1.13269e+10
1.77828e+14	1.24307e+17	9.18698e+12	2.07078e+14	8.51651e+13	8.94893e+11	3.35810e+13	1.21911e+13	4.38307e+09	1.88081e+14	5.73321e+12	2.99203e+11	1.01814e+10	6.28566e+11	2.72944e+12	1.19260e+13	2.01020e+13	9.21952e+08	1.22236e+10
1.77828e+14	1.16107e+17	9.17896e+12	1.97291e+14	7.76555e+13	9.38764e+11	3.26425e+13	1.05933e+13	5.06897e+09	1.86011e+14	4.66835e+12	2.31116e+11	1.09139e+10	7.03464e+11	2.78538e+12	1.16826e+13	1.83329e+13	1.07444e+09	1.31473e+10
1.77828e+14	1.08580e+17	9.15866e+12	1.87912e+14	7.08438e+13	9.82986e+11	3.17090e+13	9.20569e+12	5.84016e+09	1.83615e+14	3.81071e+12	1.79090e+11	1.16326e+10	7.82918e+11	2.83253e+12	1.14130e+13	1.66923e+13	1.24751e+09	1.40998e+10
1.77828e+14	1.01656e+17	9.12797e+12	1.78937e+14	6.46572e+13	1.02745e+12	3.07799e+13	8.00056e+12	6.70497e+09	1.80924e+14	3.11746e+12	1.39165e+11	1.23323e+10	8.66748e+11	2.87072e+12	1.11202e+13	1.51734e+13	1.44332e+09	1.50817e+10
1.77828e+14	9.52668e+16	9.08820e+12	1.70349e+14	5.90280e+13	1.07208e+12	2.98536e+13	6.95289e+12	7.67307e+09	1.77957e+14	2.55477e+12	1.08384e+11	1.30089e+10	9.54747e+11	2.89961e+12	1.08069e+13	1.37683e+13	1.66431e+09	1.60924e+10
1.77828e+14	8.93648e+16	9.04151e+12	1.62152e+14	5.39018e+13	1.11676e+12	2.89322e+13	6.04264e+12	8.75340e+09	1.74745e+14	2.09713e+12	8.45939e+10	1.36585e+10	1.04654e+12	2.91926e+12	1.04760e+13	1.24718e+13	1.91292e+09	1.71325e+10
1.77828e+14	8.38988e+16	8.98878e+12	1.54324e+14	4.92266e+13	1.16144e+12	2.80153e+13	5.25115e+12	9.95700e+09	1.71307e+14	1.72369e+12	6.61373e+10	1.42776e+10	1.14180e+12	2.92955e+12	1.01299e+13	1.12766e+13	2.19198e+09	1.82021e+10
1.77828e+14	7.88261e+16	8.93085e+12	1.46851e+14	4.49577e+13	1.20604e+12	2.71032e+13	4.56263e+12	1.12957e+10	1.67665e+14	1.41815e+12	5.17759e+10	1.48632e+10	1.24016e+12	2.93044e+12	9.77093e+12	1.01764e+13	2.50456e+09	1.93012e+10
1.77828e+14	7.41102e+16	8.86845e+12	1.39717e+14	4.10565e+13	1.25050e+12	2.61969e+13	3.96359e+12	1.27816e+10	1.63839e+14	1.16764e+12	4.05753e+10	1.54124e+10	1.34111e+12	2.92194e+12	9.40148e+12	9.16531e+12	2.85382e+09	2.04292e+10
1.77828e+14	6.97196e+16	8.80228e+12	1.32908e+14	3.74888e+13	1.29474e+12	2.52976e+13	3.44239e+12	1.44280e+10	1.59850e+14	9.61912e+11	3.18233e+10	1.59230e+10	1.44412e+12	2.90417e+12	9.02383e+12	8.23777e+12	3.24321e+09	2.15854e+10
1.77828e+14	6.56253e+16	8.73283e+12	1.26409e+14	3.42240e+13	1.33871e+12	2.44062e+13	2.98884e+12	1.62489e+10	1.55717e+14	7.92686e+11	2.49723e+10	1.63932e+10	1.54860e+12	2.87726e+12	8.64011e+12	7.38839e+12	3.67641e+09	2.27692e+10
1.77828e+14	6.18023e+16	8.66044e+12	1.20206e+14	3.12350e+13	1.38233e+12	2.35238e+13	2.59418e+12	1.82596e+10	1.51457e+14	6.53312e+11	1.96022e+10	1.68214e+10	1.65390e+12	2.84144e+12	8.25245e+12	6.61208e+12	4.15736e+09	2.39793e+10
1.77828e+14	5.82273e+16	8.58538e+12	1.14284e+14	2.84973e+13	1.42559e+12	2.26513e+13	2.25072e+12	2.04764e+10	1.47086e+14	5.38395e+11	1.53878e+10	1.72065e+10	1.75934e+12	2.79698e+12	7.86277e+12	5.90391e+12	4.69032e+09	2.52144e+10
