# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
177828000000000.0 3.61953e+18 352702000000.0 123538000000000.0 769382000000000.0 25925500000.0 20434700000000.0 584485000000000.0 1680120.0 61419200000000.0 5821940000000000.0 4816270000000000.0 13576700.0 494138000.0 51261200000.0 652983000000.0 36280300000000.0 300260.0 50466500.0 -5.0 [-5.0]
177828000000000.0 3.39459e+18 375861000000.0 127486000000000.0 775640000000000.0 28807600000.0 21981900000000.0 569653000000000.0 2047320.0 67065700000000.0 5430840000000000.0 4239150000000000.0 15677800.0 557915000.0 57721600000.0 741273000000.0 38452900000000.0 373171.0 58220500.0 -4.98 [-4.98]
177828000000000.0 3.18179e+18 401335000000.0 131491000000000.0 780881000000000.0 32081300000.0 23633800000000.0 553818000000000.0 2502010.0 73108200000000.0 5048390000000000.0 3717430000000000.0 18122700.0 629162000.0 64856200000.0 840653000000.0 40684100000000.0 463606.0 66889700.0 -4.96 [-4.96]
177828000000000.0 2.97983e+18 429416000000.0 135557000000000.0 785066000000000.0 35808200000.0 25395900000000.0 536962000000000.0 3066570.0 79557900000000.0 4675330000000000.0 3246050000000000.0 20968200.0 708626000.0 72716100000.0 952765000000.0 42973500000000.0 575871.0 76508400.0 -4.94 [-4.94]
177828000000000.0 2.78895e+18 460785000000.0 139762000000000.0 788106000000000.0 40067300000.0 27271700000000.0 519162000000000.0 3767180.0 86403800000000.0 4313830000000000.0 2823320000000000.0 24305400.0 798249000.0 81395900000.0 1078550000000.0 45303600000000.0 715005.0 87132700.0 -4.92 [-4.92]
177828000000000.0 2.60778e+18 495923000000.0 144124000000000.0 789940000000000.0 44944200000.0 29265500000000.0 500387000000000.0 4638740.0 93645700000000.0 3964190000000000.0 2444360000000000.0 28223800.0 899443000.0 90974000000.0 1220050000000.0 47672600000000.0 887621.0 98757200.0 -4.9 [-4.9]
177828000000000.0 2.43551e+18 535577000000.0 148703000000000.0 790486000000000.0 50546600000.0 31382500000000.0 480648000000000.0 5724890.0 101277000000000.0 3627120000000000.0 2105520000000000.0 32842700.0 1014460000.0 101565000000.0 1379390000000.0 50073800000000.0 1101940.0 111358000.0 -4.88 [-4.88]
177828000000000.0 2.2709e+18 580714000000.0 153562000000000.0 789615000000000.0 57016100000.0 33629500000000.0 459897000000000.0 7084850.0 109289000000000.0 3302570000000000.0 1802730000000000.0 38312000.0 1146180000.0 113315000000.0 1559500000000.0 52503000000000.0 1368820.0 124841000.0 -4.86 [-4.86]
177828000000000.0 2.11322e+18 632743000000.0 158823000000000.0 787181000000000.0 64521500000.0 36010400000000.0 438107000000000.0 8793150.0 117652000000000.0 2991090000000000.0 1532990000000000.0 44837900.0 1299180000.0 126451000000.0 1763540000000.0 54950500000000.0 1701920.0 139073000.0 -4.84 [-4.84]
177828000000000.0 1.96217e+18 693558000000.0 164662000000000.0 782994000000000.0 73259300000.0 38525300000000.0 415305000000000.0 10942300.0 126315000000000.0 2693620000000000.0 1294070000000000.0 52696300.0 1480670000.0 141332000000.0 1994720000000.0 57398200000000.0 2118340.0 153923000.0 -4.82 [-4.82]
177828000000000.0 1.81662e+18 765769000000.0 171286000000000.0 776767000000000.0 83497600000.0 41176400000000.0 391423000000000.0 13662500.0 135211000000000.0 2409950000000000.0 1082770000000000.0 62264500.0 1701010000.0 158481000000.0 2258030000000.0 59834200000000.0 2641700.0 169174000.0 -4.8 [-4.8]
177828000000000.0 1.6754e+18 853240000000.0 179009000000000.0 768113000000000.0 95581600000.0 43963500000000.0 366344000000000.0 17131100.0 144251000000000.0 2139680000000000.0 896224000000000.0 74086200.0 1976770000.0 178741000000.0 2560190000000.0 62243700000000.0 3304360.0 184636000.0 -4.78 [-4.78]
177828000000000.0 1.53692e+18 961948000000.0 188283000000000.0 756395000000000.0 109980000000.0 46877000000000.0 339877000000000.0 21603300.0 153267000000000.0 1881970000000000.0 731506000000000.0 88994400.0 2335770000.0 203504000000.0 2910900000000.0 64609800000000.0 4152540.0 200281000.0 -4.76 [-4.76]
177828000000000.0 1.39898e+18 1101920000000.0 199837000000000.0 740600000000000.0 127371000000.0 49897500000000.0 311667000000000.0 27471400.0 162003000000000.0 1635100000000000.0 585662000000000.0 108379000.0 2828580000.0 235231000000.0 3325580000000.0 66907300000000.0 5258200.0 216770000.0 -4.74 [-4.74]
177828000000000.0 1.25886e+18 1290190000000.0 214777000000000.0 719035000000000.0 148678000000.0 52962400000000.0 281258000000000.0 35352100.0 169964000000000.0 1396970000000000.0 456316000000000.0 134714000.0 3552780000.0 278360000000.0 3828420000000.0 69085100000000.0 6738690.0 236960000.0 -4.72 [-4.72]
177827000000000.0 1.1096e+18 1564460000000.0 235228000000000.0 687897000000000.0 175666000000.0 55927400000000.0 247373000000000.0 46524400.0 176135000000000.0 1160060000000000.0 339228000000000.0 173574000.0 4739980000.0 342431000000.0 4475300000000.0 71062200000000.0 8841980.0 270313000.0 -4.7 [-4.7]
177828000000000.0 9.52076e+17 1977760000000.0 262526000000000.0 643378000000000.0 209017000000.0 58276100000000.0 210687000000000.0 62818300.0 178865000000000.0 924868000000000.0 236335000000000.0 235162000.0 6857030000.0 440895000000.0 5318960000000.0 72477500000000.0 11977200.0 343751000.0 -4.68 [-4.68]
177828000000000.0 8.40119e+17 2387630000000.0 284403000000000.0 603195000000000.0 238871000000.0 59701800000000.0 183597000000000.0 80760400.0 180819000000000.0 753986000000000.0 172990000000000.0 307414000.0 9472890000.0 542690000000.0 6063580000000.0 72843300000000.0 15646400.0 449366000.0 -4.66 [-4.66]
177827000000000.0 7.33887e+17 2902690000000.0 306179000000000.0 556395000000000.0 270495000000.0 60184700000000.0 158144000000000.0 104668000.0 180712000000000.0 596861000000000.0 122116000000000.0 409472000.0 13431500000.0 667770000000.0 6900910000000.0 72350600000000.0 20670400.0 613544000.0 -4.64 [-4.64]
177827000000000.0 6.33141e+17 3553400000000.0 326060000000000.0 502777000000000.0 303030000000.0 59454300000000.0 134672000000000.0 137710000.0 178833000000000.0 452535000000000.0 81927900000000.0 559624000.0 19575100000.0 816946000000.0 7835100000000.0 70760300000000.0 27721500.0 865421000.0 -4.62 [-4.62]
177827000000000.0 5.38659e+17 4363820000000.0 341317000000000.0 443248000000000.0 335417000000.0 57300400000000.0 113464000000000.0 185579000.0 176147000000000.0 323556000000000.0 51452200000000.0 790503000.0 29220600000.0 986803000000.0 8849840000000.0 67821200000000.0 37875100.0 1245700000.0 -4.6 [-4.6]
177827000000000.0 4.5657e+17 5264960000000.0 348490000000000.0 383796000000000.0 366698000000.0 54113000000000.0 95285300000000.0 254583000.0 174745000000000.0 220916000000000.0 30864700000000.0 1132000000.0 43331500000.0 1162320000000.0 9839620000000.0 63672100000000.0 52116300.0 1769160000.0 -4.58 [-4.58]
177828000000000.0 3.9275e+17 6094180000000.0 347382000000000.0 332691000000000.0 397327000000.0 50948600000000.0 80588000000000.0 345712000.0 175834000000000.0 151456000000000.0 18851900000000.0 1568190000.0 61278100000.0 1326350000000.0 10660200000000.0 59089300000000.0 70387200.0 2380500000.0 -4.56 [-4.56]
177827000000000.0 3.44585e+17 6777220000000.0 341042000000000.0 291481000000000.0 428563000000.0 48344200000000.0 68748600000000.0 457382000.0 178510000000000.0 107221000000000.0 12088700000000.0 2064120000.0 82237400000.0 1476640000000.0 11284100000000.0 54659700000000.0 92434800.0 3024720000.0 -4.54 [-4.54]
177827000000000.0 3.0706e+17 7324150000000.0 331856000000000.0 257906000000000.0 461029000000.0 46262300000000.0 59000900000000.0 589897000.0 181664000000000.0 78338700000000.0 8099070000000.0 2601690000.0 106103000000.0 1616980000000.0 11749800000000.0 50536400000000.0 118526000.0 3684150000.0 -4.52 [-4.52]
177827000000000.0 2.76752e+17 7761770000000.0 321206000000000.0 229951000000000.0 494816000000.0 44562400000000.0 50848800000000.0 744668000.0 184685000000000.0 58706400000000.0 5614070000000.0 3172840000.0 133004000000.0 1749840000000.0 12093500000000.0 46727700000000.0 149161000.0 4355560000.0 -4.5 [-4.5]
177828000000000.0 2.51273e+17 8114880000000.0 309673000000000.0 205992000000000.0 530030000000.0 43092200000000.0 43900900000000.0 925779000.0 187320000000000.0 44733300000000.0 3978950000000.0 3779470000.0 163472000000.0 1877000000000.0 12342400000000.0 43166800000000.0 185282000.0 5045660000.0 -4.48 [-4.48]
177827000000000.0 2.295e+17 8397980000000.0 297750000000000.0 185264000000000.0 566519000000.0 41791800000000.0 37967300000000.0 1135700000.0 189443000000000.0 34568500000000.0 2872640000000.0 4416410000.0 197639000000.0 1998360000000.0 12511000000000.0 39849100000000.0 227592000.0 5753400000.0 -4.46 [-4.46]
177827000000000.0 2.10535e+17 8623100000000.0 285653000000000.0 167092000000000.0 604266000000.0 40600700000000.0 32866200000000.0 1378690000.0 191022000000000.0 26991700000000.0 2102270000000.0 5082450000.0 235862000000.0 2113960000000.0 12611000000000.0 36744400000000.0 277108000.0 6481780000.0 -4.44 [-4.44]
177827000000000.0 1.93881e+17 8799880000000.0 273629000000000.0 151090000000000.0 643108000000.0 39495000000000.0 28482900000000.0 1657880000.0 192050000000000.0 21272600000000.0 1557160000000.0 5772150000.0 278208000000.0 2223370000000.0 12650600000000.0 33849300000000.0 334700000.0 7230340000.0 -4.42 [-4.42]
177828000000000.0 1.79094e+17 8935940000000.0 261776000000000.0 136892000000000.0 682982000000.0 38446400000000.0 24703700000000.0 1977890000.0 192547000000000.0 16889500000000.0 1164460000000.0 6482310000.0 324905000000.0 2326270000000.0 12636600000000.0 31145700000000.0 401511000.0 8000890000.0 -4.4 [-4.4]
177828000000000.0 1.65842e+17 9037020000000.0 250153000000000.0 124215000000000.0 723839000000.0 37434000000000.0 21435100000000.0 2344120000.0 192540000000000.0 13487600000000.0 877337000000.0 7209300000.0 376185000000.0 2422260000000.0 12574200000000.0 28617700000000.0 478848000.0 8795040000.0 -4.38 [-4.38]
177828000000000.0 1.53903e+17 9108480000000.0 238834000000000.0 112860000000000.0 765582000000.0 36448000000000.0 18606400000000.0 2761760000.0 192060000000000.0 10825400000000.0 665317000000.0 7947980000.0 432144000000.0 2510940000000.0 12467900000000.0 26257400000000.0 568037000.0 9613550000.0 -4.36 [-4.36]
177828000000000.0 1.43098e+17 9154930000000.0 227868000000000.0 102660000000000.0 808093000000.0 35481200000000.0 16157100000000.0 3236340000.0 191136000000000.0 8727340000000.0 507417000000.0 8692950000.0 492830000000.0 2591920000000.0 12322100000000.0 24057500000000.0 670503000.0 10457200000.0 -4.34 [-4.34]
177828000000000.0 1.33271e+17 9179900000000.0 217274000000000.0 93466800000000.0 851304000000.0 34526500000000.0 14033100000000.0 3774520000.0 189799000000000.0 7061870000000.0 388818000000.0 9439270000.0 558321000000.0 2664850000000.0 12140300000000.0 22007800000000.0 787911000.0 11326900000.0 -4.32 [-4.32]
177828000000000.0 1.24307e+17 9186980000000.0 207078000000000.0 85165100000000.0 894893000000.0 33581000000000.0 12191100000000.0 4383070000.0 188081000000000.0 5733210000000.0 299203000000.0 10181400000.0 628566000000.0 2729440000000.0 11926000000000.0 20102000000000.0 921952000.0 12223600000.0 -4.3 [-4.3]
177828000000000.0 1.16107e+17 9178960000000.0 197291000000000.0 77655500000000.0 938764000000.0 32642500000000.0 10593300000000.0 5068970000.0 186011000000000.0 4668350000000.0 231116000000.0 10913900000.0 703464000000.0 2785380000000.0 11682600000000.0 18332900000000.0 1074440000.0 13147300000.0 -4.28 [-4.28]
177828000000000.0 1.0858e+17 9158660000000.0 187912000000000.0 70843800000000.0 982986000000.0 31709000000000.0 9205690000000.0 5840160000.0 183615000000000.0 3810710000000.0 179090000000.0 11632600000.0 782918000000.0 2832530000000.0 11413000000000.0 16692300000000.0 1247510000.0 14099800000.0 -4.26 [-4.26]
177828000000000.0 1.01656e+17 9127970000000.0 178937000000000.0 64657200000000.0 1027450000000.0 30779900000000.0 8000560000000.0 6704970000.0 180924000000000.0 3117460000000.0 139165000000.0 12332300000.0 866748000000.0 2870720000000.0 11120200000000.0 15173400000000.0 1443320000.0 15081700000.0 -4.24 [-4.24]
177828000000000.0 9.52668e+16 9088200000000.0 170349000000000.0 59028000000000.0 1072080000000.0 29853600000000.0 6952890000000.0 7673070000.0 177957000000000.0 2554770000000.0 108384000000.0 13008900000.0 954747000000.0 2899610000000.0 10806900000000.0 13768300000000.0 1664310000.0 16092400000.0 -4.22 [-4.22]
177828000000000.0 8.93648e+16 9041510000000.0 162152000000000.0 53901800000000.0 1116760000000.0 28932200000000.0 6042640000000.0 8753400000.0 174745000000000.0 2097130000000.0 84593900000.0 13658500000.0 1046540000000.0 2919260000000.0 10476000000000.0 12471800000000.0 1912920000.0 17132500000.0 -4.2 [-4.2]
177828000000000.0 8.38988e+16 8988780000000.0 154324000000000.0 49226600000000.0 1161440000000.0 28015300000000.0 5251150000000.0 9957000000.0 171307000000000.0 1723690000000.0 66137300000.0 14277600000.0 1141800000000.0 2929550000000.0 10129900000000.0 11276600000000.0 2191980000.0 18202100000.0 -4.18 [-4.18]
177828000000000.0 7.88261e+16 8930850000000.0 146851000000000.0 44957700000000.0 1206040000000.0 27103200000000.0 4562630000000.0 11295700000.0 167665000000000.0 1418150000000.0 51775900000.0 14863200000.0 1240160000000.0 2930440000000.0 9770930000000.0 10176400000000.0 2504560000.0 19301200000.0 -4.16 [-4.16]
177828000000000.0 7.41102e+16 8868450000000.0 139717000000000.0 41056500000000.0 1250500000000.0 26196900000000.0 3963590000000.0 12781600000.0 163839000000000.0 1167640000000.0 40575300000.0 15412400000.0 1341110000000.0 2921940000000.0 9401480000000.0 9165310000000.0 2853820000.0 20429200000.0 -4.14 [-4.14]
177828000000000.0 6.97196e+16 8802280000000.0 132908000000000.0 37488800000000.0 1294740000000.0 25297600000000.0 3442390000000.0 14428000000.0 159850000000000.0 961912000000.0 31823300000.0 15923000000.0 1444120000000.0 2904170000000.0 9023830000000.0 8237770000000.0 3243210000.0 21585400000.0 -4.12 [-4.12]
177828000000000.0 6.56253e+16 8732830000000.0 126409000000000.0 34224000000000.0 1338710000000.0 24406200000000.0 2988840000000.0 16248900000.0 155717000000000.0 792686000000.0 24972300000.0 16393200000.0 1548600000000.0 2877260000000.0 8640110000000.0 7388390000000.0 3676410000.0 22769200000.0 -4.1 [-4.1]
177828000000000.0 6.18023e+16 8660440000000.0 120206000000000.0 31235000000000.0 1382330000000.0 23523800000000.0 2594180000000.0 18259600000.0 151457000000000.0 653312000000.0 19602200000.0 16821400000.0 1653900000000.0 2841440000000.0 8252450000000.0 6612080000000.0 4157360000.0 23979300000.0 -4.08 [-4.08]
177828000000000.0 5.82273e+16 8585380000000.0 114284000000000.0 28497300000000.0 1425590000000.0 22651300000000.0 2250720000000.0 20476400000.0 147086000000000.0 538395000000.0 15387800000.0 17206500000.0 1759340000000.0 2796980000000.0 7862770000000.0 5903910000000.0 4690320000.0 25214400000.0 -4.06 [-4.06]
177828000000000.0 5.48798e+16 8507750000000.0 108629000000000.0 25989000000000.0 1468420000000.0 21789600000000.0 1951830000000.0 22917100000.0 142622000000000.0 443554000000.0 12077200000.0 17547600000.0 1864220000000.0 2744210000000.0 7472920000000.0 5259140000000.0 5279860000.0 26473100000.0 -4.04 [-4.04]
177828000000000.0 5.17441e+16 8428260000000.0 103234000000000.0 23690200000000.0 1510770000000.0 20940600000000.0 1691790000000.0 25599800000.0 138089000000000.0 365267000000.0 9475980000.0 17844800000.0 1967820000000.0 2683810000000.0 7085440000000.0 4673130000000.0 5933590000.0 27753900000.0 -4.02 [-4.02]
177828000000000.0 4.88075e+16 8348200000000.0 98098100000000.0 21579600000000.0 1552630000000.0 20106800000000.0 1465320000000.0 28548200000.0 133538000000000.0 300572000000.0 7430600000.0 18100200000.0 2069900000000.0 2617170000000.0 6704530000000.0 4139110000000.0 6675560000.0 29056900000.0 -4.0 [-4.0]
177828000000000.0 4.60525e+16 8266530000000.0 93198600000000.0 19646500000000.0 1593880000000.0 19287700000000.0 1268580000000.0 31776200000.0 128942000000000.0 247185000000.0 5823890000.0 18312000000.0 2168960000000.0 2543750000000.0 6328520000000.0 3656950000000.0 7495670000.0 30376900000.0 -3.98 [-3.98]
