H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
9.12008e+14	1.83362e+19	1.80003e+12	6.45640e+14	4.17686e+15	1.32213e+11	1.07643e+14	3.11904e+15	8.64429e+06	3.25168e+14	2.95223e+16	2.32362e+16	6.83130e+07	2.50542e+09	2.69862e+11	3.61923e+12	1.94613e+14	1.53049e+06	2.66196e+08
9.12010e+14	1.71871e+19	1.92492e+12	6.66789e+14	4.20880e+15	1.47503e+11	1.15917e+14	3.03366e+15	1.05794e+07	3.55123e+14	2.74761e+16	2.03908e+16	7.90493e+07	2.82682e+09	3.03334e+11	4.10515e+12	2.06022e+14	1.90650e+06	3.06259e+08
9.12008e+14	1.60987e+19	2.06309e+12	6.88394e+14	4.23505e+15	1.64933e+11	1.24752e+14	2.94270e+15	1.29838e+07	3.87150e+14	2.54798e+16	1.78223e+16	9.15774e+07	3.18648e+09	3.40270e+11	4.65233e+12	2.17725e+14	2.37416e+06	3.50809e+08
9.12011e+14	1.50682e+19	2.21720e+12	7.10695e+14	4.25528e+15	1.84869e+11	1.34171e+14	2.84631e+15	1.59741e+07	4.21254e+14	2.35414e+16	1.55133e+16	1.06264e+08	3.59137e+09	3.81061e+11	5.26754e+12	2.29679e+14	2.95579e+06	4.00079e+08
9.12007e+14	1.40907e+19	2.38975e+12	7.33856e+14	4.26893e+15	2.07699e+11	1.44190e+14	2.74444e+15	1.96965e+07	4.57395e+14	2.16656e+16	1.34427e+16	1.23528e+08	4.04875e+09	4.26105e+11	5.95945e+12	2.41850e+14	3.67869e+06	4.54046e+08
9.12009e+14	1.31618e+19	2.58461e+12	7.58183e+14	4.27563e+15	2.33939e+11	1.54833e+14	2.63719e+15	2.43412e+07	4.95554e+14	1.98562e+16	1.15908e+16	1.43905e+08	4.56906e+09	4.75966e+11	6.73847e+12	2.54208e+14	4.57838e+06	5.12661e+08
9.12007e+14	1.22749e+19	2.80637e+12	7.84007e+14	4.27471e+15	2.64236e+11	1.66134e+14	2.52434e+15	3.01604e+07	5.35703e+14	1.81129e+16	9.93564e+15	1.68060e+08	5.16530e+09	5.31357e+11	7.61866e+12	2.66733e+14	5.70096e+06	5.75545e+08
9.12007e+14	1.14273e+19	3.06184e+12	8.11964e+14	4.26543e+15	2.99371e+11	1.78113e+14	2.40597e+15	3.74688e+07	5.77697e+14	1.64405e+16	8.46236e+15	1.96904e+08	5.85836e+09	5.93347e+11	8.61405e+12	2.79368e+14	7.10402e+06	6.42229e+08
9.12009e+14	1.06154e+19	3.35989e+12	8.42854e+14	4.24681e+15	3.40272e+11	1.90780e+14	2.28209e+15	4.66756e+07	6.21352e+14	1.48407e+16	7.15569e+15	2.31643e+08	6.67858e+09	6.63531e+11	9.74211e+12	2.92050e+14	8.86198e+06	7.12047e+08
9.12009e+14	9.83361e+18	3.71257e+12	8.77671e+14	4.21728e+15	3.88110e+11	2.04127e+14	2.15234e+15	5.83263e+07	6.66309e+14	1.33141e+16	5.99955e+15	2.73911e+08	7.67073e+09	7.44284e+11	1.10267e+13	3.04722e+14	1.10733e+07	7.84002e+08
9.12011e+14	9.07896e+18	4.13761e+12	9.18005e+14	4.17537e+15	4.44439e+11	2.18172e+14	2.01670e+15	7.31540e+07	7.12223e+14	1.18628e+16	4.98154e+15	3.26044e+08	8.90813e+09	8.39507e+11	1.24957e+13	3.17277e+14	1.38748e+07	8.57755e+08
