H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.28824e+16	2.90228e+20	1.87867e+12	2.20579e+14	5.91712e+14	1.33536e+11	3.59945e+13	3.89728e+14	1.27663e+07	1.11856e+14	3.22227e+15	3.19466e+15	1.50867e+08	2.76342e+09	1.14489e+11	4.26313e+11	2.71046e+13	8.29671e+05	9.99268e+07
1.28824e+16	2.75042e+20	2.01608e+12	2.30179e+14	5.94358e+14	1.44467e+11	3.78855e+13	3.78507e+14	1.42688e+07	1.17969e+14	3.00048e+15	2.84436e+15	1.75007e+08	3.22149e+09	1.31027e+11	4.72389e+11	2.84534e+13	1.00119e+06	1.17451e+08
1.28825e+16	2.60670e+20	2.16103e+12	2.39892e+14	5.96286e+14	1.56089e+11	3.98161e+13	3.66925e+14	1.59445e+07	1.24232e+14	2.78811e+15	2.52787e+15	2.02657e+08	3.74833e+09	1.49719e+11	5.22675e+11	2.98244e+13	1.20689e+06	1.37772e+08
1.28825e+16	2.47065e+20	2.31364e+12	2.49695e+14	5.97484e+14	1.68413e+11	4.17803e+13	3.55022e+14	1.78128e+07	1.30636e+14	2.58541e+15	2.24246e+15	2.34264e+08	4.35290e+09	1.70808e+11	5.77462e+11	3.12143e+13	1.45322e+06	1.61289e+08
1.28825e+16	2.34184e+20	2.47410e+12	2.59563e+14	5.97938e+14	1.81457e+11	4.37724e+13	3.42844e+14	1.98961e+07	1.37165e+14	2.39244e+15	1.98572e+15	2.70338e+08	5.04524e+09	1.94559e+11	6.37046e+11	3.26188e+13	1.74784e+06	1.88454e+08
1.28825e+16	2.21987e+20	2.64244e+12	2.69472e+14	5.97655e+14	1.95227e+11	4.57860e+13	3.30445e+14	2.22180e+07	1.43810e+14	2.20932e+15	1.75518e+15	3.11398e+08	5.83639e+09	2.21265e+11	7.01767e+11	3.40349e+13	2.09980e+06	2.19785e+08
1.28824e+16	2.10436e+20	2.81885e+12	2.79396e+14	5.96623e+14	2.09745e+11	4.78153e+13	3.17875e+14	2.48081e+07	1.50559e+14	2.03603e+15	1.54860e+15	3.58066e+08	6.73860e+09	2.51240e+11	7.71928e+11	3.54577e+13	2.51971e+06	2.55846e+08
1.28824e+16	1.99496e+20	3.00337e+12	2.89305e+14	5.94841e+14	2.25013e+11	4.98532e+13	3.05183e+14	2.76968e+07	1.57394e+14	1.87256e+15	1.36391e+15	4.10996e+08	7.76522e+09	2.84824e+11	8.47859e+11	3.68827e+13	3.01984e+06	2.97262e+08
1.28825e+16	1.89134e+20	3.19609e+12	2.99172e+14	5.92309e+14	2.41041e+11	5.18926e+13	2.92418e+14	3.09195e+07	1.64300e+14	1.71885e+15	1.19916e+15	4.70922e+08	8.93097e+09	3.22384e+11	9.29887e+11	3.83049e+13	3.61478e+06	3.44750e+08
1.28825e+16	1.79319e+20	3.39699e+12	3.08963e+14	5.89029e+14	2.57833e+11	5.39262e+13	2.79631e+14	3.45163e+07	1.71262e+14	1.57470e+15	1.05248e+15	5.38633e+08	1.02518e+10	3.64315e+11	1.01834e+12	3.97191e+13	4.32157e+06	3.99109e+08
1.28825e+16	1.70021e+20	3.60608e+12	3.18647e+14	5.85002e+14	2.75392e+11	5.59466e+13	2.66870e+14	3.85319e+07	1.78264e+14	1.43990e+15	9.22160e+14	6.14998e+08	1.17452e+10	4.11040e+11	1.11355e+12	4.11198e+13	5.15998e+06	4.61218e+08
1.28825e+16	1.61213e+20	3.82338e+12	3.28191e+14	5.80238e+14	2.93725e+11	5.79463e+13	2.54184e+14	4.30192e+07	1.85292e+14	1.31417e+15	8.06587e+14	7.00975e+08	1.34305e+10	4.63023e+11	1.21586e+12	4.25018e+13	6.15345e+06	5.32075e+08
1.28825e+16	1.52869e+20	4.04877e+12	3.37559e+14	5.74743e+14	3.12826e+11	5.99172e+13	2.41614e+14	4.80355e+07	1.92331e+14	1.19720e+15	7.04290e+14	7.97579e+08	1.53278e+10	5.20737e+11	1.32556e+12	4.38586e+13	7.32889e+06	6.12765e+08
1.28825e+16	1.44963e+20	4.28207e+12	3.46715e+14	5.68529e+14	3.32686e+11	6.18516e+13	2.29205e+14	5.36439e+07	1.99364e+14	1.08864e+15	6.13926e+14	9.05907e+08	1.74591e+10	5.84694e+11	1.44297e+12	4.51844e+13	8.71736e+06	7.04493e+08
