H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.99526e+14	4.29936e+18	2.88524e+10	3.04525e+12	7.88633e+12	2.26634e+09	5.19642e+11	5.65025e+12	2.19236e+05	1.38791e+12	4.73456e+13	5.10137e+13	2.61260e+06	4.15009e+07	1.67073e+09	5.83113e+09	3.85355e+11	1.24323e+04	1.32951e+06
1.99526e+14	4.07455e+18	3.09861e+10	3.18157e+12	7.93162e+12	2.45219e+09	5.47408e+11	5.49847e+12	2.44784e+05	1.46635e+12	4.42072e+13	4.54209e+13	3.03027e+06	4.84518e+07	1.91491e+09	6.47006e+09	4.04966e+11	1.49924e+04	1.56560e+06
1.99526e+14	3.86182e+18	3.32404e+10	3.31997e+12	7.96794e+12	2.64982e+09	5.75802e+11	5.34077e+12	2.73233e+05	1.54689e+12	4.11872e+13	4.03620e+13	3.50853e+06	5.64580e+07	2.19134e+09	7.16844e+09	4.24937e+11	1.80613e+04	1.83984e+06
1.99526e+14	3.66047e+18	3.56186e+10	3.46019e+12	7.99514e+12	2.85954e+09	6.04751e+11	5.17778e+12	3.04908e+05	1.62939e+12	3.82912e+13	3.57965e+13	4.05509e+06	6.56601e+07	2.50374e+09	7.93055e+09	4.45221e+11	2.17356e+04	2.15779e+06
1.99526e+14	3.46985e+18	3.81231e+10	3.60193e+12	8.01308e+12	3.08156e+09	6.34167e+11	5.01009e+12	3.40168e+05	1.71369e+12	3.55228e+13	3.16858e+13	4.67843e+06	7.62144e+07	2.85619e+09	8.76089e+09	4.65767e+11	2.61295e+04	2.52577e+06
1.99526e+14	3.28932e+18	4.07555e+10	3.74482e+12	8.02161e+12	3.31598e+09	6.63951e+11	4.83838e+12	3.79403e+05	1.79961e+12	3.28848e+13	2.79928e+13	5.38778e+06	8.82934e+07	3.25313e+09	9.66418e+09	4.86520e+11	3.13776e+04	2.95089e+06
1.99526e+14	3.11836e+18	4.35190e+10	3.88857e+12	8.02063e+12	3.56308e+09	6.94013e+11	4.66333e+12	4.23086e+05	1.88701e+12	3.03790e+13	2.46830e+13	6.19360e+06	1.02088e+08	3.69939e+09	1.06450e+10	5.07417e+11	3.76383e+04	3.44111e+06
1.99526e+14	2.95645e+18	4.64152e+10	4.03278e+12	8.01007e+12	3.82297e+09	7.24253e+11	4.48568e+12	4.71730e+05	1.97571e+12	2.80061e+13	2.17235e+13	7.10717e+06	1.17810e+08	4.20022e+09	1.17083e+10	5.28393e+11	4.50978e+04	4.00542e+06
1.99526e+14	2.80307e+18	4.94453e+10	4.17705e+12	7.98982e+12	4.09572e+09	7.54560e+11	4.30611e+12	5.25915e+05	2.06553e+12	2.57658e+13	1.90831e+13	8.14085e+06	1.35688e+08	4.76130e+09	1.28590e+10	5.49377e+11	5.39745e+04	4.65387e+06
1.99526e+14	2.65778e+18	5.26100e+10	4.32096e+12	7.95985e+12	4.38134e+09	7.84819e+11	4.12536e+12	5.86294e+05	2.15629e+12	2.36569e+13	1.67328e+13	9.30812e+06	1.55975e+08	5.38873e+09	1.41021e+10	5.70295e+11	6.45241e+04	5.39769e+06
1.99526e+14	2.52012e+18	5.59094e+10	4.46403e+12	7.92012e+12	4.67982e+09	8.14919e+11	3.94414e+12	6.53605e+05	2.24780e+12	2.16773e+13	1.46453e+13	1.06235e+07	1.78945e+08	6.08908e+09	1.54426e+10	5.91067e+11	7.70393e+04	6.24882e+06
1.99526e+14	2.38972e+18	5.93422e+10	4.60578e+12	7.87067e+12	4.99099e+09	8.44734e+11	3.76321e+12	7.28656e+05	2.33985e+12	1.98249e+13	1.27957e+13	1.21021e+07	2.04889e+08	6.86922e+09	1.68851e+10	6.11608e+11	9.18607e+04	7.22062e+06
1.99526e+14	2.26614e+18	6.29095e+10	4.74578e+12	7.81147e+12	5.31498e+09	8.74161e+11	3.58316e+12	8.12443e+05	2.43230e+12	1.80954e+13	1.11596e+13	1.37623e+07	2.34144e+08	7.73697e+09	1.84352e+10	6.31837e+11	1.09405e+05	8.32940e+06
1.99526e+14	2.14903e+18	6.66087e+10	4.88347e+12	7.74261e+12	5.65154e+09	9.03076e+11	3.40471e+12	9.06015e+05	2.52494e+12	1.64853e+13	9.71587e+12	1.56221e+07	2.67054e+08	8.70019e+09	2.00973e+10	6.51664e+11	1.30141e+05	9.59205e+06
1.99526e+14	2.03805e+18	7.04373e+10	5.01832e+12	7.66418e+12	6.00052e+09	9.31364e+11	3.22848e+12	1.01058e+06	2.61757e+12	1.49903e+13	8.44449e+12	1.77012e+07	3.03989e+08	9.76728e+09	2.18760e+10	6.70993e+11	1.54615e+05	1.10273e+07
1.99526e+14	1.93289e+18	7.43926e+10	5.14980e+12	7.57628e+12	6.36174e+09	9.58911e+11	3.05508e+12	1.12752e+06	2.71001e+12	1.36058e+13	7.32719e+12	2.00210e+07	3.45354e+08	1.09472e+10	2.37757e+10	6.89731e+11	1.83459e+05	1.26559e+07
1.99526e+14	1.83323e+18	7.84705e+10	5.27734e+12	7.47909e+12	6.73499e+09	9.85608e+11	2.88505e+12	1.25838e+06	2.80206e+12	1.23268e+13	6.34727e+12	2.26041e+07	3.91575e+08	1.22492e+10	2.58002e+10	7.07780e+11	2.17405e+05	1.45006e+07
1.99526e+14	1.73875e+18	8.26688e+10	5.40043e+12	7.37275e+12	7.12023e+09	1.01136e+12	2.71886e+12	1.40499e+06	2.89358e+12	1.11477e+13	5.48928e+12	2.54756e+07	4.43129e+08	1.36835e+10	2.79538e+10	7.25049e+11	2.57316e+05	1.65871e+07
