# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
199526000000000.0 4.29936e+18 28852400000.0 3045250000000.0 7886330000000.0 2266340000.0 519642000000.0 5650250000000.0 219236.0 1387910000000.0 47345600000000.0 51013700000000.0 2612600.0 41500900.0 1670730000.0 5831130000.0 385355000000.0 12432.3 1329510.0 -5.0 [-5.0]
199526000000000.0 4.07455e+18 30986100000.0 3181570000000.0 7931620000000.0 2452190000.0 547408000000.0 5498470000000.0 244784.0 1466350000000.0 44207200000000.0 45420900000000.0 3030270.0 48451800.0 1914910000.0 6470060000.0 404966000000.0 14992.4 1565600.0 -4.98 [-4.98]
199526000000000.0 3.86182e+18 33240400000.0 3319970000000.0 7967940000000.0 2649820000.0 575802000000.0 5340770000000.0 273233.0 1546890000000.0 41187200000000.0 40362000000000.0 3508530.0 56458000.0 2191340000.0 7168440000.0 424937000000.0 18061.3 1839840.0 -4.96 [-4.96]
199526000000000.0 3.66047e+18 35618600000.0 3460190000000.0 7995140000000.0 2859540000.0 604751000000.0 5177780000000.0 304908.0 1629390000000.0 38291200000000.0 35796500000000.0 4055090.0 65660100.0 2503740000.0 7930550000.0 445221000000.0 21735.6 2157790.0 -4.94 [-4.94]
199526000000000.0 3.46985e+18 38123100000.0 3601930000000.0 8013080000000.0 3081560000.0 634167000000.0 5010090000000.0 340168.0 1713690000000.0 35522800000000.0 31685800000000.0 4678430.0 76214400.0 2856190000.0 8760890000.0 465767000000.0 26129.5 2525770.0 -4.92 [-4.92]
199526000000000.0 3.28932e+18 40755500000.0 3744820000000.0 8021610000000.0 3315980000.0 663951000000.0 4838380000000.0 379403.0 1799610000000.0 32884800000000.0 27992800000000.0 5387780.0 88293400.0 3253130000.0 9664180000.0 486520000000.0 31377.6 2950890.0 -4.9 [-4.9]
199526000000000.0 3.11836e+18 43519000000.0 3888570000000.0 8020630000000.0 3563080000.0 694013000000.0 4663330000000.0 423086.0 1887010000000.0 30379000000000.0 24683000000000.0 6193600.0 102088000.0 3699390000.0 10645000000.0 507417000000.0 37638.3 3441110.0 -4.88 [-4.88]
199526000000000.0 2.95645e+18 46415200000.0 4032780000000.0 8010070000000.0 3822970000.0 724253000000.0 4485680000000.0 471730.0 1975710000000.0 28006100000000.0 21723500000000.0 7107170.0 117810000.0 4200220000.0 11708300000.0 528393000000.0 45097.8 4005420.0 -4.86 [-4.86]
199526000000000.0 2.80307e+18 49445300000.0 4177050000000.0 7989820000000.0 4095720000.0 754560000000.0 4306110000000.0 525915.0 2065530000000.0 25765800000000.0 19083100000000.0 8140850.0 135688000.0 4761300000.0 12859000000.0 549377000000.0 53974.5 4653870.0 -4.84 [-4.84]
199526000000000.0 2.65778e+18 52610000000.0 4320960000000.0 7959850000000.0 4381340000.0 784819000000.0 4125360000000.0 586294.0 2156290000000.0 23656900000000.0 16732800000000.0 9308120.0 155975000.0 5388730000.0 14102100000.0 570295000000.0 64524.1 5397690.0 -4.82 [-4.82]
199526000000000.0 2.52012e+18 55909400000.0 4464030000000.0 7920120000000.0 4679820000.0 814919000000.0 3944140000000.0 653605.0 2247800000000.0 21677300000000.0 14645300000000.0 10623500.0 178945000.0 6089080000.0 15442600000.0 591067000000.0 77039.3 6248820.0 -4.8 [-4.8]
199526000000000.0 2.38972e+18 59342200000.0 4605780000000.0 7870670000000.0 4990990000.0 844734000000.0 3763210000000.0 728656.0 2339850000000.0 19824900000000.0 12795700000000.0 12102100.0 204889000.0 6869220000.0 16885100000.0 611608000000.0 91860.7 7220620.0 -4.78 [-4.78]
199526000000000.0 2.26614e+18 62909500000.0 4745780000000.0 7811470000000.0 5314980000.0 874161000000.0 3583160000000.0 812443.0 2432300000000.0 18095400000000.0 11159600000000.0 13762300.0 234144000.0 7736970000.0 18435200000.0 631837000000.0 109405.0 8329400.0 -4.76 [-4.76]
199526000000000.0 2.14903e+18 66608700000.0 4883470000000.0 7742610000000.0 5651540000.0 903076000000.0 3404710000000.0 906015.0 2524940000000.0 16485300000000.0 9715870000000.0 15622100.0 267054000.0 8700190000.0 20097300000.0 651664000000.0 130141.0 9592050.0 -4.74 [-4.74]
199526000000000.0 2.03805e+18 70437300000.0 5018320000000.0 7664180000000.0 6000520000.0 931364000000.0 3228480000000.0 1010580.0 2617570000000.0 14990300000000.0 8444490000000.0 17701200.0 303989000.0 9767280000.0 21876000000.0 670993000000.0 154615.0 11027300.0 -4.72 [-4.72]
199526000000000.0 1.93289e+18 74392600000.0 5149800000000.0 7576280000000.0 6361740000.0 958911000000.0 3055080000000.0 1127520.0 2710010000000.0 13605800000000.0 7327190000000.0 20021000.0 345354000.0 10947200000.0 23775700000.0 689731000000.0 183459.0 12655900.0 -4.7 [-4.7]
199526000000000.0 1.83323e+18 78470500000.0 5277340000000.0 7479090000000.0 6734990000.0 985608000000.0 2885050000000.0 1258380.0 2802060000000.0 12326800000000.0 6347270000000.0 22604100.0 391575000.0 12249200000.0 25800200000.0 707780000000.0 217405.0 14500600.0 -4.68 [-4.68]
199526000000000.0 1.73875e+18 82668800000.0 5400430000000.0 7372750000000.0 7120230000.0 1011360000000.0 2718860000000.0 1404990.0 2893580000000.0 11147700000000.0 5489280000000.0 25475600.0 443129000.0 13683500000.0 27953800000.0 725049000000.0 257316.0 16587100.0 -4.66 [-4.66]
199526000000000.0 1.64924e+18 86977400000.0 5518400000000.0 7257580000000.0 7516830000.0 1036040000000.0 2557080000000.0 1569230.0 2984310000000.0 10064100000000.0 4739930000000.0 28658400.0 500455000.0 15259500000.0 30238500000.0 741429000000.0 304138.0 18941400.0 -4.64 [-4.64]
199526000000000.0 1.5644e+18 91393300000.0 5630770000000.0 7133830000000.0 7924780000.0 1059580000000.0 2400050000000.0 1753420.0 3074100000000.0 9070090000000.0 4086530000000.0 32180600.0 564080000.0 16987900000.0 32657300000.0 756828000000.0 359003.0 21593600.0 -4.62 [-4.62]
199526000000000.0 1.48401e+18 95909600000.0 5736990000000.0 7001810000000.0 8343860000.0 1081880000000.0 2248150000000.0 1960120.0 3162770000000.0 8160490000000.0 3517820000000.0 36070200.0 634537000.0 18879500000.0 35211900000.0 771148000000.0 423199.0 24576100.0 -4.6 [-4.6]
199526000000000.0 1.40781e+18 100518000000.0 5836500000000.0 6861880000000.0 8773810000.0 1102870000000.0 2101660000000.0 2192230.0 3250140000000.0 7329870000000.0 3023730000000.0 40355800.0 712375000.0 20945100000.0 37903300000.0 784294000000.0 498199.0 27923800.0 -4.58 [-4.58]
199526000000000.0 1.33559e+18 105211000000.0 5928780000000.0 6714430000000.0 9214350000.0 1122470000000.0 1960830000000.0 2453010.0 3336030000000.0 6573030000000.0 2595220000000.0 45067200.0 798167000.0 23195800000.0 40731600000.0 796172000000.0 585685.0 31674400.0 -4.56 [-4.56]
199526000000000.0 1.26714e+18 109978000000.0 6013360000000.0 6559920000000.0 9665290000.0 1140620000000.0 1825860000000.0 2746160.0 3420270000000.0 5884870000000.0 2224220000000.0 50235000.0 892503000.0 25642400000.0 43695800000.0 806694000000.0 687580.0 35868500.0 -4.54 [-4.54]
199526000000000.0 1.20225e+18 114808000000.0 6089710000000.0 6398770000000.0 10126300000.0 1157240000000.0 1696870000000.0 3075870.0 3502670000000.0 5260390000000.0 1903540000000.0 55890400.0 995982000.0 28295700000.0 46793800000.0 815770000000.0 806070.0 40549400.0 -4.52 [-4.52]
199526000000000.0 1.14076e+18 119693000000.0 6157450000000.0 6231570000000.0 10597200000.0 1172310000000.0 1573980000000.0 3446830.0 3583080000000.0 4694880000000.0 1626830000000.0 62063300.0 1109210000.0 31166300000.0 50022300000.0 823324000000.0 943642.0 45763600.0 -4.5 [-4.5]
199526000000000.0 1.08246e+18 124619000000.0 6216190000000.0 6058870000000.0 11077700000.0 1185780000000.0 1457220000000.0 3864350.0 3661330000000.0 4183770000000.0 1388440000000.0 68783800.0 1232810000.0 34264100000.0 53376700000.0 829280000000.0 1103110.0 51560600.0 -4.48 [-4.48]
199526000000000.0 1.02721e+18 129575000000.0 6265580000000.0 5881240000000.0 11567800000.0 1197610000000.0 1346590000000.0 4334430.0 3737270000000.0 3722700000000.0 1183380000000.0 76080700.0 1367370000.0 37598400000.0 56850600000.0 833571000000.0 1287680.0 57992800.0 -4.46 [-4.46]
199526000000000.0 9.74831e+17 134549000000.0 6305320000000.0 5699300000000.0 12067100000.0 1207790000000.0 1242070000000.0 4863780.0 3810750000000.0 3307540000000.0 1007260000000.0 83981100.0 1513490000.0 41177700000.0 60436400000.0 836138000000.0 1500930.0 65115300.0 -4.44 [-4.44]
199526000000000.0 9.25178e+17 139526000000.0 6335160000000.0 5513690000000.0 12575400000.0 1216280000000.0 1143560000000.0 5459980.0 3881590000000.0 2934400000000.0 856224000000.0 92510100.0 1671740000.0 45009100000.0 64124500000.0 836926000000.0 1746940.0 72986400.0 -4.42 [-4.42]
199526000000000.0 8.78106e+17 144492000000.0 6354930000000.0 5325070000000.0 13092600000.0 1223080000000.0 1050960000000.0 6131540.0 3949660000000.0 2599610000000.0 726888000000.0 101689000.0 1842640000.0 49098500000.0 67903600000.0 835893000000.0 2030270.0 81666800.0 -4.4 [-4.4]
199526000000000.0 8.33474e+17 149433000000.0 6364460000000.0 5134110000000.0 13618200000.0 1228190000000.0 964141000000.0 6888010.0 4014800000000.0 2299750000000.0 616292000000.0 111535000.0 2026680000.0 53449800000.0 71760800000.0 833005000000.0 2356040.0 91219300.0 -4.38 [-4.38]
199526000000000.0 7.9117e+17 154323000000.0 6363570000000.0 4941610000000.0 14151300000.0 1231580000000.0 882985000000.0 7739450.0 4076800000000.0 2031770000000.0 521893000000.0 122046000.0 2224060000.0 58061800000.0 75681100000.0 828243000000.0 2729720.0 101702000.0 -4.36 [-4.36]
199526000000000.0 7.51055e+17 159180000000.0 6352720000000.0 4748000000000.0 14694200000.0 1233330000000.0 807211000000.0 8699300.0 4135710000000.0 1792410000000.0 441370000000.0 133266000.0 2435650000.0 62941700000.0 79645200000.0 821596000000.0 3158220.0 113197000.0 -4.34 [-4.34]
