# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1023290000000000.0 3.51701e+19 76606200000.0 11066900000000.0 40032200000000.0 1754610000000.0 36184600000000.0 416992.0 4690470000000.0 407226000000000.0 615638000000000.0 61302000.0 2980300000.0 13799000000.0 1383840000000.0 -5.0 4.546 [-5.0]
1023290000000000.0 3.33073e+19 82952200000.0 11664200000000.0 40596700000000.0 1866690000000.0 35662000000000.0 466756.0 5008160000000.0 386248000000000.0 556268000000000.0 72608800.0 3454870000.0 15474200000.0 1469860000000.0 -4.98 4.541 [-4.98]
1023290000000000.0 3.15484e+19 89733700000.0 12279200000000.0 41121600000000.0 1983720000000.0 35090400000000.0 522441.0 5340510000000.0 365564000000000.0 501673000000000.0 85834800.0 3998570000.0 17325400000.0 1558920000000.0 -4.96 4.537 [-4.96]
1023290000000000.0 2.98868e+19 96970200000.0 12911300000000.0 41605500000000.0 2105590000000.0 34471200000000.0 584690.0 5687280000000.0 345244000000000.0 451571000000000.0 101274000.0 4620440000.0 19367900000.0 1650930000000.0 -4.94 4.532 [-4.94]
1023290000000000.0 2.83161e+19 104677000000.0 13559900000000.0 42047200000000.0 2232130000000.0 33806200000000.0 654164.0 6048050000000.0 325353000000000.0 405671000000000.0 119260000.0 5330560000.0 21618500000.0 1745810000000.0 -4.92 4.528 [-4.92]
1023290000000000.0 2.68309e+19 112877000000.0 14224300000000.0 42445600000000.0 2363220000000.0 33097500000000.0 731679.0 6422510000000.0 305948000000000.0 363724000000000.0 140170000.0 6140120000.0 24094300000.0 1843420000000.0 -4.9 4.524 [-4.9]
1023290000000000.0 2.54264e+19 121588000000.0 14903700000000.0 42799500000000.0 2498650000000.0 32347200000000.0 818124.0 6810270000000.0 287082000000000.0 325468000000000.0 164429000.0 7061510000.0 26813400000.0 1943620000000.0 -4.88 4.519 [-4.88]
1023290000000000.0 2.40976e+19 130832000000.0 15597300000000.0 43107900000000.0 2638200000000.0 31558100000000.0 914479.0 7210770000000.0 268800000000000.0 290665000000000.0 192518000.0 8108420000.0 29795000000.0 2046250000000.0 -4.86 4.515 [-4.86]
1023290000000000.0 2.28403e+19 140626000000.0 16304000000000.0 43369900000000.0 2781600000000.0 30732800000000.0 1021830.0 7623470000000.0 251144000000000.0 259072000000000.0 224973000.0 9296000000.0 33059400000.0 2151100000000.0 -4.84 4.511 [-4.84]
1023290000000000.0 2.16502e+19 150991000000.0 17022900000000.0 43584500000000.0 2928530000000.0 29874300000000.0 1141440.0 8047810000000.0 234145000000000.0 230456000000000.0 262402000.0 10641000000.0 36627900000.0 2257980000000.0 -4.82 4.507 [-4.82]
1023290000000000.0 2.05238e+19 161940000000.0 17752500000000.0 43750900000000.0 3078600000000.0 28985900000000.0 1274590.0 8482900000000.0 217836000000000.0 204602000000000.0 305464000.0 12161400000.0 40521700000.0 2366610000000.0 -4.8 4.503 [-4.8]
1023290000000000.0 1.94572e+19 173490000000.0 18491400000000.0 43868200000000.0 3231400000000.0 28071000000000.0 1422840.0 8928070000000.0 202238000000000.0 181292000000000.0 354911000.0 13877400000.0 44764200000.0 2476760000000.0 -4.78 4.499 [-4.78]
1023290000000000.0 1.8447e+19 185651000000.0 19237900000000.0 43935800000000.0 3386450000000.0 27132900000000.0 1587800.0 9382340000000.0 187364000000000.0 160324000000000.0 411565000.0 15810600000.0 49379300000.0 2588110000000.0 -4.76 4.495 [-4.76]
1023290000000000.0 1.74901e+19 198439000000.0 19990400000000.0 43952900000000.0 3543280000000.0 26175400000000.0 1771400.0 9844940000000.0 173224000000000.0 141505000000000.0 476342000.0 17984900000.0 54391300000.0 2700370000000.0 -4.74 4.491 [-4.74]
1023290000000000.0 1.65824e+19 211811000000.0 20745500000000.0 43918800000000.0 3700930000000.0 25201800000000.0 1974990.0 10313800000000.0 159821000000000.0 124643000000000.0 550203000.0 20425600000.0 59831100000.0 2813240000000.0 -4.72 4.487 [-4.72]
1023290000000000.0 1.57238e+19 225880000000.0 21504500000000.0 43833800000000.0 3859760000000.0 24217000000000.0 2202510.0 10790300000000.0 147160000000000.0 109591000000000.0 634339000.0 23161300000.0 65712100000.0 2926240000000.0 -4.7 4.483 [-4.7]
1023290000000000.0 1.49103e+19 240603000000.0 22263800000000.0 43697100000000.0 4018770000000.0 23224300000000.0 2455890.0 11272400000000.0 135230000000000.0 96176100000000.0 729921000.0 26221800000.0 72065700000.0 3039050000000.0 -4.68 4.479 [-4.68]
1023290000000000.0 1.41395e+19 255984000000.0 23021000000000.0 43508500000000.0 4177360000000.0 22227700000000.0 2738180.0 11758900000000.0 124021000000000.0 84250100000000.0 838276000.0 29639600000.0 78917900000.0 3151250000000.0 -4.66 4.475 [-4.66]
1023290000000000.0 1.34091e+19 272025000000.0 23773800000000.0 43267900000000.0 4334930000000.0 21230900000000.0 3052800.0 12248800000000.0 113518000000000.0 73671500000000.0 960842000.0 33449200000.0 86294200000.0 3262400000000.0 -4.64 4.471 [-4.64]
1023290000000000.0 1.27169e+19 288728000000.0 24519900000000.0 42975400000000.0 4490880000000.0 20237800000000.0 3403650.0 12741200000000.0 103705000000000.0 64308000000000.0 1099190000.0 37688000000.0 94220000000.0 3372070000000.0 -4.62 4.467 [-4.62]
1023290000000000.0 1.20608e+19 306083000000.0 25256300000000.0 42631100000000.0 4644570000000.0 19252000000000.0 3795050.0 13234900000000.0 94559500000000.0 56037200000000.0 1254990000.0 42395200000.0 102721000000.0 3479770000000.0 -4.6 4.463 [-4.6]
1023290000000000.0 1.1439e+19 324087000000.0 25980700000000.0 42235400000000.0 4795420000000.0 18277000000000.0 4232030.0 13729100000000.0 86059600000000.0 48747100000000.0 1430070000.0 47613000000.0 111820000000.0 3585030000000.0 -4.58 4.459 [-4.58]
