H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
3.31131e+13	1.14068e+18	2.51165e+09	3.57181e+11	1.27351e+12	5.70528e+10	1.16248e+12	1.39730e+04	1.48519e+11	1.31317e+13	2.02077e+13	1.94952e+06	9.44945e+07	4.33188e+08	4.39457e+10
3.31131e+13	1.08018e+18	2.71994e+09	3.76527e+11	1.29174e+12	6.06921e+10	1.14601e+12	1.56332e+04	1.58610e+11	1.24643e+13	1.82578e+13	2.31017e+06	1.09584e+08	4.85945e+08	4.66913e+10
3.31131e+13	1.02305e+18	2.94235e+09	3.96442e+11	1.30870e+12	6.44893e+10	1.12795e+12	1.74875e+04	1.69160e+11	1.18051e+13	1.64641e+13	2.73218e+06	1.26878e+08	5.44281e+08	4.95354e+10
3.31131e+13	9.69109e+17	3.17989e+09	4.16923e+11	1.32436e+12	6.84469e+10	1.10836e+12	1.95621e+04	1.80177e+11	1.11563e+13	1.48186e+13	3.22505e+06	1.46664e+08	6.08646e+08	5.24744e+10
3.31131e+13	9.18132e+17	3.43296e+09	4.37943e+11	1.33868e+12	7.25575e+10	1.08729e+12	2.18769e+04	1.91640e+11	1.05201e+13	1.33115e+13	3.79947e+06	1.69267e+08	6.79584e+08	5.55062e+10
3.31131e+13	8.69938e+17	3.70220e+09	4.59479e+11	1.35163e+12	7.68159e+10	1.06481e+12	2.44577e+04	2.03538e+11	9.89849e+12	1.19342e+13	4.46756e+06	1.95046e+08	7.57647e+08	5.86268e+10
3.31131e+13	8.24364e+17	3.98831e+09	4.81507e+11	1.36316e+12	8.12164e+10	1.04098e+12	2.73342e+04	2.15857e+11	9.29325e+12	1.06785e+13	5.24301e+06	2.24395e+08	8.43409e+08	6.18317e+10
3.31131e+13	7.81258e+17	4.29193e+09	5.04001e+11	1.37325e+12	8.57516e+10	1.01589e+12	3.05385e+04	2.28581e+11	8.70601e+12	9.53615e+12	6.14124e+06	2.57757e+08	9.37481e+08	6.51155e+10
3.31131e+13	7.40472e+17	4.61369e+09	5.26928e+11	1.38185e+12	9.04124e+10	9.89622e+11	3.41065e+04	2.41693e+11	8.13820e+12	8.49935e+12	7.17956e+06	2.95615e+08	1.04050e+09	6.84723e+10
3.31131e+13	7.01874e+17	4.95414e+09	5.50249e+11	1.38895e+12	9.51879e+10	9.62275e+11	3.80775e+04	2.55171e+11	7.59100e+12	7.56050e+12	8.37730e+06	3.38502e+08	1.15315e+09	7.18954e+10
