# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
33113100000000.0 1.14068e+18 2511650000.0 357181000000.0 1273510000000.0 57052800000.0 1162480000000.0 13973.0 148519000000.0 13131700000000.0 20207700000000.0 1949520.0 94494500.0 433188000.0 43945700000.0 -5.0 4.551 [-5.0]
33113100000000.0 1.08018e+18 2719940000.0 376527000000.0 1291740000000.0 60692100000.0 1146010000000.0 15633.2 158610000000.0 12464300000000.0 18257800000000.0 2310170.0 109584000.0 485945000.0 46691300000.0 -4.98 4.546 [-4.98]
33113100000000.0 1.02305e+18 2942350000.0 396442000000.0 1308700000000.0 64489300000.0 1127950000000.0 17487.5 169160000000.0 11805100000000.0 16464100000000.0 2732180.0 126878000.0 544281000.0 49535400000.0 -4.96 4.542 [-4.96]
33113100000000.0 9.69109e+17 3179890000.0 416923000000.0 1324360000000.0 68446900000.0 1108360000000.0 19562.1 180177000000.0 11156300000000.0 14818600000000.0 3225050.0 146664000.0 608646000.0 52474400000.0 -4.94 4.537 [-4.94]
33113100000000.0 9.18132e+17 3432960000.0 437943000000.0 1338680000000.0 72557500000.0 1087290000000.0 21876.9 191640000000.0 10520100000000.0 13311500000000.0 3799470.0 169267000.0 679584000.0 55506200000.0 -4.92 4.533 [-4.92]
33113100000000.0 8.69938e+17 3702200000.0 459479000000.0 1351630000000.0 76815900000.0 1064810000000.0 24457.7 203538000000.0 9898490000000.0 11934200000000.0 4467560.0 195046000.0 757647000.0 58626800000.0 -4.9 4.529 [-4.9]
33113100000000.0 8.24364e+17 3988310000.0 481507000000.0 1363160000000.0 81216400000.0 1040980000000.0 27334.2 215857000000.0 9293250000000.0 10678500000000.0 5243010.0 224395000.0 843409000.0 61831700000.0 -4.88 4.524 [-4.88]
33113100000000.0 7.81258e+17 4291930000.0 504001000000.0 1373250000000.0 85751600000.0 1015890000000.0 30538.5 228581000000.0 8706010000000.0 9536150000000.0 6141240.0 257757000.0 937481000.0 65115500000.0 -4.86 4.52 [-4.86]
33113100000000.0 7.40472e+17 4613690000.0 526928000000.0 1381850000000.0 90412400000.0 989622000000.0 34106.5 241693000000.0 8138200000000.0 8499350000000.0 7179560.0 295615000.0 1040500000.0 68472300000.0 -4.84 4.516 [-4.84]
33113100000000.0 7.01874e+17 4954140000.0 550249000000.0 1388950000000.0 95187900000.0 962275000000.0 38077.5 255171000000.0 7591000000000.0 7560500000000.0 8377300.0 338502000.0 1153150000.0 71895400000.0 -4.82 4.512 [-4.82]
33113100000000.0 6.65339e+17 5313890000.0 573926000000.0 1394520000000.0 100067000000.0 933949000000.0 42496.5 268992000000.0 7065420000000.0 6712310000000.0 9756100.0 387006000.0 1276120000.0 75377000000.0 -4.8 4.508 [-4.8]
33113100000000.0 6.3075e+17 5693480000.0 597914000000.0 1398520000000.0 105036000000.0 904748000000.0 47413.4 283134000000.0 6562240000000.0 5947760000000.0 11340000.0 441769000.0 1410140000.0 78908700000.0 -4.78 4.503 [-4.78]
33113100000000.0 5.97998e+17 6093390000.0 622163000000.0 1400940000000.0 110081000000.0 874788000000.0 52883.5 297570000000.0 6082060000000.0 5260230000000.0 13155700.0 503492000.0 1555950000.0 82481300000.0 -4.76 4.499 [-4.76]
33113100000000.0 5.66969e+17 6513650000.0 646606000000.0 1401750000000.0 115181000000.0 844180000000.0 58963.1 312262000000.0 5625210000000.0 4643220000000.0 15232500.0 572938000.0 1714400000.0 86085400000.0 -4.74 4.495 [-4.74]
33113100000000.0 5.37578e+17 6954890000.0 671193000000.0 1400940000000.0 120324000000.0 813049000000.0 65725.8 327191000000.0 5191940000000.0 4090890000000.0 17603000.0 650935000.0 1886220000.0 89709700000.0 -4.72 4.491 [-4.72]
33113100000000.0 5.09734e+17 7417380000.0 695859000000.0 1398490000000.0 125491000000.0 781518000000.0 73249.3 342325000000.0 4782270000000.0 3597540000000.0 20302900.0 738383000.0 2072250000.0 93342500000.0 -4.7 4.487 [-4.7]
33113100000000.0 4.83354e+17 7901320000.0 720537000000.0 1394400000000.0 130663000000.0 749713000000.0 81621.3 357634000000.0 4396040000000.0 3157870000000.0 23371400.0 836253000.0 2273310000.0 96971700000.0 -4.68 4.483 [-4.68]
