H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
2.29087e+13	7.77508e+17	1.77664e+09	2.50306e+11	8.82657e+11	4.00758e+10	8.00018e+11	9.97594e+03	1.04336e+11	8.95535e+12	1.36229e+13	1.40688e+06	6.77626e+07	3.07848e+08	3.08098e+10
2.29087e+13	7.36297e+17	1.92343e+09	2.63785e+11	8.95044e+11	4.26196e+10	7.88383e+11	1.11600e+04	1.11386e+11	8.49585e+12	1.23028e+13	1.66631e+06	7.85520e+07	3.45214e+08	3.27231e+10
2.29087e+13	6.97378e+17	2.08020e+09	2.77659e+11	9.06553e+11	4.52735e+10	7.75658e+11	1.24833e+04	1.18757e+11	8.04229e+12	1.10891e+13	1.96978e+06	9.09140e+07	3.86512e+08	3.47042e+10
2.29087e+13	6.60629e+17	2.24755e+09	2.91920e+11	9.17154e+11	4.80375e+10	7.61883e+11	1.39632e+04	1.26448e+11	7.59635e+12	9.97609e+12	2.32403e+06	1.05053e+08	4.32065e+08	3.67504e+10
2.29087e+13	6.25893e+17	2.42576e+09	3.06549e+11	9.26823e+11	5.09062e+10	7.47096e+11	1.56136e+04	1.34445e+11	7.15940e+12	8.95724e+12	2.73667e+06	1.21198e+08	4.82255e+08	3.88602e+10
2.29087e+13	5.93053e+17	2.61531e+09	3.21532e+11	9.35535e+11	5.38764e+10	7.31342e+11	1.74538e+04	1.42741e+11	6.73282e+12	8.02669e+12	3.21637e+06	1.39603e+08	5.37464e+08	4.10307e+10
2.29087e+13	5.62000e+17	2.81671e+09	3.36853e+11	9.43263e+11	5.69443e+10	7.14674e+11	1.95051e+04	1.51326e+11	6.31785e+12	7.17878e+12	3.77289e+06	1.60551e+08	5.98090e+08	4.32585e+10
2.29087e+13	5.32622e+17	3.03032e+09	3.52489e+11	9.49987e+11	6.01033e+10	6.97148e+11	2.17893e+04	1.60188e+11	5.91554e+12	6.40780e+12	4.41720e+06	1.84352e+08	6.64571e+08	4.55400e+10
2.29087e+13	5.04825e+17	3.25659e+09	3.68417e+11	9.55684e+11	6.33474e+10	6.78824e+11	2.43323e+04	1.69314e+11	5.52683e+12	5.70844e+12	5.16161e+06	2.11350e+08	7.37353e+08	4.78708e+10
2.29087e+13	4.78518e+17	3.49594e+09	3.84612e+11	9.60335e+11	6.66690e+10	6.59771e+11	2.71626e+04	1.78689e+11	5.15255e+12	5.07551e+12	6.01988e+06	2.41924e+08	8.16902e+08	5.02462e+10
2.29087e+13	4.53615e+17	3.74873e+09	4.01044e+11	9.63919e+11	7.00597e+10	6.40057e+11	3.03118e+04	1.88298e+11	4.79334e+12	4.50399e+12	7.00737e+06	2.76487e+08	9.03709e+08	5.26607e+10
2.29087e+13	4.30037e+17	4.01535e+09	4.17682e+11	9.66421e+11	7.35102e+10	6.19759e+11	3.38153e+04	1.98123e+11	4.44969e+12	3.98912e+12	8.14118e+06	3.15494e+08	9.98283e+08	5.51084e+10
2.29087e+13	4.07706e+17	4.29597e+09	4.34487e+11	9.67824e+11	7.70089e+10	5.98953e+11	3.77107e+04	2.08143e+11	4.12199e+12	3.52630e+12	9.44014e+06	3.59440e+08	1.10116e+09	5.75831e+10
2.29087e+13	3.86554e+17	4.59094e+09	4.51422e+11	9.68112e+11	8.05455e+10	5.77720e+11	4.20434e+04	2.18341e+11	3.81046e+12	3.11124e+12	1.09253e+07	4.08867e+08	1.21288e+09	6.00775e+10
2.29087e+13	3.66519e+17	4.90048e+09	4.68444e+11	9.67276e+11	8.41078e+10	5.56148e+11	4.68627e+04	2.28697e+11	3.51522e+12	2.73989e+12	1.26195e+07	4.64356e+08	1.33400e+09	6.25839e+10
2.29087e+13	3.47536e+17	5.22468e+09	4.85507e+11	9.65304e+11	8.76826e+10	5.34319e+11	5.22230e+04	2.39187e+11	3.23626e+12	2.40837e+12	1.45480e+07	5.26541e+08	1.46508e+09	6.50943e+10
2.29087e+13	3.29554e+17	5.56402e+09	5.02572e+11	9.62192e+11	9.12599e+10	5.12322e+11	5.81924e+04	2.49798e+11	2.97346e+12	2.11311e+12	1.67389e+07	5.96111e+08	1.60667e+09	6.75999e+10
2.29087e+13	3.12513e+17	5.91836e+09	5.19584e+11	9.57931e+11	9.48245e+10	4.90239e+11	6.48389e+04	2.60505e+11	2.72654e+12	1.85065e+12	1.92227e+07	6.73808e+08	1.75939e+09	7.00920e+10
2.29087e+13	2.96367e+17	6.28744e+09	5.36477e+11	9.52524e+11	9.83604e+10	4.68165e+11	7.22372e+04	2.71278e+11	2.49531e+12	1.61797e+12	2.20308e+07	7.60386e+08	1.92376e+09	7.25601e+10
2.29087e+13	2.81065e+17	6.67147e+09	5.53204e+11	9.45967e+11	1.01856e+11	4.46174e+11	8.04825e+04	2.82101e+11	2.27928e+12	1.41204e+12	2.52000e+07	8.56717e+08	2.10039e+09	7.49947e+10
2.29087e+13	2.66561e+17	7.07029e+09	5.69707e+11	9.38267e+11	1.05297e+11	4.24350e+11	8.96765e+04	2.92954e+11	2.07799e+12	1.23018e+12	2.87688e+07	9.63696e+08	2.28984e+09	7.73856e+10
2.29087e+13	2.52816e+17	7.48382e+09	5.85925e+11	9.29431e+11	1.08672e+11	4.02771e+11	9.99366e+04	3.03815e+11	1.89094e+12	1.06993e+12	3.27788e+07	1.08227e+09	2.49261e+09	7.97216e+10
2.29087e+13	2.39788e+17	7.91163e+09	6.01793e+11	9.19470e+11	1.11964e+11	3.81511e+11	1.11391e+05	3.14659e+11	1.71757e+12	9.29003e+11	3.72742e+07	1.21344e+09	2.70923e+09	8.19917e+10
2.29087e+13	2.27439e+17	8.35337e+09	6.17245e+11	9.08401e+11	1.15163e+11	3.60637e+11	1.24189e+05	3.25466e+11	1.55728e+12	8.05316e+11	4.23026e+07	1.35826e+09	2.94018e+09	8.41847e+10
2.29087e+13	2.15734e+17	8.80870e+09	6.32218e+11	8.96242e+11	1.18254e+11	3.40215e+11	1.38499e+05	3.36214e+11	1.40943e+12	6.96974e+11	4.79149e+07	1.51785e+09	3.18588e+09	8.62892e+10
2.29087e+13	2.04641e+17	9.27712e+09	6.46647e+11	8.83019e+11	1.21228e+11	3.20302e+11	1.54511e+05	3.46882e+11	1.27340e+12	6.02261e+11	5.41647e+07	1.69333e+09	3.44668e+09	8.82933e+10
2.29087e+13	1.94125e+17	9.75793e+09	6.60462e+11	8.68761e+11	1.24071e+11	3.00949e+11	1.72440e+05	3.57448e+11	1.14852e+12	5.19612e+11	6.11084e+07	1.88591e+09	3.72293e+09	9.01859e+10
2.29087e+13	1.84157e+17	1.02504e+10	6.73599e+11	8.53502e+11	1.26774e+11	2.82202e+11	1.92529e+05	3.67892e+11	1.03414e+12	4.47625e+11	6.88057e+07	2.09681e+09	4.01487e+09	9.19552e+10
2.29087e+13	1.74710e+17	1.07541e+10	6.85997e+11	8.37280e+11	1.29328e+11	2.64099e+11	2.15056e+05	3.78194e+11	9.29610e+11	3.85040e+11	7.73191e+07	2.32727e+09	4.32261e+09	9.35901e+10
2.29087e+13	1.65757e+17	1.12681e+10	6.97598e+11	8.20141e+11	1.31725e+11	2.46674e+11	2.40337e+05	3.88336e+11	8.34288e+11	3.30727e+11	8.67142e+07	2.57859e+09	4.64617e+09	9.50796e+10
2.29087e+13	1.57268e+17	1.17911e+10	7.08326e+11	8.02130e+11	1.33954e+11	2.29951e+11	2.68713e+05	3.98292e+11	7.47537e+11	2.83664e+11	9.70557e+07	2.85200e+09	4.98560e+09	9.64130e+10
2.29087e+13	1.49222e+17	1.23221e+10	7.18130e+11	7.83301e+11	1.36010e+11	2.13949e+11	3.00587e+05	4.08046e+11	6.68754e+11	2.42958e+11	1.08413e+08	3.14877e+09	5.34068e+09	9.75800e+10
2.29087e+13	1.41595e+17	1.28601e+10	7.26955e+11	7.63713e+11	1.37886e+11	1.98683e+11	3.36407e+05	4.17576e+11	5.97348e+11	2.07805e+11	1.20856e+08	3.47015e+09	5.71108e+09	9.85709e+10
2.29087e+13	1.34361e+17	1.34042e+10	7.34757e+11	7.43416e+11	1.39578e+11	1.84151e+11	3.76700e+05	4.26871e+11	5.32724e+11	1.77484e+11	1.34462e+08	3.81748e+09	6.09647e+09	9.93768e+10
2.29087e+13	1.27507e+17	1.39525e+10	7.41481e+11	7.22499e+11	1.41080e+11	1.70371e+11	4.21999e+05	4.35902e+11	4.74407e+11	1.51396e+11	1.49288e+08	4.19161e+09	6.49597e+09	9.99893e+10
2.29087e+13	1.21010e+17	1.45040e+10	7.47091e+11	7.01022e+11	1.42390e+11	1.57333e+11	4.72964e+05	4.44655e+11	4.21851e+11	1.28973e+11	1.65410e+08	4.59372e+09	6.90890e+09	1.00401e+11
2.29087e+13	1.14853e+17	1.50567e+10	7.51552e+11	6.79072e+11	1.43505e+11	1.45037e+11	5.30286e+05	4.53109e+11	3.74600e+11	1.09738e+11	1.82883e+08	5.02454e+09	7.33413e+09	1.00606e+11
2.29087e+13	1.09009e+17	1.56103e+10	7.54841e+11	6.56683e+11	1.44424e+11	1.33449e+11	5.94871e+05	4.61259e+11	3.32121e+11	9.32359e+10	2.01806e+08	5.48546e+09	7.77091e+09	1.00597e+11
2.29087e+13	1.03475e+17	1.61619e+10	7.56931e+11	6.33989e+11	1.45145e+11	1.22582e+11	6.67497e+05	4.69071e+11	2.94086e+11	7.91293e+10	2.22191e+08	5.97626e+09	8.21728e+09	1.00371e+11
2.29087e+13	9.82242e+16	1.67107e+10	7.57811e+11	6.11028e+11	1.45668e+11	1.12397e+11	7.49296e+05	4.76541e+11	2.60026e+11	6.70664e+10	2.44128e+08	6.49797e+09	8.67207e+09	9.99253e+10
