H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.02329e+15	3.51701e+19	7.66062e+10	1.10669e+13	4.00322e+13	1.75461e+12	3.61846e+13	4.16992e+05	4.69047e+12	4.07226e+14	6.15638e+14	6.13020e+07	2.98030e+09	1.37990e+10	1.38384e+12
1.02329e+15	3.33073e+19	8.29522e+10	1.16642e+13	4.05967e+13	1.86669e+12	3.56620e+13	4.66756e+05	5.00816e+12	3.86248e+14	5.56268e+14	7.26088e+07	3.45487e+09	1.54742e+10	1.46986e+12
1.02329e+15	3.15484e+19	8.97337e+10	1.22792e+13	4.11216e+13	1.98372e+12	3.50904e+13	5.22441e+05	5.34051e+12	3.65564e+14	5.01673e+14	8.58348e+07	3.99857e+09	1.73254e+10	1.55892e+12
1.02329e+15	2.98868e+19	9.69702e+10	1.29113e+13	4.16055e+13	2.10559e+12	3.44712e+13	5.84690e+05	5.68728e+12	3.45244e+14	4.51571e+14	1.01274e+08	4.62044e+09	1.93679e+10	1.65093e+12
1.02329e+15	2.83161e+19	1.04677e+11	1.35599e+13	4.20472e+13	2.23213e+12	3.38062e+13	6.54164e+05	6.04805e+12	3.25353e+14	4.05671e+14	1.19260e+08	5.33056e+09	2.16185e+10	1.74581e+12
1.02329e+15	2.68309e+19	1.12877e+11	1.42243e+13	4.24456e+13	2.36322e+12	3.30975e+13	7.31679e+05	6.42251e+12	3.05948e+14	3.63724e+14	1.40170e+08	6.14012e+09	2.40943e+10	1.84342e+12
1.02329e+15	2.54264e+19	1.21588e+11	1.49037e+13	4.27995e+13	2.49865e+12	3.23472e+13	8.18124e+05	6.81027e+12	2.87082e+14	3.25468e+14	1.64429e+08	7.06151e+09	2.68134e+10	1.94362e+12
1.02329e+15	2.40976e+19	1.30832e+11	1.55973e+13	4.31079e+13	2.63820e+12	3.15581e+13	9.14479e+05	7.21077e+12	2.68800e+14	2.90665e+14	1.92518e+08	8.10842e+09	2.97950e+10	2.04625e+12
1.02329e+15	2.28403e+19	1.40626e+11	1.63040e+13	4.33699e+13	2.78160e+12	3.07328e+13	1.02183e+06	7.62347e+12	2.51144e+14	2.59072e+14	2.24973e+08	9.29600e+09	3.30594e+10	2.15110e+12
1.02329e+15	2.16502e+19	1.50991e+11	1.70229e+13	4.35845e+13	2.92853e+12	2.98743e+13	1.14144e+06	8.04781e+12	2.34145e+14	2.30456e+14	2.62402e+08	1.06410e+10	3.66279e+10	2.25798e+12
1.02329e+15	2.05238e+19	1.61940e+11	1.77525e+13	4.37509e+13	3.07860e+12	2.89859e+13	1.27459e+06	8.48290e+12	2.17836e+14	2.04602e+14	3.05464e+08	1.21614e+10	4.05217e+10	2.36661e+12
1.02329e+15	1.94572e+19	1.73490e+11	1.84914e+13	4.38682e+13	3.23140e+12	2.80710e+13	1.42284e+06	8.92807e+12	2.02238e+14	1.81292e+14	3.54911e+08	1.38774e+10	4.47642e+10	2.47676e+12
1.02329e+15	1.84470e+19	1.85651e+11	1.92379e+13	4.39358e+13	3.38645e+12	2.71329e+13	1.58780e+06	9.38234e+12	1.87364e+14	1.60324e+14	4.11565e+08	1.58106e+10	4.93793e+10	2.58811e+12
1.02329e+15	1.74901e+19	1.98439e+11	1.99904e+13	4.39529e+13	3.54328e+12	2.61754e+13	1.77140e+06	9.84494e+12	1.73224e+14	1.41505e+14	4.76342e+08	1.79849e+10	5.43913e+10	2.70037e+12
1.02329e+15	1.65824e+19	2.11811e+11	2.07455e+13	4.39188e+13	3.70093e+12	2.52018e+13	1.97499e+06	1.03138e+13	1.59821e+14	1.24643e+14	5.50203e+08	2.04256e+10	5.98311e+10	2.81324e+12
1.02329e+15	1.57238e+19	2.25880e+11	2.15045e+13	4.38338e+13	3.85976e+12	2.42170e+13	2.20251e+06	1.07903e+13	1.47160e+14	1.09591e+14	6.34339e+08	2.31613e+10	6.57121e+10	2.92624e+12
