# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
3.01994e+16 1.14289e+21 3039800000000.0 501799000000000.0 1676490000000000.0 75359600000000.0 1249830000000000.0 15319100.0 268466000000000.0 1.32576e+16 1.78851e+16 2124790000.0 106061000000.0 518386000000.0 48208100000000.0 -5.0 4.546 [-5.0]
3.01993e+16 1.08202e+21 3283630000000.0 527481000000000.0 1695820000000000.0 79850800000000.0 1226150000000000.0 17087200.0 285053000000000.0 1.25074e+16 1.60969e+16 2510310000.0 122643000000.0 579998000000.0 51115800000000.0 -4.98 4.542 [-4.98]
3.01994e+16 1.0245e+21 3542420000000.0 553707000000000.0 1713110000000000.0 84492900000000.0 1200800000000000.0 19051600.0 302224000000000.0 1.17745e+16 1.44605e+16 2959850000.0 141585000000.0 647937000000.0 54119100000000.0 -4.96 4.537 [-4.96]
3.01993e+16 9.70199e+20 3817150000000.0 580456000000000.0 1728340000000000.0 89283400000000.0 1173900000000000.0 21237600.0 319970000000000.0 1.10612e+16 1.29673e+16 3483100000.0 163186000000.0 722684000000.0 57213200000000.0 -4.94 4.532 [-4.94]
3.01993e+16 9.18908e+20 4108480000000.0 607674000000000.0 1741350000000000.0 94219600000000.0 1145520000000000.0 23671800.0 338285000000000.0 1.03691e+16 1.16075e+16 4090860000.0 187772000000.0 804739000000.0 60392200000000.0 -4.92 4.528 [-4.92]
3.01993e+16 8.70425e+20 4416510000000.0 635320000000000.0 1752240000000000.0 99283100000000.0 1115820000000000.0 26371400.0 357105000000000.0 9699940000000000.0 1.03715e+16 4795250000.0 215715000000.0 894767000000.0 63654400000000.0 -4.9 4.524 [-4.9]
3.01993e+16 8.24575e+20 4741770000000.0 663312000000000.0 1760890000000000.0 104463000000000.0 1084880000000000.0 29369800.0 376399000000000.0 9055020000000000.0 9250170000000000.0 5610030000.0 247420000000.0 993355000000.0 66993000000000.0 -4.88 4.519 [-4.88]
3.01993e+16 7.81181e+20 5084090000000.0 691570000000000.0 1767300000000000.0 109739000000000.0 1052850000000000.0 32690800.0 396088000000000.0 8435380000000000.0 8234980000000000.0 6550420000.0 283335000000.0 1101200000000.0 70402700000000.0 -4.86 4.515 [-4.86]
3.01993e+16 7.40157e+20 5444900000000.0 720077000000000.0 1771430000000000.0 115112000000000.0 1019850000000000.0 36380900.0 416196000000000.0 7842100000000000.0 7318420000000000.0 7633870000.0 323949000000.0 1218860000000.0 73875000000000.0 -4.84 4.511 [-4.84]
3.01994e+16 7.01287e+20 5822120000000.0 748671000000000.0 1773240000000000.0 120544000000000.0 986013000000000.0 40446400.0 436596000000000.0 7275520000000000.0 6491780000000000.0 8877960000.0 369771000000.0 1347240000000.0 77404300000000.0 -4.82 4.506 [-4.82]
3.01994e+16 6.64546e+20 6219350000000.0 777393000000000.0 1772760000000000.0 126046000000000.0 951501000000000.0 44980000.0 457357000000000.0 6736210000000000.0 5748500000000000.0 10306200000.0 421433000000.0 1486790000000.0 80979000000000.0 -4.8 4.502 [-4.8]
3.01993e+16 6.29798e+20 6636080000000.0 806140000000000.0 1769940000000000.0 131597000000000.0 916439000000000.0 50015500.0 478400000000000.0 6224440000000000.0 5081880000000000.0 11941500000.0 479546000000.0 1638220000000.0 84588500000000.0 -4.78 4.498 [-4.78]
3.01994e+16 5.96856e+20 7069200000000.0 834719000000000.0 1764820000000000.0 137151000000000.0 880970000000000.0 55561100.0 499586000000000.0 5740300000000000.0 4484390000000000.0 13807400000.0 544782000000.0 1802710000000.0 88229100000000.0 -4.76 4.494 [-4.76]
3.01994e+16 5.65707e+20 7523330000000.0 863178000000000.0 1757350000000000.0 142725000000000.0 845248000000000.0 61746700.0 520975000000000.0 5283530000000000.0 3950850000000000.0 15936200000.0 617940000000.0 1980480000000.0 91881700000000.0 -4.74 4.49 [-4.74]
3.01994e+16 5.36191e+20 7994860000000.0 891315000000000.0 1747590000000000.0 148274000000000.0 809413000000000.0 68586700.0 542443000000000.0 4853570000000000.0 3474690000000000.0 18356200000.0 699795000000.0 2172740000000.0 95540800000000.0 -4.72 4.486 [-4.72]
3.01994e+16 5.08249e+20 8485240000000.0 919090000000000.0 1735540000000000.0 153790000000000.0 773599000000000.0 76175000.0 563970000000000.0 4450190000000000.0 3050950000000000.0 21102800000.0 791225000000.0 2380070000000.0 99190900000000.0 -4.7 4.482 [-4.7]
