H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.02329e+15	2.08609e+19	1.98166e+12	7.19191e+14	4.70021e+15	1.44370e+11	1.19065e+14	3.53497e+15	9.25546e+06	3.59090e+14	3.36278e+16	2.66736e+16	7.42386e+07	2.74197e+09	2.96972e+11	3.99740e+12	2.17291e+14
1.02329e+15	1.95546e+19	2.11905e+12	7.42898e+14	4.73742e+15	1.61080e+11	1.28262e+14	3.43957e+15	1.13276e+07	3.92359e+14	3.13107e+16	2.34186e+16	8.58925e+07	3.09383e+09	3.33862e+11	4.53438e+12	2.30072e+14
1.02329e+15	1.83183e+19	2.27117e+12	7.67142e+14	4.76826e+15	1.80124e+11	1.38082e+14	3.33780e+15	1.39006e+07	4.27930e+14	2.90512e+16	2.04816e+16	9.95003e+07	3.48792e+09	3.74588e+11	5.13853e+12	2.43177e+14
1.02329e+15	1.71471e+19	2.44038e+12	7.92108e+14	4.79241e+15	2.01888e+11	1.48556e+14	3.22981e+15	1.71008e+07	4.65847e+14	2.68549e+16	1.78383e+16	1.15439e+08	3.93078e+09	4.19537e+11	5.81814e+12	2.56575e+14
1.02329e+15	1.60364e+19	2.62997e+12	8.18032e+14	4.80927e+15	2.26830e+11	1.59705e+14	3.11564e+15	2.10872e+07	5.06075e+14	2.47284e+16	1.54668e+16	1.34166e+08	4.43086e+09	4.69179e+11	6.58264e+12	2.70228e+14
1.02329e+15	1.49812e+19	2.84384e+12	8.45227e+14	4.81834e+15	2.55496e+11	1.71557e+14	2.99542e+15	2.60612e+07	5.48591e+14	2.26757e+16	1.33448e+16	1.56261e+08	4.99916e+09	5.24103e+11	7.44317e+12	2.84095e+14
1.02329e+15	1.39738e+19	3.08698e+12	8.74050e+14	4.81893e+15	2.88589e+11	1.84150e+14	2.86883e+15	3.22931e+07	5.93368e+14	2.06970e+16	1.14473e+16	1.82436e+08	5.64932e+09	5.85068e+11	8.41547e+12	2.98160e+14
1.02329e+15	1.30109e+19	3.36670e+12	9.05179e+14	4.81020e+15	3.26949e+11	1.97503e+14	2.73586e+15	4.01223e+07	6.40267e+14	1.87969e+16	9.75717e+15	2.13667e+08	6.40365e+09	6.53239e+11	9.51531e+12	3.12363e+14
1.02329e+15	1.20887e+19	3.69283e+12	9.39514e+14	4.79105e+15	3.71624e+11	2.11635e+14	2.59662e+15	4.99848e+07	6.89048e+14	1.69796e+16	8.25755e+15	2.51254e+08	7.29452e+09	7.30308e+11	1.07615e+13	3.26629e+14
1.02329e+15	1.12039e+19	4.07770e+12	9.78154e+14	4.75997e+15	4.23767e+11	2.26516e+14	2.45111e+15	6.24385e+07	7.39309e+14	1.52485e+16	6.93331e+15	2.96931e+08	8.37057e+09	8.18851e+11	1.21762e+13	3.40866e+14
