# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
3.02005e+16 4.61823e+20 132388000000000.0 3.31474e+16 1.8428e+17 8337780000000.0 5971440000000000.0 1.03911e+17 1352970000.0 2.1717e+16 5.68807e+17 2.89102e+17 34074500000.0 2471410000000.0 150138000000000.0 2196280000000000.0 2.24797e+16 -5.0 [-5.0]
3.02005e+16 4.26779e+20 149460000000000.0 3.5243e+16 1.82e+17 9409000000000.0 6329910000000000.0 9.7086e+16 1626310000.0 2.29914e+16 5.14405e+17 2.49606e+17 37604900000.0 2669360000000.0 154593000000000.0 2195720000000000.0 2.17669e+16 -4.98 [-4.98]
3.01996e+16 3.93393e+20 169026000000000.0 3.74974e+16 1.79301e+17 10629700000000.0 6703830000000000.0 9.03132e+16 1960530000.0 2.43301e+16 4.62659e+17 2.13936e+17 41541000000.0 2887610000000.0 159405000000000.0 2199480000000000.0 2.11001e+16 -4.96 [-4.96]
3.01995e+16 3.61809e+20 191078000000000.0 3.98438e+16 1.76046e+17 11988500000000.0 7075580000000000.0 8.36761e+16 2362880000.0 2.56679e+16 4.14188e+17 1.82151e+17 45887700000.0 3125070000000.0 164368000000000.0 2205790000000000.0 2.04741e+16 -4.94 [-4.94]
3.01996e+16 3.31895e+20 216229000000000.0 4.2313e+16 1.72199e+17 13510300000000.0 7443630000000000.0 7.71763e+16 2853140000.0 2.70071e+16 3.6876e+17 1.53952e+17 50790900000.0 3392000000000.0 169746000000000.0 2216610000000000.0 1.98761e+16 -4.92 [-4.92]
3.01995e+16 3.03653e+20 244677000000000.0 4.48837e+16 1.67808e+17 15210800000000.0 7807450000000000.0 7.08563e+16 3451480000.0 2.83516e+16 3.2633e+17 1.2897e+17 56336900000.0 3693000000000.0 175503000000000.0 2230930000000000.0 1.93032e+16 -4.9 [-4.9]
3.01995e+16 2.76951e+20 277000000000000.0 4.75664e+16 1.62832e+17 17109700000000.0 8162310000000000.0 6.47207e+16 4182750000.0 2.96904e+16 2.86738e+17 1.0693e+17 62631700000.0 4032760000000.0 181713000000000.0 2249370000000000.0 1.8747e+16 -4.88 [-4.88]
3.01998e+16 2.51805e+20 313737000000000.0 5.03514e+16 1.57268e+17 19230900000000.0 8503940000000000.0 5.88058e+16 5082270000.0 3.10153e+16 2.50003e+17 8.76379e+16 69835600000.0 4420590000000.0 188529000000000.0 2271990000000000.0 1.82024e+16 -4.86 [-4.86]
3.01993e+16 2.28228e+20 354988000000000.0 5.31851e+16 1.51127e+17 21569500000000.0 8823000000000000.0 5.31487e+16 6177490000.0 3.22982e+16 2.1615e+17 7.09139e+16 78031200000.0 4859540000000.0 195843000000000.0 2298140000000000.0 1.76644e+16 -4.84 [-4.84]
3.01995e+16 2.06131e+20 401751000000000.0 5.60856e+16 1.44414e+17 24169100000000.0 9119230000000000.0 4.77472e+16 7532460000.0 3.35598e+16 1.85008e+17 5.65096e+16 87568900000.0 5370020000000.0 203986000000000.0 2329420000000000.0 1.71245e+16 -4.82 [-4.82]
3.01994e+16 1.85591e+20 454027000000000.0 5.89319e+16 1.37108e+17 27001000000000.0 9370490000000000.0 4.26641e+16 9203540000.0 3.47408e+16 1.5675e+17 4.43222e+16 98755000000.0 5972180000000.0 212963000000000.0 2364890000000000.0 1.65744e+16 -4.8 [-4.8]
3.01995e+16 1.66505e+20 512071000000000.0 6.17354e+16 1.29377e+17 30098700000000.0 9589440000000000.0 3.78877e+16 11250700000.0 3.58816e+16 1.31014e+17 3.39475e+16 111618000000.0 6661120000000.0 222664000000000.0 2403700000000000.0 1.60179e+16 -4.78 [-4.78]
3.01995e+16 1.49094e+20 576263000000000.0 6.4328e+16 1.21134e+17 33407400000000.0 9737690000000000.0 3.35031e+16 13789100000.0 3.68994e+16 1.08318e+17 2.56394e+16 127081000000.0 7496590000000.0 233683000000000.0 2448380000000000.0 1.54381e+16 -4.76 [-4.76]
3.01998e+16 1.33253e+20 646128000000000.0 6.66671e+16 1.12613e+17 36950300000000.0 9831510000000000.0 2.94896e+16 16927800000.0 3.78512e+16 8.82754e+16 1.89321e+16 145375000000.0 8490980000000.0 245831000000000.0 2496690000000000.0 1.48383e+16 -4.74 [-4.74]
3.01995e+16 1.19014e+20 721675000000000.0 6.86356e+16 1.03893e+17 40691000000000.0 9857830000000000.0 2.58753e+16 20820000000.0 3.8733e+16 7.08642e+16 1.37145e+16 167324000000.0 9689730000000.0 259363000000000.0 2549390000000000.0 1.42098e+16 -4.72 [-4.72]
3.01995e+16 1.06059e+20 804415000000000.0 7.02365e+16 9.49307e+16 44684100000000.0 9818160000000000.0 2.25851e+16 25716600000.0 3.95861e+16 5.56044e+16 9687100000000000.0 193853000000.0 11142500000000.0 274495000000000.0 2607320000000000.0 1.35372e+16 -4.7 [-4.7]
3.01995e+16 9.50729e+19 886160000000000.0 7.1029e+16 8.64395e+16 48694700000000.0 9710160000000000.0 1.97937e+16 31698900000.0 4.03612e+16 4.35188e+16 6865050000000000.0 225585000000.0 12910300000000.0 290600000000000.0 2662710000000000.0 1.28533e+16 -4.68 [-4.68]
3.01995e+16 8.52921e+19 969356000000000.0 7.12808e+16 7.82391e+16 52912100000000.0 9562380000000000.0 1.72981e+16 39100600000.0 4.11277e+16 3.34755e+16 4756410000000000.0 263046000000.0 15015200000000.0 307696000000000.0 2716060000000000.0 1.21476e+16 -4.66 [-4.66]
3.01995e+16 7.67209e+19 1051580000000000.0 7.0932e+16 7.0478e+16 57349600000000.0 9383630000000000.0 1.50925e+16 48290700000.0 4.19074e+16 2.54785e+16 3268450000000000.0 307490000000.0 17549400000000.0 325910000000000.0 2766040000000000.0 1.1424e+16 -4.64 [-4.64]
3.01995e+16 6.93618e+19 1128460000000000.0 7.00453e+16 6.34436e+16 61858500000000.0 9186310000000000.0 1.31924e+16 59194400000.0 4.26127e+16 1.93112e+16 2238320000000000.0 357472000000.0 20440000000000.0 344001000000000.0 2807150000000000.0 1.07168e+16 -4.62 [-4.62]
3.01995e+16 6.29458e+19 1200320000000000.0 6.86928e+16 5.69998e+16 66658700000000.0 8985390000000000.0 1.15096e+16 72586700000.0 4.33307e+16 1.46507e+16 1546820000000000.0 415416000000.0 23866200000000.0 362982000000000.0 2841830000000000.0 1.00102e+16 -4.6 [-4.6]
3.01995e+16 5.75857e+19 1260880000000000.0 6.69443e+16 5.14512e+16 71558100000000.0 8794300000000000.0 1.00907e+16 88205500000.0 4.39307e+16 1.13955e+16 1111960000000000.0 478951000000.0 27760000000000.0 381655000000000.0 2864070000000000.0 9346780000000000.0 -4.58 [-4.58]
3.01995e+16 5.29974e+19 1311800000000000.0 6.49589e+16 4.66188e+16 76602400000000.0 8614190000000000.0 8875560000000000.0 106294000000.0 4.43989e+16 9053920000000000.0 826163000000000.0 547760000000.0 32141300000000.0 400002000000000.0 2875120000000000.0 8724350000000000.0 -4.56 [-4.56]
3.01995e+16 4.8888e+19 1356280000000000.0 6.28252e+16 4.22498e+16 81937900000000.0 8438790000000000.0 7795130000000000.0 127659000000.0 4.47676e+16 7239690000000000.0 620782000000000.0 623080000000.0 37135400000000.0 418542000000000.0 2878000000000000.0 8124410000000000.0 -4.54 [-4.54]
3.01995e+16 4.52586e+19 1393490000000000.0 6.06078e+16 3.83901e+16 87391000000000.0 8266420000000000.0 6859990000000000.0 152066000000.0 4.49838e+16 5856100000000000.0 474290000000000.0 702912000000.0 42635300000000.0 436209000000000.0 2871010000000000.0 7562650000000000.0 -4.52 [-4.52]
3.01995e+16 4.18905e+19 1426080000000000.0 5.83118e+16 3.4806e+16 93254100000000.0 8092980000000000.0 6007440000000000.0 181245000000.0 4.51198e+16 4720220000000000.0 361314000000000.0 790387000000.0 48976900000000.0 454537000000000.0 2858360000000000.0 7011010000000000.0 -4.5 [-4.5]
3.01995e+16 3.88466e+19 1452970000000000.0 5.59903e+16 3.15868e+16 99338900000000.0 7919350000000000.0 5260680000000000.0 215017000000.0 4.51247e+16 3825710000000000.0 277515000000000.0 883254000000.0 56050100000000.0 472448000000000.0 2837580000000000.0 6488680000000000.0 -4.48 [-4.48]
3.01995e+16 3.61114e+19 1474620000000000.0 5.36883e+16 2.87265e+16 105500000000000.0 7744260000000000.0 4614920000000000.0 253225000000.0 4.49879e+16 3120970000000000.0 215037000000000.0 979603000000.0 63710700000000.0 489007000000000.0 2808710000000000.0 6002140000000000.0 -4.46 [-4.46]
