# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
33113100000000.0 6.93548e+17 64272800000.0 22528000000000.0 138975000000000.0 4692340000.0 3693550000000.0 108567000000000.0 288796.0 10876700000000.0 1100310000000000.0 982941000000000.0 2469540.0 90450000.0 9217910000.0 114064000000.0 6555080000000.0 -5.0 [-5.0]
33113100000000.0 6.50734e+17 68342900000.0 23245100000000.0 140180000000000.0 5202520000.0 3973350000000.0 106010000000000.0 350902.0 11886600000000.0 1028990000000000.0 868215000000000.0 2847000.0 102181000.0 10392200000.0 129524000000.0 6952860000000.0 -4.98 [-4.98]
33113100000000.0 6.10223e+17 72795000000.0 23968800000000.0 141215000000000.0 5780330000.0 4272240000000.0 103267000000000.0 427752.0 12971800000000.0 959194000000000.0 763793000000000.0 3284510.0 115248000.0 11689100000.0 146937000000.0 7362160000000.0 -4.96 [-4.96]
33113100000000.0 5.71889e+17 77699000000.0 24704000000000.0 142072000000000.0 6436740000.0 4591140000000.0 100341000000000.0 522932.0 14131900000000.0 890992000000000.0 669349000000000.0 3793140.0 129833000.0 13119700000.0 166528000000.0 7781760000000.0 -4.94 [-4.94]
33113100000000.0 5.35567e+17 83130300000.0 25455400000000.0 142740000000000.0 7184500000.0 4930990000000.0 97231900000000.0 641042.0 15368300000000.0 824588000000000.0 584102000000000.0 4385920.0 146145000.0 14695700000.0 188567000000.0 8210660000000.0 -4.92 [-4.92]
33113100000000.0 5.01116e+17 89186400000.0 26229700000000.0 143208000000000.0 8038860000.0 5292630000000.0 93942000000000.0 787845.0 16680900000000.0 760154000000000.0 507388000000000.0 5079080.0 164460000.0 16431500000.0 213356000000.0 8647510000000.0 -4.9 [-4.9]
33113100000000.0 4.68417e+17 95992600000.0 27037200000000.0 143462000000000.0 9017960000.0 5676810000000.0 90473400000000.0 970563.0 18068200000000.0 697867000000000.0 438607000000000.0 5893100.0 185161000.0 18346200000.0 241226000000.0 9090600000000.0 -4.88 [-4.88]
33113100000000.0 4.37247e+17 103690000000.0 27886400000000.0 143487000000000.0 10144200000.0 6084560000000.0 86818900000000.0 1198770.0 19529300000000.0 637757000000000.0 376996000000000.0 6851920.0 208662000.0 20460300000.0 272662000000.0 9539310000000.0 -4.86 [-4.86]
33113100000000.0 4.07432e+17 112490000000.0 28793900000000.0 143257000000000.0 11445900000.0 6516860000000.0 82971400000000.0 1484840.0 21061400000000.0 579885000000000.0 321906000000000.0 7988040.0 235619000.0 22806000000.0 308218000000.0 9992290000000.0 -4.84 [-4.84]
33113100000000.0 3.78853e+17 122690000000.0 29785700000000.0 142746000000000.0 12958300000.0 6974410000000.0 78927900000000.0 1844700.0 22658000000000.0 524353000000000.0 272842000000000.0 9345560.0 267059000.0 25432800000.0 348515000000.0 10447400000000.0 -4.82 [-4.82]
