H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
2.29087e+13	4.72502e+17	4.54231e+10	1.57351e+13	9.61499e+13	3.34451e+09	2.60101e+12	7.45668e+13	2.09395e+05	7.64833e+12	7.46414e+14	6.66383e+14	1.78054e+06	6.48738e+07	6.57448e+09	8.09817e+10	4.58574e+12
2.29087e+13	4.43256e+17	4.82952e+10	1.62305e+13	9.69576e+13	3.70824e+09	2.79737e+12	7.27735e+13	2.54634e+05	8.35899e+12	6.97837e+14	5.87875e+14	2.05196e+06	7.32377e+07	7.40777e+09	9.19513e+10	4.86251e+12
2.29087e+13	4.15600e+17	5.14446e+10	1.67315e+13	9.76461e+13	4.12054e+09	3.00706e+12	7.08528e+13	3.10605e+05	9.12116e+12	6.50220e+14	5.16669e+14	2.36683e+06	8.25609e+07	8.32794e+09	1.04299e+11	5.14694e+12
2.29087e+13	3.89416e+17	5.49152e+10	1.72404e+13	9.82095e+13	4.58908e+09	3.23073e+12	6.88051e+13	3.79978e+05	9.93575e+12	6.03689e+14	4.52266e+14	2.73284e+06	9.29614e+07	9.34218e+09	1.18194e+11	5.43842e+12
2.29087e+13	3.64611e+17	5.87659e+10	1.77614e+13	9.86415e+13	5.12318e+09	3.46900e+12	6.66321e+13	4.66108e+05	1.08034e+13	5.58397e+14	3.94175e+14	3.15965e+06	1.04601e+08	1.04593e+10	1.33822e+11	5.73606e+12
2.29087e+13	3.41072e+17	6.30638e+10	1.82988e+13	9.89330e+13	5.73371e+09	3.72245e+12	6.43334e+13	5.73226e+05	1.17240e+13	5.14439e+14	3.41930e+14	3.65885e+06	1.17671e+08	1.16892e+10	1.51405e+11	6.03903e+12
2.29087e+13	3.18712e+17	6.79004e+10	1.88599e+13	9.90750e+13	6.43399e+09	3.99166e+12	6.19107e+13	7.06692e+05	1.26965e+13	4.71938e+14	2.95099e+14	4.24526e+06	1.32447e+08	1.30456e+10	1.71190e+11	6.34626e+12
2.29087e+13	2.97391e+17	7.33836e+10	1.94520e+13	9.90551e+13	7.24030e+09	4.27731e+12	5.93591e+13	8.73534e+05	1.37201e+13	4.30931e+14	2.53172e+14	4.93674e+06	1.49251e+08	1.45440e+10	1.93513e+11	6.65710e+12
2.29087e+13	2.76978e+17	7.96687e+10	2.00871e+13	9.88560e+13	8.17350e+09	4.58011e+12	5.66729e+13	1.08295e+06	1.47925e+13	3.91439e+14	2.15714e+14	5.75710e+06	1.68569e+08	1.62082e+10	2.18787e+11	6.97076e+12
2.29087e+13	2.57416e+17	8.69780e+10	2.07853e+13	9.84565e+13	9.25858e+09	4.90034e+12	5.38521e+13	1.34651e+06	1.59081e+13	3.53570e+14	1.82408e+14	6.73929e+06	1.91198e+08	1.80765e+10	2.47427e+11	7.28524e+12
2.29087e+13	2.38605e+17	9.56079e+10	2.15713e+13	9.78266e+13	1.05268e+10	5.23808e+12	5.08920e+13	1.67959e+06	1.70594e+13	3.17362e+14	1.52908e+14	7.92742e+06	2.18306e+08	2.02062e+10	2.79983e+11	7.59867e+12
2.29087e+13	2.20401e+17	1.05989e+11	2.24801e+13	9.69236e+13	1.20192e+10	5.59325e+12	4.77803e+13	2.10331e+06	1.82354e+13	2.82789e+14	1.26839e+14	9.38387e+06	2.51704e+08	2.26872e+10	3.17224e+11	7.90921e+12
2.29087e+13	2.02628e+17	1.18779e+11	2.35631e+13	9.56834e+13	1.37911e+10	5.96526e+12	4.44962e+13	2.64754e+06	1.94196e+13	2.49779e+14	1.03829e+14	1.12021e+07	2.94387e+08	2.56681e+10	3.60236e+11	8.21470e+12
2.29087e+13	1.85049e+17	1.35037e+11	2.48992e+13	9.40032e+13	1.59192e+10	6.35213e+12	4.10053e+13	3.35656e+06	2.05841e+13	2.18184e+14	8.35174e+13	1.35322e+07	3.51634e+08	2.94056e+10	4.10651e+11	8.51212e+12
2.29087e+13	1.67291e+17	1.56635e+11	2.66172e+13	9.17030e+13	1.85190e+10	6.74909e+12	3.72440e+13	4.30214e+06	2.16793e+13	1.87700e+14	6.55126e+13	1.66403e+07	4.33572e+08	3.43716e+10	4.71254e+11	8.79709e+12
2.29086e+13	1.48708e+17	1.87285e+11	2.89443e+13	8.84308e+13	2.17775e+10	7.14274e+12	3.30930e+13	5.61555e+06	2.26043e+13	1.57702e+14	4.93771e+13	2.10726e+07	5.62422e+08	4.15183e+10	5.47397e+11	9.06083e+12
2.29086e+13	1.27862e+17	2.36217e+11	3.23395e+13	8.33378e+13	2.60460e+10	7.48873e+12	2.82853e+13	7.60238e+06	2.31149e+13	1.26545e+14	3.44509e+13	2.82694e+07	8.00281e+08	5.31116e+10	6.52174e+11	9.27936e+12
2.29087e+13	1.11683e+17	2.90382e+11	3.54618e+13	7.81382e+13	3.01427e+10	7.70423e+12	2.44156e+13	9.93750e+06	2.33771e+13	1.02277e+14	2.46073e+13	3.74404e+07	1.12623e+09	6.64783e+10	7.53648e+11	9.36204e+12
2.29086e+13	9.77058e+16	3.53600e+11	3.83659e+13	7.25137e+13	3.42583e+10	7.80211e+12	2.10530e+13	1.28692e+07	2.34271e+13	8.15832e+13	1.74116e+13	4.96454e+07	1.58924e+09	8.20233e+10	8.59207e+11	9.33001e+12
2.29087e+13	8.44302e+16	4.33858e+11	4.11110e+13	6.59613e+13	3.85261e+10	7.74799e+12	1.79368e+13	1.68854e+07	2.32147e+13	6.25076e+13	1.17448e+13	6.74605e+07	2.30802e+09	1.00809e+11	9.77593e+11	9.16210e+12
2.29087e+13	7.19293e+16	5.34898e+11	4.33509e+13	5.85342e+13	4.27974e+10	7.50914e+12	1.51125e+13	2.26444e+07	2.28423e+13	4.52542e+13	7.43402e+12	9.46896e+07	3.44256e+09	1.22526e+11	1.10753e+12	8.82382e+12
2.29086e+13	6.08174e+16	6.51781e+11	4.46106e+13	5.08148e+13	4.69205e+10	7.10980e+12	1.26645e+13	3.10308e+07	2.25620e+13	3.10191e+13	4.45438e+12	1.35941e+08	5.15205e+09	1.45546e+11	1.23856e+12	8.31425e+12
2.29087e+13	5.20118e+16	7.63841e+11	4.47103e+13	4.39456e+13	5.09032e+10	6.68111e+12	1.06742e+13	4.23755e+07	2.26040e+13	2.10861e+13	2.68285e+12	1.90739e+08	7.39888e+09	1.67355e+11	1.35075e+12	7.72213e+12
2.29086e+13	4.53959e+16	8.57201e+11	4.40096e+13	3.83701e+13	5.49215e+10	6.31974e+12	9.08135e+12	5.64611e+07	2.28997e+13	1.47658e+13	1.69425e+12	2.54307e+08	1.00549e+10	1.87230e+11	1.43667e+12	7.13962e+12
2.29087e+13	4.03089e+16	9.31805e+11	4.28832e+13	3.38624e+13	5.90826e+10	6.03243e+12	7.78070e+12	7.32285e+07	2.32898e+13	1.06971e+13	1.12227e+12	3.23530e+08	1.30809e+10	2.05634e+11	1.50053e+12	6.59725e+12
2.29087e+13	3.62232e+16	9.91508e+11	4.15325e+13	3.01204e+13	6.34216e+10	5.79800e+12	6.69402e+12	9.29324e+07	2.36798e+13	7.95445e+12	7.70158e+11	3.97495e+08	1.65083e+10	2.23023e+11	1.54776e+12	6.09483e+12
2.29087e+13	3.28285e+16	1.03943e+12	4.00612e+13	2.69435e+13	6.79390e+10	5.59902e+12	5.77383e+12	1.15933e+08	2.40261e+13	6.03084e+12	5.42359e+11	4.75817e+08	2.03773e+10	2.39594e+11	1.58193e+12	5.62813e+12
2.29087e+13	2.99372e+16	1.07783e+12	3.85272e+13	2.42007e+13	7.26272e+10	5.42373e+12	4.98828e+12	1.42664e+08	2.43098e+13	4.63959e+12	3.89355e+11	5.58213e+08	2.47278e+10	2.55408e+11	1.60535e+12	5.19311e+12
2.29087e+13	2.74335e+16	1.10835e+12	3.69698e+13	2.18073e+13	7.74748e+10	5.26500e+12	4.31509e+12	1.73574e+08	2.45239e+13	3.61110e+12	2.83804e+11	6.44262e+08	2.95898e+10	2.70456e+11	1.61959e+12	4.78736e+12
2.29087e+13	2.52370e+16	1.13227e+12	3.54141e+13	1.97009e+13	8.24694e+10	5.11778e+12	3.73641e+12	2.09175e+08	2.46673e+13	2.83705e+12	2.09400e+11	7.33515e+08	3.49917e+10	2.84700e+11	1.62583e+12	4.40858e+12
2.29087e+13	2.32935e+16	1.15074e+12	3.38808e+13	1.78368e+13	8.75984e+10	4.97922e+12	3.23840e+12	2.49974e+08	2.47416e+13	2.24695e+12	1.56118e+11	8.25391e+08	4.09492e+10	2.98102e+11	1.62499e+12	4.05550e+12
2.29087e+13	2.15557e+16	1.16451e+12	3.23768e+13	1.61756e+13	9.28545e+10	4.84610e+12	2.80826e+12	2.96675e+08	2.47503e+13	1.79071e+12	1.17332e+11	9.19451e+08	4.74947e+10	3.10608e+11	1.61779e+12	3.72569e+12
2.29087e+13	1.99923e+16	1.17429e+12	3.09108e+13	1.46892e+13	9.82254e+10	4.71681e+12	2.43629e+12	3.49957e+08	2.46972e+13	1.43468e+12	8.87836e+10	1.01505e+09	5.46440e+10	3.22167e+11	1.60483e+12	3.41788e+12
2.29087e+13	1.85791e+16	1.18071e+12	2.94897e+13	1.33553e+13	1.03698e+11	4.59035e+12	2.11442e+12	4.10544e+08	2.45862e+13	1.15477e+12	6.75801e+10	1.11150e+09	6.24048e+10	3.32730e+11	1.58669e+12	3.13103e+12
2.29087e+13	1.72956e+16	1.18426e+12	2.81169e+13	1.21544e+13	1.09262e+11	4.46579e+12	1.83557e+12	4.79265e+08	2.44214e+13	9.33105e+11	5.16979e+10	1.20814e+09	7.07848e+10	3.42254e+11	1.56384e+12	2.86394e+12
2.29087e+13	1.61258e+16	1.18541e+12	2.67953e+13	1.10708e+13	1.14884e+11	4.34266e+12	1.59389e+12	5.56989e+08	2.42067e+13	7.56611e+11	3.97232e+10	1.30427e+09	7.97797e+10	3.50700e+11	1.53674e+12	2.61565e+12
2.29087e+13	1.50564e+16	1.18455e+12	2.55265e+13	1.00909e+13	1.20537e+11	4.22058e+12	1.38433e+12	6.44665e+08	2.39460e+13	6.15364e+11	3.06404e+10	1.39920e+09	8.93797e+10	3.58031e+11	1.50583e+12	2.38517e+12
2.29087e+13	1.40759e+16	1.18203e+12	2.43108e+13	9.20324e+12	1.26234e+11	4.09935e+12	1.20254e+12	7.43242e+08	2.36429e+13	5.01829e+11	2.37152e+10	1.49230e+09	9.95672e+10	3.64223e+11	1.47152e+12	2.17157e+12
2.29087e+13	1.31741e+16	1.17812e+12	2.31471e+13	8.39715e+12	1.31966e+11	3.97873e+12	1.04466e+12	8.53872e+08	2.33011e+13	4.10139e+11	1.84068e+10	1.58300e+09	1.10328e+11	3.69257e+11	1.43414e+12	1.97376e+12
2.29087e+13	1.23433e+16	1.17305e+12	2.20350e+13	7.66454e+12	1.37716e+11	3.85875e+12	9.07609e+11	9.77645e+08	2.29237e+13	3.35879e+11	1.43236e+10	1.67069e+09	1.21620e+11	3.73099e+11	1.39411e+12	1.79097e+12
2.29087e+13	1.15759e+16	1.16703e+12	2.09729e+13	6.99754e+12	1.43474e+11	3.73937e+12	7.88539e+11	1.11586e+09	2.25139e+13	2.75519e+11	1.11700e+10	1.75490e+09	1.33411e+11	3.75743e+11	1.35176e+12	1.62225e+12
2.29087e+13	1.08655e+16	1.16019e+12	1.99587e+13	6.38940e+12	1.49233e+11	3.62061e+12	6.85039e+11	1.26989e+09	2.20747e+13	2.26307e+11	8.72588e+09	1.83517e+09	1.45657e+11	3.77177e+11	1.30740e+12	1.46673e+12
2.29087e+13	1.02065e+16	1.15268e+12	1.89906e+13	5.83438e+12	1.54981e+11	3.50256e+12	5.95052e+11	1.44123e+09	2.16089e+13	1.86084e+11	6.82627e+09	1.91109e+09	1.58306e+11	3.77395e+11	1.26136e+12	1.32359e+12
2.29087e+13	9.59415e+15	1.14457e+12	1.80666e+13	5.32735e+12	1.60710e+11	3.38529e+12	5.16793e+11	1.63145e+09	2.11191e+13	1.53135e+11	5.34615e+09	1.98231e+09	1.71297e+11	3.76404e+11	1.21393e+12	1.19205e+12
2.29087e+13	9.02498e+15	1.13601e+12	1.71861e+13	4.86430e+12	1.66406e+11	3.26913e+12	4.48806e+11	1.84201e+09	2.06088e+13	1.26124e+11	4.19178e+09	2.04849e+09	1.84544e+11	3.74223e+11	1.16549e+12	1.07154e+12
2.29087e+13	8.49361e+15	1.12697e+12	1.63445e+13	4.44013e+12	1.72074e+11	3.15382e+12	3.89577e+11	2.07521e+09	2.00786e+13	1.03887e+11	3.28749e+09	2.10950e+09	1.98006e+11	3.70851e+11	1.11615e+12	9.61032e+11
2.29087e+13	7.99651e+15	1.11753e+12	1.55395e+13	4.05109e+12	1.77707e+11	3.03944e+12	3.37950e+11	2.33321e+09	1.95304e+13	8.55510e+10	2.57788e+09	2.16515e+09	2.11606e+11	3.66307e+11	1.06615e+12	8.59837e+11
2.29087e+13	7.53430e+15	1.10783e+12	1.47754e+13	3.69658e+12	1.83270e+11	2.92700e+12	2.93268e+11	2.61652e+09	1.89711e+13	7.05144e+10	2.02407e+09	2.21505e+09	2.25172e+11	3.60692e+11	1.01616e+12	7.67978e+11
2.29087e+13	7.10041e+15	1.09775e+12	1.40436e+13	3.37100e+12	1.88789e+11	2.81565e+12	2.54284e+11	2.92908e+09	1.83978e+13	5.80771e+10	1.58804e+09	2.25934e+09	2.38704e+11	3.53977e+11	9.65967e+11	6.84130e+11
2.29087e+13	6.69405e+15	1.08742e+12	1.33455e+13	3.07278e+12	1.94244e+11	2.70592e+12	2.20390e+11	3.27252e+09	1.78147e+13	4.78177e+10	1.24570e+09	2.29794e+09	2.52063e+11	3.46254e+11	9.16000e+11	6.08006e+11
2.29087e+13	6.31361e+15	1.07702e+12	1.26811e+13	2.79895e+12	1.99638e+11	2.59821e+12	1.90867e+11	3.65013e+09	1.72297e+13	3.93407e+10	9.76556e+08	2.33114e+09	2.65248e+11	3.37740e+11	8.66917e+11	5.38571e+11
2.29087e+13	5.95657e+15	1.06642e+12	1.20471e+13	2.54803e+12	2.04956e+11	2.49234e+12	1.65209e+11	4.06380e+09	1.66385e+13	3.23438e+10	7.65110e+08	2.35870e+09	2.78060e+11	3.28341e+11	8.18429e+11	4.75832e+11
2.29087e+13	5.62125e+15	1.05563e+12	1.14420e+13	2.31815e+12	2.10191e+11	2.38843e+12	1.42921e+11	4.51619e+09	1.60427e+13	2.65699e+10	5.99027e+08	2.38071e+09	2.90391e+11	3.18138e+11	7.70730e+11	4.19314e+11
2.29087e+13	5.30615e+15	1.04468e+12	1.08647e+13	2.10760e+12	2.15335e+11	2.28661e+12	1.23570e+11	5.01004e+09	1.54445e+13	2.18071e+10	4.68624e+08	2.39730e+09	3.02137e+11	3.07223e+11	7.24019e+11	3.68548e+11
2.29087e+13	5.00992e+15	1.03359e+12	1.03140e+13	1.91481e+12	2.20382e+11	2.18700e+12	1.06778e+11	5.54811e+09	1.48458e+13	1.78806e+10	3.66297e+08	2.40864e+09	3.13197e+11	2.95697e+11	6.78477e+11	3.23087e+11
2.29087e+13	4.73128e+15	1.02241e+12	9.78887e+12	1.73834e+12	2.25324e+11	2.08968e+12	9.22141e+10	6.13338e+09	1.42485e+13	1.46456e+10	2.86049e+08	2.41494e+09	3.23481e+11	2.83663e+11	6.34266e+11	2.82499e+11
2.29087e+13	4.46918e+15	1.01117e+12	9.28833e+12	1.57690e+12	2.30152e+11	1.99479e+12	7.95926e+10	6.76858e+09	1.36545e+13	1.19831e+10	2.23182e+08	2.41643e+09	3.32899e+11	2.71236e+11	5.91539e+11	2.46384e+11
2.29087e+13	4.22260e+15	9.99909e+11	8.81150e+12	1.42928e+12	2.34860e+11	1.90243e+12	6.86621e+10	7.45655e+09	1.30658e+13	9.79404e+09	1.73976e+08	2.41342e+09	3.41379e+11	2.58526e+11	5.50426e+11	2.14355e+11
2.29087e+13	3.99060e+15	9.88674e+11	8.35749e+12	1.29439e+12	2.39439e+11	1.81268e+12	5.92031e+10	8.20008e+09	1.24840e+13	7.99627e+09	1.35505e+08	2.40618e+09	3.48858e+11	2.45646e+11	5.11036e+11	1.86044e+11
2.29087e+13	3.77233e+15	9.77499e+11	7.92543e+12	1.17120e+12	2.43880e+11	1.72561e+12	5.10233e+10	9.00180e+09	1.19110e+13	6.52159e+09	1.05457e+08	2.39502e+09	3.55287e+11	2.32705e+11	4.73454e+11	1.61102e+11
2.29087e+13	3.56695e+15	9.66416e+11	7.51441e+12	1.05880e+12	2.48177e+11	1.64128e+12	4.39541e+10	9.86442e+09	1.13481e+13	5.31325e+09	8.20097e+07	2.38027e+09	3.60633e+11	2.19801e+11	4.37743e+11	1.39198e+11
2.29087e+13	3.37380e+15	9.55478e+11	7.12378e+12	9.56329e+11	2.52320e+11	1.55977e+12	3.78506e+10	1.07901e+10	1.07972e+13	4.32471e+09	6.37382e+07	2.36227e+09	3.64880e+11	2.07040e+11	4.03954e+11	1.20030e+11
2.29087e+13	3.19212e+15	9.44707e+11	6.75264e+12	8.62990e+11	2.56301e+11	1.48109e+12	3.25837e+10	1.17811e+10	1.02594e+13	3.51684e+09	4.95111e+07	2.34133e+09	3.68025e+11	1.94505e+11	3.72104e+11	1.03305e+11
2.29087e+13	3.02128e+15	9.34134e+11	6.40023e+12	7.78058e+11	2.60115e+11	1.40527e+12	2.80417e+10	1.28395e+10	9.73595e+12	2.85746e+09	3.84439e+07	2.31778e+09	3.70082e+11	1.82276e+11	3.42195e+11	8.87575e+10
2.29087e+13	2.86064e+15	9.23781e+11	6.06575e+12	7.00850e+11	2.63752e+11	1.33233e+12	2.41272e+10	1.39671e+10	9.22794e+12	2.31989e+09	2.98415e+07	2.29193e+09	3.71080e+11	1.70418e+11	3.14208e+11	7.61391e+10
2.29087e+13	2.70959e+15	9.13656e+11	5.74838e+12	6.30736e+11	2.67207e+11	1.26223e+12	2.07548e+10	1.51653e+10	8.73615e+12	1.88207e+09	2.31590e+07	2.26403e+09	3.71060e+11	1.58986e+11	2.88104e+11	6.52224e+10
2.29087e+13	2.56757e+15	9.03776e+11	5.44737e+12	5.67135e+11	2.70474e+11	1.19496e+12	1.78510e+10	1.64356e+10	8.26130e+12	1.52588e+09	1.79713e+07	2.23438e+09	3.70073e+11	1.48024e+11	2.63835e+11	5.58020e+10
2.29087e+13	2.43407e+15	8.94151e+11	5.16199e+12	5.09508e+11	2.73545e+11	1.13050e+12	1.53516e+10	1.77788e+10	7.80396e+12	1.23638e+09	1.39460e+07	2.20322e+09	3.68179e+11	1.37566e+11	2.41337e+11	4.76919e+10
2.29087e+13	2.30855e+15	8.84780e+11	4.89149e+12	4.57351e+11	2.76416e+11	1.06880e+12	1.32011e+10	1.91955e+10	7.36450e+12	1.00129e+09	1.08237e+07	2.17079e+09	3.65447e+11	1.27635e+11	2.20538e+11	4.07238e+10
2.29087e+13	2.19052e+15	8.75654e+11	4.63513e+12	4.10196e+11	2.79080e+11	1.00978e+12	1.13509e+10	2.06865e+10	6.94308e+12	8.10512e+08	8.40204e+06	2.13726e+09	3.61947e+11	1.18242e+11	2.01354e+11	3.47477e+10
2.29087e+13	2.07952e+15	8.66767e+11	4.39220e+12	3.67612e+11	2.81534e+11	9.53408e+11	9.75960e+09	2.22516e+10	6.53980e+12	6.55805e+08	6.52408e+06	2.10284e+09	3.57756e+11	1.09391e+11	1.83698e+11	2.96309e+10
2.29087e+13	1.97511e+15	8.58102e+11	4.16201e+12	3.29197e+11	2.83772e+11	8.99589e+11	8.39095e+09	2.38909e+10	6.15457e+12	5.30418e+08	5.06761e+06	2.06767e+09	3.52947e+11	1.01080e+11	1.67480e+11	2.52557e+10
2.29087e+13	1.87685e+15	8.49644e+11	3.94389e+12	2.94578e+11	2.85791e+11	8.48252e+11	7.21389e+09	2.56041e+10	5.78721e+12	4.28845e+08	3.93786e+06	2.03190e+09	3.47595e+11	9.32987e+10	1.52607e+11	2.15189e+10
2.29087e+13	1.78409e+15	8.41348e+11	3.73662e+12	2.63338e+11	2.87581e+11	7.99186e+11	6.19914e+09	2.73936e+10	5.43646e+12	3.46432e+08	3.05953e+06	1.99552e+09	3.41749e+11	8.60136e+10	1.38954e+11	1.83238e+10
2.29087e+13	1.69699e+15	8.33246e+11	3.54076e+12	2.35314e+11	2.89148e+11	7.52570e+11	5.32885e+09	2.92526e+10	5.10391e+12	2.79891e+08	2.37963e+06	1.95887e+09	3.35522e+11	7.92455e+10	1.26502e+11	1.56065e+10
