# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
22908700000000.0 4.72502e+17 45423100000.0 15735100000000.0 96149900000000.0 3344510000.0 2601010000000.0 74566800000000.0 209395.0 7648330000000.0 746414000000000.0 666383000000000.0 1780540.0 64873800.0 6574480000.0 80981700000.0 4585740000000.0 -5.0 [-5.0]
22908700000000.0 4.43256e+17 48295200000.0 16230500000000.0 96957600000000.0 3708240000.0 2797370000000.0 72773500000000.0 254634.0 8358990000000.0 697837000000000.0 587875000000000.0 2051960.0 73237700.0 7407770000.0 91951300000.0 4862510000000.0 -4.98 [-4.98]
22908700000000.0 4.156e+17 51444600000.0 16731500000000.0 97646100000000.0 4120540000.0 3007060000000.0 70852800000000.0 310605.0 9121160000000.0 650220000000000.0 516669000000000.0 2366830.0 82560900.0 8327940000.0 104299000000.0 5146940000000.0 -4.96 [-4.96]
22908700000000.0 3.89416e+17 54915200000.0 17240400000000.0 98209500000000.0 4589080000.0 3230730000000.0 68805100000000.0 379978.0 9935750000000.0 603689000000000.0 452266000000000.0 2732840.0 92961400.0 9342180000.0 118194000000.0 5438420000000.0 -4.94 [-4.94]
22908700000000.0 3.64611e+17 58765900000.0 17761400000000.0 98641500000000.0 5123180000.0 3469000000000.0 66632100000000.0 466108.0 10803400000000.0 558397000000000.0 394175000000000.0 3159650.0 104601000.0 10459300000.0 133822000000.0 5736060000000.0 -4.92 [-4.92]
22908700000000.0 3.41072e+17 63063800000.0 18298800000000.0 98933000000000.0 5733710000.0 3722450000000.0 64333400000000.0 573226.0 11724000000000.0 514439000000000.0 341930000000000.0 3658850.0 117671000.0 11689200000.0 151405000000.0 6039030000000.0 -4.9 [-4.9]
22908700000000.0 3.18712e+17 67900400000.0 18859900000000.0 99075000000000.0 6433990000.0 3991660000000.0 61910700000000.0 706692.0 12696500000000.0 471938000000000.0 295099000000000.0 4245260.0 132447000.0 13045600000.0 171190000000.0 6346260000000.0 -4.88 [-4.88]
22908700000000.0 2.97391e+17 73383600000.0 19452000000000.0 99055100000000.0 7240300000.0 4277310000000.0 59359100000000.0 873534.0 13720100000000.0 430931000000000.0 253172000000000.0 4936740.0 149251000.0 14544000000.0 193513000000.0 6657100000000.0 -4.86 [-4.86]
22908700000000.0 2.76978e+17 79668700000.0 20087100000000.0 98856000000000.0 8173500000.0 4580110000000.0 56672900000000.0 1082950.0 14792500000000.0 391439000000000.0 215714000000000.0 5757100.0 168569000.0 16208200000.0 218787000000.0 6970760000000.0 -4.84 [-4.84]
22908700000000.0 2.57416e+17 86978000000.0 20785300000000.0 98456500000000.0 9258580000.0 4900340000000.0 53852100000000.0 1346510.0 15908100000000.0 353570000000000.0 182408000000000.0 6739290.0 191198000.0 18076500000.0 247427000000.0 7285240000000.0 -4.82 [-4.82]
