H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
6.16595e+15	9.79735e+20	3.51577e+10	1.33239e+13	1.49304e+14	1.79050e+12	2.59670e+14	9.11401e+04	4.83860e+12	6.43154e+15	2.99823e+16	3.15916e+06	3.28001e+08	4.02726e+09	1.56950e+12
6.16589e+15	9.22640e+20	3.93515e+10	1.45353e+13	1.56204e+14	1.94794e+12	2.64319e+14	1.02037e+05	5.27267e+12	6.36975e+15	2.80763e+16	3.94960e+06	3.97441e+08	4.70503e+09	1.72893e+12
6.16590e+15	8.69264e+20	4.39563e+10	1.58255e+13	1.63149e+14	2.11695e+12	2.68655e+14	1.14284e+05	5.74313e+12	6.29786e+15	2.62589e+16	4.92267e+06	4.80377e+08	5.48471e+09	1.90105e+12
6.16590e+15	8.19273e+20	4.90010e+10	1.71969e+13	1.70122e+14	2.29806e+12	2.72665e+14	1.28000e+05	6.25183e+12	6.21600e+15	2.45267e+16	6.11750e+06	5.79227e+08	6.38007e+09	2.08653e+12
6.16592e+15	7.72423e+20	5.45194e+10	1.86523e+13	1.77108e+14	2.49202e+12	2.76339e+14	1.43374e+05	6.80155e+12	6.12453e+15	2.28778e+16	7.58088e+06	6.96795e+08	7.40630e+09	2.28609e+12
6.16594e+15	7.28503e+20	6.05482e+10	2.01940e+13	1.84089e+14	2.69970e+12	2.79668e+14	1.60628e+05	7.39548e+12	6.02384e+15	2.13108e+16	9.36861e+06	8.36330e+08	8.58008e+09	2.50038e+12
6.16591e+15	6.87307e+20	6.71259e+10	2.18244e+13	1.91047e+14	2.92193e+12	2.82640e+14	1.80010e+05	8.03675e+12	5.91428e+15	1.98239e+16	1.15471e+07	1.00158e+09	9.91986e+09	2.73008e+12
6.16592e+15	6.48650e+20	7.42957e+10	2.35470e+13	1.97969e+14	3.15970e+12	2.85254e+14	2.01784e+05	8.72837e+12	5.79639e+15	1.84151e+16	1.41959e+07	1.19695e+09	1.14468e+10	2.97595e+12
6.16591e+15	6.12366e+20	8.20983e+10	2.53622e+13	2.04834e+14	3.41385e+12	2.87500e+14	2.26292e+05	9.47429e+12	5.67064e+15	1.70825e+16	1.74086e+07	1.42741e+09	1.31828e+10	3.23855e+12
6.16592e+15	5.78284e+20	9.05807e+10	2.72732e+13	2.11629e+14	3.68530e+12	2.89374e+14	2.53859e+05	1.02773e+13	5.53752e+15	1.58235e+16	2.12968e+07	1.69878e+09	1.51535e+10	3.51862e+12
6.16593e+15	5.46268e+20	9.97964e+10	2.92822e+13	2.18335e+14	3.97524e+12	2.90871e+14	2.84925e+05	1.11416e+13	5.39763e+15	1.46362e+16	2.59920e+07	2.01772e+09	1.73859e+10	3.81672e+12
6.16595e+15	5.16168e+20	1.09797e+11	3.13908e+13	2.24934e+14	4.28462e+12	2.91981e+14	3.19956e+05	1.20705e+13	5.25146e+15	1.35180e+16	3.16498e+07	2.39184e+09	1.99100e+10	4.13343e+12
6.16592e+15	4.87860e+20	1.20638e+11	3.36016e+13	2.31416e+14	4.61444e+12	2.92707e+14	3.59410e+05	1.30672e+13	5.09963e+15	1.24665e+16	3.84529e+07	2.82993e+09	2.27592e+10	4.46939e+12
6.16592e+15	4.61231e+20	1.32380e+11	3.59166e+13	2.37767e+14	4.96584e+12	2.93050e+14	4.03856e+05	1.41355e+13	4.94288e+15	1.14794e+16	4.66171e+07	3.34213e+09	2.59704e+10	4.82527e+12
6.16592e+15	4.36167e+20	1.45084e+11	3.83372e+13	2.43971e+14	5.33978e+12	2.93003e+14	4.53932e+05	1.52785e+13	4.78176e+15	1.05540e+16	5.63938e+07	3.93981e+09	2.95826e+10	5.20148e+12
6.16593e+15	4.12565e+20	1.58819e+11	4.08657e+13	2.50017e+14	5.73737e+12	2.92568e+14	5.10361e+05	1.65000e+13	4.61702e+15	9.68796e+15	6.80784e+07	4.63607e+09	3.36389e+10	5.59849e+12
6.16593e+15	3.90333e+20	1.73656e+11	4.35029e+13	2.55887e+14	6.15968e+12	2.91741e+14	5.73948e+05	1.78027e+13	4.44916e+15	8.87896e+15	8.20150e+07	5.44573e+09	3.81853e+10	6.01664e+12
6.16592e+15	3.69382e+20	1.89669e+11	4.62504e+13	2.61570e+14	6.60768e+12	2.90525e+14	6.45582e+05	1.91899e+13	4.27894e+15	8.12438e+15	9.86057e+07	6.38572e+09	4.32728e+10	6.45632e+12
6.16592e+15	3.49630e+20	2.06938e+11	4.91093e+13	2.67055e+14	7.08232e+12	2.88920e+14	7.26254e+05	2.06641e+13	4.10704e+15	7.42172e+15	1.18317e+08	7.47521e+09	4.89561e+10	6.91780e+12
6.16592e+15	3.31000e+20	2.25546e+11	5.20806e+13	2.72330e+14	7.58448e+12	2.86930e+14	8.17058e+05	2.22278e+13	3.93412e+15	6.76860e+15	1.41691e+08	8.73587e+09	5.52946e+10	7.40127e+12
6.16593e+15	3.13423e+20	2.45577e+11	5.51654e+13	2.77387e+14	8.11499e+12	2.84558e+14	9.19218e+05	2.38831e+13	3.76086e+15	6.16258e+15	1.69355e+08	1.01922e+10	6.23522e+10	7.90689e+12
6.16592e+15	2.96831e+20	2.67115e+11	5.83634e+13	2.82212e+14	8.67448e+12	2.81807e+14	1.03409e+06	2.56316e+13	3.58789e+15	5.60126e+15	2.02032e+08	1.18719e+10	7.01971e+10	8.43462e+12
6.16593e+15	2.81165e+20	2.90252e+11	6.16750e+13	2.86797e+14	9.26358e+12	2.78684e+14	1.16316e+06	2.74749e+13	3.41589e+15	5.08228e+15	2.40557e+08	1.38060e+10	7.89039e+10	8.98447e+12
6.16592e+15	2.66364e+20	3.15074e+11	6.50993e+13	2.91131e+14	9.88254e+12	2.75193e+14	1.30799e+06	2.94128e+13	3.24538e+15	4.60339e+15	2.85886e+08	1.60294e+10	8.85519e+10	9.55625e+12
6.16592e+15	2.52386e+20	3.41710e+11	6.86375e+13	2.95205e+14	1.05323e+13	2.71346e+14	1.47077e+06	3.14483e+13	3.07703e+15	4.16248e+15	3.39128e+08	1.85813e+10	9.92222e+10	1.01496e+13
