# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
6165950000000000.0 9.79735e+20 35157700000.0 13323900000000.0 149304000000000.0 1790500000000.0 259670000000000.0 91140.1 4838600000000.0 6431540000000000.0 2.99823e+16 3159160.0 328001000.0 4027260000.0 1569500000000.0 -5.0 4.667 [-5.0]
6165890000000000.0 9.2264e+20 39351500000.0 14535300000000.0 156204000000000.0 1947940000000.0 264319000000000.0 102037.0 5272670000000.0 6369750000000000.0 2.80763e+16 3949600.0 397441000.0 4705030000.0 1728930000000.0 -4.98 4.66 [-4.98]
6165900000000000.0 8.69264e+20 43956300000.0 15825500000000.0 163149000000000.0 2116950000000.0 268655000000000.0 114284.0 5743130000000.0 6297860000000000.0 2.62589e+16 4922670.0 480377000.0 5484710000.0 1901050000000.0 -4.96 4.653 [-4.96]
6165900000000000.0 8.19273e+20 49001000000.0 17196900000000.0 170122000000000.0 2298060000000.0 272665000000000.0 128000.0 6251830000000.0 6216000000000000.0 2.45267e+16 6117500.0 579227000.0 6380070000.0 2086530000000.0 -4.94 4.646 [-4.94]
6165920000000000.0 7.72423e+20 54519400000.0 18652300000000.0 177108000000000.0 2492020000000.0 276339000000000.0 143374.0 6801550000000.0 6124530000000000.0 2.28778e+16 7580880.0 696795000.0 7406300000.0 2286090000000.0 -4.92 4.639 [-4.92]
6165940000000000.0 7.28503e+20 60548200000.0 20194000000000.0 184089000000000.0 2699700000000.0 279668000000000.0 160628.0 7395480000000.0 6023840000000000.0 2.13108e+16 9368610.0 836330000.0 8580080000.0 2500380000000.0 -4.9 4.632 [-4.9]
6165910000000000.0 6.87307e+20 67125900000.0 21824400000000.0 191047000000000.0 2921930000000.0 282640000000000.0 180010.0 8036750000000.0 5914280000000000.0 1.98239e+16 11547100.0 1001580000.0 9919860000.0 2730080000000.0 -4.88 4.626 [-4.88]
6165920000000000.0 6.4865e+20 74295700000.0 23547000000000.0 197969000000000.0 3159700000000.0 285254000000000.0 201784.0 8728370000000.0 5796390000000000.0 1.84151e+16 14195900.0 1196950000.0 11446800000.0 2975950000000.0 -4.86 4.62 [-4.86]
6165910000000000.0 6.12366e+20 82098300000.0 25362200000000.0 204834000000000.0 3413850000000.0 287500000000000.0 226292.0 9474290000000.0 5670640000000000.0 1.70825e+16 17408600.0 1427410000.0 13182800000.0 3238550000000.0 -4.84 4.614 [-4.84]
6165920000000000.0 5.78284e+20 90580700000.0 27273200000000.0 211629000000000.0 3685300000000.0 289374000000000.0 253859.0 10277300000000.0 5537520000000000.0 1.58235e+16 21296800.0 1698780000.0 15153500000.0 3518620000000.0 -4.82 4.608 [-4.82]
6165930000000000.0 5.46268e+20 99796400000.0 29282200000000.0 218335000000000.0 3975240000000.0 290871000000000.0 284925.0 11141600000000.0 5397630000000000.0 1.46362e+16 25992000.0 2017720000.0 17385900000.0 3816720000000.0 -4.8 4.602 [-4.8]
6165950000000000.0 5.16168e+20 109797000000.0 31390800000000.0 224934000000000.0 4284620000000.0 291981000000000.0 319956.0 12070500000000.0 5251460000000000.0 1.3518e+16 31649800.0 2391840000.0 19910000000.0 4133430000000.0 -4.78 4.596 [-4.78]
6165920000000000.0 4.8786e+20 120638000000.0 33601600000000.0 231416000000000.0 4614440000000.0 292707000000000.0 359410.0 13067200000000.0 5099630000000000.0 1.24665e+16 38452900.0 2829930000.0 22759200000.0 4469390000000.0 -4.76 4.591 [-4.76]
6165920000000000.0 4.61231e+20 132380000000.0 35916600000000.0 237767000000000.0 4965840000000.0 293050000000000.0 403856.0 14135500000000.0 4942880000000000.0 1.14794e+16 46617100.0 3342130000.0 25970400000.0 4825270000000.0 -4.74 4.585 [-4.74]
6165920000000000.0 4.36167e+20 145084000000.0 38337200000000.0 243971000000000.0 5339780000000.0 293003000000000.0 453932.0 15278500000000.0 4781760000000000.0 1.0554e+16 56393800.0 3939810000.0 29582600000.0 5201480000000.0 -4.72 4.58 [-4.72]
6165930000000000.0 4.12565e+20 158819000000.0 40865700000000.0 250017000000000.0 5737370000000.0 292568000000000.0 510361.0 16500000000000.0 4617020000000000.0 9687960000000000.0 68078400.0 4636070000.0 33638900000.0 5598490000000.0 -4.7 4.575 [-4.7]
6165930000000000.0 3.90333e+20 173656000000.0 43502900000000.0 255887000000000.0 6159680000000.0 291741000000000.0 573948.0 17802700000000.0 4449160000000000.0 8878960000000000.0 82015000.0 5445730000.0 38185300000.0 6016640000000.0 -4.68 4.57 [-4.68]
6165920000000000.0 3.69382e+20 189669000000.0 46250400000000.0 261570000000000.0 6607680000000.0 290525000000000.0 645582.0 19189900000000.0 4278940000000000.0 8124380000000000.0 98605700.0 6385720000.0 43272800000.0 6456320000000.0 -4.66 4.565 [-4.66]
6165920000000000.0 3.4963e+20 206938000000.0 49109300000000.0 267055000000000.0 7082320000000.0 288920000000000.0 726254.0 20664100000000.0 4107040000000000.0 7421720000000000.0 118317000.0 7475210000.0 48956100000.0 6917800000000.0 -4.64 4.56 [-4.64]
6165920000000000.0 3.31e+20 225546000000.0 52080600000000.0 272330000000000.0 7584480000000.0 286930000000000.0 817058.0 22227800000000.0 3934120000000000.0 6768600000000000.0 141691000.0 8735870000.0 55294600000.0 7401270000000.0 -4.62 4.556 [-4.62]
6165930000000000.0 3.13423e+20 245577000000.0 55165400000000.0 277387000000000.0 8114990000000.0 284558000000000.0 919218.0 23883100000000.0 3760860000000000.0 6162580000000000.0 169355000.0 10192200000.0 62352200000.0 7906890000000.0 -4.6 4.551 [-4.6]
