H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.23030e+18	5.94949e+22	1.65636e+14	1.48402e+17	7.53611e+17	1.77497e+16	1.76415e+16	7.76699e+09	1.58472e+18	1.39275e+17	4.42147e+17	6.89209e+12	7.25219e+14	7.42337e+15	8.47130e+16
1.23034e+18	5.65812e+22	1.71429e+14	1.46549e+17	7.13787e+17	1.76690e+16	1.72245e+16	8.24862e+09	1.51584e+18	1.34362e+17	4.09595e+17	7.48272e+12	7.60225e+14	7.42598e+15	8.09826e+16
1.23029e+18	5.38077e+22	1.77346e+14	1.44692e+17	6.75810e+17	1.75857e+16	1.68107e+16	8.75485e+09	1.44986e+18	1.29475e+17	3.78835e+17	8.11292e+12	7.96441e+14	7.42389e+15	7.73675e+16
1.23030e+18	5.11737e+22	1.83361e+14	1.42824e+17	6.39803e+17	1.75073e+16	1.63971e+16	9.29221e+09	1.38698e+18	1.24582e+17	3.49898e+17	8.78232e+12	8.33799e+14	7.42163e+15	7.38863e+16
1.23030e+18	4.86661e+22	1.89620e+14	1.40960e+17	6.05500e+17	1.74277e+16	1.59856e+16	9.86432e+09	1.32680e+18	1.19723e+17	3.22638e+17	9.50716e+12	8.72638e+14	7.41520e+15	7.05187e+16
1.23032e+18	4.62827e+22	1.96105e+14	1.39104e+17	5.72917e+17	1.73493e+16	1.55749e+16	1.04711e+10	1.26933e+18	1.14891e+17	2.97084e+17	1.02893e+13	9.13035e+14	7.40612e+15	6.72718e+16
1.23030e+18	4.40154e+22	2.02771e+14	1.37247e+17	5.41943e+17	1.72703e+16	1.51665e+16	1.11168e+10	1.21438e+18	1.10109e+17	2.73118e+17	1.11248e+13	9.54754e+14	7.39341e+15	6.41386e+16
1.23029e+18	4.18593e+22	2.09495e+14	1.35365e+17	5.12530e+17	1.71920e+16	1.47594e+16	1.17983e+10	1.16185e+18	1.05379e+17	2.50738e+17	1.20039e+13	9.97343e+14	7.37806e+15	6.11176e+16
1.23049e+18	3.98048e+22	2.16413e+14	1.33460e+17	4.84565e+17	1.71129e+16	1.43540e+16	1.25250e+10	1.11153e+18	1.00708e+17	2.29804e+17	1.29462e+13	1.04122e+15	7.35946e+15	5.82012e+16
1.23037e+18	3.78584e+22	2.23659e+14	1.31628e+17	4.58081e+17	1.70354e+16	1.39501e+16	1.32958e+10	1.06367e+18	9.61139e+16	2.10337e+17	1.39582e+13	1.08701e+15	7.33671e+15	5.54052e+16
1.23037e+18	3.60025e+22	2.30987e+14	1.29751e+17	4.32913e+17	1.69553e+16	1.35487e+16	1.41158e+10	1.01777e+18	9.15900e+16	1.92187e+17	1.50279e+13	1.13361e+15	7.31010e+15	5.27077e+16
