# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
1.2303e+18 5.94949e+22 165636000000000.0 1.48402e+17 7.53611e+17 1.77497e+16 1.76415e+16 7766990000.0 1.58472e+18 1.39275e+17 4.42147e+17 6892090000000.0 725219000000000.0 7423370000000000.0 8.4713e+16 -5.0 4.343 [-5.0]
1.23034e+18 5.65812e+22 171429000000000.0 1.46549e+17 7.13787e+17 1.7669e+16 1.72245e+16 8248620000.0 1.51584e+18 1.34362e+17 4.09595e+17 7482720000000.0 760225000000000.0 7425980000000000.0 8.09826e+16 -4.98 4.342 [-4.98]
1.23029e+18 5.38077e+22 177346000000000.0 1.44692e+17 6.7581e+17 1.75857e+16 1.68107e+16 8754850000.0 1.44986e+18 1.29475e+17 3.78835e+17 8112920000000.0 796441000000000.0 7423890000000000.0 7.73675e+16 -4.96 4.341 [-4.96]
1.2303e+18 5.11737e+22 183361000000000.0 1.42824e+17 6.39803e+17 1.75073e+16 1.63971e+16 9292210000.0 1.38698e+18 1.24582e+17 3.49898e+17 8782320000000.0 833799000000000.0 7421630000000000.0 7.38863e+16 -4.94 4.34 [-4.94]
1.2303e+18 4.86661e+22 189620000000000.0 1.4096e+17 6.055e+17 1.74277e+16 1.59856e+16 9864320000.0 1.3268e+18 1.19723e+17 3.22638e+17 9507160000000.0 872638000000000.0 7415200000000000.0 7.05187e+16 -4.92 4.34 [-4.92]
1.23032e+18 4.62827e+22 196105000000000.0 1.39104e+17 5.72917e+17 1.73493e+16 1.55749e+16 10471100000.0 1.26933e+18 1.14891e+17 2.97084e+17 10289300000000.0 913035000000000.0 7406120000000000.0 6.72718e+16 -4.9 4.339 [-4.9]
1.2303e+18 4.40154e+22 202771000000000.0 1.37247e+17 5.41943e+17 1.72703e+16 1.51665e+16 11116800000.0 1.21438e+18 1.10109e+17 2.73118e+17 11124800000000.0 954754000000000.0 7393410000000000.0 6.41386e+16 -4.88 4.338 [-4.88]
1.23029e+18 4.18593e+22 209495000000000.0 1.35365e+17 5.1253e+17 1.7192e+16 1.47594e+16 11798300000.0 1.16185e+18 1.05379e+17 2.50738e+17 12003900000000.0 997343000000000.0 7378060000000000.0 6.11176e+16 -4.86 4.337 [-4.86]
1.23049e+18 3.98048e+22 216413000000000.0 1.3346e+17 4.84565e+17 1.71129e+16 1.4354e+16 12525000000.0 1.11153e+18 1.00708e+17 2.29804e+17 12946200000000.0 1041220000000000.0 7359460000000000.0 5.82012e+16 -4.84 4.336 [-4.84]
1.23037e+18 3.78584e+22 223659000000000.0 1.31628e+17 4.58081e+17 1.70354e+16 1.39501e+16 13295800000.0 1.06367e+18 9.61139e+16 2.10337e+17 13958200000000.0 1087010000000000.0 7336710000000000.0 5.54052e+16 -4.82 4.335 [-4.82]
1.23037e+18 3.60025e+22 230987000000000.0 1.29751e+17 4.32913e+17 1.69553e+16 1.35487e+16 14115800000.0 1.01777e+18 9.159e+16 1.92187e+17 15027900000000.0 1133610000000000.0 7310100000000000.0 5.27077e+16 -4.8 4.334 [-4.8]
1.2303e+18 3.42373e+22 238436000000000.0 1.27864e+17 4.09055e+17 1.68741e+16 1.31498e+16 14981300000.0 9.73896e+17 8.71504e+16 1.75321e+17 16158200000000.0 1181170000000000.0 7279570000000000.0 5.01148e+16 -4.78 4.333 [-4.78]
1.23047e+18 3.25574e+22 246031000000000.0 1.2596e+17 3.86423e+17 1.67938e+16 1.27525e+16 15908100000.0 9.31936e+17 8.27989e+16 1.59691e+17 17349800000000.0 1229630000000000.0 7246420000000000.0 4.76198e+16 -4.76 4.331 [-4.76]
1.23044e+18 3.09625e+22 253938000000000.0 1.24107e+17 3.64984e+17 1.67126e+16 1.23578e+16 16891200000.0 8.91893e+17 7.85492e+16 1.45229e+17 18624200000000.0 1279910000000000.0 7208450000000000.0 4.52291e+16 -4.74 4.33 [-4.74]
1.23034e+18 2.94428e+22 261885000000000.0 1.22221e+17 3.4463e+17 1.66272e+16 1.19659e+16 17934000000.0 8.53503e+17 7.44028e+16 1.31865e+17 19954600000000.0 1330530000000000.0 7165110000000000.0 4.29287e+16 -4.72 4.329 [-4.72]
1.23029e+18 2.7998e+22 269997000000000.0 1.20329e+17 3.25353e+17 1.65412e+16 1.15778e+16 19044300000.0 8.16786e+17 7.03687e+16 1.19549e+17 21354700000000.0 1381980000000000.0 7118040000000000.0 4.07219e+16 -4.7 4.328 [-4.7]
1.23043e+18 2.66249e+22 278312000000000.0 1.18455e+17 3.07126e+17 1.64566e+16 1.11922e+16 20235300000.0 7.81759e+17 6.64462e+16 1.08207e+17 22828500000000.0 1434430000000000.0 7068160000000000.0 3.86099e+16 -4.68 4.327 [-4.68]
