H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
5.88839e+15	9.33940e+20	3.35697e+10	1.26941e+13	1.42122e+14	1.70711e+12	2.47396e+14	8.72198e+04	4.59889e+12	6.12543e+15	2.85878e+16	3.01913e+06	3.13209e+08	3.83987e+09	1.49680e+12
5.88840e+15	8.79606e+20	3.75774e+10	1.38480e+13	1.48685e+14	1.85747e+12	2.51826e+14	9.77111e+04	5.01268e+12	6.06689e+15	2.67736e+16	3.77434e+06	3.79494e+08	4.48563e+09	1.64878e+12
5.88839e+15	8.28720e+20	4.19738e+10	1.50769e+13	1.55293e+14	2.01860e+12	2.55957e+14	1.09436e+05	5.45988e+12	5.99853e+15	2.50410e+16	4.70429e+06	4.58686e+08	5.22894e+09	1.81290e+12
5.88839e+15	7.81067e+20	4.67907e+10	1.63831e+13	1.61925e+14	2.19130e+12	2.59775e+14	1.22575e+05	5.94356e+12	5.92067e+15	2.33897e+16	5.84615e+06	5.53066e+08	6.08240e+09	1.98976e+12
5.88843e+15	7.36410e+20	5.20597e+10	1.77693e+13	1.68570e+14	2.37625e+12	2.63275e+14	1.37299e+05	6.46617e+12	5.83371e+15	2.18179e+16	7.24473e+06	6.65326e+08	7.06068e+09	2.18005e+12
5.88840e+15	6.94535e+20	5.78149e+10	1.92373e+13	1.75207e+14	2.57422e+12	2.66443e+14	1.53820e+05	7.03064e+12	5.73788e+15	2.03239e+16	8.95323e+06	7.98553e+08	8.17955e+09	2.38438e+12
5.88841e+15	6.55264e+20	6.40945e+10	2.07901e+13	1.81826e+14	2.78609e+12	2.69276e+14	1.72373e+05	7.64010e+12	5.63368e+15	1.89064e+16	1.10354e+07	9.56353e+08	9.45687e+09	2.60343e+12
5.88840e+15	6.18414e+20	7.09400e+10	2.24304e+13	1.88407e+14	3.01281e+12	2.71765e+14	1.93230e+05	8.29765e+12	5.52151e+15	1.75633e+16	1.35669e+07	1.14289e+09	1.09123e+10	2.83786e+12
5.88840e+15	5.83821e+20	7.83884e+10	2.41589e+13	1.94935e+14	3.25509e+12	2.73905e+14	2.16691e+05	9.00654e+12	5.40183e+15	1.62927e+16	1.66375e+07	1.36295e+09	1.25672e+10	3.08828e+12
5.88840e+15	5.51335e+20	8.64880e+10	2.59787e+13	2.01395e+14	3.51396e+12	2.75691e+14	2.43103e+05	9.77016e+12	5.27519e+15	1.50924e+16	2.03537e+07	1.62207e+09	1.44457e+10	3.35531e+12
5.88841e+15	5.20810e+20	9.52847e+10	2.78917e+13	2.07772e+14	3.79036e+12	2.77118e+14	2.72837e+05	1.05915e+13	5.14203e+15	1.39603e+16	2.48413e+07	1.92661e+09	1.65739e+10	3.63959e+12
5.88842e+15	4.92117e+20	1.04833e+11	2.98996e+13	2.14045e+14	4.08540e+12	2.78176e+14	3.06396e+05	1.14748e+13	5.00283e+15	1.28942e+16	3.02486e+07	2.28380e+09	1.89795e+10	3.94153e+12
5.88840e+15	4.65133e+20	1.15182e+11	3.20049e+13	2.20210e+14	4.39989e+12	2.78874e+14	3.44152e+05	1.24222e+13	4.85835e+15	1.18916e+16	3.67512e+07	2.70217e+09	2.16960e+10	4.26197e+12
5.88841e+15	4.39745e+20	1.26391e+11	3.42094e+13	2.26250e+14	4.73489e+12	2.79204e+14	3.86691e+05	1.34376e+13	4.70911e+15	1.09503e+16	4.45547e+07	3.19127e+09	2.47575e+10	4.60136e+12
5.88841e+15	4.15848e+20	1.38518e+11	3.65147e+13	2.32151e+14	5.09142e+12	2.79164e+14	4.34630e+05	1.45243e+13	4.55579e+15	1.00678e+16	5.38997e+07	3.76202e+09	2.82012e+10	4.96013e+12
5.88842e+15	3.93348e+20	1.51631e+11	3.89221e+13	2.37898e+14	5.47056e+12	2.78753e+14	4.88658e+05	1.56853e+13	4.39884e+15	9.24204e+15	6.50684e+07	4.42689e+09	3.20679e+10	5.33871e+12
5.88842e+15	3.72153e+20	1.65795e+11	4.14332e+13	2.43479e+14	5.87324e+12	2.77971e+14	5.49530e+05	1.69237e+13	4.23900e+15	8.47052e+15	7.83900e+07	5.20008e+09	3.64022e+10	5.73748e+12
5.88842e+15	3.52179e+20	1.81083e+11	4.40499e+13	2.48885e+14	6.30045e+12	2.76819e+14	6.18108e+05	1.82426e+13	4.07692e+15	7.75087e+15	9.42489e+07	6.09776e+09	4.12524e+10	6.15680e+12
5.88841e+15	3.33347e+20	1.97568e+11	4.67725e+13	2.54101e+14	6.75305e+12	2.75295e+14	6.95331e+05	1.96440e+13	3.91319e+15	7.08073e+15	1.13091e+08	7.13818e+09	4.66705e+10	6.59687e+12
5.88841e+15	3.15586e+20	2.15334e+11	4.96021e+13	2.59119e+14	7.23189e+12	2.73405e+14	7.82257e+05	2.11307e+13	3.74850e+15	6.45778e+15	1.35434e+08	8.34211e+09	5.27134e+10	7.05796e+12
5.88841e+15	2.98827e+20	2.34454e+11	5.25393e+13	2.63926e+14	7.73775e+12	2.71150e+14	8.80049e+05	2.27045e+13	3.58347e+15	5.87974e+15	1.61878e+08	9.73293e+09	5.94418e+10	7.54013e+12
5.88841e+15	2.83009e+20	2.55015e+11	5.55846e+13	2.68514e+14	8.27128e+12	2.68535e+14	9.90010e+05	2.43671e+13	3.41874e+15	5.34429e+15	1.93115e+08	1.13371e+10	6.69213e+10	8.04345e+12
5.88842e+15	2.68073e+20	2.77103e+11	5.87384e+13	2.72875e+14	8.83308e+12	2.65565e+14	1.11356e+06	2.61193e+13	3.25488e+15	4.84936e+15	2.29943e+08	1.31842e+10	7.52221e+10	8.56783e+12
5.88842e+15	2.53964e+20	3.00810e+11	6.19998e+13	2.76996e+14	9.42349e+12	2.62243e+14	1.25230e+06	2.79623e+13	3.09247e+15	4.39258e+15	2.73276e+08	1.53074e+10	8.44180e+10	9.11299e+12
5.88842e+15	2.40636e+20	3.26237e+11	6.53695e+13	2.80874e+14	1.00431e+13	2.58585e+14	1.40807e+06	2.98970e+13	2.93213e+15	3.97199e+15	3.24172e+08	1.77447e+10	9.45915e+10	9.67891e+12
5.88842e+15	2.28040e+20	3.53479e+11	6.88464e+13	2.84499e+14	1.06921e+13	2.54597e+14	1.58280e+06	3.19234e+13	2.77439e+15	3.58529e+15	3.83832e+08	2.05376e+10	1.05827e+11	1.02651e+13
5.88841e+15	2.16131e+20	3.82635e+11	7.24288e+13	2.87863e+14	1.13704e+13	2.50287e+14	1.77869e+06	3.40406e+13	2.61968e+15	3.23058e+15	4.53628e+08	2.37327e+10	1.18216e+11	1.08709e+13
5.88842e+15	2.04867e+20	4.13790e+11	7.61140e+13	2.90958e+14	1.20773e+13	2.45665e+14	1.99799e+06	3.62469e+13	2.46849e+15	2.90576e+15	5.35117e+08	2.73821e+10	1.31855e+11	1.14959e+13
5.88842e+15	1.94210e+20	4.47046e+11	7.98995e+13	2.93775e+14	1.28125e+13	2.40744e+14	2.24332e+06	3.85406e+13	2.32120e+15	2.60897e+15	6.30066e+08	3.15432e+10	1.46847e+11	1.21392e+13
5.88842e+15	1.84123e+20	4.82490e+11	8.37828e+13	2.96310e+14	1.35751e+13	2.35539e+14	2.51736e+06	4.09188e+13	2.17820e+15	2.33826e+15	7.40478e+08	3.62806e+10	1.63305e+11	1.28000e+13
5.88842e+15	1.74576e+20	5.20244e+11	8.77593e+13	2.98555e+14	1.43644e+13	2.30066e+14	2.82375e+06	4.33807e+13	2.03979e+15	2.09195e+15	8.68623e+08	4.16648e+10	1.81335e+11	1.34772e+13
5.88842e+15	1.65538e+20	5.60392e+11	9.18251e+13	3.00504e+14	1.51790e+13	2.24341e+14	3.16583e+06	4.59226e+13	1.90628e+15	1.86822e+15	1.01704e+09	4.77741e+10	2.01060e+11	1.41695e+13
5.88842e+15	1.56978e+20	6.03034e+11	9.59753e+13	3.02153e+14	1.60176e+13	2.18384e+14	3.54753e+06	4.85408e+13	1.77788e+15	1.66543e+15	1.18860e+09	5.46948e+10	2.22606e+11	1.48757e+13
