# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
5888390000000000.0 9.3394e+20 33569700000.0 12694100000000.0 142122000000000.0 1707110000000.0 247396000000000.0 87219.8 4598890000000.0 6125430000000000.0 2.85878e+16 3019130.0 313209000.0 3839870000.0 1496800000000.0 -5.0 4.667 [-5.0]
5888400000000000.0 8.79606e+20 37577400000.0 13848000000000.0 148685000000000.0 1857470000000.0 251826000000000.0 97711.1 5012680000000.0 6066890000000000.0 2.67736e+16 3774340.0 379494000.0 4485630000.0 1648780000000.0 -4.98 4.66 [-4.98]
5888390000000000.0 8.2872e+20 41973800000.0 15076900000000.0 155293000000000.0 2018600000000.0 255957000000000.0 109436.0 5459880000000.0 5998530000000000.0 2.5041e+16 4704290.0 458686000.0 5228940000.0 1812900000000.0 -4.96 4.653 [-4.96]
5888390000000000.0 7.81067e+20 46790700000.0 16383100000000.0 161925000000000.0 2191300000000.0 259775000000000.0 122575.0 5943560000000.0 5920670000000000.0 2.33897e+16 5846150.0 553066000.0 6082400000.0 1989760000000.0 -4.94 4.646 [-4.94]
5888430000000000.0 7.3641e+20 52059700000.0 17769300000000.0 168570000000000.0 2376250000000.0 263275000000000.0 137299.0 6466170000000.0 5833710000000000.0 2.18179e+16 7244730.0 665326000.0 7060680000.0 2180050000000.0 -4.92 4.639 [-4.92]
5888400000000000.0 6.94535e+20 57814900000.0 19237300000000.0 175207000000000.0 2574220000000.0 266443000000000.0 153820.0 7030640000000.0 5737880000000000.0 2.03239e+16 8953230.0 798553000.0 8179550000.0 2384380000000.0 -4.9 4.633 [-4.9]
5888410000000000.0 6.55264e+20 64094500000.0 20790100000000.0 181826000000000.0 2786090000000.0 269276000000000.0 172373.0 7640100000000.0 5633680000000000.0 1.89064e+16 11035400.0 956353000.0 9456870000.0 2603430000000.0 -4.88 4.626 [-4.88]
5888400000000000.0 6.18414e+20 70940000000.0 22430400000000.0 188407000000000.0 3012810000000.0 271765000000000.0 193230.0 8297650000000.0 5521510000000000.0 1.75633e+16 13566900.0 1142890000.0 10912300000.0 2837860000000.0 -4.86 4.62 [-4.86]
5888400000000000.0 5.83821e+20 78388400000.0 24158900000000.0 194935000000000.0 3255090000000.0 273905000000000.0 216691.0 9006540000000.0 5401830000000000.0 1.62927e+16 16637500.0 1362950000.0 12567200000.0 3088280000000.0 -4.84 4.614 [-4.84]
5888400000000000.0 5.51335e+20 86488000000.0 25978700000000.0 201395000000000.0 3513960000000.0 275691000000000.0 243103.0 9770160000000.0 5275190000000000.0 1.50924e+16 20353700.0 1622070000.0 14445700000.0 3355310000000.0 -4.82 4.608 [-4.82]
