# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
1.23048e+18 5.64511e+21 2.30279e+16 7.65692e+18 2.17419e+18 5216770000000000.0 1.6031e+18 2.95689e+17 7840770000000.0 1.65929e+19 2.61885e+18 3.06026e+18 30586900000000.0 6648560000000000.0 6.99461e+16 7.13047e+17 4.84688e+17 -5.0 [-5.0]
1.23046e+18 5.3762e+21 2.29884e+16 7.30767e+18 2.08223e+18 5226590000000000.0 1.53004e+18 2.89689e+17 8320380000000.0 1.58143e+19 2.50928e+18 2.8369e+18 31597600000000.0 6994250000000000.0 7.0095e+16 6.83652e+17 4.52923e+17 -4.98 [-4.98]
1.23027e+18 5.12018e+21 2.29546e+16 6.97842e+18 1.9945e+18 5237330000000000.0 1.46127e+18 2.83714e+17 8824580000000.0 1.5077e+19 2.4006e+18 2.62262e+18 32619000000000.0 7350190000000000.0 7.02018e+16 6.5539e+17 4.23462e+17 -4.96 [-4.96]
1.23029e+18 4.87824e+21 2.29283e+16 6.66625e+18 1.91237e+18 5249850000000000.0 1.39588e+18 2.77664e+17 9368430000000.0 1.43804e+19 2.29499e+18 2.42454e+18 33663000000000.0 7725090000000000.0 7.02824e+16 6.28079e+17 3.96306e+17 -4.94 [-4.94]
1.23038e+18 4.6471e+21 2.29176e+16 6.37135e+18 1.83577e+18 5264070000000000.0 1.3343e+18 2.71649e+17 9949880000000.0 1.37244e+19 2.18873e+18 2.23052e+18 34760700000000.0 8113930000000000.0 7.03512e+16 6.01651e+17 3.71305e+17 -4.92 [-4.92]
1.23028e+18 4.42845e+21 2.2906e+16 6.09272e+18 1.76102e+18 5280480000000000.0 1.27605e+18 2.65524e+17 10569000000000.0 1.31005e+19 2.08677e+18 2.05337e+18 35847300000000.0 8519450000000000.0 7.03741e+16 5.76312e+17 3.47985e+17 -4.9 [-4.9]
1.23045e+18 4.21996e+21 2.29104e+16 5.82906e+18 1.69178e+18 5300130000000000.0 1.22116e+18 2.59328e+17 11240000000000.0 1.25133e+19 1.98436e+18 1.88346e+18 36991900000000.0 8944490000000000.0 7.0397e+16 5.51792e+17 3.26524e+17 -4.88 [-4.88]
1.23029e+18 4.02167e+21 2.2911e+16 5.57895e+18 1.62439e+18 5316190000000000.0 1.16891e+18 2.5303e+17 11930200000000.0 1.19521e+19 1.88507e+18 1.72602e+18 38105500000000.0 9369160000000000.0 7.0311e+16 5.28192e+17 3.06588e+17 -4.86 [-4.86]
1.23027e+18 3.83367e+21 2.29191e+16 5.34024e+18 1.56048e+18 5333430000000000.0 1.11919e+18 2.46641e+17 12674800000000.0 1.14183e+19 1.78979e+18 1.58202e+18 39266600000000.0 9808940000000000.0 7.02122e+16 5.05266e+17 2.88157e+17 -4.84 [-4.84]
1.23049e+18 3.65434e+21 2.29417e+16 5.11557e+18 1.49978e+18 5352950000000000.0 1.07234e+18 2.40146e+17 13471800000000.0 1.09148e+19 1.69471e+18 1.4444e+18 40447000000000.0 1.02648e+16 7.00696e+16 4.83297e+17 2.71098e+17 -4.82 [-4.82]
1.23027e+18 3.48385e+21 2.29636e+16 4.90241e+18 1.44235e+18 5373480000000000.0 1.02789e+18 2.33562e+17 14317600000000.0 1.04377e+19 1.60182e+18 1.31605e+18 41617300000000.0 1.07333e+16 6.98704e+16 4.62118e+17 2.55364e+17 -4.8 [-4.8]
1.23027e+18 3.32114e+21 2.29984e+16 4.7003e+18 1.38669e+18 5394480000000000.0 9.85814e+17 2.26861e+17 15218600000000.0 9.9832e+18 1.51105e+18 1.1963e+18 42824700000000.0 1.12097e+16 6.96359e+16 4.41684e+17 2.40736e+17 -4.78 [-4.78]
1.23045e+18 3.16573e+21 2.30443e+16 4.5079e+18 1.33344e+18 5416890000000000.0 9.45734e+17 2.20041e+17 16191300000000.0 9.55056e+18 1.42226e+18 1.0843e+18 44065300000000.0 1.17011e+16 6.93663e+16 4.21908e+17 2.2717e+17 -4.76 [-4.76]
1.23034e+18 3.01782e+21 2.30869e+16 4.32504e+18 1.28298e+18 5437950000000000.0 9.07771e+17 2.13117e+17 17206300000000.0 9.13982e+18 1.33576e+18 9.80343e+17 45291600000000.0 1.21912e+16 6.90227e+16 4.02869e+17 2.14659e+17 -4.74 [-4.74]
1.2304e+18 2.87666e+21 2.31436e+16 4.1516e+18 1.23431e+18 5460570000000000.0 8.71635e+17 2.0609e+17 18298700000000.0 8.74884e+18 1.25152e+18 8.83493e+17 46534800000000.0 1.26955e+16 6.86311e+16 3.84547e+17 2.03034e+17 -4.72 [-4.72]
1.23037e+18 2.74169e+21 2.32041e+16 3.98611e+18 1.18749e+18 5482670000000000.0 8.37238e+17 1.98932e+17 19456600000000.0 8.3757e+18 1.16953e+18 7.93769e+17 47789000000000.0 1.32013e+16 6.81853e+16 3.6683e+17 1.92236e+17 -4.7 [-4.7]
1.23037e+18 2.61322e+21 2.32741e+16 3.82946e+18 1.14245e+18 5505730000000000.0 8.04631e+17 1.91699e+17 20692100000000.0 8.02151e+18 1.09019e+18 7.10851e+17 49046600000000.0 1.37143e+16 6.7685e+16 3.49843e+17 1.82236e+17 -4.68 [-4.68]
1.23027e+18 2.49022e+21 2.33496e+16 3.67956e+18 1.099e+18 5527520000000000.0 7.73404e+17 1.84363e+17 22000500000000.0 7.68222e+18 1.01334e+18 6.34337e+17 50303100000000.0 1.42257e+16 6.7118e+16 3.33428e+17 1.7292e+17 -4.66 [-4.66]
1.23033e+18 2.37254e+21 2.34287e+16 3.5365e+18 1.05703e+18 5549380000000000.0 7.43725e+17 1.76951e+17 23390200000000.0 7.35803e+18 9.39112e+17 5.63752e+17 51572600000000.0 1.47346e+16 6.65068e+16 3.17586e+17 1.64252e+17 -4.64 [-4.64]
1.23027e+18 2.26024e+21 2.35185e+16 3.4004e+18 1.01639e+18 5573760000000000.0 7.15456e+17 1.69497e+17 24894500000000.0 7.04914e+18 8.67585e+17 4.98987e+17 52856300000000.0 1.52545e+16 6.5857e+16 3.02326e+17 1.56184e+17 -4.62 [-4.62]
1.23033e+18 2.15278e+21 2.36208e+16 3.27189e+18 9.77031e+17 5600050000000000.0 6.88783e+17 1.61909e+17 26507000000000.0 6.75617e+18 7.97675e+17 4.3859e+17 54146200000000.0 1.5777e+16 6.5162e+16 2.87723e+17 1.48675e+17 -4.6 [-4.6]
1.23039e+18 2.05048e+21 2.37169e+16 3.14728e+18 9.3855e+17 5620070000000000.0 6.62844e+17 1.54458e+17 28174800000000.0 6.4722e+18 7.33338e+17 3.86125e+17 55398900000000.0 1.62726e+16 6.43689e+16 2.73621e+17 1.41669e+17 -4.58 [-4.58]
1.23036e+18 1.95213e+21 2.38235e+16 3.02883e+18 9.01236e+17 5642910000000000.0 6.3818e+17 1.4689e+17 29973300000000.0 6.20173e+18 6.70311e+17 3.36945e+17 56645200000000.0 1.67751e+16 6.35298e+16 2.60069e+17 1.35098e+17 -4.56 [-4.56]
1.23036e+18 1.85816e+21 2.39398e+16 2.91634e+18 8.65059e+17 5667810000000000.0 6.1487e+17 1.39315e+17 31905100000000.0 5.94416e+18 6.09686e+17 2.91854e+17 57913900000000.0 1.72703e+16 6.26698e+16 2.47068e+17 1.28969e+17 -4.54 [-4.54]
1.23043e+18 1.76825e+21 2.40604e+16 2.80802e+18 8.29519e+17 5689800000000000.0 5.92333e+17 1.31815e+17 33940100000000.0 5.69579e+18 5.52882e+17 2.51903e+17 59157400000000.0 1.77465e+16 6.17349e+16 2.34557e+17 1.23225e+17 -4.52 [-4.52]
1.23032e+18 1.6822e+21 2.41833e+16 2.70449e+18 7.94743e+17 5712650000000000.0 5.70783e+17 1.24375e+17 36111300000000.0 5.45807e+18 4.99043e+17 2.15898e+17 60375500000000.0 1.82129e+16 6.07545e+16 2.22568e+17 1.17818e+17 -4.5 [-4.5]
1.23035e+18 1.59949e+21 2.43111e+16 2.60416e+18 7.60823e+17 5731880000000000.0 5.49872e+17 1.17015e+17 38401500000000.0 5.22816e+18 4.48249e+17 1.83664e+17 61581900000000.0 1.86519e+16 5.97011e+16 2.10977e+17 1.12737e+17 -4.48 [-4.48]
1.2303e+18 1.5207e+21 2.44507e+16 2.50907e+18 7.27421e+17 5754900000000000.0 5.30009e+17 1.09776e+17 40879900000000.0 5.00912e+18 4.00483e+17 1.54988e+17 62776300000000.0 1.90877e+16 5.86298e+16 1.99953e+17 1.07964e+17 -4.46 [-4.46]
1.23027e+18 1.44492e+21 2.45977e+16 2.41798e+18 6.93905e+17 5778280000000000.0 5.10921e+17 1.02624e+17 43515600000000.0 4.79834e+18 3.55518e+17 1.29479e+17 63930200000000.0 1.95094e+16 5.75023e+16 1.89408e+17 1.03415e+17 -4.44 [-4.44]
1.2303e+18 1.3722e+21 2.47585e+16 2.32969e+18 6.61124e+17 5802740000000000.0 4.92394e+17 9.56613e+16 46393500000000.0 4.5944e+18 3.13536e+17 1.07002e+17 65120900000000.0 1.99093e+16 5.63615e+16 1.79221e+17 9.90958e+16 -4.42 [-4.42]
1.23028e+18 1.30281e+21 2.49167e+16 2.24522e+18 6.29007e+17 5826390000000000.0 4.74616e+17 8.88491e+16 49408800000000.0 4.39962e+18 2.74448e+17 8.73497e+16 66220800000000.0 2.02897e+16 5.51461e+16 1.69557e+17 9.50062e+16 -4.4 [-4.4]
1.23043e+18 1.23667e+21 2.50873e+16 2.16468e+18 5.97238e+17 5850910000000000.0 4.57608e+17 8.22699e+16 52643100000000.0 4.21325e+18 2.38249e+17 7.03065e+16 67314300000000.0 2.06415e+16 5.39121e+16 1.60393e+17 9.11348e+16 -4.38 [-4.38]
