# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
6165970000000000.0 6.31643e+20 1456530000000.0 1269240000000000.0 2.14843e+16 39957700000.0 80639700000000.0 3.08586e+16 459009.0 182511000000000.0 7.47401e+17 1.77794e+18 15909200.0 796969000.0 138875000000.0 2827040000000.0 574843000000000.0 -5.0 [-5.0]
6165940000000000.0 5.92002e+20 1551240000000.0 1342750000000000.0 2.20826e+16 43763700000.0 88181700000000.0 3.11927e+16 519987.0 203583000000000.0 7.2643e+17 1.63282e+18 18019700.0 921451000.0 158756000000.0 3178790000000.0 608870000000000.0 -4.98 [-4.98]
6165930000000000.0 5.55056e+20 1650980000000.0 1419230000000000.0 2.26934e+16 48016100000.0 96520200000000.0 3.1508e+16 592839.0 227414000000000.0 7.05221e+17 1.49774e+18 20430700.0 1064380000.0 181510000000.0 3579550000000.0 645645000000000.0 -4.96 [-4.96]
6166010000000000.0 5.20863e+20 1758570000000.0 1499020000000000.0 2.33124e+16 52853600000.0 105762000000000.0 3.18015e+16 681588.0 254408000000000.0 6.83902e+17 1.37288e+18 23219300.0 1229250000.0 207597000000.0 4035610000000.0 685308000000000.0 -4.94 [-4.94]
6165980000000000.0 4.88982e+20 1871900000000.0 1581180000000000.0 2.39333e+16 58240400000.0 115892000000000.0 3.2061e+16 787463.0 284633000000000.0 6.62264e+17 1.2571e+18 26387800.0 1416270000.0 237065000000.0 4548630000000.0 727269000000000.0 -4.92 [-4.92]
6165930000000000.0 4.59281e+20 1992620000000.0 1666460000000000.0 2.45614e+16 64302600000.0 127088000000000.0 3.22953e+16 915011.0 318730000000000.0 6.40502e+17 1.14966e+18 30027700.0 1630530000.0 270703000000.0 5131930000000.0 772340000000000.0 -4.9 [-4.9]
6165930000000000.0 4.31372e+20 2120670000000.0 1754300000000000.0 2.51885e+16 71123700000.0 139426000000000.0 3.24888e+16 1069380.0 357015000000000.0 6.18304e+17 1.04959e+18 34186600.0 1873320000.0 308657000000.0 5787680000000.0 819817000000000.0 -4.88 [-4.88]
6165930000000000.0 4.05331e+20 2256980000000.0 1844770000000000.0 2.58152e+16 78782600000.0 152978000000000.0 3.26452e+16 1255830.0 399887000000000.0 5.95968e+17 9.57e+17 38951300.0 2149090000.0 351588000000.0 6527300000000.0 870191000000000.0 -4.86 [-4.86]
6165930000000000.0 3.80993e+20 2402710000000.0 1937430000000000.0 2.6432e+16 87392000000.0 167786000000000.0 3.27516e+16 1481460.0 447511000000000.0 5.73401e+17 8.71553e+17 44392300.0 2458900000.0 399539000000.0 7351730000000.0 922692000000000.0 -4.84 [-4.84]
6165930000000000.0 3.58164e+20 2558720000000.0 2032650000000000.0 2.70421e+16 97096000000.0 184027000000000.0 3.28099e+16 1755500.0 500536000000000.0 5.50638e+17 7.92515e+17 50613800.0 2806720000.0 453096000000.0 8271720000000.0 977458000000000.0 -4.82 [-4.82]
6165930000000000.0 3.36759e+20 2726540000000.0 2130550000000000.0 2.76444e+16 108073000000.0 201845000000000.0 3.28209e+16 2089850.0 559579000000000.0 5.27799e+17 7.1946e+17 57758200.0 3198180000.0 513072000000.0 9302200000000.0 1034880000000000.0 -4.8 [-4.8]
6165930000000000.0 3.16686e+20 2907660000000.0 2231130000000000.0 2.82362e+16 120505000000.0 221371000000000.0 3.27822e+16 2498590.0 625183000000000.0 5.04943e+17 6.5204e+17 65977600.0 3638430000.0 580124000000.0 10454700000000.0 1094960000000000.0 -4.78 [-4.78]
6165940000000000.0 2.97814e+20 3103430000000.0 2334540000000000.0 2.88177e+16 134611000000.0 242777000000000.0 3.26919e+16 3000040.0 698026000000000.0 4.82088e+17 5.89797e+17 75439600.0 4132070000.0 654951000000.0 11745100000000.0 1157750000000000.0 -4.76 [-4.76]
6165940000000000.0 2.80033e+20 3313830000000.0 2440130000000000.0 2.93849e+16 150564000000.0 266152000000000.0 3.25452e+16 3615130.0 778590000000000.0 4.59272e+17 5.32366e+17 86292600.0 4682860000.0 738055000000.0 13185900000000.0 1223110000000000.0 -4.74 [-4.74]
6165940000000000.0 2.63277e+20 3542220000000.0 2548530000000000.0 2.99382e+16 168726000000.0 291748000000000.0 3.2343e+16 4373900.0 867760000000000.0 4.36554e+17 4.7945e+17 98799400.0 5297470000.0 830343000000.0 14797300000000.0 1291190000000000.0 -4.72 [-4.72]
6165950000000000.0 2.4749e+20 3789470000000.0 2659380000000000.0 3.04743e+16 189338000000.0 319651000000000.0 3.20821e+16 5308750.0 965968000000000.0 4.14013e+17 4.30829e+17 113137000.0 5981010000.0 932431000000.0 16595200000000.0 1361860000000000.0 -4.7 [-4.7]
6165950000000000.0 2.32594e+20 4058230000000.0 2772840000000000.0 3.09916e+16 212807000000.0 350077000000000.0 3.17614e+16 6464940.0 1074030000000000.0 3.91693e+17 3.86182e+17 129632000.0 6740420000.0 1045190000000.0 18601400000000.0 1435100000000000.0 -4.68 [-4.68]
6165970000000000.0 2.18529e+20 4350520000000.0 2888860000000000.0 3.14885e+16 239540000000.0 383199000000000.0 3.13799e+16 7897280.0 1192660000000000.0 3.69652e+17 3.45249e+17 148592000.0 7582190000.0 1169380000000.0 20838000000000.0 1510860000000000.0 -4.66 [-4.66]
6165960000000000.0 2.05232e+20 4670490000000.0 3008070000000000.0 3.19647e+16 270134000000.0 419319000000000.0 3.09377e+16 9679390.0 1322980000000000.0 3.47928e+17 3.07732e+17 170465000.0 8515840000.0 1306130000000.0 23334200000000.0 1589140000000000.0 -4.64 [-4.64]
