# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_Z, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_Z log_Te parameters
100000000000000.0 2.99598e+16 1096380000.0 6461620000.0 453379000.0 1592370000.0 6259120.0 8311330.0 10346300000.0 1898170.0 51203.2 65335200.0 675815000.0 159933000.0 70437300.0 -3.0 4.25 [-3.0]
100000000000000.0 2.99175e+16 3460410000.0 20405500000.0 1432670000.0 5028330000.0 19762600.0 26299000.0 32673600000.0 5983820.0 161225.0 206674000.0 2132590000.0 506365000.0 222272000.0 -2.5 4.25 [-2.5]
100000000000000.0 2.97725e+16 10876900000.0 64223900000.0 4516530000.0 15822900000.0 62127600.0 83358700.0 102841000000.0 18712800.0 502200.0 654331000.0 6696460000.0 1606430000.0 697673000.0 -2.0 4.247 [-2.0]
100000000000000.0 2.93224e+16 33778800000.0 200087000000.0 14135800000.0 49266000000.0 192778000.0 265558000.0 320472000000.0 57122200.0 1514150.0 2078690000.0 20709400000.0 5129770000.0 2155150000.0 -1.5 4.239 [-1.5]
100000000000000.0 2.80126e+16 101805000000.0 604624000000.0 43134000000.0 148631000000.0 574564000.0 858574000.0 969629000000.0 162237000.0 4143340.0 6723690000.0 61127900000.0 16677600000.0 6351230000.0 -1.0 4.214 [-1.0]
100000000000000.0 2.46175e+16 293921000000.0 1674850000000.0 117332000000.0 409829000000.0 1503250000.0 2890470000.0 2702310000000.0 375074000.0 8626340.0 24472300000.0 157782000000.0 54235900000.0 16297400000.0 -0.5 4.137 [-0.5]
100000000000000.0 1.86379e+16 835316000000.0 3955770000000.0 220745000000.0 952911000000.0 3010660000.0 10421400000.0 6452570000000.0 599238000.0 11074900.0 136209000000.0 310620000000.0 130323000000.0 29314000000.0 0.0 3.964 [0.0]
100000000000000.0 9932340000000000.0 2284660000000.0 6045430000000.0 181240000000.0 1443020000000.0 4005240000.0 45982800000.0 10238900000000.0 339375000.0 3848970.0 614702000000.0 234951000000.0 160023000000.0 17885800000.0 0.5 2.437 [0.5]
100000000000000.0 3195780000000000.0 2931270000000.0 5797040000000.0 120541000000.0 971897000000.0 1356900000.0 313479000000.0 6324920000000.0 20884100.0 0.0 899134000000.0 70971800000.0 93259100000.0 3588000000.0 1.0 2.228 [1.0]
100000000000000.0 1953000000000000.0 7093560000000.0 10155600000000.0 153254000000.0 1378720000000.0 1130360000.0 1326260000000.0 7470200000000.0 9275740.0 0.0 1918900000000.0 66000300000.0 111305000000.0 3053990000.0 1.5 0.0 [1.5]
100000000000000.0 1527620000000000.0 21723400000000.0 21509700000000.0 258428000000.0 2694290000000.0 1404720000.0 5087960000000.0 12814500000000.0 0.0 0.0 4944970000000.0 107876000000.0 199040000000.0 4899680000.0 2.0 0.0 [2.0]
