H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
1.00000e+14	2.99598e+16	1.09638e+09	6.46162e+09	4.53379e+08	1.59237e+09	6.25912e+06	8.31133e+06	1.03463e+10	1.89817e+06	5.12032e+04	6.53352e+07	6.75815e+08	1.59933e+08	7.04373e+07
1.00000e+14	2.99175e+16	3.46041e+09	2.04055e+10	1.43267e+09	5.02833e+09	1.97626e+07	2.62990e+07	3.26736e+10	5.98382e+06	1.61225e+05	2.06674e+08	2.13259e+09	5.06365e+08	2.22272e+08
1.00000e+14	2.97725e+16	1.08769e+10	6.42239e+10	4.51653e+09	1.58229e+10	6.21276e+07	8.33587e+07	1.02841e+11	1.87128e+07	5.02200e+05	6.54331e+08	6.69646e+09	1.60643e+09	6.97673e+08
1.00000e+14	2.93224e+16	3.37788e+10	2.00087e+11	1.41358e+10	4.92660e+10	1.92778e+08	2.65558e+08	3.20472e+11	5.71222e+07	1.51415e+06	2.07869e+09	2.07094e+10	5.12977e+09	2.15515e+09
1.00000e+14	2.80126e+16	1.01805e+11	6.04624e+11	4.31340e+10	1.48631e+11	5.74564e+08	8.58574e+08	9.69629e+11	1.62237e+08	4.14334e+06	6.72369e+09	6.11279e+10	1.66776e+10	6.35123e+09
1.00000e+14	2.46175e+16	2.93921e+11	1.67485e+12	1.17332e+11	4.09829e+11	1.50325e+09	2.89047e+09	2.70231e+12	3.75074e+08	8.62634e+06	2.44723e+10	1.57782e+11	5.42359e+10	1.62974e+10
1.00000e+14	1.86379e+16	8.35316e+11	3.95577e+12	2.20745e+11	9.52911e+11	3.01066e+09	1.04214e+10	6.45257e+12	5.99238e+08	1.10749e+07	1.36209e+11	3.10620e+11	1.30323e+11	2.93140e+10
1.00000e+14	9.93234e+15	2.28466e+12	6.04543e+12	1.81240e+11	1.44302e+12	4.00524e+09	4.59828e+10	1.02389e+13	3.39375e+08	3.84897e+06	6.14702e+11	2.34951e+11	1.60023e+11	1.78858e+10
1.00000e+14	3.19578e+15	2.93127e+12	5.79704e+12	1.20541e+11	9.71897e+11	1.35690e+09	3.13479e+11	6.32492e+12	2.08841e+07	0	8.99134e+11	7.09718e+10	9.32591e+10	3.58800e+09
1.00000e+14	1.95300e+15	7.09356e+12	1.01556e+13	1.53254e+11	1.37872e+12	1.13036e+09	1.32626e+12	7.47020e+12	9.27574e+06	0	1.91890e+12	6.60003e+10	1.11305e+11	3.05399e+09
1.00000e+14	1.52762e+15	2.17234e+13	2.15097e+13	2.58428e+11	2.69429e+12	1.40472e+09	5.08796e+12	1.28145e+13	0	0	4.94497e+12	1.07876e+11	1.99040e+11	4.89968e+09
