#Index	Failure?	Warnings?	Exit code	#rank	#seq	METALS= %	grid parameter string
000000000	F	F	                  ok	0	0	-3.000000	-3.000000
000000001	F	F	                  ok	9	0	-2.500000	-2.500000
000000002	F	F	                  ok	4	0	-2.000000	-2.000000
000000003	F	F	                  ok	8	0	-1.500000	-1.500000
000000004	F	F	                  ok	1	0	-1.000000	-1.000000
000000005	F	F	                  ok	7	0	-0.500000	-0.500000
000000006	F	F	                  ok	2	0	0.000000	0.000000
000000007	F	F	                  ok	5	0	0.500000	0.500000
000000008	F	F	                  ok	6	0	1.000000	1.000000
000000009	F	F	                  ok	10	0	1.500000	1.500000
000000010	F	F	                  ok	3	0	2.000000	2.000000
