QSO,z_abs,Delta_v,bHi,bHi_err,bOvi,bOvi_err,logT,logT_err,b_NT,b_NT_err
3c263,0.140756,11 (out),62,3,30,2,5.28,0.05,27,2
pks0637,0.161064,8 (out),162,21,48,5,6.19,0.16,27,13
pks0637,0.417539,18 (out),46,4,42,6,4.36,0.11,42,6
pg1424,0.147104,in,29,2,16,6,4.58,0.13,15,7
pg0003,0.347586,in,62,3,30,2,5.28,0.05,27,2
pg0003,0.386089,2 (out),40,4,25,4,4.80,0.11,24,5
pg0003,0.386089,7 (out),29,0,25,3,4.15,0.07,25,3
pg0003,0.421923,14 (out),64,3,27,1,5.34,0.05,22,1
pg1216,0.282286,9 (out),22,1,12,5,4.34,0.13,11,6
1es1553,0.187764,10 (out),37,3,28,5,4.58,0.11,27,5
1es1553,0.187764,26 (out),51,1,15,3,5.19,0.04,8,6
pg1222,0.378389,in,52,4,34,13,5.00,0.17,32,15
pg1222,0.378389,12 (out),43,1,29,13,4.81,0.19,28,14
pg1222,0.378389,20 (out),43,1,18,7,4.99,0.12,15,9
pg1116,0.138527,in,71,14,35,3,5.39,0.21,31,4
h1821,0.224981,8 (out),84,13,45,1,5.51,0.16,41,2
pg1121,0.192393,in,60,6,11,16,5.35,0.14,nan,nan
pks0405,0.167125,31 (out),56,9,41,3,4.97,0.47,40,3
