# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
2187760000000000.0 6.49931e+19 200738000000.0 26852500000000.0 88354900000000.0 14735400000.0 4332030000000.0 73637900000000.0 1178720.0 11915200000000.0 755103000000000.0 1000320000000000.0 12132500.0 199584000.0 9163160000.0 39254100000.0 3412000000000.0 46546.7 6318560.0 -5.0 [-5.0]
2187760000000000.0 6.15733e+19 216820000000.0 28218500000000.0 89345800000000.0 16049500000.0 4596020000000.0 72276900000000.0 1319310.0 12677300000000.0 712041000000000.0 899870000000000.0 14200400.0 235228000.0 10579700000.0 43849500000.0 3610720000000.0 56439.1 7518270.0 -4.98 [-4.98]
2187760000000000.0 5.834e+19 233937000000.0 29618700000000.0 90244600000000.0 17461900000.0 4869840000000.0 70820400000000.0 1476250.0 13469200000000.0 670000000000000.0 807957000000000.0 16592000.0 276703000.0 12195900000.0 48909100000.0 3815390000000.0 68370.5 8925190.0 -4.96 [-4.96]
2187760000000000.0 5.52825e+19 252133000000.0 31051500000000.0 91048900000000.0 18977100000.0 5153090000000.0 69273100000000.0 1651380.0 14290000000000.0 629100000000000.0 724032000000000.0 19352800.0 324865000.0 14036900000.0 54470800000.0 4025710000000.0 82745.0 10571700.0 -4.94 [-4.94]
2187760000000000.0 5.23902e+19 271450000000.0 32515200000000.0 91756400000000.0 20599500000.0 5445370000000.0 67640500000000.0 1846710.0 15138800000000.0 589440000000000.0 647572000000000.0 22533700.0 380678000.0 16130400000.0 60574900000.0 4241370000000.0 100044.0 12494600.0 -4.92 [-4.92]
2187760000000000.0 4.96535e+19 291927000000.0 34007600000000.0 92364800000000.0 22332900000.0 5746100000000.0 65928000000000.0 2064490.0 16014700000000.0 551115000000000.0 578044000000000.0 26191500.0 445225000.0 18507200000.0 67263600000.0 4461970000000.0 120838.0 14736100.0 -4.9 [-4.9]
2187760000000000.0 4.70637e+19 313606000000.0 35526500000000.0 92872100000000.0 24181400000.0 6054660000000.0 64141900000000.0 2307240.0 16916300000000.0 514196000000000.0 514973000000000.0 30389900.0 519717000.0 21200900000.0 74581100000.0 4687060000000.0 145807.0 17344000.0 -4.88 [-4.88]
2187760000000000.0 4.46121e+19 336530000000.0 37069600000000.0 93276500000000.0 26148900000.0 6370380000000.0 62288700000000.0 2577810.0 17842200000000.0 478739000000000.0 457890000000000.0 35200200.0 605521000.0 24249000000.0 82573800000.0 4916190000000.0 175755.0 20372500.0 -4.86 [-4.86]
2187760000000000.0 4.22911e+19 360720000000.0 38633300000000.0 93576000000000.0 28237500000.0 6692300000000.0 60375500000000.0 2879160.0 18790600000000.0 444799000000000.0 406344000000000.0 40698900.0 704123000.0 27691700000.0 91289600000.0 5148780000000.0 211626.0 23882800.0 -4.84 [-4.84]
2187760000000000.0 4.0093e+19 386206000000.0 40214400000000.0 93769100000000.0 30449600000.0 7019490000000.0 58409600000000.0 3214750.0 19759900000000.0 412412000000000.0 359887000000000.0 46971900.0 817199000.0 31573600000.0 100779000000.0 5384240000000.0 254541.0 27944200.0 -4.82 [-4.82]
