H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
1.47911e+15	4.38046e+19	1.36591e+11	1.80960e+13	5.91935e+13	1.01094e+10	2.92932e+12	4.95293e+13	8.11202e+05	7.95452e+12	5.07194e+14	6.78673e+14	8.32032e+06	1.34988e+08	6.17939e+09	2.62968e+10	2.29202e+12	3.16456e+04	4.23073e+06
1.47911e+15	4.14987e+19	1.47529e+11	1.90173e+13	5.98609e+13	1.10089e+10	3.10762e+12	4.86174e+13	9.07762e+05	8.46456e+12	4.78432e+14	6.10448e+14	9.73749e+06	1.59110e+08	7.13534e+09	2.93787e+10	2.42569e+12	3.83643e+04	5.03493e+06
1.47911e+15	3.93188e+19	1.59171e+11	1.99618e+13	6.04666e+13	1.19757e+10	3.29255e+12	4.76412e+13	1.01553e+06	8.99458e+12	4.50332e+14	5.48016e+14	1.13763e+07	1.87180e+08	8.22617e+09	3.27722e+10	2.56340e+12	4.64667e+04	5.97818e+06
1.47911e+15	3.72574e+19	1.71547e+11	2.09283e+13	6.10091e+13	1.30128e+10	3.48386e+12	4.66039e+13	1.13578e+06	9.54406e+12	4.22973e+14	4.91011e+14	1.32680e+07	2.19778e+08	9.46878e+09	3.65029e+10	2.70492e+12	5.62273e+04	7.08217e+06
1.47911e+15	3.53076e+19	1.84686e+11	2.19158e+13	6.14867e+13	1.41231e+10	3.68127e+12	4.55089e+13	1.26987e+06	1.01124e+13	3.96428e+14	4.39067e+14	1.54473e+07	2.57557e+08	1.08820e+10	4.05978e+10	2.85004e+12	6.79722e+04	8.37175e+06
1.47911e+15	3.34628e+19	1.98614e+11	2.29227e+13	6.18980e+13	1.53094e+10	3.88438e+12	4.43601e+13	1.41934e+06	1.06989e+13	3.70756e+14	3.91844e+14	1.79531e+07	3.01252e+08	1.24866e+10	4.50853e+10	2.99850e+12	8.20889e+04	9.87516e+06
1.47911e+15	3.17170e+19	2.13358e+11	2.39475e+13	6.22416e+13	1.65741e+10	4.09279e+12	4.31616e+13	1.58589e+06	1.13025e+13	3.46010e+14	3.49013e+14	2.08289e+07	3.51683e+08	1.43053e+10	4.99951e+10	3.15002e+12	9.90366e+04	1.16245e+07
1.47911e+15	3.00645e+19	2.28950e+11	2.49887e+13	6.25162e+13	1.79203e+10	4.30603e+12	4.19177e+13	1.77151e+06	1.19227e+13	3.22231e+14	3.10241e+14	2.41237e+07	4.09779e+08	1.63636e+10	5.53588e+10	3.30426e+12	1.19363e+05	1.36563e+07
1.47911e+15	2.85002e+19	2.45403e+11	2.60439e+13	6.27207e+13	1.93491e+10	4.52347e+12	4.06333e+13	1.97819e+06	1.25579e+13	2.99458e+14	2.75237e+14	2.78894e+07	4.76543e+08	1.86884e+10	6.12080e+10	3.46085e+12	1.43706e+05	1.60115e+07
1.47911e+15	2.70188e+19	2.62739e+11	2.71111e+13	6.28539e+13	2.08624e+10	4.74448e+12	3.93131e+13	2.20830e+06	1.32070e+13	2.77712e+14	2.43703e+14	3.21853e+07	5.53116e+08	2.13101e+10	6.75771e+10	3.61940e+12	1.72826e+05	1.87368e+07
1.47911e+15	2.56157e+19	2.80976e+11	2.81878e+13	6.29147e+13	2.24617e+10	4.96839e+12	3.79625e+13	2.46449e+06	1.38687e+13	2.57012e+14	2.15363e+14	3.70764e+07	6.40752e+08	2.42615e+10	7.45007e+10	3.77947e+12	2.07620e+05	2.18849e+07
1.47911e+15	2.42868e+19	3.00135e+11	2.92716e+13	6.29025e+13	2.41486e+10	5.19451e+12	3.65868e+13	2.74980e+06	1.45420e+13	2.37365e+14	1.89951e+14	4.26348e+07	7.40841e+08	2.75782e+10	8.20143e+10	3.94059e+12	2.49141e+05	2.55147e+07
