H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
4.07380e+14	1.19936e+19	3.83072e+10	4.97759e+12	1.60549e+13	2.88281e+09	8.11272e+11	1.35143e+13	2.33638e+05	2.15403e+12	1.38157e+14	1.87355e+14	2.36723e+06	3.73650e+07	1.70027e+09	7.13564e+09	6.24535e+11	8.89205e+03	1.14936e+06
4.07380e+14	1.13617e+19	4.13716e+10	5.23122e+12	1.62371e+13	3.13824e+09	8.60495e+11	1.32666e+13	2.61345e+05	2.29261e+12	1.30395e+14	1.68442e+14	2.76996e+06	4.40484e+07	1.96361e+09	7.97327e+09	6.61040e+11	1.07768e+04	1.36828e+06
4.07380e+14	1.07644e+19	4.46331e+10	5.49122e+12	1.64025e+13	3.41268e+09	9.11541e+11	1.30014e+13	2.92254e+05	2.43660e+12	1.22799e+14	1.51140e+14	3.23560e+06	5.18267e+07	2.26415e+09	8.89576e+09	6.98649e+11	1.30491e+04	1.62510e+06
4.07380e+14	1.01997e+19	4.81001e+10	5.75732e+12	1.65509e+13	3.70703e+09	9.64348e+11	1.27194e+13	3.26721e+05	2.58585e+12	1.15393e+14	1.35350e+14	3.77298e+06	6.08608e+07	2.60656e+09	9.91000e+09	7.37307e+11	1.57857e+04	1.92577e+06
4.07380e+14	9.66561e+18	5.17807e+10	6.02918e+12	1.66816e+13	4.02211e+09	1.01883e+12	1.24216e+13	3.65138e+05	2.74020e+12	1.08196e+14	1.20972e+14	4.39198e+06	7.13322e+07	2.99603e+09	1.10234e+10	7.76954e+11	1.90781e+04	2.27704e+06
4.07380e+14	9.16037e+18	5.56828e+10	6.30643e+12	1.67943e+13	4.35870e+09	1.07489e+12	1.21091e+13	4.07941e+05	2.89941e+12	1.01228e+14	1.07908e+14	5.10366e+06	8.34448e+07	3.43830e+09	1.22436e+10	8.17520e+11	2.30344e+04	2.68665e+06
4.07380e+14	8.68224e+18	5.98144e+10	6.58869e+12	1.68887e+13	4.71760e+09	1.13242e+12	1.17828e+13	4.55621e+05	3.06329e+12	9.45021e+13	9.60661e+13	5.92044e+06	9.74289e+07	3.93975e+09	1.35790e+10	8.58930e+11	2.77841e+04	3.16341e+06
4.07380e+14	8.22977e+18	6.41812e+10	6.87537e+12	1.69643e+13	5.09932e+09	1.19125e+12	1.14443e+13	5.08696e+05	3.23150e+12	8.80341e+13	8.53578e+13	6.85570e+06	1.13535e+08	4.50717e+09	1.50378e+10	9.01086e+11	3.34778e+04	3.71716e+06
4.07380e+14	7.80147e+18	6.87907e+10	7.16602e+12	1.70210e+13	5.50454e+09	1.25125e+12	1.10946e+13	5.67779e+05	3.40378e+12	8.18335e+13	7.56963e+13	7.92475e+06	1.32050e+08	5.14827e+09	1.66288e+10	9.43894e+11	4.02961e+04	4.35921e+06
4.07380e+14	7.39591e+18	7.36479e+10	7.45998e+12	1.70582e+13	5.93366e+09	1.31223e+12	1.07350e+13	6.33529e+05	3.57980e+12	7.59084e+13	6.69986e+13	9.14419e+06	1.53288e+08	5.87133e+09	1.83614e+10	9.87243e+11	4.84511e+04	5.10229e+06
