# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
407380000000000.0 1.19936e+19 38307200000.0 4977590000000.0 16054900000000.0 2882810000.0 811272000000.0 13514300000000.0 233638.0 2154030000000.0 138157000000000.0 187355000000000.0 2367230.0 37365000.0 1700270000.0 7135640000.0 624535000000.0 8892.05 1149360.0 -5.0 [-5.0]
407380000000000.0 1.13617e+19 41371600000.0 5231220000000.0 16237100000000.0 3138240000.0 860495000000.0 13266600000000.0 261345.0 2292610000000.0 130395000000000.0 168442000000000.0 2769960.0 44048400.0 1963610000.0 7973270000.0 661040000000.0 10776.8 1368280.0 -4.98 [-4.98]
407380000000000.0 1.07644e+19 44633100000.0 5491220000000.0 16402500000000.0 3412680000.0 911541000000.0 13001400000000.0 292254.0 2436600000000.0 122799000000000.0 151140000000000.0 3235600.0 51826700.0 2264150000.0 8895760000.0 698649000000.0 13049.1 1625100.0 -4.96 [-4.96]
407380000000000.0 1.01997e+19 48100100000.0 5757320000000.0 16550900000000.0 3707030000.0 964348000000.0 12719400000000.0 326721.0 2585850000000.0 115393000000000.0 135350000000000.0 3772980.0 60860800.0 2606560000.0 9910000000.0 737307000000.0 15785.7 1925770.0 -4.94 [-4.94]
407380000000000.0 9.66561e+18 51780700000.0 6029180000000.0 16681600000000.0 4022110000.0 1018830000000.0 12421600000000.0 365138.0 2740200000000.0 108196000000000.0 120972000000000.0 4391980.0 71332200.0 2996030000.0 11023400000.0 776954000000.0 19078.1 2277040.0 -4.92 [-4.92]
407380000000000.0 9.16037e+18 55682800000.0 6306430000000.0 16794300000000.0 4358700000.0 1074890000000.0 12109100000000.0 407941.0 2899410000000.0 101228000000000.0 107908000000000.0 5103660.0 83444800.0 3438300000.0 12243600000.0 817520000000.0 23034.4 2686650.0 -4.9 [-4.9]
407380000000000.0 8.68224e+18 59814400000.0 6588690000000.0 16888700000000.0 4717600000.0 1132420000000.0 11782800000000.0 455621.0 3063290000000.0 94502100000000.0 96066100000000.0 5920440.0 97428900.0 3939750000.0 13579000000.0 858930000000.0 27784.1 3163410.0 -4.88 [-4.88]
407380000000000.0 8.22977e+18 64181200000.0 6875370000000.0 16964300000000.0 5099320000.0 1191250000000.0 11444300000000.0 508696.0 3231500000000.0 88034100000000.0 85357800000000.0 6855700.0 113535000.0 4507170000.0 15037800000.0 901086000000.0 33477.8 3717160.0 -4.86 [-4.86]
407380000000000.0 7.80147e+18 68790700000.0 7166020000000.0 17021000000000.0 5504540000.0 1251250000000.0 11094600000000.0 567779.0 3403780000000.0 81833500000000.0 75696300000000.0 7924750.0 132050000.0 5148270000.0 16628800000.0 943894000000.0 40296.1 4359210.0 -4.84 [-4.84]
407380000000000.0 7.39591e+18 73647900000.0 7459980000000.0 17058200000000.0 5933660000.0 1312230000000.0 10735000000000.0 633529.0 3579800000000.0 75908400000000.0 66998600000000.0 9144190.0 153288000.0 5871330000.0 18361400000.0 987243000000.0 48451.1 5102290.0 -4.82 [-4.82]
407380000000000.0 7.01179e+18 78756500000.0 7756560000000.0 17075800000000.0 6386950000.0 1373990000000.0 10367000000000.0 706670.0 3759180000000.0 70264200000000.0 59186300000000.0 10532200.0 177596000.0 6685420000.0 20245200000.0 1031020000000.0 58192.8 5960800.0 -4.8 [-4.8]
