H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4	Fe+	Al+
2.18775e+15	3.74013e+19	5.03323e+12	1.64795e+15	1.02936e+16	4.06780e+11	3.04690e+14	7.06027e+15	3.33566e+07	9.58549e+14	5.85610e+16	3.92220e+16	2.38590e+08	8.33112e+09	8.92600e+11	1.23990e+13	5.50647e+14	6.13865e+06	9.31115e+08
2.18775e+15	3.49796e+19	5.42959e+12	1.70385e+15	1.03408e+16	4.57891e+11	3.28221e+14	6.81555e+15	4.12008e+07	1.04330e+15	5.39366e+16	3.40332e+16	2.76913e+08	9.37649e+09	9.96932e+11	1.40118e+13	5.79516e+14	7.66371e+06	1.05791e+09
2.18775e+15	3.26795e+19	5.87675e+12	1.76246e+15	1.03711e+16	5.16678e+11	3.53258e+14	6.55680e+15	5.10044e+07	1.13301e+15	4.94759e+16	2.93892e+16	3.22080e+08	1.05618e+10	1.11214e+12	1.58243e+13	6.08811e+14	9.56592e+06	1.19566e+09
2.18775e+15	3.04850e+19	6.38509e+12	1.82456e+15	1.03834e+16	5.84582e+11	3.79891e+14	6.28357e+15	6.33050e+07	1.22771e+15	4.51773e+16	2.52349e+16	3.75514e+08	1.19144e+10	1.23975e+12	1.78695e+13	6.38514e+14	1.19443e+07	1.34359e+09
2.18776e+15	2.83881e+19	6.96980e+12	1.89157e+15	1.03759e+16	6.63417e+11	4.08203e+14	5.99616e+15	7.87849e+07	1.32726e+15	4.10483e+16	2.15316e+16	4.39186e+08	1.34806e+10	1.38227e+12	2.01805e+13	6.68504e+14	1.49249e+07	1.50065e+09
2.18775e+15	2.63795e+19	7.65111e+12	1.96529e+15	1.03460e+16	7.55313e+11	4.38225e+14	5.69441e+15	9.83251e+07	1.43110e+15	3.70988e+16	1.82426e+16	5.15694e+08	1.53225e+10	1.54282e+12	2.27971e+13	6.98634e+14	1.86686e+07	1.66513e+09
2.18775e+15	2.44487e+19	8.45626e+12	2.04809e+15	1.02901e+16	8.62954e+11	4.69948e+14	5.37798e+15	1.23097e+08	1.53860e+15	3.33286e+16	1.53301e+16	6.08585e+08	1.75383e+10	1.72669e+12	2.57703e+13	7.28750e+14	2.33865e+07	1.83485e+09
2.18775e+15	2.25809e+19	9.42653e+12	2.14374e+15	1.02048e+16	9.90088e+11	5.03530e+14	5.04591e+15	1.54748e+08	1.64926e+15	2.97320e+16	1.27547e+16	7.22894e+08	2.02815e+10	1.94226e+12	2.91749e+13	7.58704e+14	2.93800e+07	2.00783e+09
2.18774e+15	2.07600e+19	1.06231e+13	2.25725e+15	1.00832e+16	1.14158e+12	5.38929e+14	4.69642e+15	1.95592e+08	1.76163e+15	2.63040e+16	1.04815e+16	8.66169e+08	2.38033e+10	2.20301e+12	3.31110e+13	7.88299e+14	3.70696e+07	2.18350e+09
2.18774e+15	1.89560e+19	1.21424e+13	2.39571e+15	9.91127e+15	1.32374e+12	5.75743e+14	4.32521e+15	2.49009e+08	1.87226e+15	2.30244e+16	8.46946e+15	1.05041e+09	2.85276e+10	2.53069e+12	3.77303e+13	8.17383e+14	4.70555e+07	2.36426e+09
2.18775e+15	1.71408e+19	1.41534e+13	2.57154e+15	9.67257e+15	1.54635e+12	6.13699e+14	3.92779e+15	3.20424e+08	1.97724e+15	1.98701e+16	6.68762e+15	1.29672e+09	3.52794e+10	2.96618e+12	4.32760e+13	8.45474e+14	6.03544e+07	2.57200e+09
2.18774e+15	1.52454e+19	1.69988e+13	2.80699e+15	9.33086e+15	1.82647e+12	6.51884e+14	3.49128e+15	4.20187e+08	2.06833e+15	1.67661e+16	5.08599e+15	1.64883e+09	4.58561e+10	3.59122e+12	5.02559e+13	8.71967e+14	7.89330e+07	2.87586e+09
2.18774e+15	1.31582e+19	2.14343e+13	3.13907e+15	8.80634e+15	2.19004e+12	6.86227e+14	2.99658e+15	5.69878e+08	2.12474e+15	1.35836e+16	3.61500e+15	2.21246e+09	6.49262e+10	4.58270e+12	5.97421e+13	8.94779e+14	1.07091e+08	3.51139e+09
2.18775e+15	1.15562e+19	2.62056e+13	3.43672e+15	8.28222e+15	2.53815e+12	7.09368e+14	2.60312e+15	7.43811e+08	2.16161e+15	1.11178e+16	2.63899e+15	2.91198e+09	9.01398e+10	5.69744e+12	6.88256e+13	9.05554e+14	1.41618e+08	4.52438e+09
2.18775e+15	1.01432e+19	3.18756e+13	3.72359e+15	7.70768e+15	2.89746e+12	7.22622e+14	2.25414e+15	9.65258e+08	2.17901e+15	8.96868e+15	1.90244e+15	3.85257e+09	1.26345e+11	7.02359e+12	7.85475e+13	9.06398e+14	1.87190e+08	6.05691e+09
2.18776e+15	8.81676e+18	3.89457e+13	3.99459e+15	7.04597e+15	3.27225e+12	7.23144e+14	1.93290e+15	1.26482e+09	2.17440e+15	6.99936e+15	1.32136e+15	5.20101e+09	1.81508e+11	8.62469e+12	8.94394e+13	8.95666e+14	2.50236e+08	8.38977e+09
2.18775e+15	7.57034e+18	4.77622e+13	4.22390e+15	6.30007e+15	3.65350e+12	7.08159e+14	1.64112e+15	1.68813e+09	2.15487e+15	5.20664e+15	8.71150e+14	7.22131e+09	2.67285e+11	1.04968e+13	1.01511e+14	8.70422e+14	3.39753e+08	1.18990e+10
2.18780e+15	6.43892e+18	5.81898e+13	4.37291e+15	5.50938e+15	4.03007e+12	6.77851e+14	1.38373e+15	2.30358e+09	2.13822e+15	3.66982e+15	5.44103e+14	1.02881e+10	3.97893e+11	1.25530e+13	1.14166e+14	8.29225e+14	4.67680e+08	1.69630e+10
2.18774e+15	5.50600e+18	6.87594e+13	4.41496e+15	4.77503e+15	4.39666e+12	6.41074e+14	1.16926e+15	3.15480e+09	2.14516e+15	2.52907e+15	3.35569e+14	1.45178e+10	5.76073e+11	1.45901e+13	1.25728e+14	7.77235e+14	6.39594e+08	2.33771e+10
2.18774e+15	4.79053e+18	7.79916e+13	4.37156e+15	4.16363e+15	4.76439e+12	6.07907e+14	9.96004e+14	4.23738e+09	2.17614e+15	1.77522e+15	2.13919e+14	1.96222e+10	7.93097e+11	1.64915e+13	1.35075e+14	7.23137e+14	8.53522e+08	3.04847e+10
2.18776e+15	4.24081e+18	8.55516e+13	4.27782e+15	3.66741e+15	5.14378e+12	5.81041e+14	8.54696e+14	5.54389e+09	2.21830e+15	1.28556e+15	1.42582e+14	2.53182e+10	1.04381e+12	1.82646e+13	1.42265e+14	6.71405e+14	1.10960e+09	3.78902e+10
2.18776e+15	3.80361e+18	9.16618e+13	4.15667e+15	3.25810e+15	5.53857e+12	5.59343e+14	7.37183e+14	7.08507e+09	2.26172e+15	9.57024e+14	9.85665e+13	3.14758e+10	1.32861e+12	1.99409e+13	1.47719e+14	6.23024e+14	1.41214e+09	4.54871e+10
2.18776e+15	3.44310e+18	9.66247e+13	4.02034e+15	2.91228e+15	5.94982e+12	5.41177e+14	6.37843e+14	8.88801e+09	2.30146e+15	7.27306e+14	6.99425e+13	3.80613e+10	1.65072e+12	2.15432e+13	1.51812e+14	5.77801e+14	1.76856e+09	5.32902e+10
2.18776e+15	3.13640e+18	1.00689e+14	3.87558e+15	2.61397e+15	6.37854e+12	5.25227e+14	5.52683e+14	1.09963e+10	2.33553e+15	5.60621e+14	5.04910e+13	4.50857e+10	2.01552e+12	2.30858e+13	1.54818e+14	5.35226e+14	2.18898e+09	6.13506e+10
2.18776e+15	2.87155e+18	1.03986e+14	3.72663e+15	2.35403e+15	6.82342e+12	5.10859e+14	4.79511e+14	1.34439e+10	2.36294e+15	4.37249e+14	3.69715e+13	5.25079e+10	2.42519e+12	2.45649e+13	1.56877e+14	4.95260e+14	2.68237e+09	6.96676e+10
2.18776e+15	2.63946e+18	1.06640e+14	3.57625e+15	2.12540e+15	7.28392e+12	4.97557e+14	4.16371e+14	1.62760e+10	2.38342e+15	3.44183e+14	2.73652e+13	6.03023e+10	2.88304e+12	2.59780e+13	1.58111e+14	4.57701e+14	3.25988e+09	7.82586e+10
2.18776e+15	2.43453e+18	1.08752e+14	3.42702e+15	1.92341e+15	7.75823e+12	4.85066e+14	3.61887e+14	1.95311e+10	2.39699e+15	2.73148e+14	2.04450e+13	6.84147e+10	3.39028e+12	2.73195e+13	1.58611e+14	4.22520e+14	3.93194e+09	8.71223e+10
