# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
2187750000000000.0 3.74013e+19 5033230000000.0 1647950000000000.0 1.02936e+16 406780000000.0 304690000000000.0 7060270000000000.0 33356600.0 958549000000000.0 5.8561e+16 3.9222e+16 238590000.0 8331120000.0 892600000000.0 12399000000000.0 550647000000000.0 6138650.0 931115000.0 -5.0 [-5.0]
2187750000000000.0 3.49796e+19 5429590000000.0 1703850000000000.0 1.03408e+16 457891000000.0 328221000000000.0 6815550000000000.0 41200800.0 1043300000000000.0 5.39366e+16 3.40332e+16 276913000.0 9376490000.0 996932000000.0 14011800000000.0 579516000000000.0 7663710.0 1057910000.0 -4.98 [-4.98]
2187750000000000.0 3.26795e+19 5876750000000.0 1762460000000000.0 1.03711e+16 516678000000.0 353258000000000.0 6556800000000000.0 51004400.0 1133010000000000.0 4.94759e+16 2.93892e+16 322080000.0 10561800000.0 1112140000000.0 15824300000000.0 608811000000000.0 9565920.0 1195660000.0 -4.96 [-4.96]
2187750000000000.0 3.0485e+19 6385090000000.0 1824560000000000.0 1.03834e+16 584582000000.0 379891000000000.0 6283570000000000.0 63305000.0 1227710000000000.0 4.51773e+16 2.52349e+16 375514000.0 11914400000.0 1239750000000.0 17869500000000.0 638514000000000.0 11944300.0 1343590000.0 -4.94 [-4.94]
2187760000000000.0 2.83881e+19 6969800000000.0 1891570000000000.0 1.03759e+16 663417000000.0 408203000000000.0 5996160000000000.0 78784900.0 1327260000000000.0 4.10483e+16 2.15316e+16 439186000.0 13480600000.0 1382270000000.0 20180500000000.0 668504000000000.0 14924900.0 1500650000.0 -4.92 [-4.92]
2187750000000000.0 2.63795e+19 7651110000000.0 1965290000000000.0 1.0346e+16 755313000000.0 438225000000000.0 5694410000000000.0 98325100.0 1431100000000000.0 3.70988e+16 1.82426e+16 515694000.0 15322500000.0 1542820000000.0 22797100000000.0 698634000000000.0 18668600.0 1665130000.0 -4.9 [-4.9]
2187750000000000.0 2.44487e+19 8456260000000.0 2048090000000000.0 1.02901e+16 862954000000.0 469948000000000.0 5377980000000000.0 123097000.0 1538600000000000.0 3.33286e+16 1.53301e+16 608585000.0 17538300000.0 1726690000000.0 25770300000000.0 728750000000000.0 23386500.0 1834850000.0 -4.88 [-4.88]
2187750000000000.0 2.25809e+19 9426530000000.0 2143740000000000.0 1.02048e+16 990088000000.0 503530000000000.0 5045910000000000.0 154748000.0 1649260000000000.0 2.9732e+16 1.27547e+16 722894000.0 20281500000.0 1942260000000.0 29174900000000.0 758704000000000.0 29380000.0 2007830000.0 -4.86 [-4.86]
2187740000000000.0 2.076e+19 10623100000000.0 2257250000000000.0 1.00832e+16 1141580000000.0 538929000000000.0 4696420000000000.0 195592000.0 1761630000000000.0 2.6304e+16 1.04815e+16 866169000.0 23803300000.0 2203010000000.0 33111000000000.0 788299000000000.0 37069600.0 2183500000.0 -4.84 [-4.84]
2187740000000000.0 1.8956e+19 12142400000000.0 2395710000000000.0 9911270000000000.0 1323740000000.0 575743000000000.0 4325210000000000.0 249009000.0 1872260000000000.0 2.30244e+16 8469460000000000.0 1050410000.0 28527600000.0 2530690000000.0 37730300000000.0 817383000000000.0 47055500.0 2364260000.0 -4.82 [-4.82]
