# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
407380000000000.0 7.02051e+18 969865000000.0 308222000000000.0 1819300000000000.0 77986300000.0 55842100000000.0 1257850000000000.0 6356060.0 172946000000000.0 1.10862e+16 7871120000000000.0 43938500.0 1505030000.0 154422000000.0 2021630000000.0 94575800000000.0 1172860.0 161611000.0 -5.0 [-5.0]
407380000000000.0 6.57388e+18 1039970000000.0 317917000000000.0 1827870000000000.0 87176300000.0 59986100000000.0 1217390000000000.0 7799210.0 188007000000000.0 1.02517e+16 6860250000000000.0 50918700.0 1696240000.0 173030000000.0 2289290000000.0 99798300000000.0 1457290.0 184511000.0 -4.98 [-4.98]
407380000000000.0 6.15031e+18 1118210000000.0 327928000000000.0 1833670000000000.0 97680700000.0 64391800000000.0 1174690000000000.0 9592650.0 203972000000000.0 9443220000000000.0 5952900000000000.0 59103400.0 1911740000.0 193564000000.0 2590300000000.0 105118000000000.0 1810310.0 209685000.0 -4.96 [-4.96]
407380000000000.0 5.74779e+18 1206100000000.0 338357000000000.0 1836530000000000.0 109724000000.0 69068700000000.0 1129750000000000.0 11826200.0 220829000000000.0 8662510000000000.0 5140470000000000.0 68732800.0 2155830000.0 216246000000.0 2929160000000.0 110521000000000.0 2248790.0 237104000.0 -4.94 [-4.94]
407380000000000.0 5.36507e+18 1305770000000.0 349385000000000.0 1836190000000000.0 123577000000.0 74023700000000.0 1082630000000000.0 14611700.0 238540000000000.0 7911590000000000.0 4415890000000000.0 80124300.0 2435110000.0 241397000000.0 3310440000000.0 115981000000000.0 2793810.0 266711000.0 -4.92 [-4.92]
407379000000000.0 4.99831e+18 1419690000000.0 361161000000000.0 1832370000000000.0 139597000000.0 79275600000000.0 1033110000000000.0 18106100.0 257102000000000.0 7188750000000000.0 3768390000000000.0 93651000.0 2756590000.0 269386000000.0 3742450000000.0 121505000000000.0 3473840.0 298168000.0 -4.9 [-4.9]
407380000000000.0 4.64764e+18 1551790000000.0 374066000000000.0 1824700000000000.0 158185000000.0 84822600000000.0 981348000000000.0 22493200.0 276399000000000.0 6497400000000000.0 3194120000000000.0 109867000.0 3134220000.0 300885000000.0 4230900000000.0 127044000000000.0 4323020.0 331273000.0 -4.88 [-4.88]
407380000000000.0 4.31097e+18 1707010000000.0 388489000000000.0 1812620000000000.0 179850000000.0 90665500000000.0 927274000000000.0 28022400.0 296310000000000.0 5837640000000000.0 2686150000000000.0 129486000.0 3586710000.0 336827000000.0 4785100000000.0 132570000000000.0 5387040.0 365610000.0 -4.86 [-4.86]
407380000000000.0 3.98609e+18 1892440000000.0 404999000000000.0 1795400000000000.0 205250000000.0 96803500000000.0 870772000000000.0 35029600.0 316664000000000.0 5209090000000000.0 2237950000000000.0 153504000.0 4143070000.0 378664000000.0 5416990000000.0 138050000000000.0 6727460.0 400763000.0 -4.84 [-4.84]
407379000000000.0 3.66831e+18 2119600000000.0 424471000000000.0 1771830000000000.0 235400000000.0 103252000000000.0 811251000000000.0 44031000.0 337270000000000.0 4607930000000000.0 1840850000000000.0 183440000.0 4850660000.0 428814000000.0 6148220000000.0 143473000000000.0 8436420.0 436176000.0 -4.82 [-4.82]
