WAVE1 WAVE2
1189.721 1190.858
1192.719 1193.683
1199.127 1201.195
1205.605 1206.88
1212.599 1218.87
1225.175 1226.14
1231.929 1232.721
1238.303 1240.37
1250.155 1250.913
1253.119 1254.187
1257.357 1258.39
1259.148 1260.905
1263.8 1264.592
1267.107 1268.141
1269.692 1270.725
1273.068 1273.723
1276.858 1277.961
1301.115 1306.593
1330.402 1331.366
1333.916 1336.156
1339.394 1340.394
1361.101 1362.238
1378.983 1379.776
1390.698 1391.56
1393.007 1394.316
1399.553 1401.207
1402.206 1403.137
1430.115 1430.873
1438.936 1439.969
1441.692 1442.553
1447.101 1447.756
1452.339 1453.234
1470.875 1471.737
1478.249 1479.041
1508.638 1509.844
1524.35 1525.177
1526.038 1527.106
1547.469 1548.675
1550.122 1551.156
1607.042 1608.8
1645.012 1646.425
1648.423 1649.25
1656.451 1657.003
1671.06 1669.889
1675.229 1676.297
1695.041 1696.35
1711.304 1712.338
